case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,14.877595,,,
base,8.773056,,,
base,6.35678,,,
base,11.058586,,,
base,7.8413699999999995,,,
base,6.78707,,,
base,7.068993,,,
base,7.660641999999999,,,
base,8.564278999999999,,,
base,10.774236,,,
base,6.770415,,,
base,8.293471,,,
base,9.122012,,,
base,8.062384,,,
base,8.288338,,,
base,6.396065,,,
base,6.081885,,,
base,6.661859,,,
base,11.957804,,,
base,7.437882,,,
base,6.512741,,,
base,7.378335,,,
base,7.134077,,,
base,6.194749,,,
base,6.215985,,,
base,6.294775,,,
base,9.351305,,,
base,7.077832,,,
base,6.096505,,,
base,6.357431999999999,,,
base,6.953055,,,
base,7.079198,,,
base,5.860189,,,
base,8.430106,,,
base,5.961552999999999,,,
base,5.851312,,,
base,6.67387,,,
base,5.8455889999999995,,,
base,7.894858999999999,,,
base,6.771027,,,
base,6.721093,,,
base,7.260311,,,
base,5.825308,,,
base,5.8283819999999995,,,
base,5.674115,,,
base,5.762001,,,
base,6.8369729999999995,,,
base,5.716165,,,
base,5.708108999999999,,,
base,5.7003889999999995,,,
base,6.220534,,,
base,6.316625,,,
base,5.734368,,,
base,6.142573,,,
base,5.630729,,,
base,5.688181,,,
base,6.420767,,,
base,5.793983,,,
base,6.420957,,,
base,6.427576999999999,,,
base,5.614844,,,
base,5.594119999999999,,,
base,6.448326,,,
base,6.566014,,,
base,6.247876,,,
base,5.771681999999999,,,
base,5.780301,,,
base,5.719778,,,
base,5.657595,,,
base,5.7792639999999995,,,
base,5.576842999999999,,,
base,6.3852459999999995,,,
base,6.2436679999999996,,,
base,5.642429,,,
base,5.635109,,,
base,6.392376,,,
base,6.879963,,,
base,5.947744,,,
base,5.711861,,,
base,5.587337,,,
base,5.9189229999999995,,,
base,6.242537,,,
base,5.603568999999999,,,
base,5.625236,,,
base,6.394667999999999,,,
base,5.6670229999999995,,,
base,6.214100999999999,,,
base,5.711183,,,
base,5.5845139999999995,,,
base,5.596588,,,
base,6.170535999999999,,,
base,5.590959,,,
base,5.5915919999999995,,,
base,6.2057899999999995,,,
base,5.6123709999999996,,,
base,5.661715,,,
base,6.253985,,,
base,5.557773,,,
base,5.588750999999999,,,
base,5.626048,,,
base,,9.802674999999999,,
base,,3.935469,,
base,,4.5548,,
base,,4.579962,,
base,,3.9794579999999997,,
base,,3.9500059999999997,,
base,,3.973287,,
base,,4.538608,,
base,,4.5291,,
base,,3.999031,,
base,,4.489879999999999,,
base,,3.944898,,
base,,3.956534,,
base,,4.530304999999999,,
base,,3.954995,,
base,,3.939697,,
base,,3.9947429999999997,,
base,,3.959774,,
base,,3.9538369999999996,,
base,,3.9534979999999997,,
base,,3.957969,,
base,,4.470901,,
base,,3.965525,,
base,,3.956768,,
base,,3.968673,,
base,,3.9674609999999997,,
base,,3.965391,,
base,,3.957197,,
base,,4.476672,,
base,,3.958874,,
base,,3.962681,,
base,,3.963053,,
base,,4.503385,,
base,,3.982569,,
base,,3.9611799999999997,,
base,,4.886068,,
base,,4.5515099999999995,,
base,,3.9552479999999997,,
base,,4.514457,,
base,,4.539671,,
base,,3.9661459999999997,,
base,,3.965038,,
base,,3.9715659999999997,,
base,,3.9695519999999997,,
base,,3.95852,,
base,,3.955265,,
base,,3.951008,,
base,,3.951435,,
base,,3.9545619999999997,,
base,,3.9494049999999996,,
base,,3.976476,,
base,,4.51793,,
base,,4.48071,,
base,,4.348718,,
base,,3.944193,,
base,,4.499048999999999,,
base,,4.47963,,
base,,4.456307,,
base,,4.490704,,
base,,4.44601,,
base,,4.364598,,
base,,4.489078999999999,,
base,,4.502305,,
base,,3.9560939999999998,,
base,,4.496255,,
