case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,3.95e-05,,,
base,5.7499999999999995e-05,,,
base,5.55e-05,,,
base,5.6e-05,,,
base,5.6999999999999996e-05,,,
base,5.3e-05,,,
base,5.65e-05,,,
base,5.55e-05,,,
base,5.6999999999999996e-05,,,
base,5.7499999999999995e-05,,,
base,5.55e-05,,,
base,5.4999999999999995e-05,,,
base,5.2499999999999995e-05,,,
base,8.35e-05,,,
base,5.6999999999999996e-05,,,
base,5.65e-05,,,
base,5.9e-05,,,
base,5.8e-05,,,
base,5.4499999999999997e-05,,,
base,5.55e-05,,,
base,5.55e-05,,,
base,7.549999999999999e-05,,,
base,5.2499999999999995e-05,,,
base,5.55e-05,,,
base,5.55e-05,,,
base,5.65e-05,,,
base,0.0003945,,,
base,5.4499999999999997e-05,,,
base,5.4e-05,,,
base,5.6e-05,,,
base,5.4999999999999995e-05,,,
base,5.6e-05,,,
base,8.85e-05,,,
base,5.6e-05,,,
base,5.4499999999999997e-05,,,
base,6.1e-05,,,
base,5.3e-05,,,
base,5.6e-05,,,
base,6.3e-05,,,
base,5.4499999999999997e-05,,,
base,5.3e-05,,,
base,0.005131,,,
base,5.3e-05,,,
base,5.4999999999999995e-05,,,
base,5.65e-05,,,
base,9.099999999999999e-05,,,
base,5.65e-05,,,
base,5.4e-05,,,
base,5.55e-05,,,
base,5.4999999999999995e-05,,,
base,5.35e-05,,,
base,4.4999999999999996e-05,,,
base,7.7e-05,,,
base,5.4999999999999995e-05,,,
base,5.55e-05,,,
base,5.2499999999999995e-05,,,
base,5.6999999999999996e-05,,,
base,5.4999999999999995e-05,,,
base,4.9999999999999996e-05,,,
base,5.8e-05,,,
base,5.4999999999999995e-05,,,
base,5.55e-05,,,
base,5.65e-05,,,
base,5.65e-05,,,
base,5.4999999999999995e-05,,,
base,5.4499999999999997e-05,,,
base,0.000244,,,
base,4.85e-05,,,
base,5.6e-05,,,
base,0.00010949999999999999,,,
base,5.7499999999999995e-05,,,
base,5.4999999999999995e-05,,,
base,5.6999999999999996e-05,,,
base,5.35e-05,,,
base,5.55e-05,,,
base,5.4499999999999997e-05,,,
base,5.65e-05,,,
base,5.35e-05,,,
base,5.55e-05,,,
base,5.3e-05,,,
base,5.4999999999999995e-05,,,
base,5.6999999999999996e-05,,,
base,5.65e-05,,,
base,5.35e-05,,,
base,0.0001075,,,
base,5.35e-05,,,
base,5.9499999999999996e-05,,,
base,5.65e-05,,,
base,5.6e-05,,,
base,5.4499999999999997e-05,,,
base,4.9e-05,,,
base,5.4499999999999997e-05,,,
base,5.2499999999999995e-05,,,
base,0.000112,,,
base,5.3e-05,,,
base,5.35e-05,,,
base,5.4e-05,,,
base,0.000163,,,
base,5.65e-05,,,
base,5.65e-05,,,
base,,3.7999999999999995e-05,,
base,,5.6999999999999996e-05,,
base,,6.2e-05,,
base,,5.4999999999999995e-05,,
base,,5.4999999999999995e-05,,
base,,5.8e-05,,
base,,5.35e-05,,
base,,5.6e-05,,
base,,5.6999999999999996e-05,,
base,,5.7499999999999995e-05,,
base,,5.4999999999999995e-05,,
base,,5.4499999999999997e-05,,
base,,5.9e-05,,
base,,5.4999999999999995e-05,,
base,,5.4999999999999995e-05,,
base,,5.4999999999999995e-05,,
base,,5.65e-05,,
base,,5.4499999999999997e-05,,
base,,5.8e-05,,
base,,5.85e-05,,
base,,5.4499999999999997e-05,,
base,,5.4499999999999997e-05,,
base,,9.099999999999999e-05,,
base,,5.65e-05,,
base,,8.45e-05,,
base,,6.3e-05,,
base,,7.099999999999999e-05,,
base,,6.2e-05,,
base,,5.85e-05,,
base,,8.549999999999999e-05,,
base,,8.549999999999999e-05,,
base,,9.25e-05,,
base,,5.65e-05,,
base,,6.05e-05,,
base,,5.9499999999999996e-05,,
base,,8.45e-05,,
base,,8.45e-05,,
base,,8.7e-05,,
base,,8.7e-05,,
base,,8.75e-05,,
base,,8.85e-05,,
base,,8.599999999999999e-05,,
base,,8.549999999999999e-05,,
base,,8.7e-05,,
base,,8.8e-05,,
base,,8.499999999999999e-05,,
base,,8.75e-05,,
base,,8.7e-05,,
base,,8.549999999999999e-05,,
base,,8.499999999999999e-05,,
base,,8.8e-05,,
base,,8.7e-05,,
base,,8.549999999999999e-05,,
base,,5.6999999999999996e-05,,
base,,6.1e-05,,
base,,5.65e-05,,
base,,6.149999999999999e-05,,
base,,5.9499999999999996e-05,,
base,,5.6999999999999996e-05,,
base,,5.8e-05,,
base,,5.9999999999999995e-05,,
base,,5.85e-05,,
base,,5.9499999999999996e-05,,
base,,6.3e-05,,
base,,5.65e-05,,
base,,5.9e-05,,
base,,5.9999999999999995e-05,,
base,,6.1e-05,,
base,,5.85e-05,,
base,,6.3e-05,,
base,,5.9999999999999995e-05,,
base,,5.9999999999999995e-05,,
base,,5.9999999999999995e-05,,
base,,6.05e-05,,
base,,5.9499999999999996e-05,,
base,,5.9e-05,,
base,,6.2e-05,,
base,,6.05e-05,,
base,,5.9e-05,,
base,,6.549999999999999e-05,,
base,,6.3e-05,,
base,,6.2e-05,,
base,,6.05e-05,,
base,,5.7499999999999995e-05,,
base,,5.9499999999999996e-05,,
base,,6.25e-05,,
base,,5.85e-05,,
base,,6.05e-05,,
base,,5.8e-05,,
base,,8.45e-05,,
base,,6.2e-05,,
base,,5.6e-05,,
base,,6.2e-05,,
base,,6.149999999999999e-05,,
base,,6.05e-05,,
base,,5.9999999999999995e-05,,
base,,8.7e-05,,
base,,8.95e-05,,
base,,5.85e-05,,
base,,8.75e-05,,
base,,,6.85e-05,
base,,,4.35e-05,
base,,,3.9999999999999996e-05,
base,,,6.1e-05,
base,,,3.95e-05,
base,,,5.9e-05,
base,,,4.15e-05,
base,,,5.4999999999999995e-05,
base,,,4.15e-05,
base,,,4.4e-05,
base,,,4.2499999999999996e-05,
base,,,5.05e-05,
base,,,4.2999999999999995e-05,
base,,,3.9e-05,
base,,,4.2499999999999996e-05,
base,,,4.9e-05,
base,,,5.7499999999999995e-05,
base,,,5.15e-05,
base,,,5.1e-05,
base,,,5.05e-05,
base,,,0.00010549999999999999,
base,,,4.2499999999999996e-05,
base,,,5.2499999999999995e-05,
base,,,4.1e-05,
base,,,4.0499999999999995e-05,
base,,,4.2e-05,
base,,,5.6999999999999996e-05,
base,,,5.55e-05,
base,,,5.6999999999999996e-05,
base,,,5.6e-05,
base,,,4.7e-05,
base,,,4.8e-05,
base,,,3.85e-05,
base,,,4.2e-05,
base,,,4.2e-05,
base,,,5.4e-05,
base,,,4.2999999999999995e-05,
