case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
DOCTOR_registration.dat,385,,,
AUTHORITY1_public_attributes.dat,1731,,,
BOB.der,1193,,,
AUTHORITY1_secret_attributes.dat,845,,,
dat,10485792,,,
DOCTOR_secret_keys.dat,3201,,,
gp.dat,256,,,
BOB_secret_keys.dat,719,,,
AUTHORITY0_public_attributes.dat,1731,,,
meta,7621,,,
BOB_registration.dat,385,,,
AUTHORITY0_secret_attributes.dat,845,,,
BOB_secret_keys.dat,,6,,
AUTHORITY1_public_attributes.dat,,3143,,
BOB.der,,1191,,
meta,,9900,,
AUTHORITY1_secret_attributes.dat,,1103,,
dat,,10485792,,
DOCTOR_secret_keys.dat,,2506,,
gp.dat,,151,,
AUTHORITY0_public_attributes.dat,,3143,,
AUTHORITY0_secret_attributes.dat,,1103,,
BOB_secret_keys.dat,,,6,
AUTHORITY1_public_attributes.dat,,,360,
BOB.der,,,1194,
meta,,,9148,
AUTHORITY1_secret_attributes.dat,,,156,
dat,,,10485792,
DOCTOR_secret_keys.dat,,,4699,
gp.dat,,,444,
AUTHORITY0_public_attributes.dat,,,360,
AUTHORITY0_secret_attributes.dat,,,156,
BOB_secret_keys.dat,,,,6
AUTHORITY1_public_attributes.dat,,,,3198
BOB.der,,,,1190
meta,,,,8822
AUTHORITY1_secret_attributes.dat,,,,43274
dat,,,,10485792
DOCTOR_secret_keys.dat,,,,10766
gp.dat,,,,151
AUTHORITY0_public_attributes.dat,,,,3198
AUTHORITY0_secret_attributes.dat,,,,43274
