case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
base,,,,6e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,6e-06
base,,,,7e-06
base,,,,4.9999999999999996e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,4e-06
base,,,,6e-06
base,,,,7e-06
base,,,,4e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,7e-06
base,,,,6e-06
base,,,,8e-06
base,,,,8e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,4.9999999999999996e-06
base,,,,4e-06
base,,,,6e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,8e-06
base,,,,7e-06
base,,,,7e-06
base,,,,4.9999999999999996e-06
base,,,,4e-06
base,,,,4.9999999999999996e-06
base,,,,4.9999999999999996e-06
base,,,,4e-06
base,,,,6e-06
base,,,,4e-06
base,,,,6e-06
base,,,,6e-06
base,,,,7e-06
base,,,,7e-06
base,,,,4e-06
base,,,,7e-06
base,,,,6e-06
base,,,,4e-06
base,,,,6e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,4.9999999999999996e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,4.9999999999999996e-06
base,,,,4e-06
base,,,,6e-06
base,,,,7e-06
base,,,,6e-06
base,,,,6e-06
base,,,,6e-06
base,,,,6e-06
base,,,,6e-06
base,,,,8e-06
base,,,,4e-06
base,,,,7e-06
base,,,,6e-06
base,,,,6e-06
base,,,,6e-06
base,,,,7e-06
base,,,,4e-06
base,,,,6e-06
base,,,,7e-06
base,,,,6e-06
base,,,,4e-06
base,,,,7e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,4e-06
base,,,,7e-06
base,,,,6e-06
base,,,,6e-06
base,,,,4e-06
base,,,,3e-06
base,,,,4e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,4e-06
base,,,,7e-06
base,,,,6e-06
base,,,,4.9999999999999996e-06
base,,,,6e-06
base,,,,6e-06
base,,,,4e-06
