case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.16999999999999993,,,
size 3,0.1699999999999997,,,
size 5,0.17000000000000037,,,
size 7,0.17000000000000015,,,
size 9,0.15000000000000036,,,
size 1,0.17999999999999838,,,
size 3,0.15000000000000036,,,
size 5,0.16000000000000036,,,
size 7,0.1500000000000008,,,
size 9,0.16999999999999993,,,
size 1,0.16000000000000014,,,
size 3,0.1699999999999986,,,
size 5,0.16999999999999638,,,
size 7,0.14999999999999858,,,
size 9,0.16000000000000014,,,
size 1,0.16999999999999993,,,
size 3,0.16999999999999993,,,
size 5,0.17999999999999972,,,
size 7,0.1700000000000057,,,
size 9,0.16999999999999682,,,
size 1,0.1699999999999986,,,
size 3,0.1699999999999986,,,
size 5,0.15999999999999837,,,
size 7,0.17000000000000082,,,
size 9,0.17999999999999705,,,
size 1,0.1900000000000004,,,
size 3,0.17000000000000348,,,
size 5,0.16999999999999638,,,
size 7,0.15999999999999837,,,
size 9,0.18999999999999506,,,
size 1,0.15999999999999925,,,
size 3,0.15999999999999837,,,
size 5,0.17999999999999972,,,
size 7,0.20000000000000018,,,
size 9,0.19000000000000394,,,
size 1,0.16000000000000547,,,
size 3,0.18000000000000682,,,
size 5,0.16000000000000014,,,
size 7,0.16000000000000636,,,
size 9,0.17000000000000526,,,
size 1,0.16000000000000014,,,
size 3,0.16000000000000014,,,
size 5,0.16000000000000547,,,
size 7,0.14999999999999947,,,
size 9,0.14999999999999591,,,
size 1,0.1500000000000048,,,
size 3,0.16999999999999638,,,
size 5,0.16000000000000547,,,
size 7,0.17999999999998728,,,
size 9,0.19000000000000128,,,
size 1,0.15000000000000036,,,
size 3,0.16000000000000547,,,
size 5,0.1800000000000015,,,
size 7,0.15999999999999126,,,
size 9,0.16999999999999638,,,
size 1,0.16999999999999105,,,
size 3,0.15999999999999126,,,
size 5,0.19000000000000128,,,
size 7,0.1700000000000017,,,
size 9,0.16999999999999105,,,
size 1,0.15000000000000036,,,
size 3,0.19000000000000306,,,
size 5,0.18000000000001037,,,
size 7,0.16999999999999638,,,
size 9,0.16999999999999815,,,
size 1,0.17999999999999794,,,
size 3,0.1700000000000017,,,
size 5,0.17999999999999794,,,
size 7,0.1900000000000066,,,
size 9,0.1800000000000015,,,
size 1,0.15000000000000036,,,
size 3,0.15999999999999304,,,
size 5,0.1599999999999966,,,
size 7,0.16999999999999638,,,
size 9,0.18000000000001748,,,
size 1,0.16000000000000547,,,
size 3,0.17999999999999616,,,
size 5,0.19000000000000838,,,
size 7,0.1900000000000155,,,
size 9,0.16999999999999638,,,
size 1,0.16000000000001435,,,
size 3,0.16999999999999638,,,
size 5,0.16999999999999638,,,
size 7,0.15999999999997705,,,
size 9,0.1900000000000066,,,
size 1,0.16999999999999638,,,
size 3,0.16999999999999638,,,
size 5,0.16999999999999638,,,
size 7,0.18000000000000504,,,
size 9,0.17999999999999616,,,
size 1,0.27000000000000846,,,
size 3,0.16999999999997684,,,
size 5,0.2000000000000064,,,
size 7,0.16999999999999638,,,
size 9,0.16999999999999815,,,
size 1,0.16999999999997684,,,
size 3,0.17000000000002302,,,
size 5,0.18999999999998707,,,
size 7,0.18000000000001748,,,
size 9,0.1599999999999966,,,
size 1,0.1699999999999946,,,
size 3,0.17000000000002302,,,
size 5,0.16000000000000725,,,
size 7,0.1600000000000037,,,
size 9,0.17999999999998906,,,
size 1,0.1599999999999966,,,
size 3,0.15999999999997527,,,
size 5,0.16000000000000725,,,
size 7,0.1600000000000037,,,
size 9,0.15000000000001634,,,
size 1,0.15000000000000568,,,
size 3,0.18000000000000682,,,
size 5,0.14999999999998437,,,
size 7,0.1699999999999946,,,
size 9,0.15000000000000568,,,
size 1,0.160000000000025,,,
size 3,0.15000000000000568,,,
size 5,0.15999999999999304,,,
size 7,0.17999999999999616,,,
size 9,0.1700000000000017,,,
size 1,0.14999999999998437,,,
size 3,0.17000000000001592,,,
size 5,0.1600000000000037,,,
size 7,0.17000000000000526,,,
size 9,0.15999999999997527,,,
size 1,0.1600000000000037,,,
size 3,0.16999999999999815,,,
size 5,0.14999999999999503,,,
size 7,0.17000000000002302,,,
size 9,0.18000000000000682,,,
size 1,0.14999999999999503,,,
size 3,0.19000000000000838,,,
size 5,0.16000000000000725,,,
size 7,0.15000000000000568,,,
size 9,0.17000000000000526,,,
size 1,0.15999999999998593,,,
size 3,0.17999999999998906,,,
size 5,0.1600000000000037,,,
size 7,0.1599999999999966,,,
size 9,0.1699999999999946,,,
size 1,0.15000000000001634,,,
size 3,0.15000000000000568,,,
size 5,0.15000000000002345,,,
size 7,0.15000000000000568,,,
size 9,0.160000000000025,,,
size 1,0.18000000000001748,,,
size 3,0.16000000000003567,,,
size 5,0.15999999999997527,,,
size 7,0.17000000000002657,,,
size 9,0.18000000000001393,,,
size 1,0.16000000000004277,,,
size 3,0.16999999999997684,,,
size 5,0.17000000000003368,,,
size 7,0.19000000000000483,,,
size 9,0.17999999999996774,,,
size 1,0.16000000000003567,,,
size 3,0.15000000000000568,,,
size 5,0.14999999999999503,,,
size 7,0.1600000000000037,,,
size 9,0.18000000000001393,,,
size 1,0.15999999999998593,,,
size 3,0.15999999999997527,,,
size 5,0.18999999999999773,,,
size 7,0.16000000000003212,,,
size 9,0.16999999999996618,,,
size 1,0.15999999999997883,,,
size 3,0.15999999999997883,,,
size 5,0.1599999999999966,,,
size 7,0.14999999999999503,,,
size 9,0.1700000000000017,,,
size 1,0.1699999999999875,,,
size 3,0.14999999999999147,,,
size 5,0.14999999999997726,,,
size 7,0.1500000000000341,,,
size 9,0.15999999999997527,,,
size 1,0.15999999999996817,,,
size 3,0.16000000000003212,,,
size 5,0.15999999999998948,,,
size 7,0.1700000000000017,,,
size 9,0.17000000000001592,,,
size 1,0.15000000000000568,,,
size 3,0.17000000000003013,,,
size 5,0.16999999999997328,,,
size 7,0.15999999999998948,,,
size 9,0.18000000000002814,,,
size 1,0.15999999999996817,,,
size 3,0.16000000000003922,,,
size 5,0.17000000000001592,,,
size 7,0.15999999999998238,,,
size 9,0.1799999999999713,,,
size 1,0.18000000000003524,,,
size 3,0.17000000000002302,,,
size 5,0.16999999999997328,,,
size 7,0.17000000000001592,,,
size 9,0.17000000000001592,,,
size 1,0.15999999999998948,,,
size 3,0.16999999999997328,,,
size 5,0.1699999999999804,,,
size 7,0.16999999999997328,,,
size 9,0.15999999999998948,,,
size 1,0.1699999999999875,,,
size 3,0.15999999999998948,,,
size 5,0.18000000000002103,,,
size 7,0.1600000000000108,,,
size 9,0.1699999999999804,,,
size 1,0.1500000000000128,,,
size 3,0.1599999999999966,,,
size 5,0.14999999999997726,,,
size 7,0.18000000000002103,,,
size 9,0.14999999999999858,,,
size 1,0.13999999999999346,,,
size 3,0.17000000000003723,,,
size 5,0.17999999999999972,,,
size 7,0.14999999999999858,,,
size 9,0.1599999999999966,,,
size 1,0.1500000000000128,,,
size 3,0.14999999999999858,,,
size 5,0.15999999999998238,,,
size 7,0.1699999999999946,,,
size 9,0.1600000000000037,,,
size 1,0.15999999999998238,,,
size 3,0.16000000000003922,,,
size 5,0.14999999999998437,,,
size 7,0.17000000000003013,,,
size 9,0.16999999999996618,,,
size 1,0.1899999999999622,,,
size 3,0.15999999999996817,,,
size 5,0.16000000000004633,,,
size 7,0.16999999999996618,,,
size 9,0.17000000000001592,,,
size 1,0.16999999999997328,,,
size 3,0.160000000000025,,,
size 5,0.15999999999997527,,,
size 7,0.1600000000000037,,,
size 9,0.1500000000000199,,,
size 1,0.15999999999998238,,,
size 3,0.1799999999999642,,,
size 5,0.1699999999999946,,,
size 7,0.1699999999999875,,,
size 9,0.1599999999999966,,,
size 1,0.16000000000003212,,,
size 3,0.21999999999996334,,,
size 5,0.15999999999998948,,,
size 7,0.17000000000003723,,,
size 9,0.16000000000003212,,,
size 1,0.19000000000001194,,,
size 3,0.19000000000001194,,,
size 5,0.15000000000000568,,,
size 7,0.1799999999999926,,,
size 9,0.19999999999997442,,,
size 1,0.14999999999999147,,,
size 3,0.16999999999996618,,,
size 5,0.16000000000003212,,,
size 7,0.1600000000000037,,,
size 9,0.17000000000002302,,,
size 1,0.14000000000002188,,,
size 3,0.14000000000000767,,,
size 5,0.1500000000000412,,,
size 7,0.17000000000003013,,,
size 9,0.16999999999995907,,,
size 1,0.15000000000000568,,,
size 3,0.16000000000003922,,,
size 5,0.14999999999998437,,,
size 7,0.16000000000003212,,,
size 9,0.15999999999997527,,,
size 1,0.15000000000000568,,,
size 3,0.14999999999999858,,,
size 5,0.160000000000025,,,
size 7,0.17000000000001592,,,
size 9,0.160000000000025,,,
size 1,0.1500000000000341,,,
size 3,0.15999999999998238,,,
size 5,0.16000000000003212,,,
size 7,0.15999999999998238,,,
size 9,0.17000000000002302,,,
size 1,0.15999999999997527,,,
size 3,0.18000000000001393,,,
size 5,0.17000000000002302,,,
size 7,0.18000000000003524,,,
size 9,0.18000000000002103,,,
size 1,0.14999999999997726,,,
size 3,0.17000000000004434,,,
size 5,0.16999999999996618,,,
size 7,0.15999999999998238,,,
size 9,0.19000000000000483,,,
size 1,0.17000000000003013,,,
size 3,0.14999999999999858,,,
size 5,0.15999999999997527,,,
size 7,0.15999999999998238,,,
size 9,0.15000000000000568,,,
size 1,0.1500000000000128,,,
size 3,0.14000000000002188,,,
size 5,0.15999999999997527,,,
size 7,0.1700000000001083,,,
size 9,0.15999999999996817,,,
size 1,0.13999999999998636,,,
size 3,0.15999999999997527,,,
size 5,0.14999999999998437,,,
size 7,0.18000000000000682,,,
size 9,0.1600000000000179,,,
size 1,0.18999999999999062,,,
size 3,0.15999999999998238,,,
size 5,0.16999999999997328,,,
size 7,0.1899999999999551,,,
size 9,0.18000000000008498,,,
size 1,0.16999999999997328,,,
size 3,0.18000000000007788,,,
size 5,0.17999999999995708,,,
size 7,0.17000000000008697,,,
size 9,0.17000000000009408,,,
size 1,0.17000000000008697,,,
size 3,0.15999999999998948,,,
size 5,0.18000000000007077,,,
size 7,0.17000000000007987,,,
size 9,0.15999999999998238,,,
size 1,0.16999999999997328,,,
size 3,0.16999999999996618,,,
size 5,0.16000000000009607,,,
size 7,0.1699999999999875,,,
size 9,0.1699999999999875,,,
size 1,0.14999999999999858,,,
size 3,0.17000000000008697,,,
size 5,0.16999999999997328,,,
size 7,0.15000000000000568,,,
size 9,0.16999999999997328,,,
size 1,0.15999999999998238,,,
