case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.33999999999999997,,,
size 3,0.43999999999999995,,,
size 5,0.4699999999999993,,,
size 7,0.3600000000000001,,,
size 9,0.5900000000000005,,,
size 1,0.3000000000000007,,,
size 3,0.5,,,
size 5,0.35999999999999943,,,
size 7,0.48000000000000087,,,
size 9,0.4199999999999986,,,
size 1,0.26000000000000023,,,
size 3,0.4400000000000017,,,
size 5,0.43000000000000194,,,
size 7,0.4600000000000031,,,
size 9,0.40999999999999837,,,
size 1,0.47000000000000064,,,
size 3,0.48000000000000265,,,
size 5,0.399999999999999,,,
size 7,0.6099999999999945,,,
size 9,0.48000000000000087,,,
size 1,0.5500000000000029,,,
size 3,0.4799999999999991,,,
size 5,0.3800000000000012,,,
size 7,0.40000000000000435,,,
size 9,0.6100000000000012,,,
size 1,0.4699999999999971,,,
size 3,0.4199999999999946,,,
size 5,0.4000000000000048,,,
size 7,0.45000000000000195,,,
size 9,0.41000000000000014,,,
size 1,0.2999999999999998,,,
size 3,0.4900000000000011,,,
size 5,0.45000000000000195,,,
size 7,0.5299999999999994,,,
size 9,0.4199999999999928,,,
size 1,0.3400000000000025,,,
size 3,0.5499999999999918,,,
size 5,0.4000000000000048,,,
size 7,0.4999999999999938,,,
size 9,0.4200000000000008,,,
size 1,0.41000000000000103,,,
size 3,0.3599999999999941,,,
size 5,0.3299999999999983,,,
size 7,0.4400000000000004,,,
size 9,0.47999999999999243,,,
size 1,0.2600000000000042,,,
size 3,0.629999999999999,,,
size 5,0.4900000000000002,,,
size 7,0.38000000000000433,,,
size 9,0.5100000000000051,,,
size 1,0.4500000000000064,,,
size 3,0.4100000000000108,,,
size 5,0.5800000000000107,,,
size 7,0.6100000000000083,,,
size 9,0.42999999999999616,,,
size 1,0.3400000000000034,,,
size 3,0.35999999999999766,,,
size 5,0.4999999999999982,,,
size 7,0.4500000000000064,,,
size 9,0.6399999999999988,,,
size 1,0.35999999999999943,,,
size 3,0.399999999999995,,,
size 5,0.4199999999999928,,,
size 7,0.41000000000000547,,,
size 9,0.5000000000000071,,,
size 1,0.4599999999999973,,,
size 3,0.6300000000000026,,,
size 5,0.3500000000000014,,,
size 7,0.5000000000000036,,,
size 9,0.610000000000003,,,
size 1,0.3800000000000008,,,
size 3,0.3100000000000058,,,
size 5,0.35000000000002274,,,
size 7,0.5299999999999905,,,
size 9,0.4400000000000066,,,
size 1,0.39999999999998614,,,
size 3,0.4199999999999964,,,
size 5,0.3900000000000041,,,
size 7,0.4599999999999884,,,
size 9,0.4800000000000093,,,
size 1,0.3399999999999732,,,
size 3,0.36000000000001364,,,
size 5,0.5700000000000021,,,
size 7,0.42000000000000526,,,
size 9,0.6099999999999923,,,
size 1,0.43999999999998707,,,
size 3,0.40000000000001457,,,
size 5,0.47000000000000774,,,
size 7,0.399999999999995,,,
size 9,0.5300000000000011,,,
size 1,0.5700000000000109,,,
size 3,0.4600000000000062,,,
size 5,0.42999999999999794,,,
size 7,0.4300000000000157,,,
size 9,0.5400000000000098,,,
size 1,0.41000000000001435,,,
size 3,0.42999999999999616,,,
size 5,0.3800000000000061,,,
size 7,0.4799999999999969,,,
size 9,0.41999999999998394,,,
size 1,0.3199999999999825,,,
size 3,0.3499999999999943,,,
size 5,0.36999999999999034,,,
size 7,0.4900000000000162,,,
size 9,0.47000000000000597,,,
size 1,0.3699999999999939,,,
size 3,0.4500000000000064,,,
size 5,0.5599999999999987,,,
size 7,0.4199999999999875,,,
size 9,0.599999999999973,,,
size 1,0.4199999999999946,,,
size 3,0.4099999999999788,,,
size 5,0.40000000000001634,,,
size 7,0.4199999999999875,,,
size 9,0.539999999999992,,,
size 1,0.3099999999999916,,,
size 3,0.3599999999999923,,,
size 5,0.38000000000000256,,,
size 7,0.3699999999999868,,,
size 9,0.4700000000000095,,,
size 1,0.389999999999997,,,
size 3,0.3400000000000034,,,
size 5,0.4400000000000084,,,
size 7,0.4500000000000135,,,
size 9,0.4400000000000155,,,
size 1,0.28999999999999204,,,
size 3,0.5199999999999889,,,
size 5,0.4700000000000166,,,
size 7,0.43999999999998707,,,
size 9,0.45999999999998664,,,
size 1,0.27000000000001023,,,
size 3,0.37999999999999545,,,
size 5,0.3599999999999923,,,
size 7,0.4400000000000155,,,
size 9,0.4199999999999875,,,
size 1,0.4600000000000186,,,
size 3,0.3800000000000132,,,
size 5,0.4400000000000084,,,
size 7,0.4499999999999993,,,
size 9,0.5200000000000209,,,
size 1,0.32999999999999474,,,
size 3,0.5500000000000114,,,
size 5,0.37999999999998835,,,
size 7,0.5400000000000205,,,
size 9,0.4199999999999875,,,
size 1,0.35999999999997456,,,
size 3,0.399999999999995,,,
size 5,0.7600000000000264,,,
size 7,0.4300000000000139,,,
size 9,0.4599999999999973,,,
size 1,0.3900000000000041,,,
size 3,0.32000000000001094,,,
size 5,0.3499999999999943,,,
size 7,0.5600000000000129,,,
size 9,0.4300000000000246,,,
size 1,0.4099999999999788,,,
size 3,0.49000000000001975,,,
size 5,0.3700000000000223,,,
size 7,0.49000000000000554,,,
size 9,0.5199999999999996,,,
size 1,0.3900000000000041,,,
size 3,0.4599999999999902,,,
size 5,0.5699999999999541,,,
size 7,0.5299999999999834,,,
size 9,0.40999999999998593,,,
size 1,0.5299999999999905,,,
size 3,0.3900000000000112,,,
size 5,0.32000000000001094,,,
size 7,0.39999999999998437,,,
size 9,0.430000000000053,,,
size 1,0.28999999999999915,,,
size 3,0.4200000000000301,,,
size 5,0.46999999999998465,,,
size 7,0.5299999999999869,,,
size 9,0.5500000000000398,,,
size 1,0.44000000000000483,,,
size 3,0.48999999999997357,,,
size 5,0.36999999999999744,,,
size 7,0.4100000000000108,,,
size 9,0.5300000000000082,,,
size 1,0.3200000000000287,,,
size 3,0.38000000000000256,,,
size 5,0.4700000000000344,,,
size 7,0.4100000000000037,,,
size 9,0.4199999999999875,,,
size 1,0.5600000000000307,,,
size 3,0.349999999999973,,,
size 5,0.3999999999999915,,,
size 7,0.5700000000000074,,,
size 9,0.4300000000000139,,,
size 1,0.2899999999999707,,,
size 3,0.48999999999996646,,,
size 5,0.4100000000000392,,,
size 7,0.43000000000003524,,,
size 9,0.4199999999999875,,,
size 1,0.28999999999997783,,,
size 3,0.36000000000002785,,,
size 5,0.359999999999971,,,
size 7,0.45000000000003837,,,
size 9,0.5299999999999869,,,
size 1,0.36000000000001364,,,
size 3,0.3900000000000077,,,
size 5,0.4999999999999787,,,
size 7,0.3900000000000361,,,
size 9,0.46000000000001506,,,
size 1,0.35999999999999943,,,
size 3,0.4100000000000037,,,
size 5,0.38999999999999346,,,
size 7,0.3399999999999892,,,
size 9,0.579999999999977,,,
size 1,0.3499999999999801,,,
size 3,0.38999999999999346,,,
size 5,0.3599999999999923,,,
size 7,0.37999999999998124,,,
size 9,0.47000000000000597,,,
size 1,0.3100000000000307,,,
size 3,0.37000000000001876,,,
size 5,0.4899999999999878,,,
size 7,0.5700000000000287,,,
size 9,0.4200000000000017,,,
size 1,0.6199999999999974,,,
size 3,0.30000000000001137,,,
size 5,0.6300000000000097,,,
size 7,0.4299999999999784,,,
size 9,0.5799999999999983,,,
size 1,0.45999999999999375,,,
size 3,0.37000000000002586,,,
size 5,0.4199999999999733,,,
size 7,0.4900000000000375,,,
size 9,0.46000000000001506,,,
size 1,0.28000000000002956,,,
size 3,0.38000000000000966,,,
size 5,0.3999999999999986,,,
size 7,0.6000000000000085,,,
size 9,0.7499999999999787,,,
size 1,0.29000000000002757,,,
size 3,0.36000000000001364,,,
size 5,0.35000000000001563,,,
size 7,0.46000000000000796,,,
size 9,0.45000000000000284,,,
size 1,0.4499999999999531,,,
size 3,0.29999999999999005,,,
size 5,0.4000000000000199,,,
size 7,0.559999999999981,,,
size 9,0.44000000000001194,,,
size 1,0.3599999999999781,,,
size 3,0.3499999999999659,,,
size 5,0.5000000000000355,,,
size 7,0.47000000000000597,,,
size 9,0.4800000000000253,,,
size 1,0.3300000000000054,,,
size 3,0.5200000000000031,,,
size 5,0.3499999999999943,,,
size 7,0.46000000000000796,,,
size 9,0.6399999999999721,,,
size 1,0.38000000000000966,,,
size 3,0.5299999999999514,,,
size 5,0.46999999999999176,,,
size 7,0.38999999999996504,,,
size 9,0.46000000000002217,,,
size 1,0.3599999999999923,,,
size 3,0.5,,,
size 5,0.3399999999999963,,,
size 7,0.4499999999999531,,,
size 9,0.5500000000000185,,,
size 1,0.3100000000000307,,,
size 3,0.38999999999996504,,,
size 5,0.4299999999999642,,,
size 7,0.4799999999999969,,,
size 9,0.5599999999999667,,,
size 1,0.4899999999999807,,,
size 3,0.5100000000000193,,,
size 5,0.3400000000000034,,,
size 7,0.4900000000000162,,,
size 9,0.4199999999999946,,,
size 1,0.349999999999973,,,
size 3,0.46999999999999176,,,
size 5,0.44999999999999574,,,
size 7,0.4199999999999733,,,
size 9,0.5999999999999801,,,
size 1,0.5500000000000398,,,
size 3,0.5499999999999616,,,
size 5,0.6499999999999915,,,
size 7,0.44000000000001194,,,
size 9,0.6800000000000352,,,
size 1,0.30999999999995254,,,
size 3,0.3999999999999986,,,
size 5,0.44000000000001904,,,
size 7,0.45000000000000284,,,
size 9,0.38999999999998636,,,
size 1,0.3199999999999861,,,
size 3,0.3400000000000105,,,
size 5,0.4399999999999622,,,
size 7,0.4099999999999113,,,
size 9,0.4300000000000921,,,
size 1,0.38999999999999346,,,
size 3,0.36000000000001364,,,
size 5,0.36000000000001364,,,
size 7,0.4399999999999835,,,
size 9,0.4200000000000088,,,
size 1,0.40999999999993264,,,
size 3,0.4199999999999662,,,
size 5,0.5100000000000549,,,
size 7,0.7700000000000102,,,
size 9,0.5600000000000023,,,
size 1,0.4299999999999642,,,
size 3,0.519999999999996,,,
size 5,0.469999999999942,,,
size 7,0.4099999999999966,,,
size 9,0.4299999999999926,,,
size 1,0.449999999999946,,,
size 3,0.4199999999999733,,,
size 5,0.3999999999999915,,,
size 7,0.4000000000000128,,,
size 9,0.469999999999942,,,
size 1,0.4500000000000526,,,
size 3,0.5499999999999616,,,
size 5,0.469999999999942,,,
size 7,0.3900000000000077,,,
size 9,0.5600000000000804,,,
size 1,0.6200000000000045,,,
size 3,0.4399999999999693,,,
size 5,0.4099999999999824,,,
size 7,0.40999999999996817,,,
size 9,0.5299999999999869,,,
size 1,0.34000000000003183,,,
size 3,0.31000000000007333,,,
size 5,0.4699999999999136,,,
size 7,0.4500000000000597,,,
size 9,0.42000000000007276,,,
size 1,0.6000000000000227,,,
size 3,0.4299999999999784,,,
size 5,0.34000000000003183,,,
size 7,0.4000000000000057,,,
size 9,0.5100000000000193,,,
size 1,0.35999999999991417,,,
size 3,0.4000000000000057,,,
size 5,0.6599999999999966,,,
size 7,0.3599999999999284,,,
size 9,0.5699999999999648,,,
size 1,0.28999999999997783,,,
size 3,0.4900000000000375,,,
size 5,0.4599999999999227,,,
size 7,0.44999999999998863,,,
size 9,0.4700000000000557,,,
size 1,0.29999999999996874,,,
size 3,0.3999999999999915,,,
size 5,0.469999999999942,,,
size 7,0.35000000000002274,,,
size 9,0.4599999999999369,,,
size 1,0.34000000000003183,,,
size 3,0.39000000000000057,,,
size 5,0.34000000000004604,,,
size 7,0.449999999999946,,,
size 9,0.4600000000000932,,,
size 1,0.30000000000001137,,,
size 3,0.38000000000000966,,,
size 5,0.5299999999999869,,,
size 7,0.3899999999999011,,,
size 9,0.4799999999999329,,,
size 1,0.29999999999996874,,,
size 3,0.3800000000000239,,,
size 5,0.32000000000006423,,,
size 7,0.4700000000000415,,,
size 9,0.539999999999992,,,
size 1,0.34000000000003183,,,
size 3,0.6300000000000097,,,
size 5,0.6299999999999955,,,
size 7,0.6100000000000279,,,
size 9,0.49000000000006594,,,
size 1,0.3599999999999284,,,
size 3,0.31999999999996476,,,
size 5,0.6899999999999551,,,
size 7,0.4399999999999693,,,
size 9,0.5500000000000966,,,
size 1,0.32999999999995566,,,
size 3,0.31999999999996476,,,
size 5,0.4300000000001063,,,
size 7,0.5399999999999778,,,
size 9,0.549999999999983,,,
size 1,0.4400000000000688,,,
size 3,0.4199999999999875,,,
size 5,0.30999999999998806,,,
size 7,0.4099999999999966,,,
size 9,0.39000000000000057,,,
size 1,0.35000000000005116,,,
size 3,0.5299999999999727,,,
size 5,0.40000000000010516,,,
size 7,0.3800000000000239,,,
size 9,0.4099999999999966,,,
size 1,0.4599999999999227,,,
size 3,0.33999999999994657,,,
size 5,0.4600000000000364,,,
size 7,0.8199999999999505,,,
size 9,0.5000000000000142,,,
size 1,0.4299999999999926,,,
size 3,0.3900000000000148,,,
size 5,0.4299999999999642,,,
size 7,0.4099999999999824,,,
size 9,0.5099999999999909,,,
size 1,0.33000000000005514,,,
size 3,0.36000000000004206,,,
size 5,0.34999999999993747,,,
size 7,0.42000000000008697,,,
size 9,0.47999999999994714,,,
size 1,0.4800000000000182,,,
size 3,0.34000000000003183,,,
size 5,0.4700000000000557,,,
size 7,0.5599999999999596,,,
size 9,0.4500000000000739,,,
size 1,0.40000000000009095,,,
size 3,0.34000000000004604,,,
size 5,0.39000000000000057,,,
size 7,0.3800000000000239,,,
size 9,0.4799999999999187,,,
size 1,0.37000000000001876,,,
size 3,0.4299999999999784,,,
size 5,0.33000000000006935,,,
size 7,0.48999999999992383,,,
size 9,0.4299999999999926,,,
size 1,0.3599999999999284,,,
size 3,0.36000000000001364,,,
size 5,0.37000000000003297,,,
size 7,0.5599999999999739,,,
size 9,0.4299999999999784,,,
size 1,0.4500000000000455,,,
size 3,0.3900000000000148,,,
size 5,0.5299999999999869,,,
size 7,0.4600000000000506,,,
size 9,0.4499999999999602,,,
size 1,0.4199999999999875,,,
