case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
decrypt,124.99609375,124.99609375,0.0,6,,,,,,,,,,,,
update_keys,124.99609375,124.99609375,0.0,3,,,,,,,,,,,,
encrypt,124.99609375,124.99609375,0.0,10,,,,,,,,,,,,
decrypt,155.34375,184.7890625,29.4453125,6,,,,,,,,,,,,
update_keys,155.34375,155.34375,0.0,3,,,,,,,,,,,,
encrypt,145.34375,160.9765625,15.6328125,8,,,,,,,,,,,,
decrypt,145.36328125,145.375,0.01171875,6,,,,,,,,,,,,
update_keys,145.36328125,145.36328125,0.0,3,,,,,,,,,,,,
encrypt,145.36328125,145.36328125,0.0,8,,,,,,,,,,,,
decrypt,155.90234375,155.90234375,0.0,5,,,,,,,,,,,,
update_keys,155.90234375,155.90234375,0.0,3,,,,,,,,,,,,
encrypt,155.90234375,155.90234375,0.0,8,,,,,,,,,,,,
decrypt,196.125,196.125,0.0,5,,,,,,,,,,,,
update_keys,196.125,196.125,0.0,3,,,,,,,,,,,,
encrypt,196.00390625,196.125,0.12109375,8,,,,,,,,,,,,
decrypt,196.296875,206.296875,10.0,5,,,,,,,,,,,,
update_keys,196.296875,196.296875,0.0,3,,,,,,,,,,,,
encrypt,196.296875,196.296875,0.0,7,,,,,,,,,,,,
decrypt,156.62890625,156.64453125,0.015625,5,,,,,,,,,,,,
update_keys,156.62890625,156.62890625,0.0,3,,,,,,,,,,,,
encrypt,156.625,156.625,0.0,8,,,,,,,,,,,,
decrypt,157.0078125,157.0078125,0.0,5,,,,,,,,,,,,
update_keys,157.0078125,157.0078125,0.0,3,,,,,,,,,,,,
encrypt,157.0078125,157.0078125,0.0,8,,,,,,,,,,,,
decrypt,207.21484375,207.21484375,0.0,5,,,,,,,,,,,,
update_keys,207.21484375,207.21484375,0.0,3,,,,,,,,,,,,
encrypt,207.109375,207.21484375,0.10546875,10,,,,,,,,,,,,
decrypt,187.375,197.375,10.0,5,,,,,,,,,,,,
update_keys,187.375,187.375,0.0,3,,,,,,,,,,,,
encrypt,187.375,187.375,0.0,9,,,,,,,,,,,,
decrypt,167.56640625,167.5859375,0.01953125,5,,,,,,,,,,,,
update_keys,167.56640625,167.56640625,0.0,3,,,,,,,,,,,,
encrypt,167.5546875,167.56640625,0.01171875,8,,,,,,,,,,,,
decrypt,168.08203125,168.08203125,0.0,5,,,,,,,,,,,,
update_keys,168.08203125,168.08203125,0.0,3,,,,,,,,,,,,
encrypt,168.08203125,168.08203125,0.0,8,,,,,,,,,,,,
decrypt,218.296875,218.296875,0.0,5,,,,,,,,,,,,
update_keys,218.296875,218.296875,0.0,3,,,,,,,,,,,,
encrypt,208.421875,218.296875,9.875,9,,,,,,,,,,,,
decrypt,208.484375,209.81640625,1.33203125,5,,,,,,,,,,,,
update_keys,208.484375,208.484375,0.0,3,,,,,,,,,,,,
encrypt,208.484375,208.484375,0.0,7,,,,,,,,,,,,
decrypt,188.80078125,188.8203125,0.01953125,5,,,,,,,,,,,,
update_keys,188.80078125,188.80078125,0.0,3,,,,,,,,,,,,
encrypt,188.78515625,188.7890625,0.00390625,8,,,,,,,,,,,,
decrypt,189.16015625,189.16015625,0.0,5,,,,,,,,,,,,
update_keys,189.16015625,189.16015625,0.0,3,,,,,,,,,,,,
encrypt,189.16015625,189.16015625,0.0,8,,,,,,,,,,,,
decrypt,219.41015625,219.41015625,0.0,5,,,,,,,,,,,,
update_keys,219.41015625,219.41015625,0.0,3,,,,,,,,,,,,
encrypt,209.53515625,219.41015625,9.875,8,,,,,,,,,,,,
decrypt,209.57421875,210.8359375,1.26171875,5,,,,,,,,,,,,
update_keys,209.57421875,209.57421875,0.0,3,,,,,,,,,,,,
encrypt,209.5390625,209.57421875,0.03515625,8,,,,,,,,,,,,
decrypt,189.85546875,189.87109375,0.015625,5,,,,,,,,,,,,
update_keys,189.85546875,189.85546875,0.0,3,,,,,,,,,,,,
encrypt,189.85546875,189.85546875,0.0,8,,,,,,,,,,,,
decrypt,190.23046875,190.23046875,0.0,6,,,,,,,,,,,,
update_keys,190.23046875,190.23046875,0.0,3,,,,,,,,,,,,
encrypt,190.23046875,190.23046875,0.0,10,,,,,,,,,,,,
decrypt,220.46484375,220.46484375,0.0,6,,,,,,,,,,,,
update_keys,220.46484375,220.46484375,0.0,3,,,,,,,,,,,,
encrypt,210.58984375,220.46484375,9.875,9,,,,,,,,,,,,
decrypt,210.65625,220.37109375,9.71484375,5,,,,,,,,,,,,
update_keys,210.65625,210.65625,0.0,3,,,,,,,,,,,,
encrypt,210.609375,210.65625,0.046875,9,,,,,,,,,,,,
decrypt,200.83203125,200.84765625,0.015625,5,,,,,,,,,,,,
update_keys,200.83203125,200.83203125,0.0,3,,,,,,,,,,,,
encrypt,200.83203125,200.83203125,0.0,8,,,,,,,,,,,,
decrypt,201.34375,201.34375,0.0,5,,,,,,,,,,,,
update_keys,201.34375,201.34375,0.0,3,,,,,,,,,,,,
encrypt,201.34375,201.34375,0.0,8,,,,,,,,,,,,
decrypt,211.72265625,211.72265625,0.0,5,,,,,,,,,,,,
update_keys,211.72265625,211.72265625,0.0,3,,,,,,,,,,,,
encrypt,211.72265625,231.59765625,19.875,10,,,,,,,,,,,,
decrypt,221.76171875,231.8515625,10.08984375,5,,,,,,,,,,,,
update_keys,221.76171875,221.76171875,0.0,3,,,,,,,,,,,,
encrypt,221.76171875,221.76171875,0.0,8,,,,,,,,,,,,
decrypt,202.10546875,202.11328125,0.0078125,6,,,,,,,,,,,,
update_keys,202.10546875,202.10546875,0.0,3,,,,,,,,,,,,
encrypt,202.10546875,202.10546875,0.0,8,,,,,,,,,,,,
decrypt,202.484375,202.484375,0.0,6,,,,,,,,,,,,
update_keys,202.484375,202.484375,0.0,3,,,,,,,,,,,,
encrypt,202.484375,202.484375,0.0,10,,,,,,,,,,,,
decrypt,212.8828125,212.8828125,0.0,6,,,,,,,,,,,,
update_keys,212.8828125,212.8828125,0.0,3,,,,,,,,,,,,
encrypt,212.8828125,232.7578125,19.875,8,,,,,,,,,,,,
decrypt,222.921875,232.921875,10.0,5,,,,,,,,,,,,
update_keys,222.921875,222.921875,0.0,3,,,,,,,,,,,,
encrypt,222.921875,222.921875,0.0,9,,,,,,,,,,,,
decrypt,203.23046875,203.24609375,0.015625,5,,,,,,,,,,,,
update_keys,203.23046875,203.23046875,0.0,3,,,,,,,,,,,,
encrypt,203.23046875,203.23046875,0.0,9,,,,,,,,,,,,
decrypt,203.625,203.625,0.0,6,,,,,,,,,,,,
update_keys,203.625,203.625,0.0,3,,,,,,,,,,,,
encrypt,203.625,203.625,0.0,8,,,,,,,,,,,,
decrypt,233.859375,233.859375,0.0,6,,,,,,,,,,,,
update_keys,233.859375,233.859375,0.0,3,,,,,,,,,,,,
encrypt,223.984375,233.859375,9.875,10,,,,,,,,,,,,
decrypt,224.01953125,234.01953125,10.0,5,,,,,,,,,,,,
update_keys,224.01953125,224.01953125,0.0,3,,,,,,,,,,,,
encrypt,224.01953125,224.01953125,0.0,8,,,,,,,,,,,,
decrypt,204.3359375,204.35546875,0.01953125,5,,,,,,,,,,,,
update_keys,204.3359375,204.3359375,0.0,3,,,,,,,,,,,,
encrypt,204.32421875,204.32421875,0.0,10,,,,,,,,,,,,
decrypt,204.75390625,204.75390625,0.0,6,,,,,,,,,,,,
update_keys,204.75390625,204.75390625,0.0,3,,,,,,,,,,,,
encrypt,204.75390625,204.75390625,0.0,10,,,,,,,,,,,,
decrypt,234.98046875,234.98046875,0.0,5,,,,,,,,,,,,
update_keys,234.98046875,234.98046875,0.0,3,,,,,,,,,,,,
encrypt,225.10546875,234.98046875,9.875,9,,,,,,,,,,,,
decrypt,225.1328125,235.1328125,10.0,5,,,,,,,,,,,,
update_keys,225.1328125,225.1328125,0.0,3,,,,,,,,,,,,
encrypt,225.1328125,225.1328125,0.0,8,,,,,,,,,,,,
decrypt,205.48046875,205.4921875,0.01171875,5,,,,,,,,,,,,
update_keys,205.48046875,205.48046875,0.0,3,,,,,,,,,,,,
encrypt,205.48046875,205.48046875,0.0,9,,,,,,,,,,,,
decrypt,205.84765625,205.84765625,0.0,5,,,,,,,,,,,,
update_keys,205.84765625,205.84765625,0.0,3,,,,,,,,,,,,
encrypt,205.84765625,205.84765625,0.0,8,,,,,,,,,,,,
decrypt,236.1015625,236.1015625,0.0,5,,,,,,,,,,,,
update_keys,236.1015625,236.1015625,0.0,3,,,,,,,,,,,,
encrypt,226.2265625,236.1015625,9.875,8,,,,,,,,,,,,
decrypt,226.234375,236.234375,10.0,6,,,,,,,,,,,,
update_keys,226.234375,226.234375,0.0,3,,,,,,,,,,,,
encrypt,226.234375,226.234375,0.0,9,,,,,,,,,,,,
decrypt,206.55859375,206.578125,0.01953125,5,,,,,,,,,,,,
update_keys,206.55859375,206.55859375,0.0,3,,,,,,,,,,,,
encrypt,206.5546875,206.5546875,0.0,11,,,,,,,,,,,,
decrypt,206.91015625,206.91015625,0.0,5,,,,,,,,,,,,
update_keys,206.91015625,206.91015625,0.0,3,,,,,,,,,,,,
encrypt,206.91015625,206.91015625,0.0,9,,,,,,,,,,,,
decrypt,237.21484375,237.21484375,0.0,5,,,,,,,,,,,,
update_keys,237.21484375,237.21484375,0.0,3,,,,,,,,,,,,
encrypt,227.33984375,237.21484375,9.875,8,,,,,,,,,,,,
decrypt,227.375,237.375,10.0,5,,,,,,,,,,,,
update_keys,227.375,227.375,0.0,3,,,,,,,,,,,,
encrypt,227.375,227.375,0.0,9,,,,,,,,,,,,
decrypt,207.703125,207.72265625,0.01953125,6,,,,,,,,,,,,
update_keys,207.703125,207.703125,0.0,3,,,,,,,,,,,,
encrypt,207.6875,207.6953125,0.0078125,10,,,,,,,,,,,,
decrypt,208.09765625,208.09765625,0.0,5,,,,,,,,,,,,
update_keys,208.09765625,208.09765625,0.0,3,,,,,,,,,,,,
encrypt,208.09765625,208.09765625,0.0,10,,,,,,,,,,,,
decrypt,218.3046875,218.3046875,0.0,6,,,,,,,,,,,,
update_keys,218.3046875,218.3046875,0.0,3,,,,,,,,,,,,
encrypt,208.4296875,218.3046875,9.875,7,,,,,,,,,,,,
decrypt,228.5,238.5,10.0,6,,,,,,,,,,,,
update_keys,228.5,228.5,0.0,3,,,,,,,,,,,,
encrypt,228.5,228.5,0.0,9,,,,,,,,,,,,
decrypt,208.8046875,208.8203125,0.015625,5,,,,,,,,,,,,
