case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,54.546875,78.17578125,23.62890625,5,,,,,,,,,,,,
size 3,104.625,104.625,0.0,5,,,,,,,,,,,,
size 5,114.859375,144.5859375,29.7265625,6,,,,,,,,,,,,
size 7,124.99609375,124.99609375,0.0,6,,,,,,,,,,,,
size 9,124.99609375,134.87109375,9.875,6,,,,,,,,,,,,
size 1,144.92578125,144.92578125,0.0,6,,,,,,,,,,,,
size 3,145.0,164.8828125,19.8828125,5,,,,,,,,,,,,
size 5,155.27734375,165.15234375,9.875,6,,,,,,,,,,,,
size 7,155.34375,184.7890625,29.4453125,6,,,,,,,,,,,,
size 9,135.453125,165.328125,29.875,5,,,,,,,,,,,,
size 1,135.41015625,135.41015625,0.0,5,,,,,,,,,,,,
size 3,135.41015625,135.41015625,0.0,6,,,,,,,,,,,,
size 5,145.28515625,145.28515625,0.0,5,,,,,,,,,,,,
size 7,145.36328125,145.375,0.01171875,6,,,,,,,,,,,,
size 9,145.60546875,155.32421875,9.71875,6,,,,,,,,,,,,
size 1,165.55859375,165.55859375,0.0,5,,,,,,,,,,,,
size 3,185.671875,187.21484375,1.54296875,5,,,,,,,,,,,,
size 5,155.90234375,155.90234375,0.0,5,,,,,,,,,,,,
size 7,155.90234375,155.90234375,0.0,5,,,,,,,,,,,,
size 9,155.90234375,155.90234375,0.0,5,,,,,,,,,,,,
size 1,165.90234375,165.90234375,0.0,5,,,,,,,,,,,,
size 3,166.01953125,185.875,19.85546875,5,,,,,,,,,,,,
size 5,176.0,196.00390625,20.00390625,5,,,,,,,,,,,,
size 7,196.125,196.125,0.0,5,,,,,,,,,,,,
size 9,196.125,196.125,0.0,5,,,,,,,,,,,,
size 1,196.125,196.125,0.0,6,,,,,,,,,,,,
size 3,196.125,196.125,0.0,5,,,,,,,,,,,,
size 5,196.1796875,196.1953125,0.015625,5,,,,,,,,,,,,
