case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,44.421875,64.02734375,19.60546875,9,,,,,,,,,,,,
size 3,94.67578125,104.625,9.94921875,9,,,,,,,,,,,,
size 5,104.859375,122.49609375,17.63671875,9,,,,,,,,,,,,
size 7,124.99609375,124.99609375,0.0,10,,,,,,,,,,,,
size 9,124.99609375,124.99609375,0.0,10,,,,,,,,,,,,
size 1,135.05078125,154.92578125,19.875,9,,,,,,,,,,,,
size 3,135.12109375,144.96484375,9.84375,7,,,,,,,,,,,,
size 5,145.27734375,162.75,17.47265625,9,,,,,,,,,,,,
size 7,145.34375,160.9765625,15.6328125,8,,,,,,,,,,,,
size 9,145.453125,155.453125,10.0,9,,,,,,,,,,,,
size 1,135.41015625,135.41015625,0.0,8,,,,,,,,,,,,
size 3,135.41015625,135.41015625,0.0,9,,,,,,,,,,,,
size 5,145.28515625,145.28515625,0.0,9,,,,,,,,,,,,
size 7,145.36328125,145.36328125,0.0,8,,,,,,,,,,,,
size 9,145.60546875,145.60546875,0.0,10,,,,,,,,,,,,
size 1,155.68359375,175.546875,19.86328125,9,,,,,,,,,,,,
size 3,165.58203125,185.671875,20.08984375,8,,,,,,,,,,,,
size 5,155.90234375,155.90234375,0.0,8,,,,,,,,,,,,
size 7,155.90234375,155.90234375,0.0,8,,,,,,,,,,,,
size 9,155.90234375,155.90234375,0.0,10,,,,,,,,,,,,
size 1,165.90234375,165.90234375,0.0,10,,,,,,,,,,,,
size 3,165.9765625,185.875,19.8984375,8,,,,,,,,,,,,
size 5,175.8984375,176.0,0.1015625,8,,,,,,,,,,,,
size 7,196.00390625,196.125,0.12109375,8,,,,,,,,,,,,
size 9,196.125,196.125,0.0,11,,,,,,,,,,,,
size 1,196.125,196.125,0.0,9,,,,,,,,,,,,
size 3,196.125,196.125,0.0,8,,,,,,,,,,,,
size 5,196.1796875,196.1796875,0.0,7,,,,,,,,,,,,
size 7,196.296875,196.296875,0.0,7,,,,,,,,,,,,
size 9,206.2890625,226.37890625,20.08984375,10,,,,,,,,,,,,
size 1,156.56640625,156.56640625,0.0,8,,,,,,,,,,,,
size 3,156.56640625,156.56640625,0.0,8,,,,,,,,,,,,
size 5,156.56640625,156.56640625,0.0,8,,,,,,,,,,,,
size 7,156.625,156.625,0.0,8,,,,,,,,,,,,
size 9,166.60546875,166.60546875,0.0,8,,,,,,,,,,,,
size 1,176.578125,176.6875,0.109375,6,,,,,,,,,,,,
size 3,186.765625,186.76953125,0.00390625,7,,,,,,,,,,,,
size 5,157.0078125,157.0078125,0.0,8,,,,,,,,,,,,
size 7,157.0078125,157.0078125,0.0,8,,,,,,,,,,,,
size 9,157.0078125,157.0078125,0.0,8,,,,,,,,,,,,
size 1,157.01953125,157.01953125,0.0,9,,,,,,,,,,,,
size 3,157.09765625,196.9765625,39.87890625,8,,,,,,,,,,,,
size 5,187.0,187.09765625,0.09765625,8,,,,,,,,,,,,
size 7,207.109375,207.21484375,0.10546875,10,,,,,,,,,,,,
size 9,167.33984375,167.33984375,0.0,10,,,,,,,,,,,,
size 1,167.33984375,167.33984375,0.0,8,,,,,,,,,,,,
size 3,167.33984375,167.33984375,0.0,8,,,,,,,,,,,,
size 5,167.36328125,167.36328125,0.0,7,,,,,,,,,,,,
size 7,187.375,187.375,0.0,9,,,,,,,,,,,,
size 9,207.578125,217.0859375,9.5078125,10,,,,,,,,,,,,
size 1,157.625,157.625,0.0,7,,,,,,,,,,,,
size 3,157.625,157.625,0.0,8,,,,,,,,,,,,
size 5,167.5,167.5,0.0,8,,,,,,,,,,,,
size 7,167.5546875,167.56640625,0.01171875,8,,,,,,,,,,,,
size 9,177.66015625,177.66015625,0.0,11,,,,,,,,,,,,
size 1,167.87109375,187.7265625,19.85546875,7,,,,,,,,,,,,
size 3,177.75390625,197.78515625,20.03125,9,,,,,,,,,,,,
size 5,168.08203125,168.08203125,0.0,8,,,,,,,,,,,,
size 7,168.08203125,168.08203125,0.0,8,,,,,,,,,,,,
size 9,168.08203125,168.08203125,0.0,8,,,,,,,,,,,,
size 1,167.90625,167.9609375,0.0546875,8,,,,,,,,,,,,
size 3,168.16796875,193.6875,25.51953125,7,,,,,,,,,,,,
size 5,208.1640625,208.1640625,0.0,8,,,,,,,,,,,,
size 7,208.421875,218.296875,9.875,9,,,,,,,,,,,,
size 9,188.41015625,188.41015625,0.0,9,,,,,,,,,,,,
size 1,188.41015625,188.41015625,0.0,7,,,,,,,,,,,,
size 3,188.41015625,188.41015625,0.0,8,,,,,,,,,,,,
size 5,188.4609375,188.4609375,0.0,10,,,,,,,,,,,,
size 7,208.484375,208.484375,0.0,7,,,,,,,,,,,,
size 9,228.68359375,238.43359375,9.75,8,,,,,,,,,,,,
size 1,188.73828125,188.73828125,0.0,7,,,,,,,,,,,,
size 3,188.73828125,188.73828125,0.0,9,,,,,,,,,,,,
size 5,188.73828125,188.73828125,0.0,8,,,,,,,,,,,,
size 7,188.78515625,188.7890625,0.00390625,8,,,,,,,,,,,,
size 9,188.890625,188.890625,0.0,10,,,,,,,,,,,,
size 1,188.99609375,208.84765625,19.8515625,10,,,,,,,,,,,,
size 3,189.08984375,198.96484375,9.875,7,,,,,,,,,,,,
size 5,189.16015625,189.1953125,0.03515625,8,,,,,,,,,,,,
size 7,189.16015625,189.16015625,0.0,8,,,,,,,,,,,,
size 9,189.16015625,189.16015625,0.0,9,,,,,,,,,,,,
size 1,199.2109375,199.2109375,0.0,7,,,,,,,,,,,,
size 3,199.2734375,219.14453125,19.87109375,7,,,,,,,,,,,,
size 5,209.26953125,209.27734375,0.0078125,7,,,,,,,,,,,,
size 7,209.53515625,219.41015625,9.875,8,,,,,,,,,,,,
size 9,189.53515625,189.53515625,0.0,8,,,,,,,,,,,,
size 1,189.53515625,189.53515625,0.0,7,,,,,,,,,,,,
size 3,189.53515625,189.53515625,0.0,10,,,,,,,,,,,,
size 5,189.546875,189.546875,0.0,9,,,,,,,,,,,,
size 7,209.5390625,209.57421875,0.03515625,8,,,,,,,,,,,,
size 9,229.7734375,239.20703125,9.43359375,12,,,,,,,,,,,,
size 1,189.8203125,189.8203125,0.0,10,,,,,,,,,,,,
size 3,189.8203125,189.8203125,0.0,8,,,,,,,,,,,,
size 5,189.8203125,189.8203125,0.0,9,,,,,,,,,,,,
size 7,189.85546875,189.85546875,0.0,8,,,,,,,,,,,,
size 9,189.94921875,189.94921875,0.0,7,,,,,,,,,,,,
size 1,190.02734375,209.88671875,19.859375,7,,,,,,,,,,,,
