case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
AUTHORITY0_public_attributes.dat,1731,,,
dat,10485792,,,
AUTHORITY0_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
DOCTOR_registration.dat,385,,,
AUTHORITY1_public_attributes.dat,1731,,,
gp.dat,256,,,
meta,7756,,,
DOCTOR_secret_keys.dat,3201,,,
BOB_secret_keys.dat,719,,,
BOB.der,1192,,,
BOB_registration.dat,385,,,
AUTHORITY0_public_attributes.dat,,3143,,
AUTHORITY1_public_attributes.dat,,3143,,
gp.dat,,151,,
meta,,7654,,
DOCTOR_secret_keys.dat,,2506,,
BOB_secret_keys.dat,,6,,
dat,,10485792,,
AUTHORITY0_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,1103,,
BOB.der,,1191,,
AUTHORITY0_public_attributes.dat,,,360,
AUTHORITY1_public_attributes.dat,,,360,
gp.dat,,,444,
meta,,,9283,
DOCTOR_secret_keys.dat,,,4699,
BOB_secret_keys.dat,,,6,
dat,,,10485792,
AUTHORITY0_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,156,
BOB.der,,,1191,
AUTHORITY0_public_attributes.dat,,,,3198
AUTHORITY1_public_attributes.dat,,,,3198
gp.dat,,,,151
meta,,,,8958
DOCTOR_secret_keys.dat,,,,10766
BOB_secret_keys.dat,,,,6
dat,,,,10485792
AUTHORITY0_secret_attributes.dat,,,,43406
AUTHORITY1_secret_attributes.dat,,,,43406
BOB.der,,,,1193
