case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
decrypt,0.10770199999999999,,,
update_keys,1e-06,,,
encrypt,0.599178,,,
decrypt,0.10658999999999999,,,
update_keys,1e-06,,,
encrypt,0.38429599999999997,,,
decrypt,0.114907,,,
update_keys,1e-06,,,
encrypt,0.284839,,,
decrypt,0.107967,,,
update_keys,2e-06,,,
encrypt,0.455951,,,
decrypt,0.11189199999999999,,,
update_keys,1e-06,,,
encrypt,0.350655,,,
decrypt,0.126985,,,
update_keys,1e-06,,,
encrypt,0.310992,,,
decrypt,0.116466,,,
update_keys,1e-06,,,
encrypt,0.401762,,,
decrypt,0.126209,,,
update_keys,1e-06,,,
encrypt,0.273646,,,
decrypt,0.107432,,,
update_keys,1e-06,,,
encrypt,0.38540599999999997,,,
decrypt,0.106111,,,
update_keys,0.0,,,
encrypt,0.537689,,,
decrypt,0.108248,,,
update_keys,1e-06,,,
encrypt,0.413109,,,
decrypt,0.10975299999999999,,,
update_keys,1e-06,,,
encrypt,0.5279889999999999,,,
decrypt,0.125309,,,
update_keys,2e-06,,,
encrypt,0.467491,,,
decrypt,0.110079,,,
update_keys,2e-06,,,
encrypt,0.421232,,,
decrypt,0.10985199999999999,,,
update_keys,1e-06,,,
encrypt,0.448144,,,
decrypt,0.13269999999999998,,,
update_keys,1e-06,,,
encrypt,0.446001,,,
decrypt,0.10660399999999999,,,
update_keys,2e-06,,,
encrypt,0.275719,,,
decrypt,0.109445,,,
update_keys,1e-06,,,
encrypt,0.356104,,,
decrypt,0.16500099999999998,,,
update_keys,1e-06,,,
encrypt,0.42525399999999997,,,
decrypt,0.119338,,,
update_keys,1e-06,,,
encrypt,0.422245,,,
decrypt,0.107114,,,
update_keys,1e-06,,,
encrypt,0.40943599999999997,,,
decrypt,0.118367,,,
update_keys,1e-06,,,
encrypt,0.398246,,,
decrypt,0.108334,,,
update_keys,0.0,,,
encrypt,0.30671699999999996,,,
decrypt,0.11658299999999999,,,
update_keys,1e-06,,,
encrypt,0.36810699999999996,,,
decrypt,0.114506,,,
update_keys,2e-06,,,
encrypt,0.47025,,,
decrypt,0.114341,,,
update_keys,1e-06,,,
encrypt,0.338785,,,
decrypt,0.14691099999999999,,,
update_keys,1e-06,,,
encrypt,0.29913999999999996,,,
decrypt,0.10742499999999999,,,
update_keys,1e-06,,,
encrypt,0.33864,,,
decrypt,0.11728899999999999,,,
update_keys,1e-06,,,
encrypt,0.35692199999999996,,,
decrypt,0.126754,,,
update_keys,1e-06,,,
encrypt,0.333829,,,
decrypt,0.117269,,,
update_keys,1e-06,,,
encrypt,0.446965,,,
decrypt,0.10973999999999999,,,
update_keys,1e-06,,,
encrypt,0.32317199999999996,,,
decrypt,0.13297899999999999,,,
update_keys,1e-06,,,
encrypt,0.303697,,,
decrypt,0.11228099999999999,,,
update_keys,1e-06,,,
encrypt,0.405684,,,
decrypt,0.106476,,,
update_keys,1e-06,,,
encrypt,0.32542099999999996,,,
decrypt,0.10958799999999999,,,
update_keys,1e-06,,,
encrypt,0.43870899999999996,,,
decrypt,0.12576199999999998,,,
update_keys,1e-06,,,
encrypt,0.33097099999999996,,,
decrypt,0.10954399999999999,,,
update_keys,1e-06,,,
encrypt,0.25993099999999997,,,
decrypt,0.10760499999999999,,,
update_keys,1e-06,,,
encrypt,0.45848099999999997,,,
decrypt,0.10796,,,
update_keys,1e-06,,,
encrypt,0.331548,,,
decrypt,0.105654,,,
update_keys,0.0,,,
encrypt,0.403516,,,
decrypt,0.10900599999999999,,,
update_keys,1e-06,,,
encrypt,0.320166,,,
decrypt,0.11752599999999999,,,
update_keys,1e-06,,,
encrypt,0.5928979999999999,,,
decrypt,0.10733799999999999,,,
update_keys,1e-06,,,
encrypt,0.365871,,,
decrypt,0.106069,,,
update_keys,2e-06,,,
encrypt,0.408551,,,
decrypt,0.106947,,,
update_keys,1e-06,,,
encrypt,0.38423399999999996,,,
decrypt,0.113394,,,
update_keys,1e-06,,,
encrypt,0.275198,,,
decrypt,0.12129999999999999,,,
