case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.118653,,,
size 3,0.10770199999999999,,,
size 5,0.10729799999999999,,,
size 7,0.11011499999999999,,,
size 9,0.122082,,,
size 1,0.11035299999999999,,,
size 3,0.10658999999999999,,,
size 5,0.12026099999999999,,,
size 7,0.111297,,,
size 9,0.113978,,,
size 1,0.10549199999999999,,,
size 3,0.114907,,,
size 5,0.111414,,,
size 7,0.112315,,,
size 9,0.117807,,,
size 1,0.11144,,,
size 3,0.107967,,,
size 5,0.11283299999999999,,,
size 7,0.11515299999999999,,,
size 9,0.115784,,,
size 1,0.10567,,,
size 3,0.11189199999999999,,,
size 5,0.109883,,,
size 7,0.11037699999999999,,,
size 9,0.11487399999999999,,,
size 1,0.10373399999999999,,,
size 3,0.126985,,,
size 5,0.12695599999999999,,,
size 7,0.112941,,,
size 9,0.111311,,,
size 1,0.104033,,,
size 3,0.116466,,,
size 5,0.176618,,,
size 7,0.108932,,,
size 9,0.111755,,,
size 1,0.105006,,,
size 3,0.126209,,,
size 5,0.11232199999999999,,,
size 7,0.111245,,,
size 9,0.110374,,,
size 1,0.10595099999999999,,,
size 3,0.107432,,,
size 5,0.119089,,,
size 7,0.11173899999999999,,,
size 9,0.120346,,,
size 1,0.103627,,,
size 3,0.106111,,,
size 5,0.140621,,,
size 7,0.128444,,,
size 9,0.11209699999999999,,,
size 1,0.10522899999999999,,,
size 3,0.108248,,,
size 5,0.113676,,,
size 7,0.11058799999999999,,,
size 9,0.115169,,,
size 1,0.104251,,,
size 3,0.10975299999999999,,,
size 5,0.116605,,,
size 7,0.11218499999999999,,,
size 9,0.115449,,,
size 1,0.106126,,,
size 3,0.125309,,,
size 5,0.12475399999999999,,,
size 7,0.109913,,,
size 9,0.113926,,,
size 1,0.125525,,,
size 3,0.110079,,,
size 5,0.10835299999999999,,,
size 7,0.110802,,,
size 9,0.11433399999999999,,,
size 1,0.11656599999999999,,,
size 3,0.10985199999999999,,,
size 5,0.12332599999999999,,,
size 7,0.10897799999999999,,,
size 9,0.113436,,,
size 1,0.10553699999999999,,,
size 3,0.13269999999999998,,,
size 5,0.112108,,,
size 7,0.115066,,,
size 9,0.120823,,,
size 1,0.10868499999999999,,,
size 3,0.10660399999999999,,,
size 5,0.12900599999999998,,,
size 7,0.11144499999999999,,,
