case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.769417,,,
size 3,0.599178,,,
size 5,0.5439499999999999,,,
size 7,0.42934999999999995,,,
size 9,0.477082,,,
size 1,0.39254,,,
size 3,0.38429599999999997,,,
size 5,0.296268,,,
size 7,0.425676,,,
size 9,0.5669649999999999,,,
size 1,0.354628,,,
size 3,0.284839,,,
size 5,0.394295,,,
size 7,0.3378,,,
size 9,0.394134,,,
size 1,0.26803099999999996,,,
size 3,0.455951,,,
size 5,0.412441,,,
size 7,0.423965,,,
size 9,0.5852149999999999,,,
size 1,0.303141,,,
size 3,0.350655,,,
size 5,0.43971099999999996,,,
size 7,0.42545099999999997,,,
size 9,0.42619599999999996,,,
size 1,0.359041,,,
size 3,0.310992,,,
size 5,0.36583099999999996,,,
size 7,0.350665,,,
size 9,0.395779,,,
size 1,0.38695599999999997,,,
size 3,0.401762,,,
size 5,0.422705,,,
size 7,0.492784,,,
size 9,0.43893899999999997,,,
size 1,0.311503,,,
size 3,0.273646,,,
size 5,0.34839699999999996,,,
size 7,0.447503,,,
size 9,0.46931199999999995,,,
size 1,0.31096599999999996,,,
size 3,0.38540599999999997,,,
size 5,0.363983,,,
size 7,0.35619599999999996,,,
size 9,0.395704,,,
size 1,0.282128,,,
size 3,0.537689,,,
size 5,0.369925,,,
size 7,0.40627399999999997,,,
size 9,0.391546,,,
size 1,0.269024,,,
size 3,0.413109,,,
size 5,0.302944,,,
size 7,0.557267,,,
size 9,0.441546,,,
size 1,0.312496,,,
size 3,0.5279889999999999,,,
size 5,0.43534999999999996,,,
size 7,0.36075599999999997,,,
size 9,0.421649,,,
size 1,0.268162,,,
size 3,0.467491,,,
size 5,0.458385,,,
size 7,0.397412,,,
size 9,0.438307,,,
size 1,0.30761299999999997,,,
size 3,0.421232,,,
size 5,0.328997,,,
size 7,0.540596,,,
size 9,0.47620799999999996,,,
size 1,0.25275,,,
size 3,0.448144,,,
size 5,0.561947,,,
size 7,0.334658,,,
size 9,0.42464599999999997,,,
size 1,0.299765,,,
size 3,0.446001,,,
size 5,0.33505599999999996,,,
size 7,0.409026,,,
size 9,0.63452,,,
size 1,0.31080399999999997,,,
size 3,0.275719,,,
size 5,0.302519,,,
size 7,0.389478,,,
size 9,0.5050709999999999,,,
size 1,0.286588,,,
size 3,0.356104,,,
size 5,0.29084299999999996,,,
size 7,0.5465599999999999,,,
size 9,0.365697,,,
size 1,0.41342199999999996,,,
size 3,0.42525399999999997,,,
size 5,0.391547,,,
size 7,0.368013,,,
size 9,0.37291599999999997,,,
size 1,0.30280799999999997,,,
size 3,0.422245,,,
size 5,0.442525,,,
size 7,0.514745,,,
size 9,0.42866299999999996,,,
size 1,0.300838,,,
size 3,0.40943599999999997,,,
size 5,0.28721199999999997,,,
size 7,0.7338979999999999,,,
size 9,0.575591,,,
size 1,0.504698,,,
size 3,0.398246,,,
size 5,0.42924999999999996,,,
size 7,0.727676,,,
size 9,0.513983,,,
size 1,0.353894,,,
size 3,0.30671699999999996,,,
size 5,0.34696499999999997,,,
size 7,0.39257,,,
size 9,0.531026,,,
size 1,1.117643,,,
size 3,0.36810699999999996,,,
size 5,0.315104,,,
size 7,0.36694699999999997,,,
size 9,0.47534,,,
size 1,0.44999,,,
size 3,0.47025,,,
size 5,0.46029699999999996,,,
size 7,0.41713,,,
size 9,0.410805,,,
size 1,0.379559,,,
size 3,0.338785,,,
size 5,0.652772,,,
size 7,0.41734899999999997,,,
size 9,0.47178499999999995,,,
size 1,0.464479,,,
size 3,0.29913999999999996,,,
size 5,0.794728,,,
size 7,0.732158,,,
size 9,0.48022299999999996,,,
size 1,0.445633,,,
size 3,0.33864,,,
size 5,0.7184959999999999,,,
size 7,0.492956,,,
size 9,0.5065919999999999,,,
size 1,0.405202,,,
size 3,0.35692199999999996,,,
size 5,0.557317,,,
size 7,0.57823,,,
size 9,0.6074189999999999,,,
size 1,0.278587,,,
size 3,0.333829,,,
size 5,0.29975199999999996,,,
size 7,0.427911,,,
size 9,0.377696,,,
size 1,0.352218,,,
size 3,0.446965,,,
size 5,0.35683899999999996,,,
size 7,0.392609,,,
size 9,0.404153,,,
size 1,0.33209099999999997,,,
size 3,0.32317199999999996,,,
size 5,0.335001,,,
size 7,0.387048,,,
size 9,0.47314799999999996,,,
size 1,0.451992,,,
size 3,0.303697,,,
size 5,0.368238,,,
size 7,0.589048,,,
size 9,0.42450699999999997,,,
size 1,0.294303,,,
size 3,0.405684,,,
size 5,0.441965,,,
size 7,0.500503,,,
size 9,0.47519999999999996,,,
size 1,0.500723,,,
size 3,0.32542099999999996,,,
size 5,0.542069,,,
size 7,0.36743899999999996,,,
