case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.888071,,,
size 3,0.706881,,,
size 5,0.6512479999999999,,,
size 7,0.5394669999999999,,,
size 9,0.599165,,,
size 1,0.502895,,,
size 3,0.49088699999999996,,,
size 5,0.41652999999999996,,,
size 7,0.536974,,,
size 9,0.6809459999999999,,,
size 1,0.460122,,,
size 3,0.399747,,,
size 5,0.50571,,,
size 7,0.450117,,,
size 9,0.511942,,,
size 1,0.379472,,,
size 3,0.56392,,,
size 5,0.5252749999999999,,,
size 7,0.539119,,,
size 9,0.701,,,
size 1,0.408813,,,
size 3,0.46254799999999996,,,
size 5,0.549596,,,
size 7,0.535829,,,
size 9,0.541071,,,
size 1,0.46277599999999997,,,
size 3,0.437978,,,
size 5,0.49278799999999995,,,
size 7,0.463607,,,
size 9,0.50709,,,
size 1,0.49099,,,
size 3,0.518229,,,
size 5,0.599324,,,
size 7,0.601718,,,
size 9,0.5506949999999999,,,
size 1,0.41651,,,
size 3,0.399856,,,
size 5,0.46072099999999994,,,
size 7,0.5587489999999999,,,
size 9,0.579688,,,
size 1,0.41691799999999996,,,
size 3,0.49283899999999997,,,
size 5,0.483073,,,
size 7,0.46793699999999994,,,
size 9,0.516051,,,
size 1,0.385757,,,
size 3,0.6437999999999999,,,
size 5,0.510547,,,
size 7,0.5347189999999999,,,
size 9,0.503644,,,
size 1,0.374255,,,
size 3,0.521358,,,
size 5,0.416621,,,
size 7,0.6678569999999999,,,
size 9,0.556716,,,
size 1,0.416748,,,
size 3,0.637743,,,
size 5,0.551956,,,
size 7,0.47294299999999995,,,
size 9,0.537099,,,
size 1,0.374289,,,
size 3,0.592802,,,
size 5,0.58314,,,
size 7,0.5073259999999999,,,
size 9,0.552234,,,
size 1,0.43313899999999994,,,
size 3,0.531313,,,
size 5,0.43734999999999996,,,
size 7,0.651399,,,
size 9,0.5905429999999999,,,
size 1,0.36931699999999995,,,
size 3,0.557997,,,
size 5,0.6852739999999999,,,
size 7,0.443637,,,
size 9,0.538083,,,
size 1,0.40530299999999997,,,
size 3,0.5787019999999999,,,
size 5,0.447165,,,
size 7,0.524093,,,
size 9,0.755343,,,
size 1,0.41949,,,
size 3,0.38232499999999997,,,
size 5,0.431527,,,
size 7,0.5009239999999999,,,
size 9,0.6192549999999999,,,
size 1,0.408674,,,
size 3,0.46554999999999996,,,
size 5,0.40415899999999993,,,
size 7,0.6592319999999999,,,
size 9,0.48253999999999997,,,
size 1,0.573083,,,
size 3,0.5902559999999999,,,
size 5,0.506357,,,
size 7,0.48070599999999997,,,
size 9,0.49305199999999993,,,
size 1,0.41165199999999996,,,
size 3,0.541584,,,
size 5,0.567885,,,
size 7,0.634048,,,
size 9,0.540296,,,
size 1,0.425462,,,
size 3,0.516551,,,
size 5,0.39885399999999993,,,
size 7,0.8538649999999999,,,
size 9,0.696356,,,
size 1,0.6211439999999999,,,
size 3,0.516614,,,
size 5,0.5475679999999999,,,
size 7,0.855166,,,
size 9,0.625884,,,
size 1,0.46221599999999996,,,
size 3,0.41505099999999995,,,
size 5,0.45902,,,
size 7,0.503195,,,
size 9,0.644506,,,
size 1,1.234415,,,
size 3,0.484691,,,
size 5,0.426008,,,
size 7,0.481089,,,
size 9,0.589541,,,
size 1,0.556019,,,
size 3,0.584758,,,
size 5,0.5687439999999999,,,
size 7,0.527698,,,
size 9,0.524852,,,
size 1,0.48606499999999997,,,
size 3,0.453127,,,
size 5,0.764934,,,
size 7,0.530721,,,
size 9,0.586544,,,
size 1,0.570834,,,
size 3,0.44605199999999995,,,
size 5,0.907718,,,
size 7,0.859904,,,
size 9,0.6008439999999999,,,
size 1,0.557816,,,
size 3,0.44606599999999996,,,
size 5,0.8327129999999999,,,
size 7,0.609606,,,
size 9,0.6217779999999999,,,
size 1,0.513433,,,
size 3,0.47421199999999997,,,
size 5,0.667156,,,
size 7,0.688872,,,
size 9,0.752029,,,
size 1,0.412103,,,
size 3,0.460584,,,
size 5,0.414276,,,
size 7,0.538419,,,
size 9,0.49748899999999996,,,
size 1,0.45745399999999997,,,
size 3,0.564235,,,
size 5,0.46690099999999995,,,
size 7,0.5055999999999999,,,
size 9,0.518786,,,
size 1,0.44110099999999997,,,
size 3,0.43291299999999994,,,
size 5,0.450895,,,
size 7,0.501043,,,
size 9,0.586229,,,
size 1,0.569623,,,
size 3,0.436677,,,
size 5,0.516051,,,
size 7,0.703572,,,
size 9,0.5485909999999999,,,
size 1,0.41407499999999997,,,
size 3,0.5179659999999999,,,
size 5,0.550374,,,
size 7,0.613525,,,
size 9,0.5932839999999999,,,
size 1,0.618033,,,
size 3,0.43189799999999995,,,
size 5,0.659068,,,
size 7,0.47872799999999993,,,
size 9,0.5626789999999999,,,
size 1,0.463033,,,
size 3,0.548298,,,
size 5,0.6513629999999999,,,
size 7,0.44141099999999994,,,
size 9,0.647695,,,
size 1,0.38729,,,
size 3,0.456734,,,
size 5,0.642023,,,
size 7,0.567555,,,
size 9,0.6742049999999999,,,
size 1,0.48509800000000003,,,
size 3,0.36947599999999997,,,
size 5,0.448391,,,
size 7,0.5329579999999999,,,
size 9,0.525644,,,
size 1,0.507962,,,
size 3,0.566087,,,
size 5,0.713312,,,
size 7,0.6120709999999999,,,
size 9,0.566758,,,
size 1,0.384625,,,
size 3,0.43950900000000004,,,
size 5,0.438058,,,
size 7,0.756695,,,
size 9,0.558905,,,
size 1,0.415804,,,
size 3,0.50917,,,
size 5,0.582924,,,
size 7,0.561141,,,
size 9,0.629524,,,
size 1,0.39394699999999994,,,
size 3,0.429173,,,
size 5,0.46638199999999996,,,
size 7,0.501485,,,
size 9,0.536733,,,
size 1,0.382447,,,
size 3,0.7104249999999999,,,
size 5,0.437924,,,
size 7,0.514411,,,
size 9,0.521508,,,
size 1,0.44219200000000003,,,
size 3,0.47321,,,
size 5,0.705225,,,
size 7,0.505865,,,
size 9,0.518879,,,
size 1,0.419414,,,
size 3,0.514622,,,
size 5,0.598069,,,
size 7,0.786824,,,
size 9,0.5510489999999999,,,
size 1,0.432792,,,
size 3,0.49118199999999995,,,
size 5,0.435883,,,
size 7,0.5095489999999999,,,
size 9,0.475534,,,
size 1,0.44678699999999993,,,
size 3,0.38859299999999997,,,
size 5,0.6673669999999999,,,
size 7,0.617074,,,
size 9,0.743527,,,
size 1,0.38046599999999997,,,
size 3,0.508259,,,
size 5,0.5613509999999999,,,
size 7,0.473097,,,
size 9,0.573887,,,
size 1,0.55447,,,
size 3,0.630443,,,
size 5,0.657121,,,
size 7,0.521698,,,
size 9,0.7306090000000001,,,
size 1,0.605898,,,
size 3,0.521391,,,
size 5,0.481073,,,
size 7,0.571657,,,
size 9,0.6186449999999999,,,
size 1,0.377935,,,
size 3,0.49138899999999996,,,
size 5,0.511019,,,
size 7,0.491185,,,
size 9,0.5250539999999999,,,
size 1,0.429075,,,
size 3,0.540204,,,
size 5,0.43843999999999994,,,
size 7,0.674165,,,
size 9,0.734189,,,
size 1,0.398155,,,
size 3,0.503466,,,
size 5,0.576167,,,
size 7,0.5534479999999999,,,
size 9,0.546497,,,
size 1,0.366956,,,
size 3,0.5898639999999999,,,
size 5,0.485075,,,
size 7,0.499606,,,
size 9,0.494185,,,
size 1,0.40646099999999996,,,
size 3,0.514563,,,
size 5,0.578834,,,
size 7,0.569023,,,
size 9,0.576132,,,
size 1,0.5064379999999999,,,
size 3,0.52296,,,
size 5,0.473466,,,
size 7,0.6508419999999999,,,
size 9,0.594724,,,
size 1,0.47734,,,
size 3,0.42691899999999994,,,
size 5,0.437836,,,
size 7,0.611235,,,
size 9,0.5142289999999999,,,
size 1,0.433238,,,
size 3,0.63805,,,
size 5,0.42442599999999997,,,
size 7,0.49366899999999997,,,
size 9,0.455252,,,
size 1,0.6028370000000001,,,
size 3,0.370759,,,
size 5,0.513425,,,
size 7,0.480163,,,
size 9,0.541063,,,
size 1,0.38910599999999995,,,
size 3,0.487772,,,
size 5,0.8090729999999999,,,
size 7,0.793887,,,
size 9,0.518659,,,
size 1,0.48388,,,
size 3,0.46768,,,
size 5,0.469029,,,
size 7,0.466755,,,
size 9,0.49317599999999995,,,
size 1,0.5113949999999999,,,
size 3,0.545189,,,
size 5,0.5003989999999999,,,
size 7,0.472089,,,
size 9,0.77718,,,
size 1,0.46596899999999997,,,
size 3,0.540264,,,
size 5,0.612521,,,
size 7,0.588895,,,
size 9,0.568219,,,
size 1,0.422145,,,
size 3,0.532822,,,
size 5,0.5623929999999999,,,
size 7,0.510002,,,
size 9,0.589152,,,
size 1,0.41788299999999995,,,
size 3,0.6739419999999999,,,
size 5,0.499754,,,
size 7,0.6594599999999999,,,
size 9,0.478554,,,
size 1,0.42367299999999997,,,
size 3,0.6091139999999999,,,
size 5,0.441957,,,
size 7,0.6232439999999999,,,
size 9,0.52967,,,
size 1,0.48205299999999995,,,
size 3,0.549057,,,
size 5,0.563313,,,
size 7,0.563437,,,
size 9,0.51175,,,
size 1,0.41811099999999995,,,
size 3,0.37095599999999995,,,
size 5,0.44706999999999997,,,
size 7,0.511911,,,
size 9,0.53088,,,
size 1,0.473769,,,
size 3,0.399751,,,
size 5,0.713106,,,
size 7,0.492912,,,
size 9,0.6254179999999999,,,
size 1,0.47008799999999995,,,
size 3,0.421021,,,
size 5,0.44495,,,
size 7,0.47092199999999995,,,
size 9,0.567113,,,
size 1,0.40266399999999997,,,
size 3,0.395163,,,
size 5,0.441269,,,
size 7,0.501103,,,
size 9,0.505019,,,
size 1,0.36205,,,
size 3,0.5071129999999999,,,
size 5,0.49194099999999996,,,
size 7,0.526457,,,
size 9,0.521885,,,
size 1,0.386737,,,
size 3,0.572566,,,
size 5,0.55632,,,
size 7,0.461435,,,
size 9,0.479587,,,
size 1,0.382736,,,
size 3,0.493397,,,
size 5,0.624423,,,
size 7,0.471829,,,
size 9,0.596304,,,
size 1,0.45391699999999996,,,
size 3,0.49822,,,
size 5,0.595836,,,
size 7,0.548512,,,
size 9,0.5762849999999999,,,
size 1,0.35760499999999995,,,
size 3,0.40858700000000003,,,
size 5,0.43560499999999996,,,
size 7,0.481907,,,
size 9,0.513639,,,
size 1,0.36564399999999997,,,
size 3,0.506339,,,
size 5,0.515786,,,
size 7,0.507891,,,
size 9,0.530435,,,
size 1,0.460729,,,
size 3,0.419522,,,
size 5,0.5137499999999999,,,
size 7,0.46979499999999996,,,
size 9,0.519834,,,
size 1,0.520201,,,
size 3,0.405127,,,
size 5,0.523644,,,
size 7,0.525203,,,
size 9,0.578855,,,
size 1,0.42748299999999995,,,
size 3,0.41390799999999994,,,
size 5,0.47571899999999995,,,
size 7,0.46192599999999995,,,
size 9,0.552079,,,
size 1,0.40554,,,
size 3,0.485547,,,
size 5,0.44712799999999997,,,
size 7,0.576761,,,
size 9,0.537673,,,
size 1,0.37555399999999994,,,
size 3,0.511805,,,
size 5,0.43612699999999993,,,
size 7,0.685733,,,
size 9,0.5376179999999999,,,
size 1,0.48396,,,
size 3,0.442262,,,
size 5,0.462104,,,
size 7,0.59104,,,
size 9,0.6402049999999999,,,
size 1,0.48432299999999995,,,
size 3,0.41679900000000003,,,
size 5,0.452518,,,
size 7,0.54587,,,
size 9,0.534638,,,
size 1,0.395088,,,
size 3,0.41271299999999994,,,
size 5,0.550914,,,
size 7,0.503074,,,
size 9,0.537944,,,
size 1,0.430292,,,
size 3,0.458771,,,
size 5,0.552918,,,
size 7,0.46908299999999997,,,
size 9,0.513682,,,
size 1,0.45012399999999997,,,
size 3,0.529801,,,
size 5,0.520964,,,
size 7,0.555256,,,
size 9,0.583589,,,
size 1,0.355431,,,
size 3,0.400521,,,
size 5,0.5688099999999999,,,
size 7,0.529398,,,
size 9,0.561167,,,
size 1,0.54506,,,
size 3,0.45686299999999996,,,
size 5,0.436195,,,
size 7,0.43804199999999993,,,
size 9,0.493424,,,
size 1,0.451037,,,
size 3,0.381772,,,
size 5,0.502668,,,
size 7,0.512814,,,
size 9,0.536141,,,
size 1,0.36020699999999994,,,
size 3,0.423236,,,
size 5,0.554083,,,
size 7,0.460779,,,
size 9,0.453814,,,
size 1,0.40736,,,
size 3,0.402105,,,
size 5,0.601359,,,
size 7,0.43954299999999996,,,
size 9,0.518521,,,
size 1,0.391121,,,
size 3,0.416675,,,
size 5,0.488144,,,
size 7,0.49688299999999996,,,
size 9,0.583471,,,
size 1,0.406759,,,
size 3,0.450641,,,
size 5,0.574847,,,
size 7,0.6358429999999999,,,
size 9,0.5881299999999999,,,
size 1,0.39569,,,
size 3,0.626795,,,
size 5,0.485518,,,
size 7,0.600357,,,
size 9,0.602694,,,
size 1,0.419143,,,
size 3,0.364529,,,
size 5,0.518614,,,
size 7,0.47824999999999995,,,
