case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
encrypt,70.76953125,90.64453125,19.875,8,,,,,,,,,,,,
update_keys,90.64453125,90.64453125,0.0,3,,,,,,,,,,,,
update_keys,90.64453125,90.64453125,0.0,3,,,,,,,,,,,,
decrypt,90.64453125,110.48828125,19.84375,5,,,,,,,,,,,,
encrypt,200.29296875,220.16796875,19.875,9,,,,,,,,,,,,
update_keys,200.29296875,200.29296875,0.0,3,,,,,,,,,,,,
update_keys,200.29296875,200.29296875,0.0,3,,,,,,,,,,,,
decrypt,200.29296875,210.29296875,10.0,5,,,,,,,,,,,,
encrypt,90.39453125,90.56640625,0.171875,7,,,,,,,,,,,,
update_keys,90.56640625,90.56640625,0.0,3,,,,,,,,,,,,
update_keys,90.56640625,90.56640625,0.0,3,,,,,,,,,,,,
decrypt,90.56640625,113.55078125,22.984375,5,,,,,,,,,,,,
encrypt,70.83203125,73.83984375,3.0078125,16,,,,,,,,,,,,
update_keys,70.83203125,70.83203125,0.0,3,,,,,,,,,,,,
update_keys,70.83203125,70.83203125,0.0,3,,,,,,,,,,,,
decrypt,70.83203125,93.79296875,22.9609375,5,,,,,,,,,,,,
encrypt,71.16796875,81.04296875,9.875,9,,,,,,,,,,,,
update_keys,81.04296875,81.04296875,0.0,3,,,,,,,,,,,,
update_keys,81.04296875,81.04296875,0.0,3,,,,,,,,,,,,
decrypt,81.04296875,91.04296875,10.0,5,,,,,,,,,,,,
encrypt,71.4296875,78.67578125,7.24609375,8,,,,,,,,,,,,
update_keys,71.5859375,71.5859375,0.0,3,,,,,,,,,,,,
update_keys,71.5859375,71.5859375,0.0,3,,,,,,,,,,,,
decrypt,71.5859375,108.5234375,36.9375,5,,,,,,,,,,,,
encrypt,191.8359375,197.05078125,5.21484375,8,,,,,,,,,,,,
update_keys,192.0078125,192.0078125,0.0,3,,,,,,,,,,,,
update_keys,192.0078125,192.0078125,0.0,3,,,,,,,,,,,,
decrypt,192.0078125,212.0078125,20.0,5,,,,,,,,,,,,
encrypt,82.01171875,87.2265625,5.21484375,8,,,,,,,,,,,,
update_keys,82.2265625,82.2265625,0.0,3,,,,,,,,,,,,
update_keys,82.2265625,82.2265625,0.0,3,,,,,,,,,,,,
decrypt,82.2265625,102.2265625,20.0,5,,,,,,,,,,,,
encrypt,102.60546875,122.48046875,19.875,8,,,,,,,,,,,,
update_keys,102.60546875,102.60546875,0.0,3,,,,,,,,,,,,
update_keys,102.60546875,102.60546875,0.0,3,,,,,,,,,,,,
decrypt,102.60546875,102.60546875,0.0,6,,,,,,,,,,,,
encrypt,112.546875,112.68359375,0.13671875,10,,,,,,,,,,,,
update_keys,112.68359375,112.68359375,0.0,3,,,,,,,,,,,,
update_keys,112.68359375,112.68359375,0.0,3,,,,,,,,,,,,
decrypt,112.68359375,112.68359375,0.0,6,,,,,,,,,,,,
encrypt,223.3359375,243.2109375,19.875,9,,,,,,,,,,,,
update_keys,233.2109375,233.2109375,0.0,3,,,,,,,,,,,,
update_keys,233.2109375,233.2109375,0.0,3,,,,,,,,,,,,
decrypt,233.2109375,243.03125,9.8203125,5,,,,,,,,,,,,
encrypt,725.48046875,725.48046875,0.0,9,,,,,,,,,,,,
update_keys,725.48046875,725.48046875,0.0,3,,,,,,,,,,,,
update_keys,725.48046875,725.48046875,0.0,3,,,,,,,,,,,,
decrypt,725.48046875,735.453125,9.97265625,6,,,,,,,,,,,,
encrypt,96.08984375,115.96484375,19.875,7,,,,,,,,,,,,
update_keys,96.08984375,96.08984375,0.0,3,,,,,,,,,,,,
update_keys,96.08984375,96.08984375,0.0,3,,,,,,,,,,,,
decrypt,96.08984375,96.08984375,0.0,5,,,,,,,,,,,,
encrypt,106.2890625,106.2890625,0.0,8,,,,,,,,,,,,
update_keys,106.2890625,106.2890625,0.0,3,,,,,,,,,,,,
update_keys,106.2890625,106.2890625,0.0,3,,,,,,,,,,,,
decrypt,96.4140625,106.2890625,9.875,5,,,,,,,,,,,,
