case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
1,24.97265625,24.97265625,0.0,7,,,,,,,,,,,,
1024,25.39453125,25.515625,0.12109375,6,,,,,,,,,,,,
1048576,31.55078125,31.55078125,0.0,9,,,,,,,,,,,,
10485760,90.64453125,110.48828125,19.84375,5,,,,,,,,,,,,
52428800,159.7578125,307.78515625,148.02734375,15,,,,,,,,,,,,
268435456,432.0546875,1016.21875,584.1640625,70,,,,,,,,,,,,
1,159.98046875,160.00390625,0.0234375,6,,,,,,,,,,,,
1024,160.1015625,160.1015625,0.0,6,,,,,,,,,,,,
1048576,160.1875,160.1875,0.0,9,,,,,,,,,,,,
10485760,200.29296875,210.29296875,10.0,5,,,,,,,,,,,,
52428800,410.37890625,558.56640625,148.1875,15,,,,,,,,,,,,
268435456,1084.45703125,1848.828125,764.37109375,50,,,,,,,,,,,,
1,60.44140625,60.44140625,0.0,6,,,,,,,,,,,,
1024,60.44140625,60.44140625,0.0,6,,,,,,,,,,,,
1048576,60.48046875,60.48046875,0.0,8,,,,,,,,,,,,
10485760,90.56640625,113.55078125,22.984375,5,,,,,,,,,,,,
52428800,170.6328125,312.9296875,142.296875,14,,,,,,,,,,,,
268435456,1094.73046875,1861.08984375,766.359375,52,,,,,,,,,,,,
1,70.78515625,70.78515625,0.0,7,,,,,,,,,,,,
1024,70.78515625,70.78515625,0.0,6,,,,,,,,,,,,
1048576,70.78515625,70.78515625,0.0,8,,,,,,,,,,,,
10485760,70.83203125,93.79296875,22.9609375,5,,,,,,,,,,,,
52428800,169.66015625,309.23828125,139.578125,13,,,,,,,,,,,,
268435456,582.9375,1407.24609375,824.30859375,53,,,,,,,,,,,,
1,71.046875,71.046875,0.0,6,,,,,,,,,,,,
1024,71.1015625,71.1015625,0.0,6,,,,,,,,,,,,
1048576,71.16796875,71.16796875,0.0,9,,,,,,,,,,,,
10485760,81.04296875,91.04296875,10.0,5,,,,,,,,,,,,
52428800,261.203125,441.5625,180.359375,14,,,,,,,,,,,,
268435456,1085.2734375,2101.66015625,1016.38671875,70,,,,,,,,,,,,
1,61.34375,61.35546875,0.01171875,6,,,,,,,,,,,,
1024,61.49609375,61.49609375,0.0,6,,,,,,,,,,,,
1048576,61.51953125,61.51953125,0.0,9,,,,,,,,,,,,
10485760,71.5859375,108.5234375,36.9375,5,,,,,,,,,,,,
52428800,461.6328125,607.91015625,146.27734375,15,,,,,,,,,,,,
268435456,621.99609375,1438.0234375,816.02734375,71,,,,,,,,,,,,
1,161.71484375,161.72265625,0.0078125,6,,,,,,,,,,,,
1024,161.80859375,161.80859375,0.0,6,,,,,,,,,,,,
1048576,161.859375,161.859375,0.0,9,,,,,,,,,,,,
10485760,192.0078125,212.0078125,20.0,5,,,,,,,,,,,,
52428800,272.078125,418.42578125,146.34765625,15,,,,,,,,,,,,
268435456,1096.171875,2034.5546875,938.3828125,68,,,,,,,,,,,,
1,72.15625,72.15625,0.0,6,,,,,,,,,,,,
1024,72.15625,72.15625,0.0,6,,,,,,,,,,,,
1048576,72.15625,72.15625,0.0,9,,,,,,,,,,,,
10485760,82.2265625,102.2265625,20.0,5,,,,,,,,,,,,
52428800,262.328125,402.5703125,140.2421875,12,,,,,,,,,,,,
268435456,1086.4140625,1854.5078125,768.09375,68,,,,,,,,,,,,
1,1086.515625,1086.515625,0.0,6,,,,,,,,,,,,
1024,62.60546875,62.60546875,0.0,6,,,,,,,,,,,,
1048576,62.60546875,62.60546875,0.0,9,,,,,,,,,,,,
10485760,102.60546875,102.60546875,0.0,6,,,,,,,,,,,,
52428800,302.62109375,448.953125,146.33203125,13,,,,,,,,,,,,
268435456,580.94140625,1376.96875,796.02734375,64,,,,,,,,,,,,
1,102.66796875,102.66796875,0.0,7,,,,,,,,,,,,
1024,102.72265625,102.73828125,0.015625,6,,,,,,,,,,,,
1048576,102.80859375,102.80859375,0.0,9,,,,,,,,,,,,
10485760,112.68359375,112.68359375,0.0,6,,,,,,,,,,,,
52428800,212.77734375,361.4609375,148.68359375,16,,,,,,,,,,,,
268435456,623.19140625,979.19921875,356.0078125,58,,,,,,,,,,,,
1,212.93359375,212.953125,0.01953125,6,,,,,,,,,,,,
1024,213.01953125,213.01953125,0.0,6,,,,,,,,,,,,
1048576,213.109375,213.12890625,0.01953125,8,,,,,,,,,,,,
10485760,233.2109375,243.03125,9.8203125,5,,,,,,,,,,,,
52428800,303.43359375,449.78125,146.34765625,13,,,,,,,,,,,,
268435456,715.43359375,1481.78125,766.34765625,70,,,,,,,,,,,,
1,715.43359375,715.43359375,0.0,6,,,,,,,,,,,,
1024,715.46484375,715.48046875,0.015625,6,,,,,,,,,,,,
1048576,715.52734375,715.52734375,0.0,9,,,,,,,,,,,,
10485760,725.48046875,735.453125,9.97265625,6,,,,,,,,,,,,
52428800,915.7109375,1055.9453125,140.234375,12,,,,,,,,,,,,
268435456,1939.80859375,2833.21875,893.41015625,82,,,,,,,,,,,,
1,78.10546875,78.10546875,0.0,6,,,,,,,,,,,,
1024,78.10546875,78.10546875,0.0,6,,,,,,,,,,,,
1048576,78.10546875,78.10546875,0.0,10,,,,,,,,,,,,
10485760,96.08984375,96.08984375,0.0,5,,,,,,,,,,,,
52428800,296.17578125,444.48046875,148.3046875,15,,,,,,,,,,,,
268435456,1120.2421875,2046.61328125,926.37109375,66,,,,,,,,,,,,
1,96.28515625,96.28515625,0.0,6,,,,,,,,,,,,
1024,96.390625,96.390625,0.0,6,,,,,,,,,,,,
1048576,96.4140625,96.4140625,0.0,9,,,,,,,,,,,,
10485760,96.4140625,106.2890625,9.875,5,,,,,,,,,,,,
52428800,296.49609375,440.80859375,144.3125,15,,,,,,,,,,,,
268435456,1220.59765625,2206.99609375,986.3984375,66,,,,,,,,,,,,
1,196.6953125,196.6953125,0.0,6,,,,,,,,,,,,
1024,196.78515625,196.7890625,0.00390625,6,,,,,,,,,,,,
1048576,196.921875,196.921875,0.0,10,,,,,,,,,,,,
10485760,126.984375,126.984375,0.0,6,,,,,,,,,,,,
52428800,327.0,375.83984375,48.83984375,16,,,,,,,,,,,,
268435456,675.79296875,1445.46875,769.67578125,70,,,,,,,,,,,,
1,166.96875,166.96875,0.0,6,,,,,,,,,,,,
1024,167.01171875,167.01171875,0.0,7,,,,,,,,,,,,
1048576,170.9453125,170.9453125,0.0,9,,,,,,,,,,,,
10485760,227.7890625,227.7890625,0.0,6,,,,,,,,,,,,
52428800,427.8984375,574.25390625,146.35546875,15,,,,,,,,,,,,
268435456,627.3203125,1393.6796875,766.359375,56,,,,,,,,,,,,
1,115.3125,115.3125,0.0,6,,,,,,,,,,,,
1024,115.3125,115.3125,0.0,6,,,,,,,,,,,,
1048576,115.3125,115.3125,0.0,8,,,,,,,,,,,,
10485760,115.375,115.375,0.0,5,,,,,,,,,,,,
52428800,315.4609375,464.29296875,148.83203125,13,,,,,,,,,,,,
268435456,1139.53125,2023.90234375,884.37109375,75,,,,,,,,,,,,
1,115.55859375,115.55859375,0.0,6,,,,,,,,,,,,
1024,115.63671875,115.63671875,0.0,6,,,,,,,,,,,,
1048576,115.63671875,115.63671875,0.0,8,,,,,,,,,,,,
10485760,115.63671875,115.63671875,0.0,5,,,,,,,,,,,,
52428800,315.7109375,464.0625,148.3515625,16,,,,,,,,,,,,
268435456,1239.828125,2170.20703125,930.37890625,68,,,,,,,,,,,,
1,215.9140625,215.9140625,0.0,6,,,,,,,,,,,,
1024,215.984375,215.984375,0.0,6,,,,,,,,,,,,
1048576,218.15625,218.15625,0.0,9,,,,,,,,,,,,
10485760,127.54296875,157.37109375,29.828125,5,,,,,,,,,,,,
52428800,337.57421875,483.8828125,146.30859375,16,,,,,,,,,,,,
268435456,1361.58984375,2151.8828125,790.29296875,67,,,,,,,,,,,,
1,849.734375,849.734375,0.0,6,,,,,,,,,,,,
1024,849.78515625,849.78515625,0.0,6,,,,,,,,,,,,
1048576,849.89453125,849.8984375,0.00390625,8,,,,,,,,,,,,
10485760,849.96875,849.96875,0.0,5,,,,,,,,,,,,
52428800,438.0234375,578.3203125,140.296875,13,,,,,,,,,,,,
268435456,650.0078125,1416.35546875,766.34765625,66,,,,,,,,,,,,
1,138.0,138.0,0.0,6,,,,,,,,,,,,
1024,138.0390625,138.0390625,0.0,6,,,,,,,,,,,,
1048576,138.08203125,138.08203125,0.0,9,,,,,,,,,,,,
10485760,138.1875,138.1875,0.0,6,,,,,,,,,,,,
52428800,338.30859375,486.5703125,148.26171875,15,,,,,,,,,,,,
268435456,1362.3984375,2128.76171875,766.36328125,71,,,,,,,,,,,,
1,138.47265625,138.47265625,0.0,6,,,,,,,,,,,,
1024,138.47265625,138.47265625,0.0,6,,,,,,,,,,,,
1048576,138.47265625,138.47265625,0.0,9,,,,,,,,,,,,
10485760,138.47265625,138.47265625,0.0,6,,,,,,,,,,,,
52428800,238.48046875,384.82421875,146.34375,16,,,,,,,,,,,,
268435456,650.5,1632.87109375,982.37109375,69,,,,,,,,,,,,
1,138.60546875,138.60546875,0.0,6,,,,,,,,,,,,
1024,138.65234375,138.65234375,0.0,6,,,,,,,,,,,,
1048576,138.66015625,138.703125,0.04296875,9,,,,,,,,,,,,
10485760,138.703125,138.703125,0.0,6,,,,,,,,,,,,
52428800,338.796875,479.14453125,140.34765625,16,,,,,,,,,,,,
268435456,1162.859375,2127.23046875,964.37109375,71,,,,,,,,,,,,
1,138.9375,138.9375,0.0,7,,,,,,,,,,,,
1024,139.01953125,139.01953125,0.0,6,,,,,,,,,,,,
1048576,139.09375,139.09375,0.0,9,,,,,,,,,,,,
10485760,139.1640625,139.1640625,0.0,6,,,,,,,,,,,,
52428800,239.10546875,379.3203125,140.21484375,17,,,,,,,,,,,,
268435456,607.49609375,1003.5,396.00390625,68,,,,,,,,,,,,
1,239.265625,239.3046875,0.0390625,6,,,,,,,,,,,,
1024,239.37890625,239.37890625,0.0,6,,,,,,,,,,,,
1048576,239.4609375,239.4609375,0.0,9,,,,,,,,,,,,
10485760,249.58203125,259.4609375,9.87890625,6,,,,,,,,,,,,
52428800,359.53125,503.8671875,144.3359375,15,,,,,,,,,,,,
268435456,1695.6015625,2607.9921875,912.390625,67,,,,,,,,,,,,
1,159.578125,159.578125,0.0,7,,,,,,,,,,,,
1024,159.578125,159.578125,0.0,6,,,,,,,,,,,,
1048576,159.578125,159.578125,0.0,9,,,,,,,,,,,,
10485760,159.62109375,159.62109375,0.0,5,,,,,,,,,,,,
52428800,359.7109375,507.94921875,148.23828125,17,,,,,,,,,,,,
268435456,1183.8125,1951.62890625,767.81640625,60,,,,,,,,,,,,
1,1183.8828125,1183.8984375,0.015625,6,,,,,,,,,,,,
1024,160.0,160.0,0.0,6,,,,,,,,,,,,
1048576,160.0,160.0,0.0,8,,,,,,,,,,,,
10485760,160.0,160.0,0.0,5,,,,,,,,,,,,
52428800,360.015625,516.375,156.359375,15,,,,,,,,,,,,
268435456,416.00390625,1439.94921875,1023.9453125,63,,,,,,,,,,,,
1,672.0703125,672.07421875,0.00390625,6,,,,,,,,,,,,
1024,672.1484375,672.171875,0.0234375,6,,,,,,,,,,,,
1048576,160.25390625,160.25390625,0.0,8,,,,,,,,,,,,
10485760,160.2265625,160.2265625,0.0,5,,,,,,,,,,,,
52428800,210.24609375,306.8203125,96.57421875,13,,,,,,,,,,,,
268435456,1184.32421875,1948.6875,764.36328125,66,,,,,,,,,,,,
1,160.41796875,160.4453125,0.02734375,6,,,,,,,,,,,,
1024,160.51953125,160.51953125,0.0,6,,,,,,,,,,,,
1048576,160.60546875,160.60546875,0.0,8,,,,,,,,,,,,
10485760,160.71875,160.71875,0.0,5,,,,,,,,,,,,
52428800,260.79296875,405.07421875,144.28125,16,,,,,,,,,,,,
268435456,416.7890625,1952.6328125,1535.84375,62,,,,,,,,,,,,
1,672.79296875,672.79296875,0.0,7,,,,,,,,,,,,
1024,672.79296875,672.79296875,0.0,6,,,,,,,,,,,,
1048576,672.859375,672.859375,0.0,8,,,,,,,,,,,,
10485760,672.94921875,672.94921875,0.0,5,,,,,,,,,,,,
52428800,873.02734375,1043.390625,170.36328125,13,,,,,,,,,,,,
268435456,1185.09375,2203.46875,1018.375,55,,,,,,,,,,,,
1,161.1640625,161.1640625,0.0,6,,,,,,,,,,,,
1024,161.1640625,161.1640625,0.0,6,,,,,,,,,,,,
1048576,161.1875,161.1953125,0.0078125,8,,,,,,,,,,,,
10485760,161.24609375,161.24609375,0.0,5,,,,,,,,,,,,
52428800,361.3125,509.609375,148.296875,17,,,,,,,,,,,,
268435456,1185.390625,1952.765625,767.375,54,,,,,,,,,,,,
1,161.453125,161.453125,0.0,6,,,,,,,,,,,,
1024,161.53125,161.55078125,0.01953125,6,,,,,,,,,,,,
1048576,161.61328125,161.61328125,0.0,8,,,,,,,,,,,,
10485760,161.61328125,161.61328125,0.0,5,,,,,,,,,,,,
52428800,361.6484375,507.84765625,146.19921875,13,,,,,,,,,,,,
268435456,1285.75,2061.9296875,776.1796875,74,,,,,,,,,,,,
1,261.86328125,261.86328125,0.0,6,,,,,,,,,,,,
1024,261.90625,261.90625,0.0,6,,,,,,,,,,,,
1048576,261.98828125,261.98828125,0.0,9,,,,,,,,,,,,
10485760,162.0546875,162.0546875,0.0,6,,,,,,,,,,,,
52428800,462.078125,636.34765625,174.26953125,16,,,,,,,,,,,,
268435456,290.2109375,1016.78125,726.5703125,82,,,,,,,,,,,,
1,41.31640625,41.3359375,0.01953125,6,,,,,,,,,,,,
1024,41.71875,41.7890625,0.0703125,6,,,,,,,,,,,,
1048576,44.6328125,45.5703125,0.9375,14,,,,,,,,,,,,
10485760,111.515625,121.484375,9.96875,6,,,,,,,,,,,,
52428800,196.2734375,343.9921875,147.71875,16,,,,,,,,,,,,
268435456,617.78515625,1638.15625,1020.37109375,69,,,,,,,,,,,,
1,105.77734375,105.77734375,0.0,7,,,,,,,,,,,,
1024,105.77734375,105.77734375,0.0,6,,,,,,,,,,,,
1048576,106.734375,106.74609375,0.01171875,9,,,,,,,,,,,,
10485760,125.9609375,125.9609375,0.0,5,,,,,,,,,,,,
52428800,326.015625,470.36328125,144.34765625,13,,,,,,,,,,,,
268435456,1150.1328125,1916.4921875,766.359375,69,,,,,,,,,,,,
1,126.15625,126.15625,0.0,7,,,,,,,,,,,,
1024,126.2734375,126.2734375,0.0,12,,,,,,,,,,,,
1048576,126.30078125,126.30078125,0.0,10,,,,,,,,,,,,
10485760,126.3203125,126.3203125,0.0,6,,,,,,,,,,,,
52428800,226.40625,368.69921875,142.29296875,16,,,,,,,,,,,,
268435456,1250.63671875,2017.0,766.36328125,56,,,,,,,,,,,,
1,738.97265625,738.97265625,0.0,6,,,,,,,,,,,,
1024,739.1640625,739.1640625,0.0,6,,,,,,,,,,,,
1048576,739.44140625,739.44140625,0.0,9,,,,,,,,,,,,
10485760,137.3046875,147.13671875,9.83203125,5,,,,,,,,,,,,
52428800,327.44140625,475.76953125,148.328125,14,,,,,,,,,,,,
268435456,1351.484375,2215.875,864.390625,69,,,,,,,,,,,,
1,839.62890625,839.65234375,0.0234375,6,,,,,,,,,,,,
1024,839.7421875,839.7421875,0.0,6,,,,,,,,,,,,
1048576,839.8046875,839.80859375,0.00390625,9,,,,,,,,,,,,
10485760,849.83203125,849.83203125,0.0,6,,,,,,,,,,,,
52428800,237.84765625,378.02734375,140.1796875,16,,,,,,,,,,,,
268435456,1673.86328125,2441.046875,767.18359375,72,,,,,,,,,,,,
1,137.84375,137.84375,0.0,7,,,,,,,,,,,,
1024,137.875,137.875,0.0,6,,,,,,,,,,,,
1048576,137.8984375,137.90625,0.0078125,9,,,,,,,,,,,,
10485760,138.0,138.0,0.0,5,,,,,,,,,,,,
52428800,338.06640625,518.3515625,180.28515625,14,,,,,,,,,,,,
268435456,1362.16796875,2128.53125,766.36328125,70,,,,,,,,,,,,
1,138.2265625,138.2265625,0.0,7,,,,,,,,,,,,
1024,138.2265625,138.2265625,0.0,6,,,,,,,,,,,,
1048576,138.23046875,138.23046875,0.0,9,,,,,,,,,,,,
10485760,138.23046875,138.23046875,0.0,6,,,,,,,,,,,,
52428800,338.265625,484.55078125,146.28515625,16,,,,,,,,,,,,
268435456,650.36328125,1602.73828125,952.375,77,,,,,,,,,,,,
1,138.453125,138.46484375,0.01171875,7,,,,,,,,,,,,
1024,138.58203125,138.58203125,0.0,8,,,,,,,,,,,,
1048576,138.58203125,138.58203125,0.0,9,,,,,,,,,,,,
10485760,138.58203125,138.58203125,0.0,6,,,,,,,,,,,,
52428800,338.66015625,482.91015625,144.25,13,,,,,,,,,,,,
268435456,1162.75,2061.12109375,898.37109375,66,,,,,,,,,,,,
1,138.8125,138.8125,0.0,6,,,,,,,,,,,,
1024,138.98828125,139.0234375,0.03515625,7,,,,,,,,,,,,
1048576,139.05078125,139.05078125,0.0,9,,,,,,,,,,,,
10485760,139.125,139.125,0.0,5,,,,,,,,,,,,
52428800,239.1328125,387.4296875,148.296875,13,,,,,,,,,,,,
268435456,1163.140625,2051.51171875,888.37109375,54,,,,,,,,,,,,
1,139.140625,139.140625,0.0,6,,,,,,,,,,,,
1024,139.21484375,139.22265625,0.0078125,6,,,,,,,,,,,,
1048576,139.32421875,139.33984375,0.015625,8,,,,,,,,,,,,
10485760,139.40234375,139.40234375,0.0,5,,,,,,,,,,,,
52428800,339.5078125,487.80859375,148.30078125,13,,,,,,,,,,,,
268435456,631.859375,925.87890625,294.01953125,70,,,,,,,,,,,,
1,139.5234375,139.5234375,0.0,6,,,,,,,,,,,,
1024,139.56640625,139.56640625,0.0,6,,,,,,,,,,,,
1048576,139.671875,139.671875,0.0,9,,,,,,,,,,,,
10485760,139.76171875,139.76171875,0.0,6,,,,,,,,,,,,
52428800,339.82421875,488.0625,148.23828125,13,,,,,,,,,,,,
268435456,1163.89453125,1930.25390625,766.359375,61,,,,,,,,,,,,
1,139.953125,139.953125,0.0,6,,,,,,,,,,,,
1024,139.890625,139.890625,0.0,6,,,,,,,,,,,,
1048576,139.890625,139.890625,0.0,9,,,,,,,,,,,,
10485760,140.00390625,140.00390625,0.0,6,,,,,,,,,,,,
52428800,340.07421875,480.30078125,140.2265625,15,,,,,,,,,,,,
268435456,596.171875,1106.625,510.453125,69,,,,,,,,,,,,
1,340.26953125,340.28515625,0.015625,6,,,,,,,,,,,,
1024,340.390625,340.390625,0.0,6,,,,,,,,,,,,
1048576,140.70703125,140.70703125,0.0,9,,,,,,,,,,,,
10485760,140.7109375,140.7109375,0.0,6,,,,,,,,,,,,
52428800,340.67578125,484.98046875,144.3046875,16,,,,,,,,,,,,
268435456,1164.74609375,2105.1171875,940.37109375,67,,,,,,,,,,,,
1,140.79296875,140.8046875,0.01171875,6,,,,,,,,,,,,
1024,140.9375,140.9375,0.0,6,,,,,,,,,,,,
1048576,141.171875,141.171875,0.0,8,,,,,,,,,,,,
10485760,141.34375,141.38671875,0.04296875,5,,,,,,,,,,,,
