case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
1,24.70703125,24.97265625,0.265625,5,,,,,,,,,,,,
1024,25.26953125,25.3046875,0.03515625,7,,,,,,,,,,,,
1048576,29.67578125,31.55078125,1.875,5,,,,,,,,,,,,
10485760,70.76953125,90.64453125,19.875,8,,,,,,,,,,,,
52428800,159.7578125,309.765625,150.0078125,20,,,,,,,,,,,,
268435456,415.8671875,1072.21875,656.3515625,74,,,,,,,,,,,,
1,159.97265625,159.97265625,0.0,16,,,,,,,,,,,,
1024,160.1015625,160.1015625,0.0,5,,,,,,,,,,,,
1048576,160.1875,160.1875,0.0,6,,,,,,,,,,,,
10485760,200.29296875,220.16796875,19.875,9,,,,,,,,,,,,
52428800,310.37109375,450.7109375,140.33984375,18,,,,,,,,,,,,
268435456,828.453125,1548.82421875,720.37109375,55,,,,,,,,,,,,
1,60.44140625,60.44140625,0.0,6,,,,,,,,,,,,
1024,60.44140625,60.44140625,0.0,26,,,,,,,,,,,,
1048576,60.48046875,60.48046875,0.0,5,,,,,,,,,,,,
10485760,90.39453125,90.56640625,0.171875,7,,,,,,,,,,,,
52428800,120.62890625,320.64453125,200.015625,14,,,,,,,,,,,,
268435456,582.72265625,1347.07421875,764.3515625,54,,,,,,,,,,,,
1,70.78515625,70.78515625,0.0,7,,,,,,,,,,,,
1024,70.78515625,70.78515625,0.0,6,,,,,,,,,,,,
1048576,70.78515625,70.78515625,0.0,6,,,,,,,,,,,,
10485760,70.83203125,73.83984375,3.0078125,16,,,,,,,,,,,,
52428800,170.89453125,313.234375,142.33984375,15,,,,,,,,,,,,
268435456,326.93359375,1350.9453125,1024.01171875,53,,,,,,,,,,,,
1,71.046875,71.046875,0.0,7,,,,,,,,,,,,
1024,71.1015625,71.1015625,0.0,5,,,,,,,,,,,,
1048576,71.16796875,71.16796875,0.0,7,,,,,,,,,,,,
10485760,71.16796875,81.04296875,9.875,9,,,,,,,,,,,,
52428800,161.1953125,323.546875,162.3515625,15,,,,,,,,,,,,
268435456,573.265625,1515.62890625,942.36328125,72,,,,,,,,,,,,
1,61.33984375,61.33984375,0.0,24,,,,,,,,,,,,
1024,61.49609375,61.49609375,0.0,5,,,,,,,,,,,,
1048576,61.51953125,61.51953125,0.0,6,,,,,,,,,,,,
10485760,71.4296875,78.67578125,7.24609375,8,,,,,,,,,,,,
52428800,361.625,507.859375,146.234375,17,,,,,,,,,,,,
268435456,673.66796875,1554.03125,880.36328125,67,,,,,,,,,,,,
1,161.7109375,161.7109375,0.0,21,,,,,,,,,,,,
1024,161.80859375,161.80859375,0.0,6,,,,,,,,,,,,
1048576,161.859375,161.859375,0.0,5,,,,,,,,,,,,
10485760,191.8359375,197.05078125,5.21484375,8,,,,,,,,,,,,
52428800,222.07421875,422.08984375,200.015625,17,,,,,,,,,,,,
268435456,840.16796875,1456.5390625,616.37109375,83,,,,,,,,,,,,
1,72.15625,72.15625,0.0,7,,,,,,,,,,,,
1024,72.15625,72.15625,0.0,7,,,,,,,,,,,,
1048576,72.15625,72.15625,0.0,7,,,,,,,,,,,,
10485760,82.01171875,87.2265625,5.21484375,8,,,,,,,,,,,,
52428800,162.3203125,311.5625,149.2421875,15,,,,,,,,,,,,
268435456,830.41015625,1508.78125,678.37109375,67,,,,,,,,,,,,
1,1086.515625,1086.515625,0.0,5,,,,,,,,,,,,
1024,62.60546875,62.60546875,0.0,6,,,,,,,,,,,,
1048576,62.60546875,62.60546875,0.0,6,,,,,,,,,,,,
10485760,102.60546875,122.48046875,19.875,8,,,,,,,,,,,,
52428800,202.61328125,352.38671875,149.7734375,17,,,,,,,,,,,,
268435456,614.61328125,1594.9765625,980.36328125,57,,,,,,,,,,,,
1,102.66796875,102.66796875,0.0,5,,,,,,,,,,,,
1024,102.72265625,102.72265625,0.0,5,,,,,,,,,,,,
1048576,102.80859375,102.80859375,0.0,13,,,,,,,,,,,,
10485760,112.546875,112.68359375,0.13671875,10,,,,,,,,,,,,
52428800,162.7734375,462.765625,299.9921875,19,,,,,,,,,,,,
268435456,468.84765625,980.35546875,511.5078125,66,,,,,,,,,,,,
