case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
update_keys,7.499999999999999e-06,,,
decrypt,7.249518999999999,,,
encrypt,7.512078,,,
update_keys,8e-06,,,
decrypt,5.4208039999999995,,,
encrypt,6.002852,,,
update_keys,7.499999999999999e-06,,,
decrypt,7.153220999999999,,,
encrypt,5.723243,,,
update_keys,1.8e-05,,,
decrypt,6.117482,,,
encrypt,5.324198,,,
update_keys,1.8e-05,,,
decrypt,5.245032,,,
encrypt,5.4144049999999995,,,
update_keys,6.5e-06,,,
decrypt,6.899387,,,
encrypt,6.799911,,,
update_keys,7e-06,,,
decrypt,6.160601,,,
encrypt,6.756641999999999,,,
update_keys,1.8999999999999998e-05,,,
decrypt,5.639487,,,
encrypt,5.585305,,,
update_keys,9.499999999999999e-06,,,
decrypt,5.353441999999999,,,
encrypt,5.509147,,,
update_keys,1.95e-05,,,
decrypt,8.655064,,,
encrypt,7.686775,,,
update_keys,1.85e-05,,,
decrypt,5.641877,,,
encrypt,5.983181,,,
update_keys,8e-06,,,
decrypt,6.622024,,,
encrypt,6.037294999999999,,,
update_keys,7e-06,,,
decrypt,6.800146,,,
encrypt,6.961767,,,
update_keys,7e-06,,,
decrypt,6.605042999999999,,,
encrypt,7.00765,,,
update_keys,7.499999999999999e-06,,,
decrypt,6.4062149999999995,,,
encrypt,6.495788,,,
update_keys,6.5e-06,,,
decrypt,6.347541,,,
encrypt,6.708914,,,
update_keys,1.9999999999999998e-05,,,
decrypt,6.593058,,,
encrypt,5.721137,,,
update_keys,4.8e-05,,,
decrypt,6.777747,,,
encrypt,7.049352,,,
update_keys,1.8999999999999998e-05,,,
decrypt,6.539003,,,
encrypt,7.089563999999999,,,
update_keys,7e-06,,,
decrypt,6.690735999999999,,,
encrypt,5.517246999999999,,,
update_keys,7.499999999999999e-06,,,
decrypt,6.513948,,,
encrypt,6.8632599999999995,,,
update_keys,7e-06,,,
decrypt,6.783713,,,
encrypt,7.0169999999999995,,,
update_keys,7e-06,,,
decrypt,6.751072,,,
encrypt,6.901406,,,
update_keys,1.2499999999999999e-05,,,
decrypt,7.173197,,,
encrypt,7.165153,,,
update_keys,1.6499999999999998e-05,,,
decrypt,6.699279,,,
encrypt,6.850366999999999,,,
update_keys,9.499999999999999e-06,,,
decrypt,7.975236,,,
encrypt,7.044696999999999,,,
update_keys,7e-06,,,
decrypt,6.834683999999999,,,
encrypt,6.747116,,,
update_keys,7e-06,,,
decrypt,5.112102999999999,,,
encrypt,5.660076999999999,,,
update_keys,7e-06,,,
decrypt,6.676506,,,
encrypt,6.888180999999999,,,
update_keys,1.05e-05,,,
decrypt,6.503896999999999,,,
encrypt,5.722885,,,
update_keys,1.85e-05,,,
