case,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,65.2,,,
2,62.8,,,
3,64.6,,,
4,75.0,,,
5,66.9,,,
6,58.9,,,
7,71.8,,,
8,74.4,,,
9,75.7,,,
10,81.2,,,
1,,48.9,,
2,,52.9,,
3,,78.7,,
4,,76.5,,
5,,71.2,,
6,,59.2,,
7,,64.0,,
8,,77.5,,
9,,55.4,,
10,,66.4,,
1,,,75.2,
2,,,64.5,
3,,,84.0,
4,,,65.4,
5,,,71.4,
6,,,75.3,
7,,,76.1,
8,,,77.7,
9,,,78.2,
10,,,74.3,
1,,,,52.1
2,,,,66.5
3,,,,56.5
4,,,,66.8
5,,,,70.7
6,,,,78.5
7,,,,77.5
8,,,,74.7
9,,,,71.8
10,,,,79.8
1,53.7,,,
2,65.0,,,
3,62.9,,,
4,62.0,,,
5,61.7,,,
6,75.5,,,
7,69.8,,,
8,68.5,,,
9,76.5,,,
10,66.2,,,
1,,74.9,,
2,,75.7,,
3,,66.6,,
4,,64.4,,
5,,80.4,,
6,,58.8,,
7,,67.1,,
8,,58.4,,
9,,73.0,,
10,,68.4,,
1,,,60.6,
2,,,67.3,
3,,,68.4,
4,,,69.3,
5,,,70.1,
6,,,73.8,
7,,,70.4,
8,,,70.4,
9,,,70.0,
10,,,73.8,
1,,,,66.8
2,,,,59.0
3,,,,66.5
4,,,,76.2
5,,,,66.3
6,,,,72.5
7,,,,73.2
8,,,,74.4
9,,,,78.2
10,,,,68.9
1,49.9,,,
2,62.9,,,
3,63.7,,,
4,71.3,,,
5,72.0,,,
6,76.6,,,
7,63.5,,,
8,70.6,,,
9,80.7,,,
10,74.8,,,
1,,62.3,,
2,,69.6,,
3,,54.4,,
4,,45.8,,
5,,54.3,,
6,,75.5,,
7,,64.0,,
8,,63.9,,
9,,69.8,,
10,,78.2,,
1,,,60.5,
2,,,67.0,
3,,,73.9,
4,,,60.7,
5,,,69.5,
6,,,78.1,
7,,,74.3,
8,,,70.9,
9,,,65.3,
10,,,79.9,
1,,,,66.2
2,,,,66.6
3,,,,62.1
4,,,,60.3
5,,,,59.2
6,,,,62.8
7,,,,71.4
8,,,,65.7
9,,,,76.6
10,,,,76.7
1,64.0,,,
2,72.7,,,
3,66.6,,,
4,76.9,,,
5,69.2,,,
6,78.2,,,
7,77.0,,,
8,61.9,,,
9,69.1,,,
10,70.5,,,
1,,67.6,,
2,,70.7,,
3,,68.5,,
4,,81.2,,
5,,74.0,,
6,,58.9,,
7,,64.5,,
8,,67.9,,
9,,53.4,,
10,,70.1,,
1,,,62.5,
2,,,61.0,
3,,,58.8,
4,,,68.4,
5,,,75.8,
6,,,81.0,
7,,,75.7,
8,,,71.5,
9,,,81.1,
10,,,71.3,
1,,,,68.3
2,,,,56.2
3,,,,62.7
4,,,,68.5
5,,,,67.0
6,,,,66.9
7,,,,69.7
8,,,,72.4
9,,,,70.9
10,,,,75.5
1,64.2,,,
2,77.0,,,
3,62.7,,,
4,67.0,,,
5,73.2,,,
6,80.5,,,
7,71.3,,,
8,80.4,,,
9,75.1,,,
10,69.6,,,
1,,67.1,,
2,,43.2,,
3,,74.3,,
4,,75.6,,
5,,61.6,,
6,,64.0,,
7,,58.9,,
8,,63.1,,
9,,64.7,,
10,,78.9,,
1,,,64.6,
2,,,58.0,
3,,,61.1,
4,,,69.5,
5,,,75.1,
6,,,67.8,
7,,,74.1,
8,,,70.4,
9,,,71.3,
10,,,78.4,
1,,,,55.6
2,,,,71.8
3,,,,65.0
4,,,,70.5
5,,,,63.2
6,,,,74.7
7,,,,77.0
8,,,,74.1
9,,,,74.8
10,,,,74.8
1,72.1,,,
2,65.1,,,
3,67.4,,,
4,69.3,,,
5,68.9,,,
6,72.1,,,
7,69.6,,,
8,74.6,,,
9,62.1,,,
10,62.5,,,
1,,55.5,,
2,,77.7,,
3,,67.1,,
4,,55.3,,
5,,58.6,,
6,,61.7,,
7,,72.0,,
8,,56.0,,
9,,81.2,,
10,,63.5,,
1,,,52.8,
2,,,57.0,
3,,,44.8,
4,,,73.3,
5,,,64.4,
6,,,75.2,
7,,,69.0,
8,,,74.8,
9,,,76.1,
10,,,81.6,
1,,,,56.6
2,,,,69.9
3,,,,60.0
4,,,,66.3
5,,,,65.7
6,,,,64.2
7,,,,74.0
8,,,,68.2
9,,,,70.2
10,,,,74.6
1,52.5,,,
2,57.3,,,
3,69.1,,,
4,63.1,,,
5,57.0,,,
6,80.9,,,
7,77.1,,,
8,66.2,,,
9,74.4,,,
10,70.0,,,
1,,67.1,,
2,,64.3,,
3,,54.5,,
4,,61.8,,
5,,55.7,,
6,,65.5,,
7,,74.8,,
8,,78.6,,
9,,71.1,,
10,,78.7,,
1,,,72.2,
2,,,70.8,
3,,,81.1,
4,,,59.1,
5,,,69.9,
6,,,64.6,
7,,,71.2,
8,,,71.5,
9,,,70.4,
10,,,81.6,
1,,,,56.9
2,,,,63.6
3,,,,72.3
4,,,,71.2
5,,,,60.6
6,,,,70.6
7,,,,68.6
8,,,,73.0
9,,,,74.0
10,,,,75.4
1,59.0,,,
2,54.3,,,
3,71.4,,,
4,69.8,,,
5,62.9,,,
6,58.1,,,
7,73.5,,,
8,76.5,,,
9,80.3,,,
10,75.0,,,
1,,70.5,,
2,,78.6,,
3,,53.6,,
4,,74.5,,
5,,54.9,,
6,,58.0,,
7,,70.1,,
8,,70.5,,
9,,49.2,,
10,,62.0,,
1,,,55.1,
2,,,62.4,
3,,,61.0,
4,,,65.0,
5,,,75.5,
6,,,76.1,
7,,,67.2,
8,,,68.5,
9,,,81.8,
10,,,71.1,
1,,,,54.0
2,,,,67.4
3,,,,57.5
4,,,,67.1
5,,,,71.5
6,,,,61.8
7,,,,67.2
8,,,,74.7
9,,,,72.0
10,,,,87.0
1,68.8,,,
2,62.7,,,
3,64.4,,,
4,57.1,,,
5,65.3,,,
6,67.4,,,
7,69.0,,,
8,66.1,,,
9,71.0,,,
10,68.9,,,
1,,55.3,,
2,,54.8,,
3,,64.6,,
4,,41.9,,
5,,50.1,,
6,,63.2,,
7,,68.2,,
8,,62.2,,
9,,45.8,,
10,,61.6,,
1,,,56.9,
2,,,57.0,
3,,,69.6,
4,,,70.4,
5,,,68.7,
6,,,80.3,
7,,,73.0,
8,,,72.7,
9,,,80.9,
10,,,83.4,
1,,,,76.9
2,,,,77.0
3,,,,75.9
4,,,,72.9
5,,,,84.4
6,,,,76.2
7,,,,73.6
8,,,,72.5
9,,,,76.7
10,,,,79.7
1,74.7,,,
2,74.0,,,
3,72.0,,,
4,67.1,,,
5,71.9,,,
6,80.5,,,
7,76.9,,,
8,81.0,,,
9,78.1,,,
10,75.1,,,
1,,78.8,,
2,,62.8,,
3,,73.4,,
4,,78.8,,
5,,76.4,,
6,,85.4,,
7,,78.8,,
8,,68.6,,
9,,84.3,,
10,,75.0,,
1,,,58.0,
2,,,63.9,
3,,,69.6,
4,,,66.8,
5,,,77.3,
6,,,79.2,
7,,,82.1,
8,,,73.7,
9,,,80.2,
10,,,82.1,
1,,,,63.4
2,,,,61.5
3,,,,75.1
4,,,,73.4
5,,,,70.6
6,,,,74.3
7,,,,71.7
8,,,,71.1
9,,,,78.9
10,,,,70.6
1,76.6,,,
2,62.8,,,
3,63.8,,,
4,67.5,,,
5,78.5,,,
6,76.0,,,
7,80.3,,,
8,74.9,,,
9,75.1,,,
10,67.8,,,
1,,78.6,,
2,,64.0,,
