case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
encrypt,24.0390625,24.046875,10,,,,,,,,,
decrypt,24.046875,24.046875,16,,,,,,,,,
encrypt,,,,23.63671875,23.68359375,14,,,,,,
decrypt,,,,23.74609375,23.74609375,6,,,,,,
encrypt,,,,,,,23.89453125,23.8984375,11,,,
decrypt,,,,,,,23.93359375,24.0390625,5,,,
encrypt,,,,,,,,,,24.90234375,24.9140625,12
decrypt,,,,,,,,,,24.9140625,24.9140625,6
encrypt,24.03515625,24.0546875,12,,,,,,,,,
decrypt,24.0546875,24.0546875,5,,,,,,,,,
encrypt,,,,23.6484375,23.72265625,9,,,,,,
decrypt,,,,23.72265625,23.72265625,6,,,,,,
encrypt,,,,,,,24.1171875,24.22265625,11,,,
decrypt,,,,,,,24.22265625,24.22265625,5,,,
encrypt,,,,,,,,,,24.96484375,24.96484375,13
decrypt,,,,,,,,,,24.96484375,24.96484375,6
encrypt,24.04296875,24.078125,11,,,,,,,,,
decrypt,24.078125,24.1015625,15,,,,,,,,,
encrypt,,,,23.6015625,23.65234375,8,,,,,,
decrypt,,,,23.65234375,23.65234375,6,,,,,,
encrypt,,,,,,,24.11328125,24.22265625,15,,,
decrypt,,,,,,,24.22265625,24.22265625,5,,,
encrypt,,,,,,,,,,24.88671875,24.953125,11
decrypt,,,,,,,,,,24.953125,24.953125,6
encrypt,24.046875,24.08203125,10,,,,,,,,,
decrypt,24.08203125,24.1015625,15,,,,,,,,,
encrypt,,,,23.6640625,23.73828125,11,,,,,,
decrypt,,,,23.73828125,23.73828125,7,,,,,,
encrypt,,,,,,,24.078125,24.18359375,14,,,
decrypt,,,,,,,24.18359375,24.18359375,5,,,
encrypt,,,,,,,,,,24.96484375,24.96875,13
decrypt,,,,,,,,,,24.96875,24.96875,6
encrypt,24.05859375,24.1015625,13,,,,,,,,,
decrypt,24.10546875,24.1328125,19,,,,,,,,,
encrypt,,,,23.62109375,23.6875,7,,,,,,
decrypt,,,,23.6875,23.6875,6,,,,,,
encrypt,,,,,,,24.12109375,24.1953125,11,,,
decrypt,,,,,,,24.1953125,24.1953125,5,,,
encrypt,,,,,,,,,,24.83203125,24.92578125,17
decrypt,,,,,,,,,,24.92578125,24.92578125,5
encrypt,24.046875,24.08203125,16,,,,,,,,,
decrypt,24.08203125,24.11328125,16,,,,,,,,,
encrypt,,,,23.68359375,23.7421875,9,,,,,,
decrypt,,,,23.7421875,23.7421875,6,,,,,,
encrypt,,,,,,,24.1953125,24.3046875,14,,,
decrypt,,,,,,,24.3046875,24.3046875,5,,,
encrypt,,,,,,,,,,24.88671875,24.98828125,12
decrypt,,,,,,,,,,24.98828125,24.98828125,6
encrypt,24.08984375,24.12890625,10,,,,,,,,,
decrypt,24.12890625,24.12890625,5,,,,,,,,,
encrypt,,,,23.62890625,23.6953125,8,,,,,,
decrypt,,,,23.6953125,23.6953125,6,,,,,,
encrypt,,,,,,,24.19140625,24.19140625,12,,,
decrypt,,,,,,,24.19140625,24.19140625,20,,,
encrypt,,,,,,,,,,24.74609375,24.82421875,11
decrypt,,,,,,,,,,24.83203125,24.8359375,6
encrypt,24.01171875,24.0546875,10,,,,,,,,,
decrypt,24.0546875,24.0703125,15,,,,,,,,,
encrypt,,,,23.69140625,23.75390625,8,,,,,,
decrypt,,,,23.75390625,23.75390625,7,,,,,,
encrypt,,,,,,,24.1875,24.296875,12,,,
decrypt,,,,,,,24.296875,24.296875,5,,,
encrypt,,,,,,,,,,24.94140625,24.94140625,14
decrypt,,,,,,,,,,24.94140625,24.94140625,7
encrypt,24.04296875,24.078125,10,,,,,,,,,
decrypt,24.078125,24.08203125,15,,,,,,,,,
encrypt,,,,23.63671875,23.69921875,8,,,,,,
decrypt,,,,23.69921875,23.69921875,6,,,,,,
encrypt,,,,,,,24.140625,24.22265625,10,,,
decrypt,,,,,,,24.22265625,24.22265625,5,,,
encrypt,,,,,,,,,,24.859375,24.94921875,11
decrypt,,,,,,,,,,24.94921875,24.94921875,6
encrypt,24.1171875,24.15234375,18,,,,,,,,,
