case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
1,23.3046875,23.3046875,15,,,,,,,,,
2,23.87109375,23.87109375,5,,,,,,,,,
3,24.08203125,24.08203125,15,,,,,,,,,
4,24.296875,24.296875,5,,,,,,,,,
5,24.4453125,24.51953125,16,,,,,,,,,
6,24.86328125,24.86328125,5,,,,,,,,,
7,24.953125,24.953125,19,,,,,,,,,
8,25.24609375,25.24609375,5,,,,,,,,,
9,25.25,25.25,5,,,,,,,,,
10,25.5,25.5078125,5,,,,,,,,,
1,,,,23.1640625,23.1640625,6,,,,,,
2,,,,23.5390625,23.5390625,6,,,,,,
3,,,,23.82421875,23.82421875,6,,,,,,
4,,,,24.15625,24.15625,6,,,,,,
5,,,,24.33203125,24.33203125,6,,,,,,
6,,,,24.59375,24.59375,6,,,,,,
7,,,,24.8828125,24.8828125,5,,,,,,
8,,,,24.87890625,24.87890625,6,,,,,,
9,,,,24.87890625,24.87890625,6,,,,,,
10,,,,25.1640625,25.1640625,6,,,,,,
1,,,,,,,23.3671875,23.38671875,5,,,
2,,,,,,,23.9296875,23.9296875,19,,,
3,,,,,,,24.28515625,24.28515625,5,,,
4,,,,,,,24.29296875,24.29296875,5,,,
5,,,,,,,24.62109375,24.62109375,5,,,
6,,,,,,,24.90234375,25.0703125,7,,,
7,,,,,,,25.4609375,25.55078125,6,,,
8,,,,,,,25.58984375,25.58984375,9,,,
9,,,,,,,25.61328125,25.625,6,,,
10,,,,,,,25.95703125,25.95703125,6,,,
