case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
1,23.06640625,23.3046875,11,,,,,,,,,
2,23.8671875,23.87109375,11,,,,,,,,,
3,24.06640625,24.08203125,11,,,,,,,,,
4,24.23828125,24.296875,11,,,,,,,,,
5,24.37109375,24.40625,10,,,,,,,,,
6,24.86328125,24.86328125,11,,,,,,,,,
7,24.953125,24.953125,10,,,,,,,,,
8,25.24609375,25.24609375,11,,,,,,,,,
9,25.25,25.25,13,,,,,,,,,
10,25.4375,25.5,12,,,,,,,,,
1,,,,22.94140625,23.0390625,7,,,,,,
2,,,,23.46875,23.5390625,8,,,,,,
3,,,,23.70703125,23.7578125,10,,,,,,
4,,,,24.15625,24.15625,8,,,,,,
5,,,,24.33203125,24.33203125,14,,,,,,
6,,,,24.57421875,24.59375,7,,,,,,
7,,,,24.75,24.8828125,9,,,,,,
8,,,,24.87890625,24.87890625,8,,,,,,
9,,,,24.87890625,24.87890625,6,,,,,,
10,,,,25.1640625,25.1640625,10,,,,,,
1,,,,,,,23.20703125,23.3671875,13,,,
2,,,,,,,23.9296875,23.9296875,10,,,
3,,,,,,,24.078125,24.28515625,11,,,
4,,,,,,,24.29296875,24.29296875,12,,,
5,,,,,,,24.55078125,24.609375,12,,,
6,,,,,,,24.8828125,24.90234375,14,,,
7,,,,,,,25.2890625,25.4140625,14,,,
8,,,,,,,25.5859375,25.58984375,15,,,
9,,,,,,,25.58984375,25.61328125,13,,,
10,,,,,,,25.890625,25.95703125,14,,,
