case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
encrypt,0.259403,,,
decrypt,0.047743999999999995,,,
decryption_keys,0.047393,,,
authsetup,2.9999999999999997e-05,,,
encrypt,,0.158408,,
decrypt,,0.006340999999999999,,
decryption_keys,,0.0,,
authsetup,,1.7e-05,,
encrypt,,,0.40345899999999996,
decrypt,,,0.146042,
decryption_keys,,,0.0,
authsetup,,,1.1999999999999999e-05,
encrypt,,,,0.37079
decrypt,,,,0.062358
decryption_keys,,,,0.00039799999999999997
authsetup,,,,1.8e-05
encrypt,0.37974199999999997,,,
decrypt,0.050542,,,
decryption_keys,0.050209,,,
authsetup,5.7999999999999994e-05,,,
encrypt,,0.169936,,
decrypt,,0.006718999999999999,,
decryption_keys,,0.0,,
authsetup,,1.8e-05,,
encrypt,,,0.368313,
decrypt,,,0.089405,
decryption_keys,,,1e-06,
authsetup,,,1.2e-05,
encrypt,,,,0.251034
decrypt,,,,0.043715
decryption_keys,,,,0.000365
authsetup,,,,1.7e-05
encrypt,0.37507799999999997,,,
decrypt,0.08182099999999999,,,
decryption_keys,0.081235,,,
authsetup,3.8e-05,,,
encrypt,,0.240178,,
decrypt,,0.006024,,
decryption_keys,,0.0,,
authsetup,,1.3e-05,,
encrypt,,,0.5475869999999999,
decrypt,,,0.085549,
decryption_keys,,,0.0,
authsetup,,,1.3000000000000001e-05,
encrypt,,,,0.309955
decrypt,,,,0.049761
decryption_keys,,,,0.00036399999999999996
authsetup,,,,1.6e-05
encrypt,0.544484,,,
decrypt,0.047429,,,
decryption_keys,0.047085999999999996,,,
authsetup,3.4e-05,,,
encrypt,,0.311695,,
decrypt,,0.00613,,
decryption_keys,,1e-06,,
authsetup,,1.8e-05,,
encrypt,,,0.27196899999999996,
decrypt,,,0.08498499999999999,
decryption_keys,,,0.0,
authsetup,,,1.3000000000000001e-05,
encrypt,,,,0.42330599999999996
decrypt,,,,0.050383
decryption_keys,,,,0.000594
authsetup,,,,1.5e-05
encrypt,0.31854299999999997,,,
decrypt,0.046986,,,
decryption_keys,0.046668999999999995,,,
authsetup,3.0999999999999995e-05,,,
encrypt,,0.21623299999999998,,
decrypt,,0.006259,,
decryption_keys,,0.0,,
authsetup,,1.6e-05,,
encrypt,,,0.352267,
decrypt,,,0.151744,
decryption_keys,,,1e-06,
authsetup,,,1.1e-05,
encrypt,,,,0.329669
decrypt,,,,0.049582999999999995
decryption_keys,,,,0.000358
authsetup,,,,1.6e-05
encrypt,0.46243599999999996,,,
decrypt,0.050698,,,
decryption_keys,0.050331,,,
authsetup,3.2e-05,,,
encrypt,,0.274354,,
decrypt,,0.006091,,
decryption_keys,,0.0,,
authsetup,,1.7e-05,,
encrypt,,,0.5184719999999999,
decrypt,,,0.116203,
decryption_keys,,,0.0,
authsetup,,,1.3e-05,
encrypt,,,,0.28428
decrypt,,,,0.06787699999999999
decryption_keys,,,,0.000359
authsetup,,,,1.5e-05
encrypt,0.693781,,,
decrypt,0.053631,,,
decryption_keys,0.053284,,,
authsetup,3.2e-05,,,
encrypt,,0.257806,,
decrypt,,0.014593,,
decryption_keys,,0.0,,
authsetup,,1.7999999999999997e-05,,
encrypt,,,0.371618,
decrypt,,,0.09848499999999999,
decryption_keys,,,0.0,
authsetup,,,1.1e-05,
encrypt,,,,0.42207799999999995
decrypt,,,,0.04937
decryption_keys,,,,0.000406
authsetup,,,,1.3000000000000001e-05
encrypt,0.28928,,,
decrypt,0.073057,,,
decryption_keys,0.072591,,,
authsetup,2.9999999999999997e-05,,,
encrypt,,0.200927,,
decrypt,,0.01719,,
decryption_keys,,1e-06,,
authsetup,,1.3999999999999998e-05,,
encrypt,,,0.321295,
decrypt,,,0.149694,
decryption_keys,,,1e-06,
authsetup,,,1.3e-05,
encrypt,,,,0.250892
decrypt,,,,0.059447
decryption_keys,,,,0.000392
authsetup,,,,1.4e-05
encrypt,0.286973,,,
decrypt,0.061352,,,
decryption_keys,0.061036,,,
authsetup,2.8e-05,,,
encrypt,,0.171562,,
decrypt,,0.006456,,
decryption_keys,,0.0,,
authsetup,,2.1e-05,,
encrypt,,,0.385152,
decrypt,,,0.143905,
decryption_keys,,,1e-06,
authsetup,,,1.2e-05,
encrypt,,,,0.40855199999999997
decrypt,,,,0.049505
decryption_keys,,,,0.00033999999999999997
authsetup,,,,1.4999999999999999e-05
encrypt,0.303444,,,
decrypt,0.092265,,,
decryption_keys,0.091931,,,
authsetup,3e-05,,,
encrypt,,0.301772,,
decrypt,,0.0072039999999999995,,
decryption_keys,,1e-06,,
authsetup,,2.9e-05,,
encrypt,,,0.648762,
decrypt,,,0.138716,
decryption_keys,,,1e-06,
authsetup,,,1.1e-05,
encrypt,,,,0.368451
decrypt,,,,0.055831
decryption_keys,,,,0.00039099999999999996
authsetup,,,,1.6e-05
encrypt,0.293468,,,
decrypt,0.07305299999999999,,,
decryption_keys,0.072686,,,
authsetup,3.4e-05,,,
encrypt,,0.213217,,
decrypt,,0.006248,,
decryption_keys,,0.0,,
authsetup,,1.8999999999999998e-05,,
encrypt,,,0.41670799999999997,
decrypt,,,0.082769,
decryption_keys,,,0.0,
authsetup,,,1.1e-05,
encrypt,,,,0.334283
decrypt,,,,0.056135
decryption_keys,,,,0.000453
authsetup,,,,1.6e-05
encrypt,0.30012099999999997,,,
decrypt,0.048021,,,
decryption_keys,0.047645,,,
authsetup,3.2e-05,,,
encrypt,,0.23854999999999998,,
decrypt,,0.006324,,
decryption_keys,,0.0,,
authsetup,,1.9e-05,,
encrypt,,,0.494961,
decrypt,,,0.095511,
decryption_keys,,,0.0,
authsetup,,,1.3000000000000001e-05,
encrypt,,,,0.44611599999999996
decrypt,,,,0.049795
decryption_keys,,,,0.00039999999999999996
authsetup,,,,1.7999999999999997e-05
encrypt,0.30175799999999997,,,
decrypt,0.044358999999999996,,,
decryption_keys,0.044043,,,
authsetup,3.3e-05,,,
encrypt,,0.281199,,
decrypt,,0.0064789999999999995,,
decryption_keys,,0.0,,
authsetup,,1.8e-05,,
encrypt,,,0.39380299999999996,
decrypt,,,0.114225,
decryption_keys,,,1e-06,
authsetup,,,1.3000000000000001e-05,
encrypt,,,,0.49032
decrypt,,,,0.051622999999999995
decryption_keys,,,,0.000392
authsetup,,,,1.4999999999999999e-05
encrypt,0.551694,,,
decrypt,0.048104999999999995,,,
decryption_keys,0.047743999999999995,,,
authsetup,4.599999999999999e-05,,,
encrypt,,0.195579,,
decrypt,,0.021481999999999998,,
decryption_keys,,1e-06,,
authsetup,,1.5e-05,,
encrypt,,,0.556037,
decrypt,,,0.090794,
decryption_keys,,,0.0,
authsetup,,,1e-05,
encrypt,,,,0.256455
decrypt,,,,0.053426999999999995
decryption_keys,,,,0.000404
authsetup,,,,1.7e-05
encrypt,0.379165,,,
decrypt,0.057124999999999995,,,
decryption_keys,0.056761,,,
authsetup,3.0999999999999995e-05,,,
encrypt,,0.24529099999999998,,
decrypt,,0.014419,,
decryption_keys,,0.0,,
authsetup,,1.4999999999999999e-05,,
encrypt,,,0.35453399999999996,
decrypt,,,0.125247,
decryption_keys,,,1e-06,
authsetup,,,1.4e-05,
encrypt,,,,0.252539
decrypt,,,,0.048424999999999996
decryption_keys,,,,0.000375
authsetup,,,,1.7e-05
encrypt,0.405865,,,
decrypt,0.097561,,,
decryption_keys,0.09696199999999999,,,
authsetup,3.2e-05,,,
encrypt,,0.305845,,
decrypt,,0.010298,,
decryption_keys,,1e-06,,
authsetup,,1.8e-05,,
encrypt,,,0.318497,
decrypt,,,0.12358,
decryption_keys,,,0.0,
