case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,3.2e-05,,,
2,2.9999999999999997e-05,,,
3,2.9999999999999997e-05,,,
4,3.7e-05,,,
5,3.0999999999999995e-05,,,
6,3.5e-05,,,
7,3.2e-05,,,
8,3.4e-05,,,
9,4.7e-05,,,
10,0.000145,,,
1,,3e-05,,
2,,1.7e-05,,
3,,1.9999999999999998e-05,,
4,,1.6e-05,,
5,,1.9e-05,,
6,,1.9e-05,,
7,,2.3e-05,,
8,,1.9999999999999998e-05,,
9,,1.8e-05,,
10,,1.9999999999999998e-05,,
1,,,1.1999999999999999e-05,
2,,,1.1999999999999999e-05,
3,,,9.999999999999999e-06,
4,,,9.999999999999999e-06,
5,,,1.1e-05,
6,,,1.6e-05,
7,,,1.3e-05,
8,,,1.3000000000000001e-05,
9,,,1.3e-05,
10,,,4.8e-05,
1,,,,2.6000000000000002e-05
2,,,,1.8e-05
3,,,,1.7999999999999997e-05
4,,,,1.9999999999999998e-05
5,,,,1.7999999999999997e-05
6,,,,1.8e-05
7,,,,1.7e-05
8,,,,1.7999999999999997e-05
9,,,,1.5e-05
10,,,,1.6e-05
1,3.5e-05,,,
2,5.7999999999999994e-05,,,
3,0.000113,,,
4,3.4e-05,,,
5,3.4e-05,,,
6,3.2e-05,,,
7,8.5e-05,,,
8,5.099999999999999e-05,,,
9,4.7e-05,,,
10,3.0999999999999995e-05,,,
1,,2.4999999999999998e-05,,
2,,1.8e-05,,
3,,1.9999999999999998e-05,,
4,,2.1e-05,,
5,,1.9e-05,,
6,,1.9999999999999998e-05,,
7,,1.8e-05,,
8,,1.9999999999999998e-05,,
9,,1.7e-05,,
10,,2.2999999999999997e-05,,
1,,,1.4999999999999999e-05,
2,,,1.2e-05,
3,,,1.1999999999999999e-05,
4,,,1.4e-05,
5,,,1e-05,
6,,,1.1999999999999999e-05,
7,,,1.1e-05,
8,,,1e-05,
9,,,1.1999999999999999e-05,
10,,,1.1999999999999999e-05,
1,,,,2.7000000000000002e-05
2,,,,1.7e-05
3,,,,1.7e-05
4,,,,1.7e-05
5,,,,1.5e-05
6,,,,1.8999999999999998e-05
7,,,,1.7e-05
8,,,,1.7e-05
9,,,,1.8e-05
10,,,,2.2999999999999997e-05
1,3.0999999999999995e-05,,,
2,3.8e-05,,,
3,2.9999999999999997e-05,,,
4,3.2e-05,,,
5,3.4e-05,,,
6,9.499999999999999e-05,,,
7,2.9999999999999997e-05,,,
8,3e-05,,,
9,3.3e-05,,,
10,3.0999999999999995e-05,,,
1,,1.9999999999999998e-05,,
2,,1.3e-05,,
3,,3.9e-05,,
4,,1.9999999999999998e-05,,
5,,1.9999999999999998e-05,,
6,,2.1e-05,,
7,,1.8e-05,,
