case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,0.047908,,,
2,0.047393,,,
3,0.087682,,,
4,0.051104,,,
5,0.082018,,,
6,0.104902,,,
7,0.076962,,,
8,0.120558,,,
9,0.084815,,,
10,0.10142899999999999,,,
1,,0.0,,
2,,0.0,,
3,,0.0,,
4,,1e-06,,
5,,0.0,,
6,,0.0,,
7,,1e-06,,
8,,0.0,,
9,,1e-06,,
10,,0.0,,
1,,,0.0,
2,,,0.0,
3,,,0.0,
4,,,0.0,
5,,,0.0,
6,,,0.0,
7,,,0.0,
8,,,1e-06,
9,,,0.0,
10,,,1e-06,
1,,,,0.136595
2,,,,0.00039799999999999997
3,,,,0.000359
4,,,,0.000384
5,,,,0.000384
6,,,,0.00038899999999999997
7,,,,0.000415
8,,,,0.000374
9,,,,0.000475
10,,,,0.000495
1,0.050873999999999996,,,
2,0.050209,,,
3,0.059236,,,
4,0.06686399999999999,,,
5,0.066979,,,
6,0.07232,,,
7,0.07703399999999999,,,
8,0.08696999999999999,,,
9,0.10257799999999999,,,
10,0.112255,,,
1,,0.0,,
2,,0.0,,
3,,0.0,,
4,,0.0,,
5,,1e-06,,
6,,1e-06,,
7,,1e-06,,
8,,0.0,,
9,,0.0,,
10,,0.0,,
1,,,0.0,
2,,,1e-06,
3,,,1e-06,
4,,,1e-06,
5,,,0.0,
6,,,1e-06,
7,,,0.0,
8,,,0.0,
9,,,0.0,
10,,,0.0,
1,,,,0.14638099999999998
2,,,,0.000365
3,,,,0.00039099999999999996
4,,,,0.00037
5,,,,0.000375
6,,,,0.000403
7,,,,0.000399
8,,,,0.00045999999999999996
9,,,,0.00036199999999999996
10,,,,0.000397
1,0.06647399999999999,,,
2,0.081235,,,
3,0.051287,,,
4,0.05686,,,
5,0.06511,,,
6,0.070475,,,
7,0.073223,,,
8,0.08412399999999999,,,
9,0.08974599999999999,,,
10,0.107099,,,
1,,0.0,,
2,,0.0,,
3,,0.0,,
4,,0.0,,
5,,0.0,,
6,,0.0,,
7,,0.0,,
8,,0.0,,
9,,1e-06,,
10,,0.0,,
1,,,1e-06,
2,,,0.0,
3,,,0.0,
4,,,0.0,
5,,,0.0,
6,,,1e-06,
7,,,1e-06,
8,,,1e-06,
9,,,1e-06,
10,,,0.0,
1,,,,0.13680299999999998
2,,,,0.00036399999999999996
3,,,,0.000383
4,,,,0.000423
5,,,,0.000375
6,,,,0.0005729999999999999
7,,,,0.000404
8,,,,0.000414
9,,,,0.00035999999999999997
10,,,,0.000363
1,0.058847,,,
2,0.047085999999999996,,,
3,0.06091,,,
4,0.060762,,,
