case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
decrypt,24.79296875,24.79296875,5,,,,,,,,,
encrypt,24.734375,24.79296875,11,,,,,,,,,
decrypt,,,,24.5234375,24.5234375,7,,,,,,
encrypt,,,,24.5234375,24.5234375,7,,,,,,
decrypt,,,,,,,24.87109375,24.87109375,5,,,
encrypt,,,,,,,24.7890625,24.85546875,13,,,
decrypt,,,,,,,,,,25.75390625,25.91015625,7
encrypt,,,,,,,,,,25.75390625,25.75390625,16
decrypt,24.85546875,24.95703125,5,,,,,,,,,
encrypt,24.85546875,24.85546875,13,,,,,,,,,
decrypt,,,,24.37109375,24.37109375,6,,,,,,
encrypt,,,,24.37109375,24.37109375,6,,,,,,
decrypt,,,,,,,25.0859375,25.1484375,5,,,
encrypt,,,,,,,24.92578125,25.078125,11,,,
decrypt,,,,,,,,,,25.6484375,25.734375,6
encrypt,,,,,,,,,,25.6484375,25.6484375,14
decrypt,24.8359375,24.8359375,5,,,,,,,,,
encrypt,24.71875,24.8359375,12,,,,,,,,,
decrypt,,,,24.44921875,24.44921875,6,,,,,,
encrypt,,,,24.44921875,24.44921875,7,,,,,,
decrypt,,,,,,,24.8515625,24.8515625,5,,,
encrypt,,,,,,,24.84375,24.8515625,14,,,
decrypt,,,,,,,,,,25.75390625,25.87890625,6
encrypt,,,,,,,,,,25.75,25.75390625,21
decrypt,24.59375,24.59765625,5,,,,,,,,,
encrypt,24.58984375,24.59375,12,,,,,,,,,
decrypt,,,,24.37109375,24.37109375,6,,,,,,
encrypt,,,,24.37109375,24.37109375,6,,,,,,
decrypt,,,,,,,24.9765625,25.04296875,5,,,
encrypt,,,,,,,24.828125,24.9765625,13,,,
decrypt,,,,,,,,,,25.59375,25.6796875,6
encrypt,,,,,,,,,,25.59375,25.59375,13
decrypt,24.73046875,24.73046875,19,,,,,,,,,
encrypt,24.6171875,24.6171875,11,,,,,,,,,
decrypt,,,,24.39453125,24.39453125,6,,,,,,
encrypt,,,,24.39453125,24.39453125,7,,,,,,
decrypt,,,,,,,25.11328125,25.1171875,5,,,
encrypt,,,,,,,25.109375,25.11328125,17,,,
decrypt,,,,,,,,,,25.703125,25.79296875,7
encrypt,,,,,,,,,,25.703125,25.703125,14
decrypt,24.89453125,24.99609375,5,,,,,,,,,
encrypt,24.89453125,24.89453125,11,,,,,,,,,
decrypt,,,,24.359375,24.359375,7,,,,,,
encrypt,,,,24.359375,24.359375,8,,,,,,
decrypt,,,,,,,24.77734375,24.83984375,6,,,
encrypt,,,,,,,24.77734375,24.77734375,14,,,
decrypt,,,,,,,,,,25.71484375,25.80078125,7
encrypt,,,,,,,,,,25.71484375,25.71484375,13
decrypt,24.984375,24.984375,5,,,,,,,,,
encrypt,24.88671875,24.984375,15,,,,,,,,,
decrypt,,,,24.40625,24.40625,6,,,,,,
encrypt,,,,24.40625,24.40625,7,,,,,,
decrypt,,,,,,,24.921875,24.921875,5,,,
encrypt,,,,,,,24.921875,24.921875,14,,,
decrypt,,,,,,,,,,25.6171875,25.69140625,6
encrypt,,,,,,,,,,25.6171875,25.6171875,14
decrypt,24.76953125,24.78125,20,,,,,,,,,
encrypt,24.703125,24.76953125,12,,,,,,,,,
decrypt,,,,24.54296875,24.54296875,8,,,,,,
encrypt,,,,24.54296875,24.54296875,6,,,,,,
decrypt,,,,,,,24.87109375,24.87109375,5,,,
encrypt,,,,,,,24.87109375,24.87109375,11,,,
decrypt,,,,,,,,,,25.68359375,25.765625,7
encrypt,,,,,,,,,,25.68359375,25.68359375,14
decrypt,24.78125,24.78125,5,,,,,,,,,
encrypt,24.6953125,24.78125,12,,,,,,,,,
decrypt,,,,24.2890625,24.2890625,6,,,,,,
encrypt,,,,24.2890625,24.2890625,9,,,,,,
decrypt,,,,,,,24.98046875,25.01171875,5,,,
encrypt,,,,,,,24.98046875,24.98046875,16,,,
decrypt,,,,,,,,,,25.6875,25.76171875,7
encrypt,,,,,,,,,,25.6875,25.6875,13
decrypt,24.8203125,24.8203125,19,,,,,,,,,
encrypt,24.71875,24.8203125,11,,,,,,,,,
decrypt,,,,24.328125,24.328125,5,,,,,,
encrypt,,,,24.328125,24.328125,7,,,,,,
decrypt,,,,,,,24.9921875,25.0625,5,,,
encrypt,,,,,,,24.98828125,24.9921875,12,,,
decrypt,,,,,,,,,,25.64453125,25.734375,7
encrypt,,,,,,,,,,25.64453125,25.64453125,15
decrypt,24.71875,24.71875,5,,,,,,,,,
encrypt,24.71875,24.71875,12,,,,,,,,,
decrypt,,,,24.3359375,24.3359375,6,,,,,,
encrypt,,,,24.3359375,24.3359375,10,,,,,,
decrypt,,,,,,,25.08984375,25.13671875,5,,,
encrypt,,,,,,,25.0859375,25.08984375,11,,,
decrypt,,,,,,,,,,25.671875,25.78125,7
encrypt,,,,,,,,,,25.671875,25.671875,13
decrypt,24.96875,24.9765625,20,,,,,,,,,
encrypt,24.7890625,24.88671875,16,,,,,,,,,
decrypt,,,,24.3515625,24.3515625,6,,,,,,
encrypt,,,,24.3515625,24.3515625,10,,,,,,
decrypt,,,,,,,25.1015625,25.2265625,6,,,
encrypt,,,,,,,25.1015625,25.1015625,14,,,
decrypt,,,,,,,,,,25.66796875,25.765625,7
encrypt,,,,,,,,,,25.66796875,25.66796875,15
decrypt,24.8515625,24.85546875,5,,,,,,,,,
encrypt,24.7265625,24.84765625,16,,,,,,,,,
decrypt,,,,24.3671875,24.3671875,6,,,,,,
encrypt,,,,24.3671875,24.3671875,9,,,,,,
decrypt,,,,,,,24.83984375,24.83984375,5,,,
encrypt,,,,,,,24.78515625,24.82421875,12,,,
decrypt,,,,,,,,,,25.68359375,25.77734375,8
encrypt,,,,,,,,,,25.68359375,25.68359375,14
decrypt,24.6796875,24.6796875,5,,,,,,,,,
encrypt,24.6796875,24.6796875,11,,,,,,,,,
decrypt,,,,24.3515625,24.3515625,6,,,,,,
encrypt,,,,24.3515625,24.3515625,9,,,,,,
