case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.041268,,,
size 2,0.086564,,,
size 3,0.111458,,,
size 4,0.07599299999999999,,,
size 5,0.07865599999999999,,,
size 6,0.077765,,,
size 7,0.071684,,,
size 8,0.08279199999999999,,,
size 9,0.089749,,,
size 10,0.103627,,,
size 1,,0.014681,,
size 2,,0.012098,,
size 3,,0.017218999999999998,,
size 4,,0.017103999999999998,,
size 5,,0.006536999999999999,,
size 6,,0.006728,,
size 7,,0.009736999999999999,,
size 8,,0.007013999999999999,,
size 9,,0.006196,,
size 10,,0.007672999999999999,,
size 1,,,0.034721,
size 2,,,0.0468,
size 3,,,0.067021,
size 4,,,0.097593,
size 5,,,0.073678,
size 6,,,0.082497,
size 7,,,0.090181,
size 8,,,0.10269099999999999,
size 9,,,0.143421,
size 10,,,0.11418099999999999,
size 1,,,,0.18112899999999998
size 2,,,,0.049817
size 3,,,,0.051406999999999994
size 4,,,,0.064496
size 5,,,,0.07180299999999999
size 6,,,,0.08388999999999999
size 7,,,,0.10800799999999999
size 8,,,,0.10740699999999999
size 9,,,,0.112798
size 10,,,,0.12628499999999998
size 1,0.043079,,,
size 2,0.064513,,,
size 3,0.056061,,,
size 4,0.066119,,,
size 5,0.076555,,,
size 6,0.09487999999999999,,,
size 7,0.081855,,,
size 8,0.08959099999999999,,,
size 9,0.091873,,,
size 10,0.085995,,,
size 1,,0.014208,,
size 2,,0.0061189999999999994,,
size 3,,0.006326,,
size 4,,0.007451999999999999,,
size 5,,0.006836999999999999,,
size 6,,0.014619,,
size 7,,0.012728,,
size 8,,0.006781,,
size 9,,0.007483999999999999,,
size 10,,0.025495999999999998,,
size 1,,,0.056037,
size 2,,,0.050865999999999995,
size 3,,,0.075844,
size 4,,,0.06969299999999999,
size 5,,,0.072467,
size 6,,,0.11143199999999999,
size 7,,,0.11123699999999999,
size 8,,,0.10213599999999999,
size 9,,,0.107098,
size 10,,,0.119251,
size 1,,,,0.187963
size 2,,,,0.052523
size 3,,,,0.062421
size 4,,,,0.061362999999999994
size 5,,,,0.07332799999999999
size 6,,,,0.090473
size 7,,,,0.094151
size 8,,,,0.11195799999999999
size 9,,,,0.09940399999999999
size 10,,,,0.120637
size 1,0.041274,,,
size 2,0.10685,,,
size 3,0.057116,,,
size 4,0.057841,,,
size 5,0.061409,,,
size 6,0.081162,,,
size 7,0.075361,,,
size 8,0.163382,,,
size 9,0.11072399999999999,,,
size 10,0.1283,,,
size 1,,0.006176,,
size 2,,0.0060739999999999995,,
size 3,,0.006523999999999999,,
size 4,,0.014613,,
size 5,,0.006352,,
size 6,,0.006338,,
size 7,,0.012988999999999999,,
size 8,,0.006346,,
size 9,,0.006083,,
size 10,,0.006424999999999999,,
size 1,,,0.042669,
size 2,,,0.054513,
size 3,,,0.061971,
size 4,,,0.06939,
size 5,,,0.082176,
size 6,,,0.08816199999999999,
size 7,,,0.105754,
size 8,,,0.110194,
size 9,,,0.11350199999999999,
size 10,,,0.13733399999999998,
size 1,,,,0.20741199999999999
size 2,,,,0.050255999999999995
size 3,,,,0.058400999999999995
size 4,,,,0.066379
size 5,,,,0.075422
size 6,,,,0.082587
size 7,,,,0.090178
size 8,,,,0.10371799999999999
size 9,,,,0.111843
size 10,,,,0.12154899999999999
size 1,0.11248,,,
size 2,0.046173,,,
size 3,0.060856999999999994,,,
size 4,0.058122999999999994,,,
size 5,0.06669699999999999,,,
size 6,0.076722,,,
size 7,0.092512,,,
size 8,0.076017,,,
size 9,0.082368,,,
size 10,0.08658199999999999,,,
size 1,,0.011385,,
size 2,,0.005974999999999999,,
size 3,,0.015771999999999998,,
size 4,,0.024770999999999998,,
size 5,,0.017258,,
size 6,,0.0063419999999999995,,
size 7,,0.01608,,
size 8,,0.0063,,
size 9,,0.017705,,
size 10,,0.006255999999999999,,
size 1,,,0.055607,
size 2,,,0.048315,
size 3,,,0.054925999999999996,
size 4,,,0.111444,
size 5,,,0.073658,
size 6,,,0.088979,
size 7,,,0.10074,
size 8,,,0.092399,
size 9,,,0.104332,
size 10,,,0.108349,
size 1,,,,0.18353699999999998
size 2,,,,0.043199
size 3,,,,0.054394
size 4,,,,0.064119
size 5,,,,0.072125
size 6,,,,0.074943
size 7,,,,0.11220899999999999
size 8,,,,0.108663
size 9,,,,0.09938999999999999
size 10,,,,0.113635
size 1,0.047179,,,
size 2,0.054113999999999995,,,
size 3,0.056657,,,
size 4,0.049879,,,
size 5,0.057447,,,
size 6,0.08187799999999999,,,
size 7,0.067481,,,
size 8,0.080149,,,
size 9,0.07561999999999999,,,
size 10,0.078097,,,
size 1,,0.010928,,
size 2,,0.028949,,
size 3,,0.013677,,
size 4,,0.021389,,
size 5,,0.006317,,
size 6,,0.014832999999999999,,
size 7,,0.014830999999999999,,
size 8,,0.017471999999999998,,
size 9,,0.00613,,
size 10,,0.014728999999999999,,
size 1,,,0.040324,
size 2,,,0.076912,
size 3,,,0.087367,
