case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
decrypt,0.00035999999999999997,,,
encrypt,0.5323479999999999,,,
decryption_keys,0.075958,,,
decrypt,,0.006568999999999999,,
encrypt,,0.43013399999999996,,
decryption_keys,,1e-06,,
decrypt,,,0.09526599999999999,
encrypt,,,0.480695,
decryption_keys,,,0.0,
decrypt,,,,0.09404699999999999
encrypt,,,,0.47941599999999995
decryption_keys,,,,0.000345
decrypt,0.000359,,,
encrypt,0.523795,,,
decryption_keys,0.07753199999999999,,,
decrypt,,0.00629,,
encrypt,,0.250979,,
decryption_keys,,0.0,,
decrypt,,,0.098356,
encrypt,,,0.607525,
decryption_keys,,,0.0,
decrypt,,,,0.11614
encrypt,,,,0.685564
decryption_keys,,,,0.00053
decrypt,0.000394,,,
encrypt,0.34793799999999997,,,
decryption_keys,0.07518799999999999,,,
decrypt,,0.006241999999999999,,
encrypt,,0.32641899999999996,,
decryption_keys,,0.0,,
decrypt,,,0.136105,
encrypt,,,0.452161,
decryption_keys,,,0.0,
decrypt,,,,0.090391
encrypt,,,,0.506875
decryption_keys,,,,0.000381
decrypt,0.000335,,,
encrypt,0.479147,,,
decryption_keys,0.104117,,,
decrypt,,0.006352,,
encrypt,,0.266348,,
decryption_keys,,0.0,,
decrypt,,,0.093876,
encrypt,,,0.52328,
decryption_keys,,,0.0,
decrypt,,,,0.09521099999999999
encrypt,,,,0.411976
decryption_keys,,,,0.000356
decrypt,0.000317,,,
encrypt,0.420713,,,
decryption_keys,0.083399,,,
decrypt,,0.006486,,
encrypt,,0.149631,,
decryption_keys,,0.0,,
decrypt,,,0.115505,
encrypt,,,0.40742799999999996,
decryption_keys,,,0.0,
decrypt,,,,0.093904
encrypt,,,,0.47845899999999997
decryption_keys,,,,0.000395
decrypt,0.00033999999999999997,,,
encrypt,0.44821,,,
decryption_keys,0.102377,,,
decrypt,,0.006287999999999999,,
encrypt,,0.219104,,
decryption_keys,,0.0,,
decrypt,,,0.09575199999999999,
encrypt,,,0.44731499999999996,
decryption_keys,,,1e-06,
decrypt,,,,0.10748999999999999
encrypt,,,,0.557762
decryption_keys,,,,0.000605
decrypt,0.00045799999999999997,,,
encrypt,0.402512,,,
decryption_keys,0.085855,,,
decrypt,,0.008747999999999999,,
encrypt,,0.181576,,
decryption_keys,,0.0,,
decrypt,,,0.098316,
encrypt,,,0.471412,
decryption_keys,,,1e-06,
decrypt,,,,0.089472
encrypt,,,,0.42222099999999996
decryption_keys,,,,0.000377
decrypt,0.00033,,,
encrypt,0.40077399999999996,,,
decryption_keys,0.076889,,,
decrypt,,0.006353,,
encrypt,,0.164491,,
decryption_keys,,0.0,,
decrypt,,,0.094493,
encrypt,,,0.513479,
decryption_keys,,,0.0,
decrypt,,,,0.094497
encrypt,,,,0.9051039999999999
decryption_keys,,,,0.000377
decrypt,0.000338,,,
encrypt,0.380777,,,
decryption_keys,0.076831,,,
decrypt,,0.006489,,
encrypt,,0.202557,,
decryption_keys,,0.0,,
decrypt,,,0.09464099999999999,
encrypt,,,0.43173999999999996,
decryption_keys,,,0.0,
decrypt,,,,0.11313899999999999
encrypt,,,,0.44164
decryption_keys,,,,0.000647
decrypt,0.000367,,,
encrypt,0.46255599999999997,,,
decryption_keys,0.080424,,,
decrypt,,0.006286,,
encrypt,,0.233904,,
decryption_keys,,1e-06,,
decrypt,,,0.095957,
encrypt,,,0.639058,
decryption_keys,,,0.0,
decrypt,,,,0.10256
encrypt,,,,0.582361
decryption_keys,,,,0.00037999999999999997
decrypt,0.00039299999999999996,,,
encrypt,0.457478,,,
decryption_keys,0.07753399999999999,,,
decrypt,,0.0062569999999999995,,
encrypt,,0.357387,,
decryption_keys,,0.0,,
decrypt,,,0.099035,
encrypt,,,0.45907,
decryption_keys,,,1e-06,
decrypt,,,,0.098172
encrypt,,,,0.507729
decryption_keys,,,,0.000377
decrypt,0.000374,,,
encrypt,0.352639,,,
decryption_keys,0.084796,,,
decrypt,,0.007880999999999999,,
encrypt,,0.278369,,
decryption_keys,,1e-06,,
decrypt,,,0.102116,
encrypt,,,0.437366,
decryption_keys,,,1e-06,
decrypt,,,,0.09766699999999999
encrypt,,,,0.43713799999999997
decryption_keys,,,,0.00039999999999999996
decrypt,0.000323,,,
encrypt,0.639215,,,
decryption_keys,0.06973599999999999,,,
decrypt,,0.007083,,
encrypt,,0.260522,,
decryption_keys,,0.0,,
