case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.609157,,,
size 2,0.420044,,,
size 3,0.473723,,,
size 4,0.383208,,,
size 5,0.48396,,,
size 6,0.354997,,,
size 7,0.5323479999999999,,,
size 8,0.639315,,,
size 9,0.42557599999999995,,,
size 10,0.488346,,,
size 1,,0.39097499999999996,,
size 2,,0.166767,,
size 3,,0.198035,,
size 4,,0.354605,,
size 5,,0.24707099999999999,,
size 6,,0.41692399999999996,,
size 7,,0.43013399999999996,,
size 8,,0.162938,,
size 9,,0.351838,,
size 10,,0.273965,,
size 1,,,0.47106,
size 2,,,0.491942,
size 3,,,0.380783,
size 4,,,0.45006199999999996,
size 5,,,0.48322099999999996,
size 6,,,0.40553799999999995,
size 7,,,0.480695,
size 8,,,0.553676,
size 9,,,0.673138,
size 10,,,0.5759369999999999,
size 1,,,,0.47323099999999996
size 2,,,,0.28143599999999996
size 3,,,,0.378208
size 4,,,,0.392603
size 5,,,,0.44626899999999997
size 6,,,,0.388942
size 7,,,,0.47941599999999995
size 8,,,,0.456061
size 9,,,,0.654185
size 10,,,,0.640296
size 1,0.36836599999999997,,,
size 2,0.441341,,,
size 3,0.9207059999999999,,,
size 4,0.30586599999999997,,,
size 5,0.371,,,
size 6,0.454314,,,
size 7,0.523795,,,
size 8,0.42278,,,
size 9,0.539524,,,
size 10,0.497086,,,
size 1,,0.256449,,
size 2,,0.176198,,
size 3,,0.193161,,
size 4,,0.22522899999999998,,
size 5,,0.295547,,
size 6,,0.27305399999999996,,
size 7,,0.250979,,
size 8,,0.43404,,
size 9,,0.26139999999999997,,
size 10,,0.18792899999999998,,
size 1,,,0.45032999999999995,
size 2,,,0.471089,
size 3,,,0.396376,
size 4,,,0.346591,
size 5,,,0.36407799999999996,
size 6,,,0.436085,
size 7,,,0.607525,
size 8,,,0.635806,
size 9,,,0.507693,
size 10,,,0.510416,
size 1,,,,0.404535
size 2,,,,0.450271
size 3,,,,0.486481
size 4,,,,0.47282799999999997
size 5,,,,0.4286
size 6,,,,0.46981999999999996
size 7,,,,0.685564
size 8,,,,0.46468099999999996
size 9,,,,0.467205
size 10,,,,0.549045
size 1,0.37524799999999997,,,
size 2,0.29383899999999996,,,
size 3,0.388042,,,
size 4,0.641145,,,
size 5,0.416931,,,
size 6,0.382544,,,
size 7,0.34793799999999997,,,
size 8,0.43870899999999996,,,
size 9,0.512864,,,
size 10,0.444783,,,
size 1,,0.242004,,
size 2,,0.23889,,
size 3,,0.277545,,
size 4,,0.14525,,
size 5,,0.241369,,
size 6,,0.255241,,
size 7,,0.32641899999999996,,
size 8,,0.253699,,
size 9,,0.216836,,
size 10,,0.202905,,
size 1,,,0.42544699999999996,
size 2,,,0.33778199999999997,
size 3,,,0.302454,
size 4,,,0.607746,
size 5,,,0.40243399999999996,
size 6,,,0.427716,
size 7,,,0.452161,
size 8,,,0.559804,
size 9,,,0.6159279999999999,
size 10,,,0.536003,
size 1,,,,0.282009
size 2,,,,0.34102899999999997
size 3,,,,0.392041
size 4,,,,0.427498
size 5,,,,0.335259
size 6,,,,0.388449
size 7,,,,0.506875
size 8,,,,0.394377
size 9,,,,0.47775399999999996
size 10,,,,0.617792
size 1,0.389855,,,
size 2,0.302401,,,
size 3,0.296693,,,
size 4,0.370724,,,
size 5,0.37532699999999997,,,
size 6,0.734178,,,
size 7,0.479147,,,
size 8,0.45658,,,
size 9,0.459478,,,
size 10,0.48682,,,
size 1,,0.27760999999999997,,
size 2,,0.175646,,
size 3,,0.198686,,
size 4,,0.142177,,
size 5,,0.166758,,
size 6,,0.286309,,
size 7,,0.266348,,
size 8,,0.209562,,
size 9,,0.273005,,
size 10,,0.289798,,
size 1,,,0.276008,
size 2,,,0.425081,
size 3,,,0.340423,
size 4,,,0.47706699999999996,
size 5,,,0.495745,
size 6,,,0.44128399999999995,
size 7,,,0.52328,
size 8,,,0.564085,
size 9,,,0.5230049999999999,
size 10,,,0.7962899999999999,
size 1,,,,0.36464199999999997
size 2,,,,0.27386699999999997
size 3,,,,0.400908
size 4,,,,0.354889
size 5,,,,0.380347
size 6,,,,0.46297699999999997
size 7,,,,0.411976
size 8,,,,0.46702299999999997
size 9,,,,0.5371469999999999
size 10,,,,0.53572
size 1,0.5735089999999999,,,
size 2,0.29636599999999996,,,
size 3,0.32840199999999997,,,
size 4,0.31999099999999997,,,
size 5,0.30815699999999996,,,
size 6,0.536368,,,
size 7,0.420713,,,
size 8,0.41081399999999996,,,
size 9,0.5526719999999999,,,
size 10,0.5846049999999999,,,
size 1,,0.289275,,
size 2,,0.19164499999999998,,
size 3,,0.24465699999999999,,
size 4,,0.179224,,
size 5,,0.260438,,
size 6,,0.228543,,
size 7,,0.149631,,
size 8,,0.188405,,
size 9,,0.352865,,
size 10,,0.180668,,
size 1,,,0.42083299999999996,
size 2,,,0.451115,
size 3,,,0.354328,
size 4,,,0.436313,
size 5,,,0.437668,
size 6,,,0.44060699999999997,
size 7,,,0.40742799999999996,
size 8,,,0.529256,
size 9,,,0.7900849999999999,
size 10,,,0.6441089999999999,
size 1,,,,0.479666
size 2,,,,0.35384099999999996
size 3,,,,0.333752
size 4,,,,0.34202899999999997
size 5,,,,0.423346
size 6,,,,0.42697599999999997
size 7,,,,0.47845899999999997
size 8,,,,0.49405699999999997
size 9,,,,0.47024699999999997
size 10,,,,0.6030479999999999
size 1,0.357556,,,
size 2,0.394159,,,
size 3,0.394741,,,
size 4,0.415604,,,
size 5,0.373745,,,
size 6,0.363824,,,
size 7,0.44821,,,
size 8,0.46623,,,
size 9,0.46165999999999996,,,
size 10,0.60503,,,
size 1,,0.42663799999999996,,
size 2,,0.44800399999999996,,
size 3,,0.288577,,
size 4,,0.156199,,
size 5,,0.235845,,
size 6,,0.17493,,
size 7,,0.219104,,
size 8,,0.16594399999999998,,
size 9,,0.18048899999999998,,
size 10,,0.26065299999999997,,
size 1,,,0.356241,
size 2,,,0.37811999999999996,
size 3,,,0.42297599999999996,
size 4,,,0.370232,
size 5,,,0.592656,
size 6,,,0.6757679999999999,
size 7,,,0.44731499999999996,
size 8,,,0.477404,
size 9,,,0.629819,
size 10,,,0.579266,
size 1,,,,0.344726
size 2,,,,0.377687
size 3,,,,0.336582
size 4,,,,0.43318199999999996
size 5,,,,0.531438
size 6,,,,0.610394
size 7,,,,0.557762
size 8,,,,0.505302
size 9,,,,0.610825
size 10,,,,0.665716
size 1,0.477066,,,
size 2,0.6037469999999999,,,
size 3,0.31118799999999996,,,
size 4,0.33588199999999996,,,
size 5,0.334244,,,
size 6,0.366184,,,
size 7,0.402512,,,
size 8,0.477307,,,
size 9,0.478881,,,
size 10,0.42264999999999997,,,
size 1,,0.21465099999999998,,
size 2,,0.251694,,
size 3,,0.372621,,
size 4,,0.159082,,
size 5,,0.15986699999999998,,
size 6,,0.191515,,
size 7,,0.181576,,
size 8,,0.32533799999999996,,
size 9,,0.186173,,
size 10,,0.474995,,
size 1,,,0.407282,
size 2,,,0.37096599999999996,
size 3,,,0.46727599999999997,
size 4,,,0.48263399999999995,
size 5,,,0.47543599999999997,
size 6,,,0.460445,
size 7,,,0.471412,
size 8,,,0.513682,
size 9,,,0.551165,
size 10,,,0.5862999999999999,
size 1,,,,0.25848299999999996
size 2,,,,0.512172
size 3,,,,0.31038499999999997
size 4,,,,0.310198
size 5,,,,0.382156
size 6,,,,0.486101
size 7,,,,0.42222099999999996
size 8,,,,0.618575
size 9,,,,0.571133
size 10,,,,0.522492
size 1,0.339514,,,
size 2,0.34127199999999996,,,
size 3,0.337063,,,
size 4,0.350031,,,
size 5,0.421529,,,
size 6,0.496345,,,
size 7,0.40077399999999996,,,
size 8,0.42444899999999997,,,
size 9,0.389405,,,
size 10,0.499063,,,
size 1,,0.31524399999999997,,
size 2,,0.243394,,
size 3,,0.14421399999999998,,
size 4,,0.28268699999999997,,
size 5,,0.146478,,
size 6,,0.247025,,
size 7,,0.164491,,
size 8,,0.280885,,
size 9,,0.213695,,
size 10,,0.194163,,
size 1,,,0.553886,
size 2,,,0.28748999999999997,
size 3,,,0.373351,
size 4,,,0.419246,
size 5,,,0.366961,
size 6,,,0.402648,
size 7,,,0.513479,
size 8,,,0.483162,
size 9,,,0.6356419999999999,
size 10,,,0.679848,
size 1,,,,0.500038
size 2,,,,0.336768
size 3,,,,0.316608
size 4,,,,0.376216
size 5,,,,0.340669
size 6,,,,0.41876599999999997
size 7,,,,0.9051039999999999
size 8,,,,0.553092
size 9,,,,0.646753
size 10,,,,0.514138
size 1,0.324169,,,
size 2,0.357697,,,
size 3,0.515405,,,
size 4,0.36668999999999996,,,
size 5,0.425823,,,
size 6,0.427122,,,
size 7,0.380777,,,
