case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.4799999999998761,,,
size 2,0.3200000000001637,,,
size 3,0.4100000000001103,,,
size 4,0.39000000000010004,,,
size 5,0.4600000000000364,,,
size 6,0.509999999999792,,,
size 7,0.4200000000001012,,,
size 8,0.47999999999981924,,,
size 9,0.4100000000001387,,,
size 10,0.5899999999997476,,,
size 1,0.4800000000000466,,,
size 2,0.3799999999996828,,,
size 3,0.48999999999983856,,,
size 4,0.39000000000010004,,,
size 5,0.33999999999994657,,,
size 6,0.34000000000020236,,,
size 7,0.40999999999965553,,,
size 8,0.3899999999996737,,,
size 9,0.5100000000000477,,,
size 10,0.5000000000000568,,,
size 1,0.4499999999998465,,,
size 2,0.3799999999996828,,,
size 3,0.35000000000019327,,,
size 4,0.3900000000001569,,,
size 5,0.6099999999999284,,,
size 6,0.43000000000006366,,,
size 7,0.3699999999999193,,,
size 8,0.6300000000001376,,,
size 9,0.5399999999997647,,,
size 10,0.4700000000000273,,,
size 1,0.6399999999998727,,,
size 2,0.39000000000012847,,,
size 3,0.32999999999995566,,,
size 4,0.46999999999957254,,,
size 5,0.4199999999998738,,,
size 6,0.5799999999999557,,,
size 7,0.42000000000032855,,,
size 8,0.5199999999997544,,,
size 9,0.41000000000008185,,,
size 10,0.46999999999982833,,,
size 1,0.4600000000000648,,,
size 2,0.5099999999999909,,,
size 3,0.6600000000003092,,,
size 4,0.37000000000037403,,,
size 5,0.8199999999999648,,,
size 6,0.4900000000000375,,,
size 7,0.4899999999997817,,,
size 8,0.4700000000002831,,,
size 9,0.5099999999999909,,,
size 10,0.49999999999980105,,,
size 1,0.290000000000191,,,
size 2,0.5199999999997544,,,
size 3,0.43000000000006366,,,
size 4,0.4699999999997999,,,
size 5,0.359999999999701,,,
size 6,0.4099999999998829,,,
size 7,0.3599999999999284,,,
size 8,0.3800000000001944,,,
size 9,0.42999999999989313,,,
size 10,0.4700000000002831,,,
size 1,0.35000000000019327,,,
size 2,0.34000000000017394,,,
size 3,0.5899999999999181,,,
size 4,0.4699999999997999,,,
size 5,0.34999999999993747,,,
size 6,0.44000000000005457,,,
size 7,0.4299999999998647,,,
size 8,0.4099999999998829,,,
size 9,0.45999999999983743,,,
size 10,0.48999999999958277,,,
size 1,0.3500000000001364,,,
size 2,0.5400000000002194,,,
size 3,0.33999999999994657,,,
size 4,0.4200000000001012,,,
size 5,0.4699999999997999,,,
size 6,0.5100000000002467,,,
size 7,0.5399999999997647,,,
size 8,0.4099999999999113,,,
size 9,0.4299999999998647,,,
size 10,0.6300000000003649,,,
size 1,0.4000000000003183,,,
size 2,0.35000000000016485,,,
size 3,0.31999999999993634,,,
size 4,0.6300000000001376,,,
size 5,0.44000000000028194,,,
size 6,0.42000000000007276,,,
size 7,0.5100000000002183,,,
size 8,0.8199999999999363,,,
size 9,0.39000000000012847,,,
size 10,0.5300000000000011,,,
size 1,0.27000000000001023,,,
size 2,0.459999999999809,,,
size 3,0.75,,,
size 4,0.3799999999996544,,,
size 5,0.6800000000000637,,,
size 6,0.4299999999998647,,,
size 7,0.4399999999998556,,,
size 8,0.4199999999998738,,,
size 9,0.4300000000000921,,,
size 10,0.5899999999999466,,,
size 1,0.3500000000001364,,,
size 2,0.3000000000004093,,,
size 3,0.4100000000001103,,,
size 4,0.3800000000003365,,,
size 5,0.539999999999992,,,
size 6,0.47000000000025466,,,
size 7,0.3999999999998636,,,
size 8,0.939999999999884,,,
size 9,0.4399999999998556,,,
size 10,0.5200000000000102,,,
size 1,0.5699999999999363,,,
size 2,0.36999999999989086,,,
size 3,0.3599999999999284,,,
size 4,0.3699999999996919,,,
size 5,0.4700000000000557,,,
size 6,0.4499999999998465,,,
size 7,0.6799999999998647,,,
size 8,0.48999999999958277,,,
size 9,0.4300000000000921,,,
size 10,0.4499999999995907,,,
size 1,0.3300000000001546,,,
size 2,0.3699999999996919,,,
size 3,0.33000000000018304,,,
size 4,0.36000000000012733,,,
size 5,0.4100000000001103,,,
size 6,0.4600000000000364,,,
size 7,0.459999999999809,,,
size 8,0.5199999999997544,,,
size 9,0.4600000000000648,,,
size 10,0.48999999999981014,,,
size 1,0.3999999999998636,,,
size 2,0.41000000000008185,,,
size 3,0.30999999999997385,,,
size 4,0.31999999999996476,,,
size 5,0.35000000000016485,,,
size 6,0.4500000000000739,,,
size 7,0.4500000000000455,,,
size 8,0.549999999999983,,,
size 9,0.4600000000000364,,,
size 10,0.47999999999981924,,,
size 1,0.41000000000008185,,,
size 2,0.2699999999999818,,,
size 3,0.33999999999994657,,,
size 4,0.40000000000011937,,,
size 5,0.5600000000002012,,,
size 6,0.3799999999996544,,,
size 7,0.4600000000000364,,,
size 8,0.47000000000025466,,,
size 9,0.4800000000000466,,,
size 10,0.5200000000000102,,,
size 1,0.31999999999996476,,,
size 2,0.34000000000017394,,,
size 3,0.5399999999997647,,,
size 4,0.33999999999994657,,,
size 5,0.4700000000002831,,,
size 6,0.4099999999998829,,,
size 7,0.6199999999998909,,,
size 8,0.43000000000031946,,,
size 9,0.45000000000030127,,,
