case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,325.93359375,325.93359375,0.0,9,,,,,,,,,,,,
size 2,325.93359375,325.93359375,0.0,8,,,,,,,,,,,,
size 3,325.93359375,325.93359375,0.0,10,,,,,,,,,,,,
size 4,325.93359375,325.93359375,0.0,9,,,,,,,,,,,,
size 5,325.93359375,325.93359375,0.0,9,,,,,,,,,,,,
size 6,325.93359375,325.93359375,0.0,8,,,,,,,,,,,,
size 7,325.93359375,325.93359375,0.0,11,,,,,,,,,,,,
size 8,325.93359375,325.93359375,0.0,9,,,,,,,,,,,,
size 9,325.93359375,335.76953125,9.8359375,10,,,,,,,,,,,,
size 10,325.93359375,325.93359375,0.0,9,,,,,,,,,,,,
size 1,325.93359375,325.93359375,0.0,8,,,,,,,,,,,,
size 2,325.93359375,325.93359375,0.0,9,,,,,,,,,,,,
size 3,325.93359375,325.93359375,0.0,8,,,,,,,,,,,,
size 4,325.93359375,325.93359375,0.0,8,,,,,,,,,,,,
size 5,325.93359375,325.93359375,0.0,10,,,,,,,,,,,,
size 6,325.93359375,325.93359375,0.0,8,,,,,,,,,,,,
size 7,325.93359375,325.93359375,0.0,11,,,,,,,,,,,,
size 8,325.93359375,325.93359375,0.0,9,,,,,,,,,,,,
size 9,325.96484375,325.97265625,0.0078125,9,,,,,,,,,,,,
size 10,326.06640625,326.06640625,0.0,10,,,,,,,,,,,,
size 1,326.06640625,326.06640625,0.0,10,,,,,,,,,,,,
size 2,326.11328125,326.11328125,0.0,9,,,,,,,,,,,,
size 3,326.2265625,326.2265625,0.0,10,,,,,,,,,,,,
size 4,326.33203125,326.3359375,0.00390625,11,,,,,,,,,,,,
size 5,326.41796875,326.41796875,0.0,8,,,,,,,,,,,,
size 6,326.41796875,326.41796875,0.0,9,,,,,,,,,,,,
size 7,326.44921875,326.46484375,0.015625,9,,,,,,,,,,,,
size 8,326.546875,326.546875,0.0,8,,,,,,,,,,,,
size 9,326.7265625,326.74609375,0.01953125,10,,,,,,,,,,,,
size 10,336.66015625,336.66015625,0.0,8,,,,,,,,,,,,
size 1,336.66796875,336.66796875,0.0,9,,,,,,,,,,,,
size 2,336.765625,336.765625,0.0,8,,,,,,,,,,,,
size 3,336.90625,336.90625,0.0,7,,,,,,,,,,,,
size 4,337.1171875,337.1171875,0.0,8,,,,,,,,,,,,
size 5,337.21875,337.21875,0.0,9,,,,,,,,,,,,
size 6,337.21875,337.21875,0.0,8,,,,,,,,,,,,
size 7,337.21875,337.2265625,0.0078125,9,,,,,,,,,,,,
size 8,337.34375,337.36328125,0.01953125,9,,,,,,,,,,,,
size 9,337.4609375,337.47265625,0.01171875,10,,,,,,,,,,,,
size 10,337.47265625,337.47265625,0.0,9,,,,,,,,,,,,
size 1,337.51171875,337.51171875,0.0,7,,,,,,,,,,,,
size 2,337.6328125,337.6328125,0.0,9,,,,,,,,,,,,
size 3,337.70703125,337.7578125,0.05078125,9,,,,,,,,,,,,
size 4,337.8828125,337.88671875,0.00390625,9,,,,,,,,,,,,
size 5,337.9140625,337.9140625,0.0,11,,,,,,,,,,,,
size 6,337.9140625,337.921875,0.0078125,13,,,,,,,,,,,,
size 7,337.9765625,338.03515625,0.05859375,12,,,,,,,,,,,,
size 8,338.1328125,338.1328125,0.0,7,,,,,,,,,,,,
size 9,338.23046875,338.23046875,0.0,11,,,,,,,,,,,,
size 10,338.23046875,338.24609375,0.015625,10,,,,,,,,,,,,
size 1,338.36328125,338.36328125,0.0,9,,,,,,,,,,,,
size 2,338.484375,338.484375,0.0,8,,,,,,,,,,,,
size 3,338.609375,338.609375,0.0,9,,,,,,,,,,,,
size 4,328.77734375,328.796875,0.01953125,7,,,,,,,,,,,,
size 5,328.80078125,328.80078125,0.0,8,,,,,,,,,,,,
size 6,328.80078125,328.80078125,0.0,9,,,,,,,,,,,,
size 7,328.80078125,328.80078125,0.0,9,,,,,,,,,,,,
size 8,328.87109375,328.875,0.00390625,9,,,,,,,,,,,,
size 9,328.953125,328.953125,0.0,9,,,,,,,,,,,,
size 10,328.96875,329.0,0.03125,10,,,,,,,,,,,,
size 1,329.08984375,329.1015625,0.01171875,9,,,,,,,,,,,,
size 2,329.19140625,329.19140625,0.0,8,,,,,,,,,,,,
size 3,339.21484375,339.22265625,0.0078125,8,,,,,,,,,,,,
size 4,329.48828125,329.48828125,0.0,8,,,,,,,,,,,,
size 5,329.48828125,329.48828125,0.0,9,,,,,,,,,,,,
size 6,329.48828125,329.48828125,0.0,8,,,,,,,,,,,,
size 7,329.51953125,329.51953125,0.0,8,,,,,,,,,,,,
size 8,329.62890625,329.62890625,0.0,8,,,,,,,,,,,,
size 9,329.66796875,329.66796875,0.0,9,,,,,,,,,,,,
size 10,329.69921875,329.71875,0.01953125,8,,,,,,,,,,,,
size 1,329.83984375,329.83984375,0.0,8,,,,,,,,,,,,
size 2,329.94140625,329.94140625,0.0,9,,,,,,,,,,,,
size 3,339.91015625,339.9765625,0.06640625,8,,,,,,,,,,,,
size 4,339.9765625,339.9765625,0.0,8,,,,,,,,,,,,
size 5,339.9765625,339.9765625,0.0,8,,,,,,,,,,,,
size 6,340.04296875,340.04296875,0.0,10,,,,,,,,,,,,
size 7,340.171875,340.1796875,0.0078125,9,,,,,,,,,,,,
size 8,340.30859375,340.30859375,0.0,8,,,,,,,,,,,,
size 9,340.30859375,340.30859375,0.0,8,,,,,,,,,,,,
size 10,340.30859375,340.30859375,0.0,10,,,,,,,,,,,,
size 1,340.4296875,340.4296875,0.0,8,,,,,,,,,,,,
size 2,340.56640625,340.56640625,0.0,8,,,,,,,,,,,,
size 3,340.69140625,340.69140625,0.0,8,,,,,,,,,,,,
size 4,340.69140625,340.69140625,0.0,9,,,,,,,,,,,,
size 5,340.69140625,340.69140625,0.0,9,,,,,,,,,,,,
size 6,340.69140625,340.70703125,0.015625,8,,,,,,,,,,,,
size 7,340.78515625,340.78515625,0.0,11,,,,,,,,,,,,
size 8,340.87109375,340.87109375,0.0,11,,,,,,,,,,,,
size 9,340.9375,340.9375,0.0,12,,,,,,,,,,,,
size 10,341.07421875,341.078125,0.00390625,10,,,,,,,,,,,,
size 1,341.2109375,341.2109375,0.0,9,,,,,,,,,,,,
size 2,341.34375,341.34375,0.0,8,,,,,,,,,,,,
size 3,341.34375,341.34375,0.0,8,,,,,,,,,,,,
size 4,341.34375,341.34375,0.0,9,,,,,,,,,,,,
