case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
size 7,1731,,,
size 8,1731,,,
size 9,1731,,,
size 10,1731,,,
size 1,1731,,,
size 2,1731,,,
size 3,1731,,,
size 4,1731,,,
size 5,1731,,,
size 6,1731,,,
