case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
size 6,1193,,,
size 7,1193,,,
size 8,1193,,,
size 9,1193,,,
size 10,1193,,,
size 1,1193,,,
size 2,1193,,,
size 3,1193,,,
size 4,1193,,,
size 5,1193,,,
