case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.498395,,,
size 2,0.551844,,,
size 3,0.484454,,,
size 4,0.598658,,,
size 5,0.611345,,,
size 6,0.705881,,,
size 7,0.546862,,,
size 8,0.5596869999999999,,,
size 9,0.719192,,,
size 10,0.700959,,,
size 1,0.441275,,,
size 2,0.344673,,,
size 3,0.36818799999999996,,,
size 4,0.440989,,,
size 5,0.490989,,,
size 6,0.487827,,,
size 7,0.573956,,,
size 8,0.499202,,,
size 9,0.477604,,,
size 10,0.562022,,,
size 1,0.486017,,,
size 2,0.445565,,,
size 3,0.6974559999999999,,,
size 4,0.399396,,,
size 5,0.44378799999999996,,,
size 6,0.49149699999999996,,,
size 7,0.603112,,,
size 8,0.620586,,,
size 9,0.656775,,,
size 10,0.574005,,,
size 1,0.395113,,,
size 2,0.47309599999999996,,,
size 3,0.723259,,,
size 4,0.617899,,,
size 5,0.614779,,,
size 6,0.599981,,,
size 7,0.578245,,,
size 8,0.543773,,,
size 9,0.658749,,,
size 10,0.7498119999999999,,,
size 1,0.357107,,,
size 2,0.40816399999999997,,,
size 3,0.514184,,,
size 4,0.562502,,,
size 5,0.617985,,,
size 6,1.0864989999999999,,,
size 7,0.542984,,,
size 8,0.540157,,,
size 9,0.713289,,,
size 10,0.5918129999999999,,,
size 1,0.5103869999999999,,,
size 2,0.397891,,,
size 3,0.5451539999999999,,,
size 4,0.6390929999999999,,,
size 5,0.466283,,,
size 6,0.57397,,,
size 7,0.6500349999999999,,,
size 8,0.6533739999999999,,,
size 9,0.631043,,,
size 10,0.7418849999999999,,,
size 1,0.38119499999999995,,,
size 2,0.340014,,,
size 3,0.41784299999999996,,,
size 4,0.555091,,,
size 5,0.4576009999999999,,,
size 6,0.592557,,,
size 7,0.46314799999999995,,,
size 8,0.548715,,,
size 9,0.487051,,,
size 10,0.590967,,,
size 1,0.45049399999999995,,,
size 2,0.493862,,,
size 3,0.547027,,,
size 4,0.701255,,,
size 5,0.441756,,,
size 6,0.6244339999999999,,,
size 7,0.587879,,,
