case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
gp.dat,256,,,
DOCTOR_secret_keys.dat,3201,,,
BOB_secret_keys.dat,719,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
AUTHORITY1_public_attributes.dat,1731,,,
meta,7738,,,
DOCTOR_registration.dat,385,,,
BOB.der,1192,,,
AUTHORITY0_secret_attributes.dat,845,,,
AUTHORITY0_public_attributes.dat,1731,,,
dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
gp.dat,,151,,
DOCTOR_secret_keys.dat,,2506,,
BOB_secret_keys.dat,,6,,
AUTHORITY0_public_attributes.dat,,3143,,
AUTHORITY1_secret_attributes.dat,,1103,,
BOB.der,,1192,,
meta,,10013,,
AUTHORITY0_secret_attributes.dat,,1103,,
dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
gp.dat,,,444,
DOCTOR_secret_keys.dat,,,4699,
BOB_secret_keys.dat,,,6,
AUTHORITY0_public_attributes.dat,,,360,
AUTHORITY1_secret_attributes.dat,,,156,
BOB.der,,,1191,
meta,,,9265,
AUTHORITY0_secret_attributes.dat,,,156,
dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
gp.dat,,,,151
DOCTOR_secret_keys.dat,,,,10766
BOB_secret_keys.dat,,,,6
AUTHORITY0_public_attributes.dat,,,,3198
AUTHORITY1_secret_attributes.dat,,,,43406
BOB.der,,,,1192
meta,,,,8941
AUTHORITY0_secret_attributes.dat,,,,43406
