case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.010000000000005116,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.010000000000005116,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
size 1,0.0,,,
size 1,0.0,,,
size 2,0.0,,,
size 2,0.0,,,
size 4,0.0,,,
size 4,0.0,,,
size 6,0.0,,,
size 6,0.0,,,
size 8,0.0,,,
size 8,0.0,,,
size 10,0.0,,,
size 10,0.0,,,
