case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
encrypt,44.5078125,64.42578125,19.91796875,9,,,,,,,,,,,,
update_keys,54.62890625,54.62890625,0.0,3,,,,,,,,,,,,
update_keys,54.62890625,54.62890625,0.0,3,,,,,,,,,,,,
decrypt,54.62890625,74.59375,19.96484375,5,,,,,,,,,,,,
encrypt,165.26171875,175.1953125,9.93359375,8,,,,,,,,,,,,
update_keys,175.1953125,175.1953125,0.0,3,,,,,,,,,,,,
update_keys,175.1953125,175.1953125,0.0,9,,,,,,,,,,,,
decrypt,165.26171875,175.1953125,9.93359375,5,,,,,,,,,,,,
encrypt,155.55859375,175.4921875,19.93359375,8,,,,,,,,,,,,
update_keys,175.4921875,175.4921875,0.0,3,,,,,,,,,,,,
update_keys,175.4921875,175.4921875,0.0,3,,,,,,,,,,,,
decrypt,175.4921875,175.4921875,0.0,5,,,,,,,,,,,,
encrypt,155.89453125,175.828125,19.93359375,7,,,,,,,,,,,,
update_keys,175.828125,175.828125,0.0,3,,,,,,,,,,,,
update_keys,175.828125,175.828125,0.0,3,,,,,,,,,,,,
decrypt,175.828125,175.828125,0.0,6,,,,,,,,,,,,
encrypt,166.16796875,176.1171875,9.94921875,7,,,,,,,,,,,,
update_keys,176.1171875,176.1171875,0.0,3,,,,,,,,,,,,
update_keys,176.1171875,176.1171875,0.0,3,,,,,,,,,,,,
decrypt,96.18359375,176.1171875,79.93359375,5,,,,,,,,,,,,
encrypt,206.52734375,226.46484375,19.9375,9,,,,,,,,,,,,
update_keys,226.46875,226.46875,0.0,3,,,,,,,,,,,,
update_keys,226.46875,226.46875,0.0,3,,,,,,,,,,,,
decrypt,186.55078125,226.47265625,39.921875,6,,,,,,,,,,,,
encrypt,236.8125,236.8125,0.0,9,,,,,,,,,,,,
update_keys,236.8125,236.8125,0.0,3,,,,,,,,,,,,
update_keys,236.8125,236.8125,0.0,3,,,,,,,,,,,,
decrypt,236.8125,236.8125,0.0,6,,,,,,,,,,,,
encrypt,187.21484375,197.1640625,9.94921875,8,,,,,,,,,,,,
update_keys,197.1640625,197.1640625,0.0,3,,,,,,,,,,,,
update_keys,197.1640625,197.1640625,0.0,3,,,,,,,,,,,,
decrypt,157.23046875,197.1640625,39.93359375,5,,,,,,,,,,,,
encrypt,207.55078125,227.515625,19.96484375,10,,,,,,,,,,,,
update_keys,227.51953125,227.51953125,0.0,3,,,,,,,,,,,,
update_keys,227.51953125,227.51953125,0.0,3,,,,,,,,,,,,
decrypt,227.51953125,227.53515625,0.015625,5,,,,,,,,,,,,
encrypt,237.84765625,237.84765625,0.0,9,,,,,,,,,,,,
update_keys,237.84765625,237.84765625,0.0,3,,,,,,,,,,,,
update_keys,237.84765625,237.84765625,0.0,3,,,,,,,,,,,,
decrypt,237.84765625,237.84765625,0.0,5,,,,,,,,,,,,
encrypt,188.2265625,198.16015625,9.93359375,7,,,,,,,,,,,,
update_keys,198.16015625,198.16015625,0.0,3,,,,,,,,,,,,
update_keys,198.16015625,198.16015625,0.0,3,,,,,,,,,,,,
