case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,54.62890625,54.62890625,0.0,3,,,,,,,,,,,,
size 1,54.62890625,54.62890625,0.0,3,,,,,,,,,,,,
size 2,94.7265625,94.7265625,0.0,3,,,,,,,,,,,,
size 2,94.7265625,94.7265625,0.0,3,,,,,,,,,,,,
size 4,124.84375,124.84375,0.0,3,,,,,,,,,,,,
size 4,124.84375,124.84375,0.0,3,,,,,,,,,,,,
size 6,94.9921875,94.9921875,0.0,3,,,,,,,,,,,,
size 6,94.9921875,94.9921875,0.0,3,,,,,,,,,,,,
size 8,134.9921875,134.9921875,0.0,3,,,,,,,,,,,,
size 8,134.9921875,134.9921875,0.0,3,,,,,,,,,,,,
size 10,165.12109375,165.12109375,0.0,3,,,,,,,,,,,,
size 10,165.12109375,165.12109375,0.0,3,,,,,,,,,,,,
size 1,175.1953125,175.1953125,0.0,3,,,,,,,,,,,,
size 1,175.1953125,175.1953125,0.0,9,,,,,,,,,,,,
size 2,175.25,175.25,0.0,3,,,,,,,,,,,,
size 2,175.25,175.25,0.0,3,,,,,,,,,,,,
size 4,175.421875,175.421875,0.0,3,,,,,,,,,,,,
size 4,175.421875,175.421875,0.0,3,,,,,,,,,,,,
size 6,85.46875,85.46875,0.0,3,,,,,,,,,,,,
size 6,85.46875,85.46875,0.0,3,,,,,,,,,,,,
size 8,115.53515625,115.53515625,0.0,3,,,,,,,,,,,,
size 8,115.53515625,115.53515625,0.0,3,,,,,,,,,,,,
size 10,145.46875,145.46875,0.0,3,,,,,,,,,,,,
size 10,145.46875,145.46875,0.0,3,,,,,,,,,,,,
size 1,175.4921875,175.4921875,0.0,3,,,,,,,,,,,,
size 1,175.4921875,175.4921875,0.0,3,,,,,,,,,,,,
size 2,155.609375,155.609375,0.0,3,,,,,,,,,,,,
size 2,155.609375,155.609375,0.0,3,,,,,,,,,,,,
size 4,155.63671875,155.63671875,0.0,3,,,,,,,,,,,,
size 4,155.63671875,155.63671875,0.0,3,,,,,,,,,,,,
size 6,185.72265625,185.72265625,0.0,3,,,,,,,,,,,,
size 6,185.72265625,185.72265625,0.0,3,,,,,,,,,,,,
size 8,115.7890625,115.7890625,0.0,3,,,,,,,,,,,,
size 8,115.7890625,115.7890625,0.0,3,,,,,,,,,,,,
size 10,135.72265625,135.72265625,0.0,3,,,,,,,,,,,,
size 10,135.72265625,135.72265625,0.0,3,,,,,,,,,,,,
size 1,175.828125,175.828125,0.0,3,,,,,,,,,,,,
size 1,175.828125,175.828125,0.0,3,,,,,,,,,,,,
size 2,175.96484375,175.96484375,0.0,3,,,,,,,,,,,,
size 2,175.96484375,175.96484375,0.0,3,,,,,,,,,,,,
size 4,206.02734375,206.02734375,0.0,3,,,,,,,,,,,,
size 4,206.02734375,206.02734375,0.0,3,,,,,,,,,,,,
size 6,206.2109375,206.2109375,0.0,3,,,,,,,,,,,,
size 6,206.2109375,206.2109375,0.0,3,,,,,,,,,,,,
size 8,76.1640625,76.1640625,0.0,3,,,,,,,,,,,,
size 8,76.1640625,76.1640625,0.0,3,,,,,,,,,,,,
size 10,116.1640625,116.1640625,0.0,3,,,,,,,,,,,,
size 10,116.1640625,116.1640625,0.0,3,,,,,,,,,,,,
size 1,176.1171875,176.1171875,0.0,3,,,,,,,,,,,,
size 1,176.1171875,176.1171875,0.0,3,,,,,,,,,,,,
size 2,116.2578125,116.2578125,0.0,3,,,,,,,,,,,,
size 2,116.2578125,116.2578125,0.0,3,,,,,,,,,,,,
size 4,156.34375,156.34375,0.0,3,,,,,,,,,,,,
size 4,156.34375,156.34375,0.0,3,,,,,,,,,,,,
size 6,186.4609375,186.4609375,0.0,3,,,,,,,,,,,,
size 6,186.4609375,186.4609375,0.0,3,,,,,,,,,,,,
size 8,106.4609375,106.4609375,0.0,3,,,,,,,,,,,,
size 8,106.4609375,106.4609375,0.0,3,,,,,,,,,,,,
size 10,156.52734375,156.52734375,0.0,3,,,,,,,,,,,,
size 10,156.52734375,156.52734375,0.0,3,,,,,,,,,,,,
size 1,226.46875,226.46875,0.0,3,,,,,,,,,,,,
size 1,226.46875,226.46875,0.0,3,,,,,,,,,,,,
size 2,186.5625,186.5625,0.0,3,,,,,,,,,,,,
size 2,186.5625,186.5625,0.0,3,,,,,,,,,,,,
size 4,206.6484375,206.6484375,0.0,3,,,,,,,,,,,,
size 4,206.6484375,206.6484375,0.0,3,,,,,,,,,,,,
size 6,206.8125,206.8125,0.0,3,,,,,,,,,,,,
size 6,206.8125,206.8125,0.0,3,,,,,,,,,,,,
size 8,236.8125,236.8125,0.0,3,,,,,,,,,,,,
