case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.1600000000000001,,,
size 3,0.17000000000000015,,,
size 5,0.21000000000000063,,,
size 7,0.22999999999999932,,,
size 9,0.24000000000000066,,,
size 1,0.1900000000000006,,,
size 3,0.2500000000000018,,,
size 5,0.1900000000000004,,,
size 7,0.22000000000000153,,,
size 9,0.3199999999999972,,,
size 1,0.18999999999999995,,,
size 3,0.33999999999999897,,,
size 5,0.20000000000000107,,,
size 7,0.1999999999999975,,,
size 9,0.23000000000000043,,,
size 1,0.16999999999999726,,,
size 3,0.16999999999999282,,,
size 5,0.18999999999999861,,,
size 7,0.19000000000000128,,,
size 9,0.1900000000000004,,,
size 1,0.1600000000000028,,,
size 3,0.16999999999999726,,,
size 5,0.18000000000000416,,,
size 7,0.19000000000000217,,,
size 9,0.1999999999999975,,,
size 1,0.18000000000000327,,,
size 3,0.1800000000000015,,,
size 5,0.2300000000000022,,,
size 7,0.23000000000000398,,,
size 9,0.23000000000000043,,,
size 1,0.16000000000000014,,,
size 3,0.21999999999999353,,,
size 5,0.1700000000000017,,,
size 7,0.2299999999999951,,,
size 9,0.19000000000000306,,,
size 1,0.16999999999999815,,,
size 3,0.17999999999999616,,,
size 5,0.18000000000000682,,,
size 7,0.1699999999999875,,,
size 9,0.1899999999999924,,,
size 1,0.15000000000000213,,,
size 3,0.19999999999999218,,,
size 5,0.1700000000000106,,,
size 7,0.20000000000001172,,,
size 9,0.21999999999999353,,,
size 1,0.15000000000000924,,,
size 3,0.17999999999999616,,,
size 5,0.1699999999999875,,,
size 7,0.1800000000000015,,,
size 9,0.20999999999999197,,,
size 1,0.16999999999999105,,,
size 3,0.17999999999999616,,,
size 5,0.1899999999999924,,,
size 7,0.19000000000000128,,,
size 9,0.24000000000000377,,,
size 1,0.16999999999999993,,,
size 3,0.1899999999999924,,,
size 5,0.17000000000000526,,,
size 7,0.16999999999999993,,,
size 9,0.18999999999999773,,,
size 1,0.19999999999998508,,,
size 3,0.19999999999998508,,,
size 5,0.19000000000001194,,,
size 7,0.17999999999999972,,,
size 9,0.19000000000000483,,,
size 1,0.14999999999998792,,,
size 3,0.16000000000000725,,,
size 5,0.17000000000001592,,,
size 7,0.1999999999999993,,,
size 9,0.2099999999999973,,,
size 1,0.1600000000000037,,,
size 3,0.17999999999998906,,,
size 5,0.19000000000000838,,,
size 7,0.1900000000000155,,,
size 9,0.2000000000000064,,,
size 1,0.16000000000000725,,,
size 3,0.18999999999998707,,,
size 5,0.21999999999999176,,,
size 7,0.19000000000000838,,,
size 9,0.1999999999999993,,,
size 1,0.16999999999997684,,,
size 3,0.1699999999999875,,,
size 5,0.19000000000000483,,,
size 7,0.19000000000000838,,,
size 9,0.22000000000000597,,,
size 1,0.17999999999999616,,,
size 3,0.19000000000000483,,,
size 5,0.19999999999999574,,,
size 7,0.1999999999999993,,,
size 9,0.2199999999999882,,,
size 1,0.17000000000000526,,,
size 3,0.1699999999999946,,,
size 5,0.1999999999999993,,,
size 7,0.18999999999999773,,,
size 9,0.23999999999999133,,,
size 1,0.17000000000000526,,,
size 3,0.17000000000000526,,,
size 5,0.18000000000001393,,,
size 7,0.22000000000001663,,,
size 9,0.20000000000001705,,,
size 1,0.1500000000000128,,,
size 3,0.1999999999999993,,,
size 5,0.18999999999998707,,,
size 7,0.22000000000000597,,,
size 9,0.2000000000000277,,,
size 1,0.1600000000000037,,,
size 3,0.16999999999998394,,,
size 5,0.16999999999999815,,,
size 7,0.2000000000000064,,,
size 9,0.1899999999999764,,,
size 1,0.15000000000000568,,,
size 3,0.16999999999999815,,,
size 5,0.16999999999999815,,,
size 7,0.2000000000000064,,,
size 9,0.19000000000000838,,,
size 1,0.15000000000002345,,,
size 3,0.16999999999999815,,,
size 5,0.18000000000001393,,,
size 7,0.2000000000000064,,,
size 9,0.18999999999998707,,,
size 1,0.1500000000000128,,,
size 3,0.18000000000000682,,,
size 5,0.18999999999999773,,,
size 7,0.18000000000001393,,,
size 9,0.20000000000000995,,,
size 1,0.14999999999998792,,,
size 3,0.1699999999999946,,,
size 5,0.1999999999999993,,,
