case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,74.6484375,94.5390625,19.890625,6,,,,,,,,,,,,
size 3,94.65625,104.65625,10.0,6,,,,,,,,,,,,
size 5,124.80078125,134.7109375,9.91015625,6,,,,,,,,,,,,
size 7,94.96484375,103.69921875,8.734375,7,,,,,,,,,,,,
size 9,134.96484375,144.96484375,10.0,7,,,,,,,,,,,,
size 1,125.15234375,145.02734375,19.875,6,,,,,,,,,,,,
size 3,135.234375,159.7734375,24.5390625,8,,,,,,,,,,,,
size 5,165.17578125,165.17578125,0.0,6,,,,,,,,,,,,
size 7,165.40625,175.28125,9.875,7,,,,,,,,,,,,
size 9,115.4921875,115.4921875,0.0,7,,,,,,,,,,,,
size 1,125.4921875,125.4921875,0.0,7,,,,,,,,,,,,
size 3,125.4921875,125.4921875,0.0,6,,,,,,,,,,,,
size 5,125.5703125,152.109375,26.5390625,6,,,,,,,,,,,,
size 7,165.53125,165.53125,0.0,6,,,,,,,,,,,,
size 9,175.61328125,185.61328125,10.0,6,,,,,,,,,,,,
size 1,185.69140625,185.69140625,0.0,6,,,,,,,,,,,,
size 3,165.8828125,165.8828125,0.0,6,,,,,,,,,,,,
size 5,165.8828125,165.8828125,0.0,6,,,,,,,,,,,,
size 7,175.7578125,185.70703125,9.94921875,6,,,,,,,,,,,,
size 9,175.89453125,175.89453125,0.0,6,,,,,,,,,,,,
size 1,175.92578125,175.92578125,0.0,5,,,,,,,,,,,,
size 3,175.99609375,182.703125,6.70703125,6,,,,,,,,,,,,
size 5,166.24609375,176.24609375,10.0,6,,,,,,,,,,,,
size 7,166.328125,166.328125,0.0,6,,,,,,,,,,,,
size 9,166.328125,166.328125,0.0,5,,,,,,,,,,,,
size 1,176.203125,176.203125,0.0,5,,,,,,,,,,,,
size 3,176.2265625,176.23828125,0.01171875,6,,,,,,,,,,,,
size 5,176.3359375,186.3359375,10.0,6,,,,,,,,,,,,
size 7,206.45703125,216.45703125,10.0,6,,,,,,,,,,,,
size 9,166.7109375,166.7109375,0.0,6,,,,,,,,,,,,
size 1,166.6953125,166.6953125,0.0,6,,,,,,,,,,,,
size 3,166.6953125,166.6953125,0.0,7,,,,,,,,,,,,
size 5,166.71484375,166.71484375,0.0,7,,,,,,,,,,,,
size 7,166.8125,166.828125,0.015625,8,,,,,,,,,,,,
size 9,166.9375,176.62890625,9.69140625,6,,,,,,,,,,,,
size 1,176.88671875,176.88671875,0.0,6,,,,,,,,,,,,
size 3,176.96875,176.96875,0.0,6,,,,,,,,,,,,
size 5,176.96875,176.96875,0.0,6,,,,,,,,,,,,
size 7,176.96875,176.96875,0.0,6,,,,,,,,,,,,
size 9,167.13671875,177.01171875,9.875,6,,,,,,,,,,,,
size 1,187.08203125,197.08203125,10.0,5,,,,,,,,,,,,
size 3,167.30078125,177.17578125,9.875,5,,,,,,,,,,,,
size 5,207.28515625,215.98828125,8.703125,5,,,,,,,,,,,,
size 7,177.4453125,177.4453125,0.0,5,,,,,,,,,,,,
size 9,177.4453125,177.4453125,0.0,6,,,,,,,,,,,,
size 1,177.4765625,177.4765625,0.0,5,,,,,,,,,,,,
size 3,177.55859375,180.0625,2.50390625,5,,,,,,,,,,,,
size 5,187.50390625,197.50390625,10.0,5,,,,,,,,,,,,
size 7,197.59765625,207.4921875,9.89453125,5,,,,,,,,,,,,
size 9,167.7578125,167.7578125,0.0,5,,,,,,,,,,,,
size 1,167.7578125,167.7578125,0.0,5,,,,,,,,,,,,
size 3,177.6328125,187.6328125,10.0,5,,,,,,,,,,,,
size 5,217.734375,217.7734375,0.0390625,5,,,,,,,,,,,,
size 7,228.0078125,257.5234375,29.515625,5,,,,,,,,,,,,
size 9,258.18359375,278.05859375,19.875,5,,,,,,,,,,,,
size 1,278.11328125,278.11328125,0.0,5,,,,,,,,,,,,
size 3,168.23828125,168.23828125,0.0,5,,,,,,,,,,,,
size 5,178.11328125,178.11328125,0.0,6,,,,,,,,,,,,
size 7,178.11328125,178.11328125,0.0,6,,,,,,,,,,,,
size 9,198.1484375,208.1484375,10.0,6,,,,,,,,,,,,
size 1,228.203125,228.203125,0.0,6,,,,,,,,,,,,
size 3,208.4375,218.3125,9.875,6,,,,,,,,,,,,
size 5,188.53125,188.53125,0.0,6,,,,,,,,,,,,
size 7,188.53125,188.53125,0.0,6,,,,,,,,,,,,
size 9,188.53125,188.53125,0.0,6,,,,,,,,,,,,
size 1,188.578125,188.578125,0.0,6,,,,,,,,,,,,
size 3,188.66015625,188.66015625,0.0,6,,,,,,,,,,,,
size 5,188.73828125,188.76171875,0.0234375,7,,,,,,,,,,,,
size 7,208.85546875,218.75,9.89453125,5,,,,,,,,,,,,
size 9,198.875,198.875,0.0,5,,,,,,,,,,,,
size 1,198.875,198.875,0.0,5,,,,,,,,,,,,
size 3,198.875,198.875,0.0,5,,,,,,,,,,,,
size 5,208.82421875,208.84375,0.01953125,5,,,,,,,,,,,,
size 7,208.921875,215.51953125,6.59765625,6,,,,,,,,,,,,
size 9,229.0390625,229.06640625,0.02734375,6,,,,,,,,,,,,
size 1,189.19140625,189.19140625,0.0,5,,,,,,,,,,,,
size 3,189.19140625,189.19140625,0.0,5,,,,,,,,,,,,
size 5,189.19140625,189.19140625,0.0,6,,,,,,,,,,,,
size 7,189.2421875,189.2421875,0.0,6,,,,,,,,,,,,
size 9,189.359375,199.09375,9.734375,7,,,,,,,,,,,,
size 1,209.30859375,209.30859375,0.0,5,,,,,,,,,,,,
size 3,219.390625,219.51953125,0.12890625,5,,,,,,,,,,,,
size 5,229.4296875,229.4296875,0.0,5,,,,,,,,,,,,
size 7,229.4296875,229.453125,0.0234375,5,,,,,,,,,,,,
size 9,229.55859375,229.55859375,0.0,6,,,,,,,,,,,,
size 1,239.61328125,239.61328125,0.0,5,,,,,,,,,,,,
size 3,239.68359375,259.65234375,19.96875,6,,,,,,,,,,,,
size 5,249.7890625,249.7890625,0.0,5,,,,,,,,,,,,
size 7,199.9453125,199.9453125,0.0,5,,,,,,,,,,,,
size 9,199.9453125,199.9453125,0.0,5,,,,,,,,,,,,
size 1,199.9453125,199.9453125,0.0,5,,,,,,,,,,,,
size 3,199.97265625,199.9765625,0.00390625,5,,,,,,,,,,,,
size 5,190.08203125,200.08203125,10.0,5,,,,,,,,,,,,
size 7,220.0546875,230.05859375,10.00390625,5,,,,,,,,,,,,
size 9,190.30859375,190.30859375,0.0,5,,,,,,,,,,,,
size 1,190.30859375,190.30859375,0.0,6,,,,,,,,,,,,
size 3,190.30859375,190.30859375,0.0,5,,,,,,,,,,,,
size 5,190.30859375,190.30859375,0.0,5,,,,,,,,,,,,
size 7,190.39453125,190.39453125,0.0,5,,,,,,,,,,,,
size 9,190.50390625,190.5078125,0.00390625,5,,,,,,,,,,,,
size 1,190.56640625,190.56640625,0.0,5,,,,,,,,,,,,
size 3,190.6640625,190.6640625,0.0,5,,,,,,,,,,,,
size 5,190.6640625,190.6640625,0.0,5,,,,,,,,,,,,
size 7,190.6640625,190.6640625,0.0,5,,,,,,,,,,,,
size 9,190.71484375,190.71484375,0.0,5,,,,,,,,,,,,
size 1,190.765625,190.765625,0.0,5,,,,,,,,,,,,
size 3,190.84765625,190.84765625,0.0,5,,,,,,,,,,,,
size 5,190.9296875,190.9296875,0.0,5,,,,,,,,,,,,
size 7,190.9453125,190.9453125,0.0,5,,,,,,,,,,,,
size 9,190.9609375,190.9609375,0.0,6,,,,,,,,,,,,
size 1,190.9921875,190.9921875,0.0,5,,,,,,,,,,,,
size 3,200.9375,210.765625,9.828125,5,,,,,,,,,,,,
size 5,191.1640625,200.98046875,9.81640625,5,,,,,,,,,,,,
size 7,201.1328125,201.2578125,0.125,5,,,,,,,,,,,,
size 9,191.30078125,191.30078125,0.0,5,,,,,,,,,,,,
size 1,191.30078125,191.30078125,0.0,5,,,,,,,,,,,,
size 3,191.30078125,191.30078125,0.0,5,,,,,,,,,,,,
size 5,221.265625,221.30859375,0.04296875,5,,,,,,,,,,,,
size 7,231.54296875,251.55859375,20.015625,5,,,,,,,,,,,,
size 9,261.6953125,281.5703125,19.875,5,,,,,,,,,,,,
size 1,281.62890625,281.62890625,0.0,5,,,,,,,,,,,,
size 3,191.75390625,191.75390625,0.0,5,,,,,,,,,,,,
size 5,191.75390625,191.75390625,0.0,5,,,,,,,,,,,,
size 7,191.6953125,191.6953125,0.0,5,,,,,,,,,,,,
size 9,201.6875,211.671875,9.984375,5,,,,,,,,,,,,
size 1,231.74609375,231.74609375,0.0,5,,,,,,,,,,,,
size 3,211.98046875,221.85546875,9.875,5,,,,,,,,,,,,
size 5,192.0703125,192.0703125,0.0,5,,,,,,,,,,,,
size 7,192.0703125,192.0703125,0.0,5,,,,,,,,,,,,
size 9,192.0703125,192.0703125,0.0,5,,,,,,,,,,,,
size 1,192.1015625,192.1015625,0.0,5,,,,,,,,,,,,
size 3,192.1640625,192.1640625,0.0,5,,,,,,,,,,,,
size 5,192.234375,192.26171875,0.02734375,5,,,,,,,,,,,,
size 7,192.3671875,202.265625,9.8984375,5,,,,,,,,,,,,
size 9,202.265625,202.265625,0.0,5,,,,,,,,,,,,
size 1,202.265625,202.265625,0.0,5,,,,,,,,,,,,
size 3,202.265625,202.265625,0.0,5,,,,,,,,,,,,
size 5,202.3359375,212.140625,9.8046875,5,,,,,,,,,,,,
size 7,222.44140625,232.44140625,10.0,5,,,,,,,,,,,,
size 9,202.6875,232.5625,29.875,5,,,,,,,,,,,,
size 1,202.6875,202.6875,0.0,6,,,,,,,,,,,,
size 3,202.6875,202.6875,0.0,6,,,,,,,,,,,,
size 5,202.6953125,202.6953125,0.0,6,,,,,,,,,,,,
size 7,202.76171875,202.76171875,0.0,6,,,,,,,,,,,,
size 9,202.8828125,202.8828125,0.0,6,,,,,,,,,,,,
size 1,212.80859375,212.80859375,0.0,6,,,,,,,,,,,,
size 3,193.03125,222.13671875,29.10546875,6,,,,,,,,,,,,
size 5,222.9375,222.9375,0.0,6,,,,,,,,,,,,
size 7,222.9375,232.83984375,9.90234375,6,,,,,,,,,,,,
size 9,223.18359375,232.94140625,9.7578125,7,,,,,,,,,,,,
size 1,223.24609375,233.12109375,9.875,5,,,,,,,,,,,,
size 3,233.1875,243.09375,9.90625,6,,,,,,,,,,,,
size 5,233.4375,243.3125,9.875,6,,,,,,,,,,,,
size 7,193.484375,193.484375,0.0,6,,,,,,,,,,,,
size 9,193.484375,193.484375,0.0,6,,,,,,,,,,,,
size 1,193.484375,193.484375,0.0,5,,,,,,,,,,,,
size 3,193.50390625,193.50390625,0.0,6,,,,,,,,,,,,
size 5,193.59375,203.46875,9.875,7,,,,,,,,,,,,
size 7,223.5703125,233.5703125,10.0,5,,,,,,,,,,,,
size 9,193.828125,193.828125,0.0,5,,,,,,,,,,,,
size 1,193.828125,193.828125,0.0,7,,,,,,,,,,,,
size 3,193.828125,193.828125,0.0,6,,,,,,,,,,,,
size 5,193.828125,193.828125,0.0,6,,,,,,,,,,,,
size 7,193.9140625,193.91796875,0.00390625,6,,,,,,,,,,,,
size 9,194.03125,203.91015625,9.87890625,6,,,,,,,,,,,,
size 1,194.1015625,203.9453125,9.84375,5,,,,,,,,,,,,
size 3,204.06640625,204.06640625,0.0,5,,,,,,,,,,,,
size 5,204.06640625,204.06640625,0.0,6,,,,,,,,,,,,
size 7,204.06640625,204.06640625,0.0,6,,,,,,,,,,,,
size 9,194.26171875,204.13671875,9.875,6,,,,,,,,,,,,
size 1,204.19921875,214.09375,9.89453125,5,,,,,,,,,,,,
size 3,204.2890625,204.2890625,0.0,6,,,,,,,,,,,,
size 5,204.3828125,214.25390625,9.87109375,6,,,,,,,,,,,,
size 7,204.52734375,204.52734375,0.0,6,,,,,,,,,,,,
size 9,204.52734375,204.52734375,0.0,6,,,,,,,,,,,,
size 1,204.5546875,204.5546875,0.0,5,,,,,,,,,,,,
size 3,204.6484375,214.5234375,9.875,5,,,,,,,,,,,,
size 5,194.72265625,204.72265625,10.0,6,,,,,,,,,,,,
size 7,204.8125,214.6875,9.875,6,,,,,,,,,,,,
size 9,194.859375,194.859375,0.0,6,,,,,,,,,,,,
size 1,194.859375,194.859375,0.0,6,,,,,,,,,,,,
size 3,194.859375,194.859375,0.0,5,,,,,,,,,,,,
size 5,224.82421875,224.86328125,0.0390625,5,,,,,,,,,,,,
size 7,235.09765625,274.07421875,38.9765625,5,,,,,,,,,,,,
size 9,265.25390625,285.12890625,19.875,5,,,,,,,,,,,,
size 1,285.19921875,285.19921875,0.0,5,,,,,,,,,,,,
size 3,195.32421875,195.32421875,0.0,5,,,,,,,,,,,,
size 5,195.32421875,195.32421875,0.0,6,,,,,,,,,,,,
size 7,195.32421875,195.32421875,0.0,6,,,,,,,,,,,,
size 9,205.2421875,215.2421875,10.0,6,,,,,,,,,,,,
size 1,235.30859375,235.30859375,0.0,6,,,,,,,,,,,,
size 3,215.5390625,225.4140625,9.875,6,,,,,,,,,,,,
size 5,225.625,225.625,0.0,6,,,,,,,,,,,,
size 7,225.625,225.625,0.0,6,,,,,,,,,,,,
size 9,225.625,225.625,0.0,6,,,,,,,,,,,,
size 1,225.64453125,225.64453125,0.0,6,,,,,,,,,,,,
size 3,225.71484375,225.71484375,0.0,5,,,,,,,,,,,,
size 5,225.796875,225.82421875,0.02734375,5,,,,,,,,,,,,
size 7,225.9140625,225.9453125,0.03125,5,,,,,,,,,,,,
size 9,225.9453125,225.9453125,0.0,5,,,,,,,,,,,,
size 1,225.9453125,225.9453125,0.0,5,,,,,,,,,,,,
size 3,225.96484375,225.96484375,0.0,5,,,,,,,,,,,,
size 5,216.078125,225.92578125,9.84765625,6,,,,,,,,,,,,
size 7,226.0625,235.86328125,9.80078125,6,,,,,,,,,,,,
