size case,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,89.0,,,
size 2,91.8,,,
size 3,89.2,,,
size 4,92.0,,,
size 5,92.1,,,
size 6,88.5,,,
size 7,89.1,,,
size 8,90.1,,,
size 9,89.4,,,
size 10,89.0,,,
size 1,,87.6,,
size 2,,88.3,,
size 3,,89.3,,
size 4,,91.8,,
size 5,,86.7,,
size 6,,88.4,,
size 7,,91.7,,
size 8,,91.8,,
size 9,,87.7,,
size 10,,91.7,,
size 1,,,88.3,
size 2,,,88.9,
size 3,,,88.2,
size 4,,,89.1,
size 5,,,88.7,
size 6,,,88.8,
size 7,,,89.4,
size 8,,,89.5,
size 9,,,89.9,
size 10,,,87.6,
size 1,,,,88.0
size 2,,,,88.2
size 3,,,,88.7
size 4,,,,89.4
size 5,,,,89.5
size 6,,,,89.3
size 7,,,,89.7
size 8,,,,89.6
size 9,,,,89.7
size 10,,,,89.9
size 1,88.2,,,
size 2,87.6,,,
size 3,89.4,,,
size 4,88.1,,,
size 5,88.2,,,
size 6,89.3,,,
size 7,89.1,,,
size 8,89.4,,,
size 9,89.5,,,
size 10,89.3,,,
size 1,,91.7,,
size 2,,88.3,,
size 3,,88.2,,
size 4,,89.0,,
size 5,,87.7,,
size 6,,87.0,,
size 7,,91.6,,
size 8,,92.0,,
size 9,,88.9,,
size 10,,86.5,,
size 1,,,88.6,
size 2,,,86.7,
size 3,,,88.6,
size 4,,,88.8,
size 5,,,88.4,
size 6,,,89.1,
size 7,,,87.9,
size 8,,,89.1,
size 9,,,89.9,
size 10,,,90.0,
size 1,,,,89.5
size 2,,,,88.9
size 3,,,,89.0
size 4,,,,89.4
size 5,,,,89.3
size 6,,,,88.0
size 7,,,,89.8
size 8,,,,89.5
size 9,,,,89.8
size 10,,,,90.1
size 1,87.8,,,
size 2,88.0,,,
size 3,89.5,,,
size 4,89.4,,,
size 5,92.1,,,
size 6,88.8,,,
size 7,88.5,,,
size 8,89.3,,,
size 9,89.3,,,
size 10,89.5,,,
size 1,,89.8,,
size 2,,87.4,,
size 3,,85.4,,
size 4,,91.7,,
size 5,,91.6,,
size 6,,86.6,,
size 7,,91.8,,
size 8,,91.6,,
size 9,,87.0,,
size 10,,91.8,,
size 1,,,88.7,
size 2,,,91.9,
size 3,,,88.5,
size 4,,,88.8,
size 5,,,88.4,
size 6,,,88.8,
size 7,,,89.6,
size 8,,,89.0,
size 9,,,89.2,
size 10,,,88.8,
size 1,,,,89.5
size 2,,,,91.9
size 3,,,,89.0
size 4,,,,90.1
size 5,,,,89.6
size 6,,,,88.0
size 7,,,,87.6
size 8,,,,89.5
size 9,,,,89.3
size 10,,,,89.9
size 1,87.3,,,
size 2,87.9,,,
size 3,87.8,,,
size 4,88.0,,,
size 5,91.8,,,
size 6,89.6,,,
size 7,89.2,,,
size 8,88.8,,,
size 9,90.9,,,
size 10,89.0,,,
size 1,,92.0,,
size 2,,91.9,,
size 3,,91.9,,
size 4,,89.4,,
size 5,,87.1,,
size 6,,89.8,,
size 7,,91.7,,
size 8,,88.9,,
size 9,,86.4,,
size 10,,91.9,,
size 1,,,87.5,
size 2,,,87.8,
size 3,,,88.6,
size 4,,,88.8,
size 5,,,89.1,
size 6,,,88.1,
size 7,,,89.2,
size 8,,,89.0,
size 9,,,89.6,
size 10,,,87.9,
size 1,,,,87.6
size 2,,,,92.0
size 3,,,,92.3
size 4,,,,89.2
size 5,,,,89.9
size 6,,,,89.3
size 7,,,,89.4
size 8,,,,90.3
size 9,,,,90.0
size 10,,,,89.5
size 1,88.0,,,
size 2,92.0,,,
size 3,88.2,,,
size 4,88.3,,,
size 5,88.2,,,
size 6,88.9,,,
size 7,88.9,,,
size 8,88.3,,,
size 9,89.6,,,
size 10,89.0,,,
size 1,,89.4,,
size 2,,88.0,,
size 3,,88.1,,
size 4,,87.9,,
size 5,,91.5,,
size 6,,86.9,,
size 7,,88.0,,
size 8,,86.7,,
size 9,,88.2,,
size 10,,86.2,,
size 1,,,88.5,
size 2,,,87.5,
size 3,,,91.8,
size 4,,,89.2,
size 5,,,88.9,
size 6,,,88.9,
size 7,,,89.2,
size 8,,,89.5,
size 9,,,88.1,
size 10,,,87.3,
size 1,,,,88.1
size 2,,,,92.0
size 3,,,,89.0
size 4,,,,89.2
size 5,,,,89.1
size 6,,,,89.6
size 7,,,,89.7
size 8,,,,89.8
size 9,,,,87.6
size 10,,,,89.7
size 1,88.1,,,
size 2,88.9,,,
size 3,88.3,,,
size 4,88.1,,,
size 5,88.2,,,
size 6,89.3,,,
size 7,88.7,,,
size 8,89.3,,,
size 9,89.0,,,
size 10,89.4,,,
size 1,,91.7,,
size 2,,91.5,,
size 3,,86.8,,
size 4,,87.8,,
size 5,,90.3,,
size 6,,88.5,,
