case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
decrypt,77.65234375,114.57421875,79,,,,,,,,,
encrypt,67.6484375,127.671875,228,,,,,,,,,
decrypt,,,,97.42578125,129.203125,46,,,,,,
encrypt,,,,77.40234375,113.24609375,196,,,,,,
decrypt,,,,,,,137.71875,176.0390625,90,,,
encrypt,,,,,,,117.7109375,152.01953125,308,,,
decrypt,,,,,,,,,,118.40625,152.875,91
encrypt,,,,,,,,,,108.40234375,148.421875,337
decrypt,157.65234375,192.734375,80,,,,,,,,,
encrypt,137.640625,171.5390625,293,,,,,,,,,
decrypt,,,,97.37890625,129.3515625,46,,,,,,
encrypt,,,,77.37109375,114.00390625,166,,,,,,
decrypt,,,,,,,117.65234375,152.86328125,97,,,
encrypt,,,,,,,97.64453125,136.78125,349,,,
decrypt,,,,,,,,,,118.37890625,157.3046875,91
encrypt,,,,,,,,,,108.375,148.39453125,387
decrypt,157.7265625,195.921875,89,,,,,,,,,
encrypt,137.7109375,173.1328125,211,,,,,,,,,
decrypt,,,,97.3203125,132.99609375,47,,,,,,
encrypt,,,,77.3125,116.63671875,189,,,,,,
decrypt,,,,,,,117.671875,154.87890625,94,,,
encrypt,,,,,,,97.66015625,130.54296875,321,,,
decrypt,,,,,,,,,,118.390625,154.6875,91
encrypt,,,,,,,,,,108.38671875,148.40625,288
decrypt,157.6796875,191.2890625,80,,,,,,,,,
encrypt,137.6640625,173.9453125,189,,,,,,,,,
decrypt,,,,97.34765625,133.6875,46,,,,,,
encrypt,,,,77.33984375,117.03515625,229,,,,,,
decrypt,,,,,,,117.6171875,151.72265625,89,,,
encrypt,,,,,,,97.6015625,130.82421875,310,,,
decrypt,,,,,,,,,,118.41796875,152.64453125,101
encrypt,,,,,,,,,,108.4140625,148.43359375,298
decrypt,157.70703125,190.56640625,81,,,,,,,,,
encrypt,137.69140625,176.69921875,182,,,,,,,,,
decrypt,,,,97.33984375,133.26171875,47,,,,,,
encrypt,,,,77.33203125,113.34765625,144,,,,,,
decrypt,,,,,,,117.609375,156.10546875,89,,,
encrypt,,,,,,,97.6015625,133.3828125,225,,,
decrypt,,,,,,,,,,118.13671875,158.0234375,101
encrypt,,,,,,,,,,108.1328125,148.15234375,265
decrypt,157.49609375,194.125,79,,,,,,,,,
encrypt,137.48046875,172.01171875,316,,,,,,,,,
decrypt,,,,97.2109375,132.109375,47,,,,,,
encrypt,,,,77.203125,116.453125,104,,,,,,
decrypt,,,,,,,117.546875,153.6796875,89,,,
encrypt,,,,,,,97.5390625,133.58984375,243,,,
decrypt,,,,,,,,,,118.234375,153.765625,91
encrypt,,,,,,,,,,108.23046875,148.24609375,279
decrypt,157.49609375,192.0625,79,,,,,,,,,
encrypt,137.484375,174.55859375,210,,,,,,,,,
decrypt,,,,97.18359375,135.07421875,47,,,,,,
encrypt,,,,77.17578125,111.16796875,179,,,,,,
decrypt,,,,,,,117.4609375,155.6328125,88,,,
encrypt,,,,,,,97.453125,132.984375,243,,,
decrypt,,,,,,,,,,118.18359375,151.98046875,91
encrypt,,,,,,,,,,108.1796875,148.19921875,236
decrypt,157.5390625,195.14453125,88,,,,,,,,,
encrypt,137.51953125,174.0390625,209,,,,,,,,,
decrypt,,,,97.2109375,133.98046875,56,,,,,,
encrypt,,,,77.203125,115.1328125,141,,,,,,
decrypt,,,,,,,117.4765625,149.40625,88,,,
encrypt,,,,,,,97.46875,133.28515625,225,,,
decrypt,,,,,,,,,,118.23828125,158.01171875,92
encrypt,,,,,,,,,,108.234375,148.25390625,274
decrypt,157.546875,193.44140625,80,,,,,,,,,
encrypt,137.53125,176.328125,192,,,,,,,,,
decrypt,,,,97.1484375,133.91015625,47,,,,,,
encrypt,,,,77.140625,116.05859375,180,,,,,,
decrypt,,,,,,,117.50390625,152.4296875,97,,,
encrypt,,,,,,,97.49609375,134.43359375,292,,,
decrypt,,,,,,,,,,118.28125,156.921875,91
encrypt,,,,,,,,,,108.27734375,148.296875,279
decrypt,157.50390625,197.109375,87,,,,,,,,,
encrypt,137.48828125,175.58984375,221,,,,,,,,,
decrypt,,,,97.1875,135.375,46,,,,,,
encrypt,,,,77.1796875,112.36328125,250,,,,,,
decrypt,,,,,,,117.49609375,154.98828125,89,,,
encrypt,,,,,,,97.48046875,131.57421875,236,,,
