case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
1,26.94140625,66.95703125,58,,,,,,,,,
2,77.16796875,114.890625,70,,,,,,,,,
3,67.25390625,107.26953125,68,,,,,,,,,
4,77.41015625,116.0703125,77,,,,,,,,,
5,57.49609375,93.43359375,78,,,,,,,,,
6,77.65234375,114.57421875,79,,,,,,,,,
7,157.76953125,194.12890625,83,,,,,,,,,
8,157.95703125,192.59375,89,,,,,,,,,
9,58.0,89.98828125,94,,,,,,,,,
10,98.015625,129.9375,105,,,,,,,,,
1,,,,56.74609375,93.24609375,47,,,,,,
2,,,,36.90625,68.8515625,48,,,,,,
3,,,,77.02734375,109.33984375,47,,,,,,
4,,,,97.16796875,133.796875,53,,,,,,
5,,,,97.29296875,135.2109375,48,,,,,,
6,,,,97.42578125,129.203125,46,,,,,,
7,,,,37.5625,74.8125,47,,,,,,
8,,,,77.5859375,111.21484375,47,,,,,,
9,,,,77.5859375,114.4453125,48,,,,,,
10,,,,97.69921875,131.9140625,51,,,,,,
1,,,,,,,36.8828125,68.9296875,57,,,
2,,,,,,,37.1171875,87.13671875,64,,,
3,,,,,,,47.26953125,87.28515625,72,,,
4,,,,,,,57.375,91.44140625,77,,,
5,,,,,,,87.54296875,127.55859375,83,,,
6,,,,,,,137.71875,176.0390625,90,,,
7,,,,,,,177.93359375,214.40625,106,,,
8,,,,,,,27.9609375,51.08203125,112,,,
9,,,,,,,47.96875,77.1640625,120,,,
10,,,,,,,57.97265625,96.80078125,117,,,
1,,,,,,,,,,77.3046875,114.98046875,58
2,,,,,,,,,,47.43359375,84.15234375,64
3,,,,,,,,,,27.59765625,50.33203125,73
4,,,,,,,,,,57.75390625,93.2421875,78
5,,,,,,,,,,78.0625,111.58984375,85
6,,,,,,,,,,118.40625,152.875,91
7,,,,,,,,,,38.71875,74.6640625,108
8,,,,,,,,,,58.7265625,98.42578125,112
9,,,,,,,,,,88.77734375,128.54296875,112
10,,,,,,,,,,38.99609375,75.1171875,118
1,26.8828125,55.5078125,56,,,,,,,,,
2,57.078125,90.765625,62,,,,,,,,,
3,37.10546875,77.12109375,66,,,,,,,,,
4,67.28515625,91.28125,70,,,,,,,,,
5,97.48828125,136.33203125,73,,,,,,,,,
6,157.65234375,192.734375,80,,,,,,,,,
7,137.765625,172.47265625,91,,,,,,,,,
8,187.99609375,227.98828125,91,,,,,,,,,
9,68.01171875,108.02734375,93,,,,,,,,,
10,138.046875,172.87109375,106,,,,,,,,,
1,,,,56.796875,92.73046875,55,,,,,,
2,,,,36.84375,69.38671875,47,,,,,,
3,,,,56.98046875,92.328125,47,,,,,,
4,,,,97.16015625,129.73828125,55,,,,,,
5,,,,97.30078125,129.22265625,47,,,,,,
6,,,,97.37890625,129.3515625,46,,,,,,
7,,,,57.4375,93.6875,47,,,,,,
8,,,,77.453125,112.546875,57,,,,,,
9,,,,77.515625,112.796875,47,,,,,,
10,,,,117.73828125,151.0234375,47,,,,,,
1,,,,,,,37.01953125,73.75,57,,,
2,,,,,,,57.109375,96.19140625,65,,,
3,,,,,,,17.34765625,67.3671875,74,,,
4,,,,,,,37.36328125,69.74609375,77,,,
5,,,,,,,47.4765625,87.4921875,85,,,
6,,,,,,,117.65234375,152.86328125,97,,,
7,,,,,,,137.93359375,175.6640625,98,,,
8,,,,,,,77.96484375,114.69921875,102,,,
9,,,,,,,148.0078125,176.58984375,111,,,
10,,,,,,,18.375,228.453125,123,,,
1,,,,,,,,,,77.296875,112.21875,60
2,,,,,,,,,,47.44140625,87.078125,64
3,,,,,,,,,,27.55859375,50.0234375,73
4,,,,,,,,,,57.8359375,94.51953125,87
5,,,,,,,,,,78.03125,114.5625,86
6,,,,,,,,,,118.37890625,157.3046875,91
7,,,,,,,,,,38.67578125,74.390625,108
8,,,,,,,,,,58.6875,97.4921875,105
9,,,,,,,,,,88.7421875,128.0234375,119
10,,,,,,,,,,39.09765625,77.30859375,128
1,26.890625,54.8359375,57,,,,,,,,,
2,57.10546875,94.9140625,61,,,,,,,,,
3,37.12890625,71.0625,66,,,,,,,,,
4,67.3671875,96.875,70,,,,,,,,,
5,97.5546875,132.125,82,,,,,,,,,
6,157.7265625,195.921875,89,,,,,,,,,
7,137.8203125,176.46484375,83,,,,,,,,,
8,188.07421875,228.08984375,88,,,,,,,,,
9,68.0859375,108.1015625,100,,,,,,,,,
10,138.11328125,174.01953125,97,,,,,,,,,
1,,,,56.796875,95.16015625,50,,,,,,
2,,,,36.83984375,70.25,47,,,,,,
3,,,,56.96484375,92.765625,47,,,,,,
4,,,,97.1171875,133.63671875,47,,,,,,
5,,,,97.23828125,135.92578125,55,,,,,,
6,,,,97.3203125,132.99609375,47,,,,,,
7,,,,57.37890625,90.87109375,56,,,,,,
8,,,,77.3984375,116.72265625,47,,,,,,
9,,,,77.45703125,114.23046875,47,,,,,,
10,,,,117.625,152.46484375,47,,,,,,
1,,,,,,,36.94140625,71.94921875,58,,,
2,,,,,,,57.109375,95.296875,72,,,
3,,,,,,,17.34765625,67.3671875,74,,,
4,,,,,,,37.36328125,74.2734375,86,,,
5,,,,,,,47.5,87.515625,82,,,
6,,,,,,,117.671875,154.87890625,94,,,
7,,,,,,,137.96875,174.703125,98,,,
8,,,,,,,78.00390625,116.45703125,106,,,
9,,,,,,,148.078125,175.078125,122,,,
10,,,,,,,18.4453125,228.51171875,132,,,
1,,,,,,,,,,77.296875,111.203125,58
2,,,,,,,,,,47.453125,85.0546875,75
3,,,,,,,,,,27.55859375,53.19921875,73
4,,,,,,,,,,57.77734375,91.3046875,78
5,,,,,,,,,,78.12109375,116.75,92
6,,,,,,,,,,118.390625,154.6875,91
7,,,,,,,,,,38.640625,75.30078125,99
8,,,,,,,,,,58.65234375,91.4453125,114
9,,,,,,,,,,88.80859375,124.77734375,122
10,,,,,,,,,,39.06640625,72.08984375,126
1,26.97265625,51.8671875,57,,,,,,,,,
2,57.08984375,89.1171875,62,,,,,,,,,
3,37.1171875,76.1484375,66,,,,,,,,,
4,67.27734375,89.796875,70,,,,,,,,,
5,97.4921875,132.484375,79,,,,,,,,,
6,157.6796875,191.2890625,80,,,,,,,,,
7,137.7890625,174.671875,83,,,,,,,,,
8,188.01171875,228.01171875,89,,,,,,,,,
9,68.02734375,108.04296875,96,,,,,,,,,
10,138.0546875,174.98046875,96,,,,,,,,,
1,,,,56.796875,91.31640625,47,,,,,,
2,,,,36.8515625,72.328125,47,,,,,,
3,,,,56.98046875,89.515625,47,,,,,,
4,,,,97.125,134.01171875,47,,,,,,
5,,,,97.26953125,130.36328125,47,,,,,,
6,,,,97.34765625,133.6875,46,,,,,,
7,,,,57.42578125,93.359375,50,,,,,,
8,,,,77.4609375,112.63671875,47,,,,,,
9,,,,77.53125,114.359375,47,,,,,,
10,,,,117.69921875,151.25390625,48,,,,,,
1,,,,,,,37.0234375,71.8515625,57,,,
2,,,,,,,57.09765625,91.1015625,64,,,
3,,,,,,,17.328125,67.34765625,73,,,
4,,,,,,,37.33984375,75.31640625,87,,,
5,,,,,,,47.44921875,87.4609375,93,,,
6,,,,,,,117.6171875,151.72265625,89,,,
7,,,,,,,137.921875,175.54296875,98,,,
8,,,,,,,77.95703125,113.92578125,102,,,
9,,,,,,,147.9921875,174.015625,120,,,
10,,,,,,,18.34765625,228.4140625,123,,,
1,,,,,,,,,,77.3125,111.1953125,60
2,,,,,,,,,,47.453125,82.0234375,75
3,,,,,,,,,,27.5546875,57.234375,78
4,,,,,,,,,,57.75,94.1953125,78
5,,,,,,,,,,78.13671875,112.7421875,85
6,,,,,,,,,,118.41796875,152.64453125,101
7,,,,,,,,,,38.75390625,73.12890625,98
8,,,,,,,,,,58.76171875,96.41796875,116
9,,,,,,,,,,88.81640625,121.64453125,121
10,,,,,,,,,,39.08203125,71.2890625,126
1,26.9765625,48.921875,57,,,,,,,,,
2,57.08984375,92.58984375,69,,,,,,,,,
3,37.1171875,69.5078125,67,,,,,,,,,
4,67.32421875,90.17578125,71,,,,,,,,,
5,97.53515625,135.7890625,75,,,,,,,,,
6,157.70703125,190.56640625,81,,,,,,,,,
7,137.81640625,172.26171875,85,,,,,,,,,
8,188.08203125,228.09765625,90,,,,,,,,,
9,68.09375,108.109375,92,,,,,,,,,
10,138.12109375,172.1953125,106,,,,,,,,,
1,,,,56.796875,93.38671875,47,,,,,,
2,,,,36.85546875,73.66015625,47,,,,,,
3,,,,56.97265625,91.109375,47,,,,,,
4,,,,97.1328125,136.91015625,47,,,,,,
5,,,,97.2578125,131.578125,47,,,,,,
6,,,,97.33984375,133.26171875,47,,,,,,
7,,,,57.390625,91.58203125,47,,,,,,
8,,,,77.41796875,115.11328125,47,,,,,,
9,,,,77.453125,112.74609375,47,,,,,,
10,,,,117.6640625,157.265625,48,,,,,,
1,,,,,,,37.01953125,76.70703125,58,,,
2,,,,,,,57.0859375,90.8125,63,,,
3,,,,,,,17.3046875,67.32421875,81,,,
4,,,,,,,37.31640625,75.92578125,77,,,
5,,,,,,,47.41796875,87.43359375,84,,,
6,,,,,,,117.609375,156.10546875,89,,,
7,,,,,,,137.8671875,170.7265625,98,,,
8,,,,,,,77.8984375,114.0234375,110,,,
9,,,,,,,147.92578125,176.99609375,111,,,
10,,,,,,,18.0546875,228.296875,123,,,
1,,,,,,,,,,77.125,111.26171875,59
2,,,,,,,,,,47.2265625,80.83203125,75
3,,,,,,,,,,27.328125,56.0234375,73
4,,,,,,,,,,57.6171875,89.55078125,88
5,,,,,,,,,,77.78125,113.61328125,85
6,,,,,,,,,,118.13671875,158.0234375,101
7,,,,,,,,,,38.4765625,73.50390625,98
8,,,,,,,,,,58.484375,90.58203125,114
9,,,,,,,,,,88.50390625,123.31640625,112
10,,,,,,,,,,38.84765625,71.91015625,117
1,26.72265625,50.13671875,57,,,,,,,,,
2,56.92578125,90.81640625,61,,,,,,,,,
3,36.97265625,70.2421875,66,,,,,,,,,
4,67.1484375,93.03515625,71,,,,,,,,,
5,97.3125,134.2734375,74,,,,,,,,,
6,157.49609375,194.125,79,,,,,,,,,
7,137.6328125,173.453125,84,,,,,,,,,
8,187.828125,227.84375,90,,,,,,,,,
9,67.8359375,107.8515625,93,,,,,,,,,
10,137.86328125,177.72265625,105,,,,,,,,,
1,,,,56.6328125,94.56640625,52,,,,,,
2,,,,36.69140625,73.47265625,56,,,,,,
3,,,,56.81640625,91.26171875,47,,,,,,
4,,,,96.96875,134.84765625,47,,,,,,
5,,,,97.109375,133.03125,46,,,,,,
6,,,,97.2109375,132.109375,47,,,,,,
7,,,,57.28125,96.8125,46,,,,,,
8,,,,77.296875,110.44921875,46,,,,,,
9,,,,77.3359375,115.88671875,47,,,,,,
10,,,,117.5234375,151.421875,47,,,,,,
1,,,,,,,36.88671875,74.29296875,58,,,
2,,,,,,,56.953125,89.79296875,69,,,
3,,,,,,,17.1796875,67.19921875,73,,,
4,,,,,,,37.1953125,71.99609375,76,,,
5,,,,,,,47.34375,87.359375,84,,,
6,,,,,,,117.546875,153.6796875,89,,,
7,,,,,,,137.8203125,170.83984375,107,,,
8,,,,,,,77.859375,116.5546875,109,,,
9,,,,,,,147.91796875,170.4375,120,,,
10,,,,,,,18.26953125,228.3515625,124,,,
1,,,,,,,,,,77.13671875,109.59765625,58
2,,,,,,,,,,47.26171875,80.3203125,65
3,,,,,,,,,,27.37890625,54.18359375,73
4,,,,,,,,,,57.609375,91.59375,84
5,,,,,,,,,,77.8671875,115.125,86
6,,,,,,,,,,118.234375,153.765625,91
7,,,,,,,,,,38.50390625,74.515625,104
8,,,,,,,,,,58.515625,96.52734375,104
9,,,,,,,,,,88.6328125,123.3984375,112
10,,,,,,,,,,38.8671875,71.12109375,126
1,26.81640625,56.48828125,57,,,,,,,,,
2,56.921875,95.265625,61,,,,,,,,,
3,36.96875,76.71484375,65,,,,,,,,,
4,67.1328125,91.22265625,79,,,,,,,,,
5,97.32421875,130.453125,73,,,,,,,,,
6,157.49609375,192.0625,79,,,,,,,,,
7,137.58203125,173.48828125,84,,,,,,,,,
8,187.78125,227.796875,117,,,,,,,,,
9,67.80078125,107.81640625,102,,,,,,,,,
10,137.828125,173.3515625,98,,,,,,,,,
1,,,,56.6328125,91.69140625,47,,,,,,
2,,,,36.67578125,72.09375,47,,,,,,
3,,,,56.796875,94.23828125,56,,,,,,
4,,,,96.96484375,136.6328125,55,,,,,,
5,,,,97.10546875,135.8203125,57,,,,,,
6,,,,97.18359375,135.07421875,47,,,,,,
7,,,,57.234375,94.6015625,46,,,,,,
8,,,,77.2578125,115.30859375,47,,,,,,
9,,,,77.328125,114.5,47,,,,,,
10,,,,117.53125,157.1875,47,,,,,,
1,,,,,,,36.85546875,72.0546875,57,,,
2,,,,,,,56.94140625,95.14453125,63,,,
3,,,,,,,17.16015625,67.1796875,73,,,
4,,,,,,,37.17578125,71.74609375,77,,,
5,,,,,,,47.2890625,87.296875,84,,,
6,,,,,,,117.4609375,155.6328125,88,,,
7,,,,,,,137.7578125,174.26953125,98,,,
8,,,,,,,77.79296875,115.609375,110,,,
9,,,,,,,147.8359375,176.3203125,120,,,
10,,,,,,,18.19140625,228.2734375,123,,,
1,,,,,,,,,,77.12890625,115.6484375,58
2,,,,,,,,,,47.26953125,79.27734375,65
3,,,,,,,,,,27.38671875,55.9921875,73
4,,,,,,,,,,57.671875,94.7578125,86
5,,,,,,,,,,77.85546875,113.8125,85
6,,,,,,,,,,118.18359375,151.98046875,91
7,,,,,,,,,,38.5,74.015625,98
8,,,,,,,,,,58.5078125,91.57421875,104
9,,,,,,,,,,88.5546875,122.65234375,120
10,,,,,,,,,,38.78125,75.1796875,118
1,26.71875,56.05078125,57,,,,,,,,,
2,56.953125,90.75,62,,,,,,,,,
3,36.95703125,73.828125,66,,,,,,,,,
