case/step,DAC-MACS min,DAC-MACS max,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE amount,TAAC min,TAAC max,TAAC amount
size 1,46.94921875,70.95703125,164,,,,,,,,,
size 2,57.12109375,91.9609375,207,,,,,,,,,
size 3,87.24609375,111.66796875,238,,,,,,,,,
size 4,57.40234375,94.53515625,208,,,,,,,,,
size 5,47.4921875,87.5078125,216,,,,,,,,,
size 6,67.6484375,127.671875,228,,,,,,,,,
size 7,137.7578125,171.8125,358,,,,,,,,,
size 8,147.953125,187.96875,348,,,,,,,,,
size 9,47.99609375,88.01171875,329,,,,,,,,,
size 10,78.0078125,110.7421875,249,,,,,,,,,
size 1,,,,36.73046875,68.59375,258,,,,,,
size 2,,,,26.90234375,66.91796875,177,,,,,,
size 3,,,,67.0234375,89.55859375,270,,,,,,
size 4,,,,77.15625,109.58984375,222,,,,,,
size 5,,,,77.28515625,113.48828125,190,,,,,,
size 6,,,,77.40234375,113.24609375,196,,,,,,
size 7,,,,27.55859375,107.58984375,139,,,,,,
size 8,,,,57.578125,92.6484375,266,,,,,,
size 9,,,,57.578125,93.97265625,208,,,,,,
size 10,,,,77.69140625,110.11328125,188,,,,,,
size 1,,,,,,,26.87890625,66.89453125,202,,,
size 2,,,,,,,57.12109375,89.46484375,325,,,
size 3,,,,,,,57.2734375,91.11328125,231,,,
size 4,,,,,,,47.37109375,87.38671875,227,,,
size 5,,,,,,,97.5390625,137.40625,198,,,
size 6,,,,,,,117.7109375,152.01953125,308,,,
size 7,,,,,,,157.92578125,196.22265625,276,,,
size 8,,,,,,,27.9609375,67.98046875,276,,,
size 9,,,,,,,37.96484375,72.17578125,361,,,
size 10,,,,,,,67.9765625,93.3671875,336,,,
size 1,,,,,,,,,,57.25,89.76953125,251
size 2,,,,,,,,,,37.4296875,63.37890625,262
size 3,,,,,,,,,,27.59765625,65.79296875,252
size 4,,,,,,,,,,37.765625,74.0703125,205
size 5,,,,,,,,,,68.05859375,108.1484375,351
size 6,,,,,,,,,,108.40234375,148.421875,337
size 7,,,,,,,,,,28.71484375,168.76953125,243
size 8,,,,,,,,,,58.7265625,82.37890625,267
size 9,,,,,,,,,,88.77734375,133.19140625,325
size 10,,,,,,,,,,38.99609375,68.69140625,415
size 1,26.8828125,66.8984375,162,,,,,,,,,
size 2,37.0703125,70.14453125,163,,,,,,,,,
size 3,27.1015625,67.1171875,239,,,,,,,,,
size 4,57.28125,96.78125,180,,,,,,,,,
size 5,77.44140625,109.8984375,212,,,,,,,,,
size 6,137.640625,171.5390625,293,,,,,,,,,
size 7,127.76171875,155.03515625,257,,,,,,,,,
size 8,197.96875,237.20703125,187,,,,,,,,,
size 9,78.015625,111.9453125,369,,,,,,,,,
size 10,128.04296875,152.2890625,231,,,,,,,,,
size 1,,,,36.7890625,71.4921875,151,,,,,,
size 2,,,,26.83984375,52.6796875,135,,,,,,
size 3,,,,46.9765625,74.91796875,250,,,,,,
size 4,,,,77.09375,111.87890625,231,,,,,,
size 5,,,,77.29296875,117.07421875,166,,,,,,
size 6,,,,77.37109375,114.00390625,166,,,,,,
size 7,,,,37.4296875,73.11328125,206,,,,,,
size 8,,,,57.4453125,91.375,206,,,,,,
size 9,,,,57.5078125,93.44140625,287,,,,,,
size 10,,,,97.65625,131.16796875,226,,,,,,
size 1,,,,,,,27.015625,55.12890625,215,,,
size 2,,,,,,,47.10546875,71.71484375,245,,,
size 3,,,,,,,47.29296875,75.23046875,287,,,
size 4,,,,,,,27.359375,50.23828125,224,,,
size 5,,,,,,,57.4765625,93.93359375,283,,,
size 6,,,,,,,97.64453125,136.78125,349,,,
size 7,,,,,,,137.86328125,177.75390625,277,,,
size 8,,,,,,,67.9609375,89.8984375,291,,,
size 9,,,,,,,137.98828125,171.28515625,252,,,
size 10,,,,,,,198.375,236.10546875,342,,,
size 1,,,,,,,,,,57.2421875,96.83203125,383
size 2,,,,,,,,,,37.4375,65.8515625,208
size 3,,,,,,,,,,27.55859375,63.77734375,232
size 4,,,,,,,,,,37.76953125,76.39453125,192
size 5,,,,,,,,,,68.02734375,108.1171875,357
size 6,,,,,,,,,,108.375,148.39453125,387
size 7,,,,,,,,,,28.671875,168.8046875,300
size 8,,,,,,,,,,58.6875,84.625,331
size 9,,,,,,,,,,88.7421875,136.05078125,297
size 10,,,,,,,,,,39.09765625,67.37109375,347
size 1,26.890625,66.90625,195,,,,,,,,,
size 2,37.09765625,76.76171875,330,,,,,,,,,
size 3,27.125,67.140625,182,,,,,,,,,
size 4,57.36328125,91.2421875,230,,,,,,,,,
size 5,77.515625,112.42578125,189,,,,,,,,,
size 6,137.7109375,173.1328125,211,,,,,,,,,
size 7,127.81640625,151.76171875,246,,,,,,,,,
size 8,198.03125,231.54296875,338,,,,,,,,,
size 9,78.08984375,110.04296875,302,,,,,,,,,
size 10,128.109375,151.65234375,239,,,,,,,,,
size 1,,,,36.7890625,69.58984375,150,,,,,,
size 2,,,,26.8359375,49.1796875,155,,,,,,
size 3,,,,46.9609375,70.44140625,206,,,,,,
size 4,,,,77.0703125,114.1015625,169,,,,,,
size 5,,,,77.23046875,115.08984375,201,,,,,,
size 6,,,,77.3125,116.63671875,189,,,,,,
size 7,,,,37.37109375,72.9375,117,,,,,,
size 8,,,,57.390625,94.37890625,258,,,,,,
size 9,,,,57.44921875,92.5859375,177,,,,,,
size 10,,,,97.578125,132.5390625,172,,,,,,
size 1,,,,,,,26.9375,51.62890625,213,,,
size 2,,,,,,,47.10546875,76.75390625,242,,,
size 3,,,,,,,47.29296875,76.546875,388,,,
size 4,,,,,,,27.359375,52.83984375,186,,,
size 5,,,,,,,57.5,94.62890625,209,,,
size 6,,,,,,,97.66015625,130.54296875,321,,,
size 7,,,,,,,137.890625,175.12890625,318,,,
size 8,,,,,,,68.0,95.3359375,284,,,
size 9,,,,,,,138.0546875,170.4140625,247,,,
size 10,,,,,,,198.4375,233.26171875,392,,,
size 1,,,,,,,,,,57.2421875,94.05859375,207
size 2,,,,,,,,,,37.44921875,66.28125,195
size 3,,,,,,,,,,27.55859375,63.9921875,300
size 4,,,,,,,,,,37.78515625,72.99609375,232
size 5,,,,,,,,,,68.1171875,108.13671875,248
size 6,,,,,,,,,,108.38671875,148.40625,288
size 7,,,,,,,,,,28.63671875,168.76953125,260
size 8,,,,,,,,,,58.65234375,85.296875,327
size 9,,,,,,,,,,88.80859375,137.28515625,346
size 10,,,,,,,,,,39.06640625,65.015625,388
size 1,26.97265625,66.98828125,169,,,,,,,,,
size 2,37.08203125,73.34765625,203,,,,,,,,,
size 3,27.11328125,67.12890625,194,,,,,,,,,
size 4,57.2734375,96.45703125,223,,,,,,,,,
size 5,77.4453125,117.15625,322,,,,,,,,,
size 6,137.6640625,173.9453125,189,,,,,,,,,
size 7,127.78515625,149.71484375,213,,,,,,,,,
size 8,197.9921875,234.15234375,284,,,,,,,,,
size 9,78.03125,114.734375,219,,,,,,,,,
size 10,128.05078125,154.0625,320,,,,,,,,,
size 1,,,,36.7890625,74.53515625,139,,,,,,
size 2,,,,26.84765625,50.91796875,116,,,,,,
size 3,,,,46.9765625,75.89453125,154,,,,,,
size 4,,,,77.0859375,110.171875,131,,,,,,
size 5,,,,77.26171875,114.5703125,131,,,,,,
size 6,,,,77.33984375,117.03515625,229,,,,,,
size 7,,,,37.41796875,75.359375,204,,,,,,
size 8,,,,57.453125,92.82421875,169,,,,,,
size 9,,,,57.5234375,91.0078125,131,,,,,,
size 10,,,,97.64453125,136.11328125,156,,,,,,
size 1,,,,,,,27.01953125,51.72265625,191,,,
size 2,,,,,,,47.09375,69.125,252,,,
size 3,,,,,,,47.2734375,75.2109375,229,,,
size 4,,,,,,,27.3359375,54.3671875,204,,,
size 5,,,,,,,57.4453125,89.328125,215,,,
size 6,,,,,,,97.6015625,130.82421875,310,,,
size 7,,,,,,,137.85546875,175.30078125,218,,,
size 8,,,,,,,67.953125,92.16015625,257,,,
size 9,,,,,,,137.98046875,174.09765625,251,,,
size 10,,,,,,,198.33203125,232.65625,398,,,
size 1,,,,,,,,,,57.2578125,90.27734375,225
size 2,,,,,,,,,,37.44921875,66.7734375,177
size 3,,,,,,,,,,27.58203125,64.10546875,288
size 4,,,,,,,,,,37.76171875,72.70703125,232
size 5,,,,,,,,,,68.1328125,108.1484375,356
size 6,,,,,,,,,,108.4140625,148.43359375,298
size 7,,,,,,,,,,28.75,168.8046875,323
size 8,,,,,,,,,,58.76171875,81.9453125,281
size 9,,,,,,,,,,88.81640625,131.0234375,338
size 10,,,,,,,,,,39.08203125,66.859375,353
size 1,26.9765625,66.9921875,224,,,,,,,,,
size 2,37.08203125,74.53125,201,,,,,,,,,
size 3,27.11328125,67.12890625,234,,,,,,,,,
size 4,57.3203125,89.12109375,248,,,,,,,,,
size 5,77.4921875,115.7421875,214,,,,,,,,,
size 6,137.69140625,176.69921875,182,,,,,,,,,
size 7,127.8125,154.765625,207,,,,,,,,,
size 8,198.00390625,230.38671875,274,,,,,,,,,
size 9,78.09765625,116.703125,370,,,,,,,,,
size 10,128.1171875,151.2578125,288,,,,,,,,,
size 1,,,,36.7890625,69.91015625,135,,,,,,
size 2,,,,26.8515625,50.625,166,,,,,,
size 3,,,,46.96875,72.98046875,169,,,,,,
size 4,,,,77.09375,112.484375,162,,,,,,
size 5,,,,77.25,113.84375,172,,,,,,
size 6,,,,77.33203125,113.34765625,144,,,,,,
size 7,,,,37.3828125,75.80078125,142,,,,,,
size 8,,,,57.41015625,97.203125,139,,,,,,
size 9,,,,57.4453125,93.859375,150,,,,,,
size 10,,,,97.5859375,130.48828125,354,,,,,,
size 1,,,,,,,27.015625,54.56640625,199,,,
size 2,,,,,,,47.08203125,74.79296875,227,,,
size 3,,,,,,,47.25,77.16015625,166,,,
size 4,,,,,,,27.3125,51.9765625,219,,,
size 5,,,,,,,57.4140625,93.359375,354,,,
size 6,,,,,,,97.6015625,133.3828125,225,,,
size 7,,,,,,,137.796875,172.06640625,262,,,
size 8,,,,,,,67.89453125,89.94921875,230,,,
size 9,,,,,,,137.921875,172.75390625,250,,,
size 10,,,,,,,198.2265625,238.08984375,322,,,
size 1,,,,,,,,,,57.0703125,93.33203125,177
size 2,,,,,,,,,,37.22265625,66.0078125,287
size 3,,,,,,,,,,27.359375,65.265625,244
size 4,,,,,,,,,,37.55078125,73.10546875,262
size 5,,,,,,,,,,67.77734375,107.87109375,269
size 6,,,,,,,,,,108.1328125,148.15234375,265
size 7,,,,,,,,,,28.47265625,168.52734375,265
size 8,,,,,,,,,,58.484375,84.87109375,405
size 9,,,,,,,,,,88.50390625,135.3359375,338
size 10,,,,,,,,,,38.84765625,60.92578125,382
size 1,26.72265625,66.73828125,219,,,,,,,,,
size 2,36.91796875,76.28515625,333,,,,,,,,,
size 3,26.96875,66.984375,170,,,,,,,,,
