case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,10485792,,,
2,10485792,,,
3,10485792,,,
4,10485792,,,
5,10485792,,,
6,10485792,,,
7,10485792,,,
8,10485792,,,
9,10485792,,,
10,10485792,,,
1,,10485792,,
2,,10485792,,
3,,10485792,,
4,,10485792,,
5,,10485792,,
6,,10485792,,
7,,10485792,,
8,,10485792,,
9,,10485792,,
10,,10485792,,
1,,,10485792,
2,,,10485792,
3,,,10485792,
4,,,10485792,
5,,,10485792,
6,,,10485792,
7,,,10485792,
8,,,10485792,
9,,,10485792,
10,,,10485792,
1,,,,10485792
2,,,,10485792
3,,,,10485792
4,,,,10485792
5,,,,10485792
6,,,,10485792
7,,,,10485792
8,,,,10485792
9,,,,10485792
10,,,,10485792
1,10485792,,,
2,10485792,,,
3,10485792,,,
4,10485792,,,
5,10485792,,,
6,10485792,,,
7,10485792,,,
8,10485792,,,
9,10485792,,,
10,10485792,,,
1,,10485792,,
2,,10485792,,
3,,10485792,,
4,,10485792,,
5,,10485792,,
6,,10485792,,
7,,10485792,,
8,,10485792,,
9,,10485792,,
10,,10485792,,
1,,,10485792,
2,,,10485792,
3,,,10485792,
4,,,10485792,
5,,,10485792,
6,,,10485792,
7,,,10485792,
8,,,10485792,
9,,,10485792,
10,,,10485792,
1,,,,10485792
2,,,,10485792
3,,,,10485792
4,,,,10485792
5,,,,10485792
6,,,,10485792
7,,,,10485792
8,,,,10485792
9,,,,10485792
10,,,,10485792
1,10485792,,,
2,10485792,,,
3,10485792,,,
4,10485792,,,
5,10485792,,,
6,10485792,,,
7,10485792,,,
8,10485792,,,
9,10485792,,,
10,10485792,,,
1,,10485792,,
2,,10485792,,
3,,10485792,,
4,,10485792,,
5,,10485792,,
6,,10485792,,
7,,10485792,,
8,,10485792,,
9,,10485792,,
10,,10485792,,
1,,,10485792,
2,,,10485792,
3,,,10485792,
4,,,10485792,
5,,,10485792,
6,,,10485792,
7,,,10485792,
8,,,10485792,
9,,,10485792,
10,,,10485792,
1,,,,10485792
2,,,,10485792
3,,,,10485792
4,,,,10485792
5,,,,10485792
6,,,,10485792
7,,,,10485792
8,,,,10485792
9,,,,10485792
10,,,,10485792
1,10485792,,,
2,10485792,,,
3,10485792,,,
4,10485792,,,
5,10485792,,,
6,10485792,,,
7,10485792,,,
8,10485792,,,
9,10485792,,,
10,10485792,,,
1,,10485792,,
2,,10485792,,
3,,10485792,,
4,,10485792,,
5,,10485792,,
6,,10485792,,
7,,10485792,,
8,,10485792,,
9,,10485792,,
10,,10485792,,
1,,,10485792,
2,,,10485792,
3,,,10485792,
4,,,10485792,
5,,,10485792,
6,,,10485792,
7,,,10485792,
8,,,10485792,
9,,,10485792,
10,,,10485792,
1,,,,10485792
2,,,,10485792
3,,,,10485792
4,,,,10485792
5,,,,10485792
6,,,,10485792
7,,,,10485792
8,,,,10485792
9,,,,10485792
10,,,,10485792
1,10485792,,,
2,10485792,,,
3,10485792,,,
4,10485792,,,
5,10485792,,,
6,10485792,,,
7,10485792,,,
8,10485792,,,
9,10485792,,,
10,10485792,,,
1,,10485792,,
2,,10485792,,
3,,10485792,,
4,,10485792,,
5,,10485792,,
6,,10485792,,
7,,10485792,,
8,,10485792,,
9,,10485792,,
10,,10485792,,
1,,,10485792,
2,,,10485792,
3,,,10485792,
4,,,10485792,
5,,,10485792,
6,,,10485792,
7,,,10485792,
8,,,10485792,
9,,,10485792,
10,,,10485792,
1,,,,10485792
2,,,,10485792
3,,,,10485792
4,,,,10485792
5,,,,10485792
6,,,,10485792
7,,,,10485792
8,,,,10485792
9,,,,10485792
10,,,,10485792
1,10485792,,,
2,10485792,,,
3,10485792,,,
4,10485792,,,
5,10485792,,,
6,10485792,,,
7,10485792,,,
8,10485792,,,
9,10485792,,,
10,10485792,,,
1,,10485792,,
2,,10485792,,
3,,10485792,,
4,,10485792,,
5,,10485792,,
6,,10485792,,
7,,10485792,,
8,,10485792,,
9,,10485792,,
10,,10485792,,
1,,,10485792,
2,,,10485792,
3,,,10485792,
4,,,10485792,
