case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
6,,,,12033
7,,,,13068
8,,,,14103
9,,,,15134
10,,,,16161
1,6315,,,
2,7023,,,
3,7743,,,
4,8457,,,
5,9171,,,
6,9879,,,
7,10599,,,
8,11319,,,
9,12033,,,
10,12741,,,
1,,4688,,
2,,4338,,
3,,4406,,
4,,4471,,
5,,4536,,
6,,4598,,
7,,4666,,
8,,4734,,
9,,4799,,
10,,4861,,
1,,,7122,
2,,,8190,
3,,,9270,
4,,,10344,
5,,,11418,
6,,,12486,
7,,,13566,
8,,,14646,
9,,,15720,
10,,,16788,
1,,,,6882
2,,,,7909
3,,,,8944
4,,,,9975
5,,,,11006
