case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
authsetup,0.000565,,,
decrypt,2.7422329999999997,,,
decryption_keys,1.035958,,,
encrypt,9.425688,,,
authsetup,,0.000328,,
decrypt,,2.406757,,
decryption_keys,,7e-06,,
encrypt,,11.159908999999999,,
authsetup,,,0.000266,
decrypt,,,3.05414,
decryption_keys,,,7e-06,
encrypt,,,9.827217,
authsetup,,,,0.000256
decrypt,,,,2.759352
decryption_keys,,,,0.0076159999999999995
encrypt,,,,11.830302
authsetup,0.000575,,,
decrypt,2.749527,,,
decryption_keys,1.025634,,,
encrypt,8.355205999999999,,,
authsetup,,0.000334,,
decrypt,,1.887419,,
decryption_keys,,7e-06,,
encrypt,,10.894812,,
authsetup,,,0.000265,
decrypt,,,3.7193799999999997,
decryption_keys,,,6e-06,
encrypt,,,9.354519999999999,
authsetup,,,,0.000254
decrypt,,,,2.73448
decryption_keys,,,,0.011890999999999999
encrypt,,,,9.878938
authsetup,0.0005809999999999999,,,
decrypt,2.745142,,,
decryption_keys,1.03353,,,
encrypt,9.718867,,,
authsetup,,0.00033199999999999994,,
decrypt,,1.8796419999999998,,
decryption_keys,,7e-06,,
encrypt,,12.301705,,
authsetup,,,0.00027,
decrypt,,,3.1471869999999997,
decryption_keys,,,8e-06,
encrypt,,,12.594503999999999,
authsetup,,,,0.000252
decrypt,,,,2.7368289999999997
decryption_keys,,,,0.008041999999999999
encrypt,,,,12.205283999999999
authsetup,0.000575,,,
decrypt,3.310469,,,
decryption_keys,1.027537,,,
encrypt,7.780164999999999,,,
authsetup,,0.00034799999999999995,,
decrypt,,1.900442,,
decryption_keys,,6e-06,,
encrypt,,13.393905,,
authsetup,,,0.000265,
decrypt,,,3.178505,
decryption_keys,,,8e-06,
encrypt,,,13.121703,
authsetup,,,,0.000261
decrypt,,,,2.737495
decryption_keys,,,,0.007999
encrypt,,,,11.659073
authsetup,0.00057,,,
decrypt,3.318178,,,
decryption_keys,1.025823,,,
encrypt,17.511689,,,
authsetup,,0.000335,,
decrypt,,2.432349,,
decryption_keys,,7e-06,,
encrypt,,8.519082,,
authsetup,,,0.00027699999999999996,
decrypt,,,3.161044,
decryption_keys,,,6e-06,
encrypt,,,11.503719,
authsetup,,,,0.000258
decrypt,,,,2.739265
decryption_keys,,,,0.012051
encrypt,,,,10.595830999999999
authsetup,0.0005709999999999999,,,
decrypt,3.303231,,,
decryption_keys,1.041304,,,
encrypt,8.928257,,,
authsetup,,0.000338,,
decrypt,,1.891562,,
decryption_keys,,7e-06,,
encrypt,,11.412792999999999,,
authsetup,,,0.00025699999999999996,
decrypt,,,3.1679619999999997,
decryption_keys,,,7e-06,
encrypt,,,10.994729999999999,
authsetup,,,,0.00026199999999999997
decrypt,,,,2.754685
decryption_keys,,,,0.007897
encrypt,,,,11.544524
authsetup,0.000592,,,
decrypt,2.7356089999999997,,,
decryption_keys,1.0268439999999999,,,
encrypt,12.68963,,,
authsetup,,0.000321,,
decrypt,,1.8989719999999999,,
decryption_keys,,6e-06,,
encrypt,,11.050851999999999,,
authsetup,,,0.000263,
decrypt,,,3.165027,
decryption_keys,,,8e-06,
encrypt,,,10.51133,
authsetup,,,,0.000273
decrypt,,,,2.729225
decryption_keys,,,,0.007932
encrypt,,,,12.190583
authsetup,0.000561,,,
decrypt,2.7521169999999997,,,
decryption_keys,1.027602,,,
encrypt,11.367116,,,
authsetup,,0.000448,,
decrypt,,1.8874339999999998,,
decryption_keys,,7e-06,,
encrypt,,7.787627,,
authsetup,,,0.000259,
decrypt,,,3.7023629999999996,
decryption_keys,,,7e-06,
encrypt,,,9.291274,
authsetup,,,,0.000268
decrypt,,,,3.2925139999999997
decryption_keys,,,,0.011814
encrypt,,,,13.120747
authsetup,0.0007289999999999999,,,
decrypt,3.275137,,,
decryption_keys,1.02861,,,
encrypt,11.933434,,,
authsetup,,0.00032599999999999996,,
decrypt,,2.168072,,
decryption_keys,,7e-06,,
encrypt,,8.715150999999999,,
authsetup,,,0.000266,
decrypt,,,3.162109,
decryption_keys,,,6e-06,
encrypt,,,9.301692,
authsetup,,,,0.000265
decrypt,,,,2.75223
decryption_keys,,,,0.007797999999999999
