case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,0.0005629999999999999,,,
2,0.00075,,,
3,0.000565,,,
4,0.000557,,,
5,0.000572,,,
6,0.000907,,,
7,0.000574,,,
8,0.000571,,,
9,0.0006219999999999999,,,
10,0.000554,,,
1,,0.000307,,
2,,0.00033600000000000004,,
3,,0.000328,,
4,,0.00032199999999999997,,
5,,0.000338,,
6,,0.000323,,
7,,0.000326,,
8,,0.00033299999999999996,,
9,,0.00032599999999999996,,
10,,0.000325,,
1,,,0.000345,
2,,,0.000256,
3,,,0.000266,
4,,,0.00027,
5,,,0.000255,
6,,,0.00025100000000000003,
7,,,0.000274,
8,,,0.000256,
9,,,0.000282,
10,,,0.00024799999999999996,
1,,,,0.00049
2,,,,0.00026199999999999997
3,,,,0.000256
4,,,,0.000266
5,,,,0.000248
6,,,,0.000261
7,,,,0.000359
8,,,,0.000252
9,,,,0.00027
10,,,,0.000263
1,0.00056,,,
2,0.000587,,,
3,0.000575,,,
4,0.000587,,,
5,0.000585,,,
6,0.0005629999999999999,,,
7,0.000567,,,
8,0.000574,,,
9,0.000598,,,
10,0.000786,,,
1,,0.00031299999999999996,,
2,,0.000327,,
3,,0.000334,,
4,,0.000318,,
5,,0.00032799999999999995,,
6,,0.000459,,
7,,0.000323,,
8,,0.00032199999999999997,,
9,,0.00036799999999999995,,
10,,0.00033,,
1,,,0.00032599999999999996,
2,,,0.000259,
3,,,0.000265,
4,,,0.000267,
5,,,0.000263,
6,,,0.000258,
7,,,0.000274,
8,,,0.000272,
9,,,0.000278,
10,,,0.000266,
1,,,,0.00040999999999999994
2,,,,0.000272
3,,,,0.000254
4,,,,0.000263
5,,,,0.000266
6,,,,0.000273
7,,,,0.000263
8,,,,0.000267
9,,,,0.000254
10,,,,0.000279
1,0.000575,,,
2,0.00058,,,
3,0.0005809999999999999,,,
4,0.000567,,,
5,0.000557,,,
6,0.000739,,,
7,0.000567,,,
8,0.00058,,,
9,0.000583,,,
10,0.0005729999999999999,,,
1,,0.00033600000000000004,,
2,,0.000328,,
3,,0.00033199999999999994,,
4,,0.000331,,
5,,0.000341,,
6,,0.00032599999999999996,,
7,,0.00032399999999999996,,
8,,0.000345,,
9,,0.000317,,
10,,0.000337,,
1,,,0.000394,
2,,,0.00024799999999999996,
3,,,0.00027,
4,,,0.000259,
5,,,0.000265,
6,,,0.000255,
7,,,0.000256,
8,,,0.00026199999999999997,
9,,,0.000264,
10,,,0.000265,
1,,,,0.0003889999999999999
2,,,,0.000251
3,,,,0.000252
4,,,,0.000259
5,,,,0.000268
6,,,,0.000264
7,,,,0.00026399999999999997
8,,,,0.00025699999999999996
9,,,,0.00025699999999999996
10,,,,0.000256
1,0.000556,,,
2,0.0005809999999999999,,,
3,0.000575,,,
4,0.000595,,,
5,0.000575,,,
6,0.000575,,,
7,0.0005769999999999999,,,
8,0.000584,,,
9,0.00059,,,
10,0.0005949999999999999,,,
1,,0.000322,,
2,,0.000336,,
3,,0.00034799999999999995,,
4,,0.000347,,
5,,0.000345,,
6,,0.000343,,
7,,0.000332,,
8,,0.000347,,
9,,0.00034499999999999993,,
10,,0.000338,,
1,,,0.00031,
2,,,0.000265,
3,,,0.000265,
4,,,0.00026199999999999997,
5,,,0.00036399999999999996,
6,,,0.00025,
7,,,0.000267,
8,,,0.000256,
9,,,0.000264,
10,,,0.000256,
1,,,,0.000401
2,,,,0.000254
3,,,,0.000261
4,,,,0.000274
5,,,,0.000278
6,,,,0.000562
7,,,,0.000277
8,,,,0.00026599999999999996
9,,,,0.000252
10,,,,0.000266
1,0.000558,,,
2,0.0005639999999999999,,,
3,0.00057,,,
4,0.000571,,,
5,0.000594,,,
6,0.000554,,,
7,0.000727,,,
8,0.000561,,,
9,0.0005819999999999999,,,
10,0.0007749999999999999,,,
1,,0.00031299999999999996,,
2,,0.000321,,
3,,0.000335,,
4,,0.00032199999999999997,,
5,,0.000325,,
6,,0.000334,,
7,,0.000335,,
8,,0.00033,,
9,,0.000332,,
10,,0.000326,,
1,,,0.00031800000000000003,
2,,,0.00025,
3,,,0.00027699999999999996,
4,,,0.000266,
5,,,0.000263,
6,,,0.00026,
7,,,0.000256,
8,,,0.00025299999999999997,
9,,,0.000258,
10,,,0.000265,
1,,,,0.000383
2,,,,0.00025499999999999996
3,,,,0.000258
4,,,,0.000265
5,,,,0.00026099999999999995
6,,,,0.000259
7,,,,0.00026199999999999997
8,,,,0.000254
9,,,,0.000441
10,,,,0.00027
1,0.000552,,,
2,0.0005809999999999999,,,
3,0.0005709999999999999,,,
4,0.0005679999999999999,,,
5,0.0005639999999999999,,,
6,0.000556,,,
7,0.001014,,,
8,0.00065,,,
9,0.0005549999999999999,,,
10,0.000565,,,
1,,0.000323,,
2,,0.00033,,
3,,0.000338,,
4,,0.000349,,
5,,0.000314,,
6,,0.000334,,
7,,0.000327,,
8,,0.00031999999999999997,,
9,,0.000332,,
10,,0.00033,,
1,,,0.000322,
2,,,0.000258,
3,,,0.00025699999999999996,
4,,,0.000261,
5,,,0.00026399999999999997,
6,,,0.000265,
7,,,0.000267,
8,,,0.000263,
9,,,0.00027,
10,,,0.000258,
1,,,,0.00037600000000000003
2,,,,0.000256
3,,,,0.00026199999999999997
4,,,,0.00025
5,,,,0.00024399999999999997
6,,,,0.00026399999999999997
7,,,,0.000246
8,,,,0.00026199999999999997
9,,,,0.000259
10,,,,0.000252
1,0.000562,,,
2,0.0005839999999999999,,,
3,0.000592,,,
4,0.000562,,,
5,0.000553,,,
6,0.0005809999999999999,,,
7,0.000566,,,
8,0.0005459999999999999,,,
9,0.000579,,,
10,0.00081,,,
1,,0.000323,,
2,,0.000395,,
3,,0.000321,,
4,,0.000331,,
5,,0.000402,,
6,,0.000339,,
7,,0.000335,,
8,,0.000345,,
9,,0.00033,,
10,,0.000334,,
1,,,0.00031099999999999997,
2,,,0.000267,
3,,,0.000263,
4,,,0.000271,
5,,,0.000263,
6,,,0.000255,
7,,,0.000271,
8,,,0.000265,
9,,,0.000272,
10,,,0.00025,
1,,,,0.000389
2,,,,0.000265
3,,,,0.000273
4,,,,0.000275
5,,,,0.00025499999999999996
6,,,,0.000261
7,,,,0.000261
8,,,,0.000265
9,,,,0.000265
10,,,,0.000258
1,0.000563,,,
2,0.000571,,,
3,0.000561,,,
4,0.00056,,,
5,0.0005629999999999999,,,
6,0.000587,,,
7,0.000762,,,
8,0.000763,,,
9,0.000562,,,
10,0.000571,,,
1,,0.00033899999999999995,,
2,,0.004084,,
3,,0.000448,,
4,,0.000339,,
5,,0.000335,,
6,,0.000337,,
7,,0.000331,,
8,,0.000346,,
9,,0.00045,,
10,,0.000332,,
1,,,0.000316,
2,,,0.00026199999999999997,
3,,,0.000259,
4,,,0.000271,
5,,,0.00028399999999999996,
6,,,0.00025699999999999996,
7,,,0.000253,
8,,,0.000265,
9,,,0.000472,
10,,,0.000268,
1,,,,0.00037799999999999997
2,,,,0.000258
3,,,,0.000268
4,,,,0.00025699999999999996
5,,,,0.00025699999999999996
6,,,,0.000263
7,,,,0.00025299999999999997
