case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,2.860792,,,
2,2.55557,,,
3,2.7422329999999997,,,
4,2.9486,,,
5,3.141801,,,
6,3.4412249999999998,,,
7,3.5586349999999998,,,
8,3.850352,,,
9,3.9926749999999998,,,
10,4.2491959999999995,,,
1,,1.924774,,
2,,1.89834,,
3,,2.406757,,
4,,1.891262,,
5,,1.8950399999999998,,
6,,1.8762699999999999,,
7,,2.407975,,
8,,1.89105,,
9,,1.899177,,
10,,1.9077039999999998,,
1,,,2.507787,
2,,,2.808669,
3,,,3.05414,
4,,,3.4816469999999997,
5,,,3.697492,
6,,,4.22637,
7,,,4.491738,
8,,,4.728216,
9,,,5.155329,
10,,,5.898931,
1,,,,5.414409
2,,,,2.469813
3,,,,2.759352
4,,,,3.587307
5,,,,3.960425
6,,,,3.542289
7,,,,3.942218
8,,,,4.149592
9,,,,4.476986999999999
10,,,,5.320333
1,2.316344,,,
2,3.040259,,,
3,2.749527,,,
4,3.162883,,,
5,3.6195,,,
6,3.289548,,,
7,3.606465,,,
8,4.259277,,,
9,3.958926,,,
10,4.088456,,,
1,,1.882317,,
2,,1.888593,,
3,,1.887419,,
4,,1.884386,,
5,,1.906239,,
6,,1.886205,,
7,,1.9022789999999998,,
8,,1.8887049999999999,,
9,,1.885475,,
10,,2.0551,,
1,,,2.46506,
2,,,2.7557,
3,,,3.7193799999999997,
4,,,3.5048999999999997,
5,,,3.7269319999999997,
6,,,4.08789,
7,,,4.477138,
8,,,5.287014999999999,
9,,,5.109203,
10,,,5.47061,
1,,,,5.412806
2,,,,3.0420629999999997
3,,,,2.73448
4,,,,3.6142459999999996
5,,,,3.3969329999999998
6,,,,3.961667
7,,,,3.9642419999999996
8,,,,4.185305
9,,,,4.998806
10,,,,5.312383
1,2.300156,,,
2,2.537004,,,
3,2.745142,,,
4,3.6927369999999997,,,
5,3.146864,,,
6,3.8417839999999996,,,
7,3.5801469999999997,,,
8,4.200721,,,
9,3.947311,,,
10,4.621896,,,
1,,1.893376,,
2,,2.423152,,
3,,1.8796419999999998,,
4,,1.911053,,
5,,1.899397,,
6,,1.887301,,
7,,1.906242,,
8,,1.9028159999999998,,
9,,1.886258,,
10,,1.89405,,
1,,,2.489735,
2,,,2.74554,
3,,,3.1471869999999997,
4,,,4.016988,
5,,,3.71502,
6,,,4.09003,
7,,,4.39474,
8,,,4.739669,
9,,,5.12827,
10,,,5.444417,
1,,,,5.9841429999999995
2,,,,2.4523569999999997
3,,,,2.7368289999999997
4,,,,3.054456
5,,,,3.41999
6,,,,3.5566739999999997
7,,,,3.966191
8,,,,4.1716549999999994
9,,,,4.7557
10,,,,4.76662
1,2.298955,,,
2,2.524169,,,
3,3.310469,,,
4,3.560132,,,
5,3.093295,,,
6,3.305411,,,
7,3.625508,,,
8,3.700415,,,
9,3.943113,,,
10,4.086491,,,
1,,1.875753,,
2,,2.510375,,
3,,1.900442,,
4,,1.8823379999999998,,
5,,1.881668,,
6,,1.8850879999999999,,
7,,1.893314,,
8,,1.9029539999999998,,
9,,1.9021629999999998,,
10,,1.8834499999999998,,
1,,,2.4767669999999997,
2,,,2.76591,
3,,,3.178505,
4,,,4.036519999999999,
5,,,3.7109769999999997,
6,,,4.059874,
7,,,4.385859,
8,,,4.840443,
9,,,5.1280909999999995,
10,,,5.425013,
1,,,,5.923278
2,,,,2.452963
3,,,,2.737495
4,,,,3.5530809999999997
5,,,,3.406157
6,,,,3.542525
7,,,,3.961314
8,,,,4.171163
9,,,,4.493685999999999
10,,,,5.277502
1,2.29749,,,
2,2.653143,,,
3,3.318178,,,
4,3.190236,,,
5,3.118999,,,
6,3.41005,,,
7,3.667756,,,
8,4.313561,,,
9,4.493577,,,
10,4.1033669999999995,,,
1,,1.8833469999999999,,
2,,1.884129,,
3,,2.432349,,
4,,1.906294,,
5,,2.44818,,
6,,1.889832,,
7,,2.447009,,
8,,1.8981819999999998,,
9,,1.889463,,
10,,1.909684,,
1,,,2.473743,
2,,,2.758396,
3,,,3.161044,
4,,,3.475111,
5,,,3.724084,
6,,,4.077272,
7,,,4.427165,
8,,,4.992973,
9,,,5.105805,
10,,,5.431985999999999,
1,,,,5.451321
2,,,,3.005546
3,,,,2.739265
4,,,,3.239156
5,,,,3.934856
6,,,,3.547522
7,,,,3.9677469999999997
8,,,,4.1789689999999995
9,,,,5.0367429999999995
10,,,,4.7557089999999995
1,2.30632,,,
2,2.5093099999999997,,,
3,3.303231,,,
4,3.150098,,,
5,3.115939,,,
6,3.3140959999999997,,,
7,3.608319,,,
8,3.7155669999999996,,,
9,3.9326329999999996,,,
10,4.09052,,,
1,,1.896845,,
2,,1.891686,,
3,,1.891562,,
4,,1.881567,,
5,,1.9001979999999998,,
6,,1.902466,,
7,,1.8976629999999999,,
8,,1.884647,,
9,,2.1196349999999997,,
10,,1.8843029999999998,,
1,,,2.993786,
2,,,2.754968,
3,,,3.1679619999999997,
4,,,3.4906349999999997,
5,,,3.7719549999999997,
6,,,4.058382,
7,,,4.374528,
8,,,4.744368,
9,,,5.109999999999999,
10,,,5.405266,
1,,,,5.423162
2,,,,2.460556
3,,,,2.754685
4,,,,3.6010039999999996
5,,,,3.4026359999999998
6,,,,3.5451289999999998
7,,,,4.485634
8,,,,4.164334
9,,,,4.44999
10,,,,4.768159
1,2.372011,,,
2,2.613448,,,
3,2.7356089999999997,,,
4,3.69184,,,
5,3.098652,,,
6,3.292236,,,
7,3.59999,,,
8,3.7087869999999996,,,
9,4.490273999999999,,,
10,4.091121,,,
1,,1.875724,,
2,,1.878639,,
3,,1.8989719999999999,,
4,,1.8746669999999999,,
5,,1.8770419999999999,,
6,,1.892467,,
7,,2.473011,,
8,,1.895031,,
9,,1.8963139999999998,,
10,,2.236383,,
1,,,2.4650119999999998,
2,,,3.2748869999999997,
3,,,3.165027,
4,,,3.476153,
5,,,3.724947,
6,,,4.062946,
7,,,4.890746,
8,,,4.7369449999999995,
9,,,5.116785,
10,,,5.443306,
1,,,,5.403239999999999
2,,,,2.4597659999999997
3,,,,2.729225
4,,,,3.0388129999999998
5,,,,3.960743
6,,,,3.5697919999999996
7,,,,4.5039109999999996
8,,,,4.724423
9,,,,4.457419
10,,,,4.7420539999999995
1,2.3681669999999997,,,
2,2.527185,,,
3,2.7521169999999997,,,
4,3.159931,,,
5,3.109507,,,
6,3.294669,,,
7,3.60643,,,
8,3.6993319999999996,,,
9,3.939707,,,
10,4.126046,,,
1,,1.890793,,
2,,1.8902519999999998,,
3,,1.8874339999999998,,
4,,1.881954,,
5,,1.8809669999999998,,
6,,1.876711,,
7,,1.880936,,
8,,1.8914279999999999,,
9,,1.886873,,
10,,1.9034039999999999,,
1,,,3.015383,
2,,,2.757853,
3,,,3.7023629999999996,
4,,,3.468407,
5,,,4.24562,
6,,,4.089167,
7,,,4.362051,
8,,,4.755396999999999,
9,,,5.1445799999999995,
10,,,5.432821,
1,,,,5.388089
2,,,,2.469424
3,,,,3.2925139999999997
4,,,,3.059882
5,,,,3.4128469999999997
6,,,,4.120979
7,,,,4.4496139999999995
8,,,,4.715644999999999
9,,,,5.024535
10,,,,4.739757
1,2.29414,,,
2,2.564556,,,
3,3.275137,,,
4,3.706581,,,
5,3.2851209999999997,,,
6,3.29414,,,
7,4.146215,,,
8,4.246187,,,
9,3.947043,,,
10,4.66902,,,
1,,1.892512,,
2,,1.8804459999999998,,
3,,2.168072,,
4,,1.8867999999999998,,
5,,1.8972259999999999,,
6,,1.8941089999999998,,
7,,1.886394,,
8,,1.9063789999999998,,
9,,1.8895039999999999,,
10,,2.453385,,
1,,,2.481973,
2,,,2.826103,
3,,,3.162109,
4,,,3.475066,
5,,,3.71622,
6,,,4.087661,
7,,,4.374328,
8,,,4.751659,
9,,,5.120024,
10,,,5.699877,
1,,,,5.4210449999999994
2,,,,3.0301769999999997
3,,,,2.75223
4,,,,3.043161
5,,,,3.4658539999999998
6,,,,4.127746999999999
7,,,,3.958655
8,,,,4.733928
9,,,,4.4522379999999995
10,,,,4.743948
1,2.306542,,,
2,3.094242,,,
3,3.36599,,,
4,3.161645,,,
5,3.1002799999999997,,,
6,3.872479,,,
7,3.6452809999999998,,,
8,3.8923099999999997,,,
9,4.596954,,,
10,4.307004,,,
1,,1.9318359999999999,,
2,,2.482982,,
3,,1.905732,,
4,,1.89815,,
5,,1.911776,,
6,,2.5745,,
7,,2.524091,,
8,,1.928356,,
9,,1.8941919999999999,,
10,,2.272386,,
1,,,2.739461,
2,,,2.831816,
3,,,3.213971,
4,,,4.161288,
5,,,3.790581,
6,,,4.786858,
7,,,5.390275,
8,,,4.783609,
9,,,5.77159,
10,,,6.219493,
1,,,,5.538796
2,,,,2.65976
3,,,,2.768773
4,,,,6.782502
5,,,,7.6437409999999995
6,,,,3.6837359999999997
7,,,,4.353746
8,,,,4.250558
9,,,,4.939941
10,,,,4.965745
1,2.331269,,,
2,2.6772869999999998,,,
3,3.400664,,,
4,3.40093,,,
5,3.5129539999999997,,,
6,3.5241179999999996,,,
7,4.979178,,,
8,4.965058,,,
9,4.835401,,,
10,4.4380299999999995,,,
1,,2.2470939999999997,,
2,,2.321722,,
3,,2.129324,,
4,,3.8222769999999997,,
5,,2.454113,,
6,,1.997641,,
7,,1.9891059999999998,,
8,,1.9700879999999998,,
9,,4.517354,,
10,,1.980162,,
1,,,4.156061,
2,,,3.457073,
3,,,5.865766,
4,,,5.65327,
5,,,4.905768,
6,,,9.81223,
7,,,10.057723,
8,,,9.740958,
9,,,13.848032,
10,,,15.47208,
1,,,,9.43468
2,,,,3.324258
3,,,,6.38512
4,,,,5.247145
5,,,,5.246739
6,,,,9.8047
7,,,,4.8572299999999995
8,,,,13.181788
9,,,,9.431367999999999
10,,,,11.558474
1,4.00291,,,
2,2.93056,,,
3,10.836927,,,
4,7.74351,,,
5,10.607804999999999,,,
6,4.150475999999999,,,
7,14.025936999999999,,,
8,4.1282369999999995,,,
9,9.040313,,,
10,9.842115999999999,,,
1,,3.5102529999999996,,
2,,6.15778,,
3,,2.081229,,
4,,2.851728,,
5,,3.079964,,
6,,2.5872699999999997,,
7,,2.204855,,
8,,7.43666,,
9,,6.841956,,
10,,3.1034859999999997,,
1,,,8.03379,
2,,,8.700939,
3,,,4.4560889999999995,
4,,,6.345446,
5,,,8.481322,
6,,,6.794961,
7,,,7.145294,
8,,,8.309795,
9,,,7.630408999999999,
10,,,12.139647,
1,,,,13.661769
2,,,,2.709384
3,,,,3.0902819999999998
4,,,,4.467893999999999
5,,,,4.918159
6,,,,8.127062
7,,,,6.280842
8,,,,15.984632
9,,,,7.139637
10,,,,10.726244
1,6.220065,,,
2,6.987835,,,
3,4.699094,,,
4,3.969588,,,
5,9.448103999999999,,,
6,6.37137,,,
7,12.168761,,,
8,4.769947999999999,,,
9,6.747888,,,
10,6.986288999999999,,,
1,,5.099785,,
2,,2.3560339999999997,,
3,,6.582068,,
4,,2.71583,,
5,,4.690255,,
6,,2.457048,,
7,,2.3215049999999997,,
8,,2.77697,,
9,,4.3937539999999995,,
10,,2.21942,,
1,,,6.379518999999999,
2,,,8.159718999999999,
3,,,9.050816,
4,,,7.629557999999999,
5,,,4.660451999999999,
6,,,12.066768,
7,,,6.138055,
8,,,10.279399999999999,
9,,,13.916903,
10,,,7.701105999999999,
1,,,,16.493389999999998
2,,,,4.58463
3,,,,6.120895
4,,,,9.818776999999999
5,,,,11.395646
6,,,,8.308152
7,,,,14.201922
8,,,,14.629762
9,,,,12.027478
10,,,,10.167107999999999
1,7.157614,,,
2,6.326333,,,
3,5.436768,,,
4,9.925065,,,
5,10.463477,,,
6,9.75995,,,
7,5.1298699999999995,,,
8,7.948144999999999,,,
9,11.733747,,,
10,7.731635,,,
1,,5.849366,,
2,,5.776602,,
3,,2.278578,,
4,,3.003745,,
5,,2.293466,,
6,,2.364943,,
7,,7.017868,,
8,,5.043152999999999,,
9,,4.531114,,
10,,2.481789,,
1,,,3.120657,
2,,,7.901508,
3,,,7.3522479999999995,
4,,,4.302722,
5,,,8.023238,
6,,,7.729042,
7,,,9.026546999999999,
8,,,10.320174999999999,
9,,,7.2673559999999995,
10,,,10.919592,
1,,,,8.0343
2,,,,2.564548
3,,,,3.657937
4,,,,5.98698
5,,,,8.766579
6,,,,9.150094
7,,,,4.68422
8,,,,9.379871999999999
9,,,,10.517741
10,,,,6.227373999999999
1,5.548020999999999,,,
2,7.06086,,,
3,7.6508709999999995,,,
4,8.450479,,,
5,4.956776,,,
6,4.976375,,,
7,4.470035,,,
8,7.893351999999999,,,
9,7.762041,,,
10,12.746734,,,
1,,5.445251,,
2,,5.3778559999999995,,
3,,3.8921599999999996,,
4,,2.558706,,
5,,6.868208999999999,,
6,,5.4153899999999995,,
7,,5.418565,,
8,,4.292231999999999,,
9,,2.14648,,
10,,2.21324,,
1,,,4.974896,
2,,,4.808883,
3,,,7.369819,
4,,,14.279897,
5,,,12.752279,
6,,,15.386028999999999,
7,,,6.6256829999999995,
8,,,12.006153999999999,
9,,,14.932763,
10,,,10.654634999999999,
1,,,,8.215129
2,,,,6.0520629999999995
3,,,,3.38225
4,,,,3.662343
5,,,,9.098353999999999
6,,,,10.198184999999999
7,,,,7.258804
8,,,,10.621514999999999
9,,,,8.994361999999999
10,,,,11.284331
1,5.005564,,,
2,2.899466,,,
3,6.716812999999999,,,
4,5.947909,,,
5,6.698854,,,
6,3.9454919999999998,,,
7,5.098599999999999,,,
8,5.145178,,,
9,4.71864,,,
10,5.627752,,,
1,,2.00834,,
2,,2.247391,,
3,,2.080041,,
4,,1.976259,,
5,,1.984659,,
6,,2.067814,,
7,,2.0746379999999998,,
8,,2.0228319999999997,,
9,,2.001646,,
10,,3.0418,,
1,,,2.582344,
2,,,2.788572,
3,,,3.264988,
4,,,3.6137289999999997,
5,,,3.9194099999999996,
6,,,4.237458999999999,
7,,,4.63307,
8,,,4.812749999999999,
9,,,5.296526999999999,
10,,,5.665375999999999,
1,,,,5.6331999999999995
2,,,,3.792389
3,,,,2.776198
4,,,,3.193044
5,,,,4.0277449999999995
6,,,,3.593709
7,,,,4.115417
8,,,,4.335807
9,,,,4.498216
10,,,,5.5802819999999995
1,2.695633,,,
2,2.532092,,,
3,3.512742,,,
4,3.738978,,,
5,3.678451,,,
6,4.085394,,,
7,4.477868,,,
8,3.7338069999999997,,,
9,3.967063,,,
10,4.218868,,,
1,,1.908138,,
2,,1.89749,,
3,,1.906796,,
4,,1.9081709999999998,,
5,,1.945498,,
6,,1.898934,,
7,,1.890332,,
8,,1.8893849999999999,,
9,,1.899548,,
10,,1.9132829999999998,,
1,,,3.26106,
2,,,2.7652579999999998,
3,,,3.1698049999999998,
4,,,4.1463019999999995,
5,,,4.371869,
6,,,4.820552,
7,,,4.4011059999999995,
8,,,5.457364,
9,,,5.738639999999999,
10,,,5.4299,
1,,,,6.058523999999999
2,,,,2.483644
3,,,,2.780119
4,,,,3.068301
5,,,,3.3992169999999997
6,,,,3.991237
7,,,,3.992534
8,,,,4.2126019999999995
9,,,,5.050866999999999
10,,,,4.777137
1,2.346666,,,
2,2.5853159999999997,,,
3,2.890879,,,
4,3.152914,,,
5,3.123623,,,
6,3.330733,,,
7,4.137281,,,
8,3.714969,,,
9,3.934796,,,
10,4.1460099999999995,,,
1,,1.9101819999999998,,
2,,2.445344,,
3,,1.9025649999999998,,
4,,1.8943979999999998,,
5,,1.885373,,
6,,1.90451,,
7,,2.423971,,
8,,1.893826,,
9,,1.892591,,
10,,1.891062,,
1,,,2.4828099999999997,
2,,,2.765238,
3,,,3.1593199999999997,
4,,,3.481544,
5,,,3.696993,
6,,,4.0687619999999995,
7,,,4.35522,
8,,,4.721728,
9,,,5.087262,
10,,,5.431392,
1,,,,5.379003
2,,,,2.457029
3,,,,2.729723
4,,,,3.031342
5,,,,3.471666
6,,,,3.56738
7,,,,3.97091
8,,,,4.173678
9,,,,4.4852479999999995
10,,,,4.747844
1,2.2990269999999997,,,
2,2.5508219999999997,,,
3,2.741939,,,
4,3.194746,,,
5,3.639312,,,
6,3.8433669999999998,,,
7,3.598963,,,
8,4.258127,,,
9,4.451516,,,
10,4.0981879999999995,,,
1,,1.897649,,
2,,1.89048,,
3,,1.8959329999999999,,
4,,1.902289,,
5,,1.8940709999999998,,
6,,1.890909,,
7,,1.88913,,
8,,1.895789,,
9,,1.9001009999999998,,
10,,1.895428,,
1,,,2.4707209999999997,
2,,,2.7592049999999997,
3,,,3.158575,
4,,,3.47296,
5,,,4.250143,
6,,,4.629009,
7,,,4.358759,
8,,,4.734732,
9,,,5.128514,
10,,,5.423366,
1,,,,5.387613
2,,,,2.456077
3,,,,2.738228
4,,,,3.0405979999999997
5,,,,3.419619
6,,,,3.94962
7,,,,3.957851
8,,,,4.172018
9,,,,4.96836
10,,,,4.751253999999999
1,2.3143309999999997,,,
2,3.044079,,,
3,3.2588,,,
4,3.1749479999999997,,,
5,3.106963,,,
6,3.8520139999999996,,,
7,3.62513,,,
8,3.7096299999999998,,,
9,3.9272669999999996,,,
10,4.604463,,,
1,,1.900393,,
2,,1.894749,,
3,,2.4656149999999997,,
4,,1.884707,,
5,,1.916286,,
6,,1.8941439999999998,,
7,,1.891659,,
8,,1.894623,,
9,,1.8835359999999999,,
10,,1.890602,,
1,,,3.013273,
2,,,2.751223,
3,,,3.185705,
4,,,3.4777709999999997,
5,,,3.6876279999999997,
6,,,4.072626,
7,,,4.5813619999999995,
8,,,5.258144,
9,,,5.105299,
10,,,5.427817999999999,
1,,,,5.383446
2,,,,2.454639
3,,,,2.7332419999999997
4,,,,3.048352
5,,,,3.393916
6,,,,3.543185
7,,,,3.955933
8,,,,4.699723
9,,,,4.444639
10,,,,4.785820999999999
1,2.313638,,,
2,2.515033,,,
3,2.7489619999999997,,,
4,3.165282,,,
5,3.095472,,,
6,3.304062,,,
7,3.6058369999999997,,,
8,3.690048,,,
9,3.963926,,,
10,4.618147,,,
1,,1.8779279999999998,,
2,,1.8884189999999998,,
3,,1.89832,,
4,,1.878946,,
5,,1.882186,,
6,,1.894842,,
7,,1.892652,,
8,,1.9014069999999998,,
9,,1.8846319999999999,,
10,,1.887716,,
1,,,2.474265,
2,,,2.754111,
3,,,3.16919,
4,,,3.9835949999999998,
5,,,3.69974,
6,,,4.580947,
7,,,4.886437,
8,,,5.2850909999999995,
9,,,5.165433,
10,,,5.978091,
1,,,,5.398649
2,,,,2.4560619999999997
3,,,,2.730022
4,,,,3.037142
5,,,,3.427416
6,,,,3.562897
7,,,,4.494523
8,,,,4.7121129999999996
9,,,,4.466842
10,,,,5.287364
1,2.363339,,,
2,2.517425,,,
3,2.764852,,,
4,3.188077,,,
5,3.101556,,,
