case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,0.60009,,,
2,0.841463,,,
3,1.035958,,,
4,1.237474,,,
5,1.440583,,,
6,1.725406,,,
7,1.837365,,,
8,2.1370839999999998,,,
9,2.254156,,,
10,2.520148,,,
1,,7e-06,,
2,,6e-06,,
3,,7e-06,,
4,,6e-06,,
5,,6e-06,,
6,,7e-06,,
7,,7e-06,,
8,,4.9999999999999996e-06,,
9,,6e-06,,
10,,6e-06,,
1,,,9e-06,
2,,,6e-06,
3,,,7e-06,
4,,,7e-06,
5,,,4.9999999999999996e-06,
6,,,7e-06,
7,,,7e-06,
8,,,4.9999999999999996e-06,
9,,,7e-06,
10,,,9e-06,
1,,,,3.208198
2,,,,0.007891
3,,,,0.0076159999999999995
4,,,,0.008104
5,,,,0.007932
6,,,,0.007697
7,,,,0.008058
8,,,,0.007991999999999999
9,,,,0.007953
10,,,,0.008006
1,0.593386,,,
2,0.805352,,,
3,1.025634,,,
4,1.436005,,,
5,1.409033,,,
6,1.581411,,,
7,1.8877689999999998,,,
8,2.5067,,,
9,2.253412,,,
10,2.3763009999999998,,,
1,,7e-06,,
2,,6e-06,,
3,,7e-06,,
4,,6e-06,,
5,,6e-06,,
6,,7e-06,,
7,,6e-06,,
8,,7e-06,,
9,,6e-06,,
10,,8e-06,,
1,,,6e-06,
2,,,7e-06,
3,,,6e-06,
4,,,7e-06,
5,,,7e-06,
6,,,6e-06,
7,,,7e-06,
8,,,6e-06,
9,,,8e-06,
10,,,7e-06,
1,,,,3.2278569999999998
2,,,,0.008187
3,,,,0.011890999999999999
4,,,,0.008177
5,,,,0.007828
6,,,,0.007951999999999999
7,,,,0.011942
8,,,,0.00802
9,,,,0.007839
10,,,,0.008114
1,0.591776,,,
2,0.82736,,,
3,1.03353,,,
4,1.7230539999999999,,,
5,1.4130479999999999,,,
6,1.5748579999999999,,,
7,1.87635,,,
8,1.987649,,,
9,2.236768,,,
10,2.915771,,,
1,,6e-06,,
2,,4.9999999999999996e-06,,
3,,7e-06,,
4,,9e-06,,
5,,7e-06,,
6,,6e-06,,
7,,6e-06,,
8,,7e-06,,
9,,9.999999999999999e-06,,
10,,7e-06,,
1,,,6e-06,
2,,,6e-06,
3,,,8e-06,
4,,,9e-06,
5,,,8e-06,
6,,,6e-06,
7,,,6e-06,
8,,,7e-06,
9,,,8e-06,
10,,,8e-06,
1,,,,3.782282
2,,,,0.00792
3,,,,0.008041999999999999
