case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,16.12279,,,
2,9.602314,,,
3,9.425688,,,
4,12.773785,,,
5,11.196838,,,
6,11.092001,,,
7,10.545866,,,
8,12.408525,,,
9,11.979598,,,
10,17.127774,,,
1,,15.373643,,
2,,11.17515,,
3,,11.159908999999999,,
4,,7.480382,,
5,,6.847955,,
6,,11.219013,,
7,,7.855593,,
8,,9.260091,,
9,,7.936445999999999,,
10,,7.6347629999999995,,
1,,,20.046395999999998,
2,,,13.765511,
3,,,9.827217,
4,,,13.757423,
5,,,14.653407999999999,
6,,,11.993583,
7,,,17.492966,
8,,,14.129137,
9,,,13.821992,
10,,,18.694518,
1,,,,17.637362
2,,,,12.161707999999999
3,,,,11.830302
4,,,,11.504349
5,,,,15.804971
6,,,,16.175582
7,,,,14.043923999999999
8,,,,14.941301999999999
9,,,,13.192855
10,,,,16.823337
1,8.192285,,,
2,8.865910999999999,,,
3,8.355205999999999,,,
4,8.598234999999999,,,
5,21.313879999999997,,,
6,13.214632,,,
7,11.427888999999999,,,
8,10.961086,,,
9,13.945456,,,
10,17.799006,,,
1,,17.183205,,
2,,9.492986,,
3,,10.894812,,
4,,11.398189,,
5,,7.893147,,
6,,7.178777999999999,,
7,,6.3418339999999995,,
8,,10.579995,,
9,,7.721158999999999,,
10,,11.208051,,
1,,,11.123842999999999,
2,,,15.832896999999999,
3,,,9.354519999999999,
4,,,12.029425999999999,
5,,,14.667911,
6,,,11.949168,
7,,,10.740191999999999,
8,,,13.454391,
9,,,14.426871,
10,,,16.420125,
1,,,,16.680243
2,,,,14.066574
3,,,,9.878938
4,,,,15.316213
5,,,,11.253425
6,,,,15.308276999999999
7,,,,14.439134
8,,,,14.021856999999999
9,,,,17.286887999999998
10,,,,22.804947
1,11.069182,,,
2,9.184255,,,
3,9.718867,,,
4,20.242465,,,
5,11.254119,,,
6,14.430539999999999,,,
7,10.740817999999999,,,
8,13.1429,,,
9,13.402768,,,
10,12.746101,,,
1,,11.350646,,
2,,6.037595,,
3,,12.301705,,
4,,8.596808,,
5,,8.268354,,
6,,8.920316,,
7,,10.748013,,
8,,7.137435,,
9,,8.850234,,
10,,6.187149,,
1,,,12.264218999999999,
2,,,13.449406999999999,
3,,,12.594503999999999,
4,,,13.023069999999999,
5,,,17.34091,
6,,,15.378644999999999,
7,,,14.547647,
8,,,18.702775,
9,,,14.558833,
10,,,15.535692999999998,
1,,,,10.923494999999999
2,,,,11.278291
3,,,,12.205283999999999
4,,,,10.294079
5,,,,11.355565
6,,,,14.498358
7,,,,11.84095
8,,,,14.39705
9,,,,23.59145
10,,,,17.261043
1,10.252666999999999,,,
2,7.684511,,,
3,7.780164999999999,,,
4,9.016537999999999,,,
5,11.790811999999999,,,
6,11.27308,,,
7,10.199926,,,
8,10.135956,,,
9,16.852608,,,
10,18.062614,,,
1,,9.251256,,
2,,15.626997999999999,,
3,,13.393905,,
4,,6.906409999999999,,
5,,6.984306999999999,,
6,,9.098091,,
7,,13.55152,,
8,,8.142304,,
9,,8.989049,,
10,,7.896820999999999,,
1,,,11.711413,
2,,,16.811411,
3,,,13.121703,
4,,,12.983948999999999,
5,,,11.644736,
6,,,15.282777,
7,,,15.673952,
8,,,14.262198,
9,,,15.149687,
10,,,14.705895,
1,,,,18.256925
2,,,,17.266826
3,,,,11.659073
4,,,,13.904613
5,,,,15.165455
6,,,,12.811461
7,,,,15.043636999999999
8,,,,13.67802
9,,,,20.10897
10,,,,14.908572
1,12.427672,,,
2,8.714785,,,
3,17.511689,,,
4,12.430577999999999,,,
5,15.626458,,,
6,13.439712,,,
7,14.223051,,,
8,12.446351,,,
9,17.955621,,,
10,12.159288,,,
1,,8.747368,,
2,,11.028065,,
3,,8.519082,,
4,,8.90709,,
5,,14.829303,,
6,,7.1975869999999995,,
7,,8.844852,,
8,,5.980956,,
9,,9.957955,,
10,,6.723688999999999,,
1,,,10.402282,
2,,,8.80444,
3,,,11.503719,
4,,,11.186278999999999,
5,,,10.437064,
6,,,14.419557999999999,
7,,,13.797623999999999,
8,,,11.984938999999999,
9,,,14.856442999999999,
10,,,17.476958,
1,,,,11.709584999999999
2,,,,10.891468999999999
3,,,,10.595830999999999
4,,,,15.461271
5,,,,11.346546
6,,,,13.326497
7,,,,12.720803
8,,,,20.870392
9,,,,18.971991
10,,,,19.100967
1,9.547639,,,
2,8.621055,,,
3,8.928257,,,
4,10.443984,,,
5,8.597515999999999,,,
6,20.118748,,,
7,11.554632,,,
8,10.691089,,,
9,11.819212,,,
10,11.39576,,,
1,,11.727466,,
2,,14.031576999999999,,
3,,11.412792999999999,,
4,,7.347613,,
5,,6.665734,,
6,,8.608732,,
7,,5.8496369999999995,,
8,,7.757489,,
9,,9.292228,,
10,,7.7778089999999995,,
1,,,22.694567,
2,,,12.881694999999999,
3,,,10.994729999999999,
4,,,12.230469,
5,,,10.063094999999999,
6,,,13.633899,
7,,,14.194935,
8,,,15.341707999999999,
9,,,16.257946999999998,
10,,,13.1794,
1,,,,11.060596
2,,,,8.887034
3,,,,11.544524
4,,,,19.181138
5,,,,16.025900999999998
6,,,,15.54821
7,,,,20.868817999999997
8,,,,14.449541
9,,,,14.592421
10,,,,17.123299
1,12.937296,,,
2,9.235175,,,
3,12.68963,,,
4,11.646842,,,
5,10.328572,,,
6,10.829708,,,
7,11.220243,,,
8,15.415934,,,
9,13.099452999999999,,,
10,14.046234,,,
1,,7.615589,,
2,,11.064530999999999,,
3,,11.050851999999999,,
4,,11.738214,,
5,,9.900113,,
6,,9.418037,,
7,,7.789918999999999,,
8,,10.126635,,
9,,15.932004999999998,,
10,,8.130737,,
1,,,10.672696,
2,,,8.605789,
3,,,10.51133,
4,,,10.724352999999999,
5,,,11.162276,
6,,,11.415439,
7,,,13.174667999999999,
8,,,16.832872,
9,,,15.324162999999999,
10,,,13.724677999999999,
1,,,,13.377295
2,,,,10.249331
3,,,,12.190583
4,,,,13.356152999999999
5,,,,14.216915
6,,,,14.959209999999999
7,,,,14.161227
8,,,,14.671481
9,,,,15.230827
10,,,,13.573440999999999
1,7.726363999999999,,,
2,9.862043,,,
3,11.367116,,,
4,9.988999,,,
5,11.995813,,,
6,14.051046,,,
7,9.434823999999999,,,
8,14.201716,,,
9,11.163762,,,
10,13.032855999999999,,,
1,,11.596589,,
2,,8.269492,,
3,,7.787627,,
4,,9.305193,,
5,,14.70359,,
6,,12.875437999999999,,
7,,8.570024,,
8,,9.342832,,
9,,18.417286999999998,,
10,,11.684935999999999,,
1,,,8.720483,
2,,,10.81315,
3,,,9.291274,
4,,,11.044345,
5,,,13.805978999999999,
