case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
1,19.584235,,,
2,13.000097,,,
3,13.204443999999999,,,
4,16.960416000000002,,,
5,15.779793999999999,,,
6,16.259539,,,
7,15.94244,,,
8,18.396532,,,
9,18.227051,,,
10,23.897672,,,
1,,17.298731,,
2,,13.073832,,
3,,13.567001,,
4,,9.371972,,
5,,8.743338999999999,,
6,,13.095613,,
7,,10.263901,,
8,,11.151478999999998,,
9,,9.835954999999998,,
10,,9.542798,,
1,,,22.554536999999996,
2,,,16.574442,
3,,,12.88163,
4,,,17.239347,
5,,,18.35116,
6,,,16.220211,
7,,,21.984984999999998,
8,,,18.857613999999998,
9,,,18.97761,
10,,,24.593705999999997,
1,,,,26.260458999999997
2,,,,14.639674
3,,,,14.597525999999998
4,,,,15.100026
5,,,,19.773576
6,,,,19.725828999999997
7,,,,17.994559
8,,,,19.099137999999996
9,,,,17.678065
10,,,,22.151939
1,11.102575,,,
2,12.712108999999998,,,
3,12.130942,,,
4,13.197709999999999,,,
5,26.342997999999998,,,
6,18.086154,,,
7,16.92269,,,
8,17.727637,,,
9,20.158392,,,
10,24.264549,,,
1,,19.065842,,
2,,11.381912,,
3,,12.782572,,
4,,13.282899,,
5,,9.79972,,
6,,9.065449,,
7,,8.244442,,
8,,12.469029,,
9,,9.607007999999999,,
10,,13.263489,,
1,,,13.589234999999999,
2,,,18.588863,
3,,,13.074171,
4,,,15.5346,
5,,,18.395113,
6,,,16.037322,
7,,,15.217610999999998,
8,,,18.741684,
9,,,19.536360000000002,
10,,,21.891008,
1,,,,25.321316
2,,,,17.117096
3,,,,12.625563
4,,,,18.938899
5,,,,14.658452
6,,,,19.278169
7,,,,18.415581
8,,,,18.215449
9,,,,22.293787
10,,,,28.125722999999997
1,13.961689,,,
2,12.549199,,,
3,13.49812,,,
4,25.658822999999998,,,
5,15.814587999999999,,,
6,19.847921,,,
7,16.197882,,,
8,19.33185,,,
9,19.587429999999998,,,
10,20.284340999999998,,,
1,,13.244364,,
2,,8.461079999999999,,
3,,14.181686,,
4,,10.508201,,
5,,10.168099,,
6,,10.807948999999999,,
7,,12.654585,,
8,,9.040603,,
9,,10.736819,,
10,,8.081543,,
1,,,14.754354,
2,,,16.195200999999997,
3,,,15.741968999999997,
4,,,17.040326,
5,,,21.056203,
6,,,19.468936,
7,,,18.942649,
