case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,2.479999999997517,,,
size 2,2.700000000002092,,,
size 3,2.930000000000973,,,
size 4,3.1999999999995907,,,
size 5,3.330000000001064,,,
size 6,3.540000000003147,,,
size 7,3.810000000001992,,,
size 8,3.920000000001437,,,
size 9,4.220000000002528,,,
size 10,4.37999999999829,,,
size 1,2.4599999999993543,,,
size 2,2.7800000000017917,,,
size 3,2.910000000001446,,,
size 4,3.1900000000018736,,,
size 5,3.330000000000382,,,
size 6,3.5100000000011278,,,
size 7,3.730000000000018,,,
size 8,3.9999999999995453,,,
size 9,4.1700000000003,,,
size 10,4.349999999998545,,,
size 1,2.4800000000002456,,,
size 2,2.709999999998672,,,
size 3,2.9200000000028012,,,
size 4,3.139999999998736,,,
size 5,3.3200000000013006,,,
size 6,3.5400000000022374,,,
size 7,3.7699999999997544,,,
size 8,3.9399999999986903,,,
size 9,4.2600000000009,,,
size 10,4.400000000001228,,,
size 1,2.479999999997972,,,
size 2,2.7899999999992815,,,
size 3,2.920000000002574,,,
size 4,3.1099999999989905,,,
size 5,3.320000000002892,,,
size 6,3.599999999998772,,,
size 7,3.7399999999965985,,,
size 8,3.979999999999336,,,
size 9,4.190000000000055,,,
size 10,4.350000000001046,,,
size 1,2.4800000000025193,,,
size 2,2.7100000000007185,,,
size 3,2.910000000001446,,,
size 4,3.1099999999983083,,,
size 5,3.4000000000010004,,,
size 6,3.519999999999527,,,
size 7,3.7499999999990905,,,
size 8,3.9800000000013824,,,
size 9,4.139999999999418,,,
size 10,4.360000000000127,,,
size 1,2.469999999997981,,,
size 2,2.6699999999991633,,,
size 3,2.899999999998272,,,
size 4,3.1299999999991996,,,
size 5,3.3500000000026375,,,
size 6,3.5900000000001455,,,
size 7,3.7200000000002547,,,
size 8,3.950000000003456,,,
size 9,4.160000000001219,,,
size 10,4.3999999999991815,,,
size 1,2.469999999997981,,,
size 2,2.7299999999991087,,,
size 3,2.9199999999982538,,,
size 4,3.139999999998963,,,
size 5,3.320000000001073,,,
size 6,3.530000000002474,,,
size 7,3.790000000001328,,,
size 8,4.019999999999527,,,
size 9,4.2299999999977445,,,
size 10,4.409999999998945,,,
size 1,2.4799999999995634,,,
size 2,2.720000000001164,,,
size 3,2.9300000000025648,,,
size 4,3.1300000000032924,,,
size 5,3.3399999999996908,,,
size 6,3.5300000000002,,,
size 7,3.770000000001346,,,
size 8,3.969999999999345,,,
size 9,4.150000000000546,,,
size 10,4.370000000000346,,,
size 1,2.530000000002019,,,
size 2,2.7000000000025466,,,
size 3,2.9099999999984902,,,
size 4,3.1500000000010004,,,
size 5,3.3100000000031287,,,
size 6,3.5099999999997635,,,
size 7,3.749999999998181,,,
size 8,3.93000000000211,,,
size 9,4.210000000001855,,,
size 10,4.329999999999018,,,
size 1,2.50999999999749,,,
size 2,2.769999999999527,,,
size 3,2.9499999999970896,,,
size 4,3.12000000000171,,,
size 5,3.3200000000001637,,,
size 6,3.550000000001546,,,
size 7,3.789999999997235,,,
size 8,3.9999999999995453,,,
size 9,4.15000000000191,,,
size 10,4.400000000000091,,,
size 1,2.549999999999727,,,
size 2,2.7999999999988177,,,
size 3,2.9000000000023647,,,
size 4,3.140000000001237,,,
size 5,3.309999999997217,,,
size 6,3.5799999999994725,,,
size 7,3.7600000000002183,,,
size 8,3.9399999999996,,,
size 9,4.170000000000982,,,
size 10,4.380000000001928,,,
size 1,2.5000000000013642,,,
size 2,2.7299999999991087,,,
size 3,2.9100000000003092,,,
size 4,3.1399999999998727,,,
size 5,3.3600000000001273,,,
size 6,3.5799999999999272,,,
size 7,3.740000000000691,,,
size 8,4.029999999997472,,,
size 9,4.229999999999563,,,
size 10,4.449999999999363,,,
size 1,2.4999999999990905,,,
size 2,2.7099999999977626,,,
size 3,2.9099999999984902,,,
size 4,3.109999999998763,,,
size 5,3.329999999998563,,,
size 6,3.539999999999054,,,
size 7,3.7800000000011096,,,
size 8,3.9799999999991087,,,
size 9,4.1599999999998545,,,
size 10,4.3799999999992,,,
size 1,2.510000000000673,,,
size 2,2.699999999998454,,,
size 3,2.9200000000005275,,,
size 4,3.15000000000191,,,
size 5,3.3200000000006185,,,
size 6,3.5300000000011096,,,
size 7,3.7399999999997817,,,
size 8,4.0000000000009095,,,
size 9,4.180000000002565,,,
size 10,4.439999999997326,,,
size 1,2.5,,,
size 2,2.8100000000017644,,,
size 3,2.9100000000003092,,,
size 4,3.12000000000171,,,
size 5,3.3299999999990177,,,
size 6,3.519999999999527,,,
size 7,3.7500000000009095,,,
size 8,3.9400000000023283,,,
size 9,4.1599999999994,,,
size 10,4.440000000000055,,,
size 1,2.479999999998654,,,
size 2,2.700000000000273,,,
size 3,2.9099999999993997,,,
size 4,3.1299999999996544,,,
size 5,3.330000000002201,,,
size 6,3.59999999999809,,,
size 7,3.7299999999991087,,,
size 8,3.9900000000002365,,,
size 9,4.46000000000231,,,
size 10,4.4100000000016735,,,
size 1,2.5200000000004366,,,
size 2,2.690000000002783,,,
size 3,2.9399999999996,,,
size 4,3.119999999999436,,,
size 5,3.3500000000008185,,,
size 6,3.5200000000004366,,,
size 7,3.740000000000691,,,
size 8,3.9999999999990905,,,
size 9,4.200000000001182,,,
size 10,4.359999999998308,,,
size 1,2.4899999999979627,,,
size 2,2.6999999999993634,,,
size 3,2.9199999999991633,,,
size 4,3.139999999997599,,,
size 5,3.3399999999983265,,,
size 6,3.5700000000006185,,,
size 7,3.7399999999984175,,,
size 8,4.0099999999997635,,,
size 9,4.210000000000946,,,
size 10,4.390000000000327,,,
size 1,2.4799999999995634,,,
size 2,2.7099999999995816,,,
size 3,2.910000000000764,,,
size 4,3.12999999999829,,,
size 5,3.3399999999996908,,,
size 6,3.5199999999990723,,,
size 7,3.8300000000012915,,,
size 8,3.9699999999998,,,
size 9,4.149999999998272,,,
size 10,4.439999999996871,,,
size 1,2.480000000000018,,,
size 2,2.7100000000000364,,,
size 3,2.8999999999973625,,,
size 4,3.1200000000021646,,,
size 5,3.3399999999996908,,,
size 6,3.520000000001346,,,
size 7,3.7400000000016007,,,
size 8,4.029999999997472,,,
size 9,4.149999999999636,,,
size 10,4.350000000001728,,,
size 1,2.480000000000473,,,
size 2,2.8200000000006185,,,
size 3,2.9200000000005275,,,
size 4,3.119999999998072,,,
size 5,3.3499999999994543,,,
size 6,3.5199999999967986,,,
size 7,3.7200000000025284,,,
size 8,3.9400000000005093,,,
size 9,4.1700000000023465,,,
size 10,4.389999999999418,,,
size 1,2.4899999999997817,,,
size 2,2.7000000000007276,,,
size 3,2.949999999997999,,,
size 4,3.189999999999145,,,
size 5,3.3099999999994907,,,
size 6,3.539999999999509,,,
size 7,3.7799999999992906,,,
size 8,3.950000000000273,,,
size 9,4.210000000001401,,,
size 10,4.410000000001219,,,
size 1,2.480000000000473,,,
size 2,2.830000000002201,,,
size 3,2.9599999999977626,,,
size 4,3.1899999999986903,,,
size 5,3.3200000000006185,,,
size 6,3.510000000000673,,,
size 7,3.779999999997017,,,
size 8,3.9800000000013824,,,
size 9,4.1799999999993815,,,
size 10,4.369999999998981,,,
size 1,2.4800000000013824,,,
size 2,2.7199999999984357,,,
size 3,2.9499999999989086,,,
size 4,3.1500000000010004,,,
size 5,3.3400000000006003,,,
size 6,3.529999999998381,,,
size 7,3.7500000000013642,,,
size 8,3.9500000000011823,,,
size 9,4.239999999999327,,,
size 10,4.360000000000127,,,
size 1,2.479999999998654,,,
size 2,2.8000000000010914,,,
size 3,2.8999999999987267,,,
size 4,3.1199999999989814,,,
size 5,3.3599999999978536,,,
size 6,3.5899999999987813,,,
size 7,3.730000000000018,,,
size 8,3.9799999999995634,,,
size 9,4.190000000001419,,,
size 10,4.360000000000127,,,
size 1,2.489999999999327,,,
size 2,2.720000000001164,,,
size 3,2.930000000000291,,,
size 4,3.110000000000582,,,
size 5,3.4400000000000546,,,
size 6,3.510000000002492,,,
size 7,3.7400000000020555,,,
size 8,3.9599999999995816,,,
size 9,4.190000000000964,,,
size 10,4.349999999995816,,,
size 1,2.4799999999972897,,,
size 2,2.689999999997781,,,
size 3,2.940000000003238,,,
size 4,3.140000000001237,,,
size 5,3.320000000001073,,,
size 6,3.5899999999983265,,,
size 7,3.7400000000020555,,,
size 8,3.9800000000009277,,,
size 9,4.189999999994143,,,
size 10,4.390000000000327,,,
size 1,2.500000000005002,,,
size 2,2.710000000000946,,,
size 3,2.920000000003256,,,
size 4,3.150000000001455,,,
size 5,3.359999999999218,,,
size 6,3.5199999999972533,,,
size 7,3.759999999993397,,,
size 8,4.010000000002037,,,
size 9,4.229999999996835,,,
size 10,4.440000000000509,,,
size 1,2.5399999999967804,,,
size 2,2.7200000000007094,,,
size 3,2.9400000000023283,,,
size 4,3.1599999999998545,,,
size 5,3.3799999999991996,,,
size 6,3.530000000006112,,,
size 7,3.759999999997035,,,
size 8,3.979999999996835,,,
size 9,4.1399999999948704,,,
size 10,4.3400000000019645,,,
size 1,2.529999999998836,,,
size 2,2.7099999999977626,,,
size 3,2.9100000000003092,,,
size 4,3.150000000005548,,,
size 5,3.3399999999983265,,,
size 6,3.5299999999974716,,,
size 7,3.740000000000691,,,
size 8,3.939999999999145,,,
size 9,4.210000000000036,,,
size 10,4.349999999997181,,,
size 1,2.519999999997708,,,
size 2,2.7400000000016007,,,
size 3,2.8999999999987267,,,
size 4,3.1200000000021646,,,
size 5,3.330000000000382,,,
size 6,3.5300000000002,,,
size 7,3.7499999999959073,,,
size 8,4.020000000000891,,,
size 9,4.1600000000034925,,,
size 10,4.429999999998927,,,
size 1,2.5500000000024556,,,
size 2,2.790000000000873,,,
size 3,2.88999999999578,,,
size 4,3.1499999999991815,,,
size 5,3.3199999999956162,,,
size 6,3.600000000001728,,,
size 7,3.7500000000004547,,,
size 8,3.9599999999977626,,,
size 9,4.169999999999163,,,
size 10,4.410000000003038,,,
size 1,2.489999999999327,,,
size 2,2.6900000000059663,,,
size 3,2.900000000003274,,,
size 4,3.179999999994834,,,
size 5,3.3299999999994725,,,
size 6,3.539999999999509,,,
size 7,3.7499999999954525,,,
size 8,4.040000000001783,,,
size 9,4.260000000002947,,,
size 10,4.449999999995725,,,
size 1,2.5300000000015643,,,
size 2,2.710000000004129,,,
size 3,2.9200000000000728,,,
size 4,3.139999999993961,,,
size 5,3.3599999999983083,,,
size 6,3.5799999999940155,,,
size 7,3.7299999999995634,,,
size 8,3.9800000000013824,,,
size 9,4.149999999997817,,,
size 10,4.3700000000008,,,
size 1,2.5200000000027103,,,
size 2,2.7000000000048203,,,
size 3,2.910000000004402,,,
size 4,3.129999999995107,,,
size 5,3.3299999999976535,,,
size 6,3.5600000000013097,,,
size 7,3.7400000000038744,,,
size 8,4.03999999999769,,,
size 9,4.18000000000211,,,
size 10,4.419999999997799,,,
size 1,2.4899999999997817,,,
size 2,2.7899999999963256,,,
size 3,2.89000000000442,,,
size 4,3.129999999996926,,,
size 5,3.3800000000014734,,,
size 6,3.519999999995889,,,
size 7,3.7499999999977263,,,
size 8,3.9699999999998,,,
size 9,4.160000000003038,,,
size 10,4.440000000003238,,,
size 1,2.480000000001837,,,
size 2,2.700000000002092,,,
size 3,2.889999999998963,,,
size 4,3.1299999999978354,,,
size 5,3.3399999999965075,,,
size 6,3.5899999999983265,,,
size 7,3.739999999995689,,,
size 8,3.9400000000059663,,,
size 9,4.510000000004311,,,
size 10,4.369999999998072,,,
size 1,2.4900000000016007,,,
size 2,2.6899999999950523,,,
size 3,2.9100000000030377,,,
size 4,3.139999999993961,,,
size 5,3.3099999999981264,,,
size 6,3.549999999998363,,,
size 7,3.780000000003838,,,
size 8,3.970000000002983,,,
size 9,4.180000000000746,,,
size 10,4.360000000001037,,,
size 1,2.47999999999638,,,
size 2,2.710000000004129,,,
size 3,2.909999999998945,,,
size 4,3.1400000000053296,,,
size 5,3.3400000000015098,,,
size 6,3.5300000000011096,,,
size 7,3.7399999999965985,,,
size 8,4.0000000000027285,,,
size 9,4.210000000000036,,,
size 10,4.4000000000010004,,,
size 1,2.470000000002983,,,
size 2,2.759999999998854,,,
size 3,2.9100000000012187,,,
size 4,3.139999999995325,,,
size 5,3.3700000000039836,,,
size 6,3.5700000000001637,,,
size 7,3.840000000001055,,,
size 8,3.949999999999818,,,
size 9,4.139999999998054,,,
size 10,4.410000000000309,,,
size 1,2.4800000000027467,,,
size 2,2.7199999999934334,,,
size 3,2.899999999998272,,,
size 4,3.119999999993979,,,
size 5,3.369999999998072,,,
size 6,3.5299999999992906,,,
size 7,3.7499999999995453,,,
size 8,4.02000000000362,,,
size 9,4.150000000001455,,,
size 10,4.450000000000728,,,
size 1,2.5000000000004547,,,
size 2,2.71000000000231,,,
size 3,2.929999999997108,,,
size 4,3.120000000001255,,,
size 5,3.3300000000008367,,,
size 6,3.6000000000008185,,,
size 7,3.759999999995671,,,
size 8,3.9400000000000546,,,
size 9,4.2500000000009095,,,
size 10,4.370000000003074,,,
size 1,2.4999999999977263,,,
size 2,2.7299999999936517,,,
size 3,2.9200000000005275,,,
size 4,3.120000000006712,,,
size 5,3.3299999999990177,,,
size 6,3.5699999999956162,,,
size 7,3.7399999999997817,,,
size 8,3.9500000000011823,,,
size 9,4.179999999997108,,,
size 10,4.339999999996053,,,
size 1,2.47999999999638,,,
size 2,2.710000000002765,,,
size 3,2.9099999999998545,,,
size 4,3.1699999999950705,,,
size 5,3.3400000000060572,,,
size 6,3.5399999999985994,,,
size 7,3.760000000000673,,,
size 8,3.9800000000050204,,,
size 9,4.180000000004384,,,
size 10,4.3399999999983265,,,
size 1,2.5200000000008913,,,
size 2,2.699999999996635,,,
size 3,2.9200000000018917,,,
size 4,3.1399999999980537,,,
size 5,3.31999999999789,,,
size 6,3.5300000000011096,,,
size 7,3.780000000000655,,,
size 8,3.969999999997981,,,
size 9,4.1700000000023465,,,
size 10,4.490000000001146,,,
