case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,9.789999999998145,,,
size 2,8.219999999999118,,,
size 3,8.23999999999819,,,
size 4,7.680000000001428,,,
size 5,10.459999999999809,,,
size 6,11.2300000000007,,,
size 7,13.229999999997972,,,
size 8,13.130000000000337,,,
size 9,15.829999999999018,,,
size 10,16.560000000000628,,,
size 1,8.329999999998108,,,
size 2,7.02000000000271,,,
size 3,18.879999999999654,,,
size 4,8.309999999997899,,,
size 5,8.830000000001519,,,
size 6,9.680000000000291,,,
size 7,8.950000000000728,,,
size 8,9.750000000001364,,,
size 9,12.230000000002065,,,
size 10,12.500000000001137,,,
size 1,8.269999999999072,,,
size 2,6.749999999998181,,,
size 3,10.140000000001464,,,
size 4,11.620000000001255,,,
size 5,8.649999999997362,,,
size 6,11.339999999999463,,,
size 7,10.8200000000013,,,
size 8,10.069999999999254,,,
size 9,8.97999999999979,,,
size 10,11.270000000000437,,,
size 1,7.169999999997117,,,
size 2,7.9099999999998545,,,
size 3,7.389999999998963,,,
size 4,9.290000000003374,,,
size 5,10.20000000000141,,,
size 6,8.480000000002292,,,
size 7,11.0799999999997,,,
size 8,10.93000000000211,,,
size 9,15.59999999999809,,,
size 10,11.320000000000391,,,
size 1,7.180000000000746,,,
size 2,9.399999999999864,,,
size 3,8.410000000000991,,,
size 4,8.679999999999382,,,
size 5,11.780000000000655,,,
size 6,8.449999999999818,,,
size 7,11.820000000002437,,,
size 8,12.659999999999854,,,
size 9,11.149999999998272,,,
size 10,15.33999999999969,,,
size 1,9.480000000001837,,,
size 2,7.0100000000015825,,,
size 3,16.340000000001055,,,
size 4,9.15999999999758,,,
size 5,12.079999999998563,,,
size 6,14.290000000001783,,,
size 7,8.9699999999998,,,
size 8,13.699999999996635,,,
size 9,16.42000000000189,,,
size 10,14.220000000000255,,,
size 1,12.760000000002037,,,
size 2,7.219999999997981,,,
size 3,10.400000000000091,,,
size 4,8.03000000000111,,,
size 5,15.990000000001146,,,
size 6,15.850000000000819,,,
size 7,9.679999999998472,,,
size 8,8.330000000000837,,,
size 9,13.049999999996999,,,
size 10,12.880000000000564,,,
size 1,10.400000000000546,,,
size 2,10.320000000001528,,,
size 3,7.650000000000546,,,
size 4,7.9999999999990905,,,
size 5,10.989999999998417,,,
size 6,10.750000000003183,,,
size 7,9.890000000000327,,,
size 8,10.630000000000564,,,
size 9,13.760000000001128,,,
size 10,10.130000000001019,,,
size 1,11.489999999998417,,,
size 2,7.379999999999654,,,
size 3,9.919999999999618,,,
size 4,11.710000000000491,,,
size 5,7.459999999997763,,,
size 6,11.869999999997617,,,
size 7,9.69000000000051,,,
size 8,8.580000000000382,,,
size 9,12.559999999998581,,,
size 10,10.920000000001892,,,
size 1,8.930000000000291,,,
size 2,12.4300000000012,,,
size 3,8.220000000002528,,,
size 4,7.440000000001419,,,
size 5,11.25000000000091,,,
size 6,10.159999999999854,,,
size 7,11.390000000002146,,,
size 8,23.56000000000131,,,
size 9,17.929999999997563,,,
size 10,9.459999999998672,,,
size 1,8.369999999999436,,,
size 2,7.940000000000055,,,
