case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
update_keys,114.6328125,114.6328125,0.0,3,,,,,,,,,,,,
decrypt,114.6328125,150.7265625,36.09375,35,,,,,,,,,,,,
encrypt,104.62890625,164.65234375,60.0234375,94,,,,,,,,,,,,
update_keys,165.88671875,165.88671875,0.0,3,,,,,,,,,,,,
decrypt,165.88671875,195.6328125,29.74609375,30,,,,,,,,,,,,
encrypt,145.87890625,181.04296875,35.1640625,99,,,,,,,,,,,,
update_keys,187.18359375,187.18359375,0.0,3,,,,,,,,,,,,
decrypt,187.18359375,217.078125,29.89453125,30,,,,,,,,,,,,
encrypt,167.140625,206.0,38.859375,124,,,,,,,,,,,,
update_keys,128.01171875,128.01171875,0.0,3,,,,,,,,,,,,
decrypt,128.01171875,157.84375,29.83203125,30,,,,,,,,,,,,
encrypt,108.00390625,141.8125,33.80859375,80,,,,,,,,,,,,
update_keys,209.25,209.25,0.0,3,,,,,,,,,,,,
decrypt,199.24609375,219.25390625,20.0078125,30,,,,,,,,,,,,
encrypt,189.2421875,219.0546875,29.8125,92,,,,,,,,,,,,
update_keys,170.42578125,170.42578125,0.0,3,,,,,,,,,,,,
decrypt,160.421875,185.921875,25.5,30,,,,,,,,,,,,
encrypt,160.421875,240.453125,80.03125,112,,,,,,,,,,,,
update_keys,89.671875,89.671875,0.0,3,,,,,,,,,,,,
decrypt,89.671875,127.3125,37.640625,30,,,,,,,,,,,,
encrypt,81.65625,281.734375,200.078125,132,,,,,,,,,,,,
update_keys,130.8515625,130.8515625,0.0,3,,,,,,,,,,,,
decrypt,130.8515625,170.765625,39.9140625,30,,,,,,,,,,,,
encrypt,110.84375,145.50390625,34.66015625,89,,,,,,,,,,,,
update_keys,112.1015625,112.1015625,0.0,3,,,,,,,,,,,,
decrypt,102.09765625,131.17578125,29.078125,35,,,,,,,,,,,,
encrypt,92.09375,121.95703125,29.86328125,67,,,,,,,,,,,,
update_keys,112.953125,112.953125,0.0,3,,,,,,,,,,,,
decrypt,112.953125,151.4375,38.484375,35,,,,,,,,,,,,
encrypt,92.9453125,123.046875,30.1015625,95,,,,,,,,,,,,
update_keys,114.21484375,114.21484375,0.0,3,,,,,,,,,,,,
decrypt,114.21484375,152.37109375,38.15625,30,,,,,,,,,,,,
encrypt,94.20703125,133.98828125,39.78125,79,,,,,,,,,,,,
update_keys,115.40234375,115.40234375,0.0,3,,,,,,,,,,,,
decrypt,115.40234375,149.9765625,34.57421875,30,,,,,,,,,,,,
encrypt,95.39453125,125.24609375,29.8515625,118,,,,,,,,,,,,
update_keys,116.484375,116.484375,0.0,3,,,,,,,,,,,,
decrypt,116.484375,146.1640625,29.6796875,30,,,,,,,,,,,,
encrypt,96.4765625,129.62890625,33.15234375,90,,,,,,,,,,,,
update_keys,137.46484375,137.46484375,0.0,3,,,,,,,,,,,,
decrypt,137.46484375,170.8125,33.34765625,35,,,,,,,,,,,,
encrypt,127.4609375,187.484375,60.0234375,99,,,,,,,,,,,,
update_keys,178.74609375,178.74609375,0.0,3,,,,,,,,,,,,
decrypt,178.74609375,209.79296875,31.046875,30,,,,,,,,,,,,
encrypt,158.73828125,188.5078125,29.76953125,79,,,,,,,,,,,,
update_keys,179.98828125,179.98828125,0.0,3,,,,,,,,,,,,
decrypt,179.98828125,209.83203125,29.84375,35,,,,,,,,,,,,
encrypt,159.9765625,192.76953125,32.79296875,85,,,,,,,,,,,,
update_keys,201.08203125,201.08203125,0.0,3,,,,,,,,,,,,
decrypt,201.08203125,230.81640625,29.734375,30,,,,,,,,,,,,
encrypt,181.0625,215.3671875,34.3046875,98,,,,,,,,,,,,
update_keys,142.2265625,142.2265625,0.0,3,,,,,,,,,,,,
decrypt,142.2265625,174.60546875,32.37890625,36,,,,,,,,,,,,
encrypt,122.19140625,154.58203125,32.390625,128,,,,,,,,,,,,
update_keys,163.3125,163.3125,0.0,3,,,,,,,,,,,,
decrypt,163.3125,193.109375,29.796875,30,,,,,,,,,,,,
encrypt,143.3046875,179.28515625,35.98046875,138,,,,,,,,,,,,
update_keys,204.6875,204.6875,0.0,3,,,,,,,,,,,,
decrypt,204.6875,234.44140625,29.75390625,35,,,,,,,,,,,,
encrypt,184.64453125,220.24609375,35.6015625,91,,,,,,,,,,,,
update_keys,205.7734375,205.7734375,0.0,3,,,,,,,,,,,,
decrypt,205.7734375,235.63671875,29.86328125,30,,,,,,,,,,,,
encrypt,185.75390625,224.67578125,38.921875,152,,,,,,,,,,,,
update_keys,166.91796875,166.91796875,0.0,3,,,,,,,,,,,,
decrypt,166.91796875,206.81640625,39.8984375,30,,,,,,,,,,,,
encrypt,156.9140625,216.9375,60.0234375,92,,,,,,,,,,,,
update_keys,188.078125,188.078125,0.0,3,,,,,,,,,,,,
decrypt,188.078125,217.96484375,29.88671875,30,,,,,,,,,,,,
encrypt,168.0703125,207.08203125,39.01171875,75,,,,,,,,,,,,
update_keys,209.38671875,209.38671875,0.0,3,,,,,,,,,,,,
decrypt,209.38671875,248.83984375,39.453125,36,,,,,,,,,,,,
encrypt,189.359375,222.51953125,33.16015625,103,,,,,,,,,,,,
update_keys,150.40625,150.40625,0.0,3,,,,,,,,,,,,
decrypt,150.40625,180.19140625,29.78515625,30,,,,,,,,,,,,
encrypt,130.3984375,160.23828125,29.83984375,95,,,,,,,,,,,,
update_keys,231.66796875,231.66796875,0.0,3,,,,,,,,,,,,
decrypt,221.6640625,251.59375,29.9296875,31,,,,,,,,,,,,
encrypt,211.66015625,241.46484375,29.8046875,112,,,,,,,,,,,,
update_keys,192.7734375,192.7734375,0.0,3,,,,,,,,,,,,
decrypt,182.76953125,204.71484375,21.9453125,31,,,,,,,,,,,,
encrypt,182.76953125,262.80078125,80.03125,109,,,,,,,,,,,,
update_keys,113.20703125,113.20703125,0.0,3,,,,,,,,,,,,
decrypt,113.20703125,146.0859375,32.87890625,31,,,,,,,,,,,,
encrypt,103.34375,303.421875,200.078125,120,,,,,,,,,,,,
