case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,114.52734375,144.33984375,29.8125,28,,,,,,,,,,,,
size 2,114.6328125,150.7265625,36.09375,35,,,,,,,,,,,,
size 3,124.76953125,151.3125,26.54296875,32,,,,,,,,,,,,
size 4,104.97265625,134.94140625,29.96875,35,,,,,,,,,,,,
size 5,124.98046875,154.90625,29.92578125,37,,,,,,,,,,,,
size 6,105.0390625,155.05859375,50.01953125,40,,,,,,,,,,,,
size 7,145.234375,175.01171875,29.77734375,41,,,,,,,,,,,,
size 8,175.5078125,235.53125,60.0234375,44,,,,,,,,,,,,
size 9,85.609375,115.59765625,29.98828125,46,,,,,,,,,,,,
size 10,125.625,155.3046875,29.6796875,52,,,,,,,,,,,,
size 1,135.72265625,155.73046875,20.0078125,28,,,,,,,,,,,,
size 2,165.88671875,195.6328125,29.74609375,30,,,,,,,,,,,,
size 3,145.97265625,175.984375,30.01171875,32,,,,,,,,,,,,
size 4,106.14453125,137.86328125,31.71875,35,,,,,,,,,,,,
size 5,146.1640625,176.08203125,29.91796875,42,,,,,,,,,,,,
size 6,166.28515625,199.25,32.96484375,61,,,,,,,,,,,,
size 7,186.4453125,221.48828125,35.04296875,41,,,,,,,,,,,,
size 8,196.69921875,236.7109375,40.01171875,48,,,,,,,,,,,,
size 9,96.67578125,136.69140625,40.015625,51,,,,,,,,,,,,
size 10,156.75,196.76171875,40.01171875,48,,,,,,,,,,,,
size 1,226.953125,256.9140625,29.9609375,28,,,,,,,,,,,,
size 2,187.18359375,217.078125,29.89453125,30,,,,,,,,,,,,
size 3,247.29296875,277.94140625,30.6484375,33,,,,,,,,,,,,
size 4,67.2578125,137.28515625,70.02734375,36,,,,,,,,,,,,
size 5,127.28125,157.1875,29.90625,37,,,,,,,,,,,,
size 6,87.265625,116.99609375,29.73046875,39,,,,,,,,,,,,
size 7,127.40234375,157.51171875,30.109375,46,,,,,,,,,,,,
size 8,77.51953125,107.53125,30.01171875,43,,,,,,,,,,,,
size 9,77.53125,107.21875,29.6875,45,,,,,,,,,,,,
size 10,87.62890625,124.90234375,37.2734375,52,,,,,,,,,,,,
size 1,97.80859375,118.63671875,20.828125,28,,,,,,,,,,,,
size 2,128.01171875,157.84375,29.83203125,30,,,,,,,,,,,,
size 3,68.03125,97.80859375,29.77734375,32,,,,,,,,,,,,
size 4,88.04296875,123.34765625,35.3046875,34,,,,,,,,,,,,
size 5,108.18359375,144.66015625,36.4765625,36,,,,,,,,,,,,
size 6,168.42578125,198.66015625,30.234375,39,,,,,,,,,,,,
size 7,158.640625,218.6640625,60.0234375,42,,,,,,,,,,,,
size 8,88.7890625,128.74609375,39.95703125,48,,,,,,,,,,,,
size 9,108.81640625,147.56640625,38.75,51,,,,,,,,,,,,
size 10,148.91796875,178.6328125,29.71484375,47,,,,,,,,,,,,
size 1,169.078125,198.88671875,29.80859375,28,,,,,,,,,,,,
size 2,199.24609375,219.25390625,20.0078125,30,,,,,,,,,,,,
size 3,89.32421875,125.32421875,36.0,32,,,,,,,,,,,,
size 4,109.33203125,139.34375,30.01171875,39,,,,,,,,,,,,
size 5,149.42578125,186.3359375,36.91015625,36,,,,,,,,,,,,
size 6,169.578125,203.08203125,33.50390625,39,,,,,,,,,,,,
size 7,189.6953125,223.41796875,33.72265625,41,,,,,,,,,,,,
size 8,109.9375,139.65625,29.71875,44,,,,,,,,,,,,
size 9,109.9375,159.95703125,50.01953125,51,,,,,,,,,,,,
size 10,140.03125,180.046875,40.015625,49,,,,,,,,,,,,
size 1,210.1953125,240.12890625,29.93359375,28,,,,,,,,,,,,
size 2,160.421875,185.921875,25.5,30,,,,,,,,,,,,
size 3,90.52734375,120.3203125,29.79296875,33,,,,,,,,,,,,
size 4,90.5390625,121.59375,31.0546875,35,,,,,,,,,,,,
size 5,110.55078125,141.15625,30.60546875,42,,,,,,,,,,,,
size 6,130.671875,164.68359375,34.01171875,38,,,,,,,,,,,,
size 7,210.9140625,240.9453125,30.03125,42,,,,,,,,,,,,
size 8,101.01171875,141.02734375,40.015625,49,,,,,,,,,,,,
size 9,171.0546875,208.125,37.0703125,50,,,,,,,,,,,,
size 10,191.390625,241.40234375,50.01171875,48,,,,,,,,,,,,
size 1,251.5234375,282.703125,31.1796875,28,,,,,,,,,,,,
size 2,89.671875,127.3125,37.640625,30,,,,,,,,,,,,
size 3,99.72265625,139.73828125,40.015625,33,,,,,,,,,,,,
size 4,149.7421875,184.3671875,34.625,34,,,,,,,,,,,,
size 5,149.74609375,188.734375,38.98828125,41,,,,,,,,,,,,
size 6,109.83984375,139.70703125,29.8671875,39,,,,,,,,,,,,
size 7,149.96875,179.703125,29.734375,46,,,,,,,,,,,,
size 8,90.0078125,124.5703125,34.5625,48,,,,,,,,,,,,
size 9,130.12109375,160.09375,29.97265625,45,,,,,,,,,,,,
size 10,170.41015625,200.796875,30.38671875,47,,,,,,,,,,,,
size 1,180.6015625,200.609375,20.0078125,28,,,,,,,,,,,,
size 2,130.8515625,170.765625,39.9140625,30,,,,,,,,,,,,
size 3,110.84375,145.3046875,34.4609375,33,,,,,,,,,,,,
size 4,110.84375,141.2109375,30.3671875,35,,,,,,,,,,,,
size 5,150.9765625,186.3828125,35.40625,37,,,,,,,,,,,,
size 6,191.24609375,224.41796875,33.171875,39,,,,,,,,,,,,
size 7,81.37109375,241.43359375,160.0625,49,,,,,,,,,,,,
size 8,151.4375,184.77734375,33.33984375,43,,,,,,,,,,,,
size 9,151.46875,183.5703125,32.1015625,50,,,,,,,,,,,,
size 10,191.6796875,227.12890625,35.44921875,52,,,,,,,,,,,,
size 1,231.94140625,263.90625,31.96484375,33,,,,,,,,,,,,
size 2,102.09765625,131.17578125,29.078125,35,,,,,,,,,,,,
size 3,92.09375,123.88671875,31.79296875,38,,,,,,,,,,,,
size 4,152.1171875,188.78515625,36.66796875,34,,,,,,,,,,,,
size 5,102.125,162.1484375,60.0234375,37,,,,,,,,,,,,
size 6,152.296875,182.25,29.953125,39,,,,,,,,,,,,
size 7,92.46875,122.4375,29.96875,41,,,,,,,,,,,,
size 8,92.46875,122.390625,29.921875,43,,,,,,,,,,,,
size 9,132.5703125,165.375,32.8046875,45,,,,,,,,,,,,
size 10,172.79296875,202.609375,29.81640625,47,,,,,,,,,,,,
size 1,72.890625,105.40625,32.515625,29,,,,,,,,,,,,
size 2,112.953125,151.4375,38.484375,35,,,,,,,,,,,,
size 3,112.953125,151.95703125,39.00390625,32,,,,,,,,,,,,
size 4,133.06640625,169.9453125,36.87890625,39,,,,,,,,,,,,
size 5,173.2890625,209.34765625,36.05859375,38,,,,,,,,,,,,
size 6,193.56640625,228.4296875,34.86328125,40,,,,,,,,,,,,
size 7,93.6171875,133.25,39.6328125,46,,,,,,,,,,,,
size 8,143.64453125,171.83984375,28.1953125,43,,,,,,,,,,,,
size 9,213.80078125,243.625,29.82421875,46,,,,,,,,,,,,
size 10,234.22265625,284.22265625,50.0,52,,,,,,,,,,,,
size 1,84.203125,111.03125,26.828125,28,,,,,,,,,,,,
size 2,114.21484375,152.37109375,38.15625,30,,,,,,,,,,,,
size 3,94.20703125,132.2578125,38.05078125,32,,,,,,,,,,,,
size 4,114.29296875,144.17578125,29.8828125,41,,,,,,,,,,,,
size 5,154.38671875,189.71875,35.33203125,37,,,,,,,,,,,,
size 6,174.59765625,212.03515625,37.4375,39,,,,,,,,,,,,
size 7,114.66015625,144.55859375,29.8984375,41,,,,,,,,,,,,
size 8,144.7734375,184.7890625,40.015625,48,,,,,,,,,,,,
size 9,215.01953125,251.53515625,36.515625,46,,,,,,,,,,,,
size 10,235.41015625,285.41796875,50.0078125,49,,,,,,,,,,,,
size 1,115.40234375,145.125,29.72265625,28,,,,,,,,,,,,
size 2,115.40234375,149.9765625,34.57421875,30,,,,,,,,,,,,
size 3,155.41796875,185.4296875,30.01171875,32,,,,,,,,,,,,
size 4,155.46875,191.17578125,35.70703125,35,,,,,,,,,,,,
size 5,195.66796875,233.55078125,37.8828125,36,,,,,,,,,,,,
size 6,85.83984375,205.88671875,120.046875,41,,,,,,,,,,,,
size 7,155.87890625,187.22265625,31.34375,41,,,,,,,,,,,,
size 8,145.9921875,166.0,20.0078125,43,,,,,,,,,,,,
size 9,186.23828125,206.24609375,20.0078125,45,,,,,,,,,,,,
size 10,76.45703125,112.7890625,36.33203125,47,,,,,,,,,,,,
size 1,116.484375,155.28515625,38.80078125,28,,,,,,,,,,,,
size 2,116.484375,146.1640625,29.6796875,30,,,,,,,,,,,,
size 3,136.515625,176.03125,39.515625,32,,,,,,,,,,,,
size 4,136.7421875,174.9296875,38.1875,34,,,,,,,,,,,,
size 5,176.95703125,212.00390625,35.046875,41,,,,,,,,,,,,
size 6,117.26171875,151.83984375,34.578125,39,,,,,,,,,,,,
size 7,127.265625,147.2734375,20.0078125,41,,,,,,,,,,,,
size 8,177.28515625,207.2265625,29.94140625,43,,,,,,,,,,,,
size 9,177.3125,207.07421875,29.76171875,46,,,,,,,,,,,,
size 10,117.42578125,148.00390625,30.578125,47,,,,,,,,,,,,
size 1,157.44140625,187.28125,29.83984375,28,,,,,,,,,,,,
size 2,137.46484375,170.8125,33.34765625,35,,,,,,,,,,,,
size 3,127.640625,155.47265625,27.83203125,38,,,,,,,,,,,,
size 4,177.71875,207.546875,29.828125,34,,,,,,,,,,,,
size 5,217.93359375,251.37109375,33.4375,38,,,,,,,,,,,,
size 6,108.1796875,148.1953125,40.015625,39,,,,,,,,,,,,
size 7,178.20703125,208.8203125,30.61328125,41,,,,,,,,,,,,
size 8,168.3125,188.3203125,20.0078125,48,,,,,,,,,,,,
size 9,218.5078125,248.29296875,29.78515625,46,,,,,,,,,,,,
size 10,108.68359375,128.69140625,20.0078125,52,,,,,,,,,,,,
size 1,138.69921875,168.421875,29.72265625,28,,,,,,,,,,,,
size 2,178.74609375,209.79296875,31.046875,30,,,,,,,,,,,,
size 3,158.8359375,188.58203125,29.74609375,32,,,,,,,,,,,,
size 4,179.09765625,208.828125,29.73046875,34,,,,,,,,,,,,
size 5,219.25,254.66015625,35.41015625,37,,,,,,,,,,,,
size 6,159.39453125,194.44921875,35.0546875,39,,,,,,,,,,,,
size 7,159.4140625,189.97265625,30.55859375,41,,,,,,,,,,,,
size 8,219.578125,249.5,29.921875,44,,,,,,,,,,,,
size 9,219.73046875,249.48046875,29.75,46,,,,,,,,,,,,
size 10,109.8359375,129.84375,20.0078125,52,,,,,,,,,,,,
size 1,139.85546875,169.80859375,29.953125,28,,,,,,,,,,,,
size 2,179.98828125,209.83203125,29.84375,35,,,,,,,,,,,,
size 3,180.125,209.92578125,29.80078125,32,,,,,,,,,,,,
size 4,240.37109375,277.640625,37.26953125,36,,,,,,,,,,,,
size 5,190.54296875,250.56640625,60.0234375,55,,,,,,,,,,,,
size 6,120.54296875,155.10546875,34.5625,38,,,,,,,,,,,,
size 7,200.57421875,234.796875,34.22265625,42,,,,,,,,,,,,
size 8,220.75390625,250.5859375,29.83203125,44,,,,,,,,,,,,
size 9,220.87109375,250.66015625,29.7890625,45,,,,,,,,,,,,
