case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,104.5234375,124.53125,20.0078125,99,,,,,,,,,,,,
size 2,104.62890625,164.65234375,60.0234375,94,,,,,,,,,,,,
size 3,124.765625,144.76953125,20.00390625,147,,,,,,,,,,,,
size 4,84.96484375,114.734375,29.76953125,114,,,,,,,,,,,,
size 5,104.97265625,139.73046875,34.7578125,83,,,,,,,,,,,,
size 6,135.05078125,161.08203125,26.03125,157,,,,,,,,,,,,
size 7,135.23046875,195.25390625,60.0234375,111,,,,,,,,,,,,
size 8,205.51171875,235.3046875,29.79296875,104,,,,,,,,,,,,
size 9,75.60546875,115.62109375,40.015625,110,,,,,,,,,,,,
size 10,115.62109375,155.63671875,40.015625,120,,,,,,,,,,,,
size 1,135.72265625,215.75390625,80.03125,70,,,,,,,,,,,,
size 2,145.87890625,181.04296875,35.1640625,99,,,,,,,,,,,,
size 3,135.96875,175.98046875,40.01171875,91,,,,,,,,,,,,
size 4,106.14453125,136.14453125,30.0,107,,,,,,,,,,,,
size 5,126.15625,155.92578125,29.76953125,168,,,,,,,,,,,,
size 6,156.28125,176.2890625,20.0078125,107,,,,,,,,,,,,
size 7,176.44140625,216.45703125,40.015625,88,,,,,,,,,,,,
size 8,206.69921875,237.1640625,30.46484375,115,,,,,,,,,,,,
size 9,106.6796875,138.47265625,31.79296875,110,,,,,,,,,,,,
size 10,166.71875,196.53125,29.8125,134,,,,,,,,,,,,
size 1,216.94921875,239.71875,22.76953125,109,,,,,,,,,,,,
size 2,167.140625,206.0,38.859375,124,,,,,,,,,,,,
size 3,227.28515625,264.98828125,37.703125,139,,,,,,,,,,,,
size 4,107.2734375,136.9765625,29.703125,79,,,,,,,,,,,,
size 5,107.2734375,137.23828125,29.96484375,87,,,,,,,,,,,,
size 6,77.26171875,117.27734375,40.015625,103,,,,,,,,,,,,
size 7,107.38671875,142.2265625,34.83984375,96,,,,,,,,,,,,
size 8,77.51953125,157.55078125,80.03125,94,,,,,,,,,,,,
size 9,77.53125,117.546875,40.015625,106,,,,,,,,,,,,
size 10,77.625,117.640625,40.015625,100,,,,,,,,,,,,
size 1,97.80859375,177.83984375,80.03125,74,,,,,,,,,,,,
size 2,108.00390625,141.8125,33.80859375,80,,,,,,,,,,,,
size 3,78.03515625,138.05859375,60.0234375,78,,,,,,,,,,,,
size 4,78.0390625,100.328125,22.2890625,85,,,,,,,,,,,,
size 5,98.1796875,158.203125,60.0234375,106,,,,,,,,,,,,
size 6,148.4140625,178.29296875,29.87890625,108,,,,,,,,,,,,
