case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,114.52734375,114.52734375,0.0,3,,,,,,,,,,,,
size 2,114.6328125,114.6328125,0.0,3,,,,,,,,,,,,
size 3,134.76953125,134.76953125,0.0,3,,,,,,,,,,,,
size 4,104.97265625,104.97265625,0.0,3,,,,,,,,,,,,
size 5,124.98046875,124.98046875,0.0,3,,,,,,,,,,,,
size 6,145.0546875,145.0546875,0.0,3,,,,,,,,,,,,
size 7,145.234375,145.234375,0.0,3,,,,,,,,,,,,
size 8,225.52734375,225.52734375,0.0,3,,,,,,,,,,,,
size 9,85.609375,85.609375,0.0,3,,,,,,,,,,,,
size 10,125.625,125.625,0.0,3,,,,,,,,,,,,
size 1,145.7265625,145.7265625,0.0,3,,,,,,,,,,,,
size 2,165.88671875,165.88671875,0.0,3,,,,,,,,,,,,
size 3,145.97265625,145.97265625,0.0,3,,,,,,,,,,,,
size 4,126.15234375,126.15234375,0.0,3,,,,,,,,,,,,
size 5,146.1640625,146.1640625,0.0,3,,,,,,,,,,,,
size 6,166.28515625,166.28515625,0.0,3,,,,,,,,,,,,
size 7,186.4453125,186.4453125,0.0,3,,,,,,,,,,,,
size 8,226.70703125,226.70703125,0.0,3,,,,,,,,,,,,
size 9,126.6875,126.6875,0.0,3,,,,,,,,,,,,
size 10,186.74609375,186.74609375,0.0,3,,,,,,,,,,,,
size 1,226.953125,226.953125,0.0,3,,,,,,,,,,,,
size 2,187.18359375,187.18359375,0.0,3,,,,,,,,,,,,
size 3,247.29296875,247.29296875,0.0,3,,,,,,,,,,,,
size 4,127.28125,127.28125,0.0,3,,,,,,,,,,,,
size 5,127.28125,127.28125,0.0,3,,,,,,,,,,,,
size 6,87.265625,87.265625,0.0,3,,,,,,,,,,,,
size 7,127.40234375,127.40234375,0.0,3,,,,,,,,,,,,
size 8,87.5234375,87.5234375,0.0,3,,,,,,,,,,,,
size 9,87.53515625,87.53515625,0.0,3,,,,,,,,,,,,
size 10,87.62890625,87.62890625,0.0,3,,,,,,,,,,,,
size 1,107.8125,107.8125,0.0,3,,,,,,,,,,,,
size 2,128.01171875,128.01171875,0.0,3,,,,,,,,,,,,
size 3,88.0390625,88.0390625,0.0,3,,,,,,,,,,,,
size 4,88.04296875,88.04296875,0.0,3,,,,,,,,,,,,
size 5,108.18359375,108.18359375,0.0,3,,,,,,,,,,,,
size 6,168.42578125,168.42578125,0.0,3,,,,,,,,,,,,
size 7,208.62109375,208.62109375,0.0,3,,,,,,,,,,,,
size 8,88.7890625,88.7890625,0.0,3,,,,,,,,,,,,
size 9,108.81640625,108.81640625,0.0,3,,,,,,,,,,,,
size 10,148.91796875,148.91796875,0.0,3,,,,,,,,,,,,
size 1,169.078125,169.078125,0.0,3,,,,,,,,,,,,
size 2,209.25,209.25,0.0,3,,,,,,,,,,,,
size 3,89.32421875,89.32421875,0.0,3,,,,,,,,,,,,
size 4,109.33203125,109.33203125,0.0,3,,,,,,,,,,,,
size 5,149.42578125,149.42578125,0.0,3,,,,,,,,,,,,
size 6,169.578125,169.578125,0.0,3,,,,,,,,,,,,
size 7,189.6953125,189.6953125,0.0,3,,,,,,,,,,,,
size 8,109.9375,109.9375,0.0,3,,,,,,,,,,,,
size 9,149.953125,149.953125,0.0,3,,,,,,,,,,,,
size 10,169.98828125,169.98828125,0.0,3,,,,,,,,,,,,
size 1,210.1953125,210.1953125,0.0,3,,,,,,,,,,,,
size 2,170.42578125,170.42578125,0.0,3,,,,,,,,,,,,
size 3,90.52734375,90.52734375,0.0,3,,,,,,,,,,,,
size 4,90.5390625,90.5390625,0.0,3,,,,,,,,,,,,
size 5,110.55078125,110.55078125,0.0,3,,,,,,,,,,,,
size 6,130.671875,130.671875,0.0,3,,,,,,,,,,,,
size 7,210.9140625,210.9140625,0.0,3,,,,,,,,,,,,
size 8,131.0234375,131.0234375,0.0,3,,,,,,,,,,,,
size 9,171.0546875,171.0546875,0.0,3,,,,,,,,,,,,
size 10,231.30859375,231.30859375,0.0,3,,,,,,,,,,,,
size 1,251.5234375,251.5234375,0.0,3,,,,,,,,,,,,
size 2,89.671875,89.671875,0.0,3,,,,,,,,,,,,
size 3,129.734375,129.734375,0.0,3,,,,,,,,,,,,
size 4,149.7421875,149.7421875,0.0,3,,,,,,,,,,,,
size 5,149.74609375,149.74609375,0.0,3,,,,,,,,,,,,
size 6,109.83984375,109.83984375,0.0,3,,,,,,,,,,,,
size 7,149.96875,149.96875,0.0,3,,,,,,,,,,,,
size 8,90.0078125,90.0078125,0.0,3,,,,,,,,,,,,
size 9,130.12109375,130.12109375,0.0,3,,,,,,,,,,,,
size 10,170.41015625,170.41015625,0.0,3,,,,,,,,,,,,
size 1,190.60546875,190.60546875,0.0,3,,,,,,,,,,,,
size 2,130.8515625,130.8515625,0.0,3,,,,,,,,,,,,
size 3,110.84375,110.84375,0.0,3,,,,,,,,,,,,
size 4,110.84375,110.84375,0.0,3,,,,,,,,,,,,
