case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
BOB_secret_keys.dat,1715,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
BOB.der,1191,,,
AUTHORITY0_public_attributes.dat,1731,,,
gp.dat,256,,,
AUTHORITY2_secret_attributes.dat,845,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
DOCTOR_registration.dat,385,,,
meta,12738,,,
AUTHORITY2_public_attributes.dat,1731,,,
BOB_secret_keys.dat,1715,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
BOB.der,1191,,,
AUTHORITY0_public_attributes.dat,1731,,,
gp.dat,256,,,
AUTHORITY2_secret_attributes.dat,845,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
DOCTOR_registration.dat,385,,,
meta,12738,,,
AUTHORITY2_public_attributes.dat,1731,,,
BOB_secret_keys.dat,1715,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
BOB.der,1191,,,
AUTHORITY0_public_attributes.dat,1731,,,
gp.dat,256,,,
AUTHORITY2_secret_attributes.dat,845,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
DOCTOR_registration.dat,385,,,
meta,12738,,,
AUTHORITY2_public_attributes.dat,1731,,,
BOB_secret_keys.dat,1715,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
BOB.der,1191,,,
AUTHORITY0_public_attributes.dat,1731,,,
gp.dat,256,,,
AUTHORITY2_secret_attributes.dat,845,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
DOCTOR_registration.dat,385,,,
meta,12738,,,
AUTHORITY2_public_attributes.dat,1731,,,
BOB_secret_keys.dat,1715,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
BOB.der,1191,,,
AUTHORITY0_public_attributes.dat,1731,,,
gp.dat,256,,,
AUTHORITY2_secret_attributes.dat,845,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
DOCTOR_registration.dat,385,,,
meta,12738,,,
AUTHORITY2_public_attributes.dat,1731,,,
BOB_secret_keys.dat,1715,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
BOB.der,1191,,,
AUTHORITY0_public_attributes.dat,1731,,,
gp.dat,256,,,
AUTHORITY2_secret_attributes.dat,845,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
DOCTOR_registration.dat,385,,,
meta,12738,,,
AUTHORITY2_public_attributes.dat,1731,,,
BOB_secret_keys.dat,1715,,,
AUTHORITY1_secret_attributes.dat,845,,,
BOB_registration.dat,385,,,
dat,10485792,,,
BOB.der,1191,,,
AUTHORITY0_public_attributes.dat,1731,,,
gp.dat,256,,,
AUTHORITY2_secret_attributes.dat,845,,,
DOCTOR_secret_keys.dat,3201,,,
AUTHORITY1_public_attributes.dat,1731,,,
AUTHORITY0_secret_attributes.dat,845,,,
