case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
size 3,845,,,
size 4,845,,,
size 5,845,,,
size 6,845,,,
size 7,845,,,
size 8,845,,,
size 9,845,,,
size 10,845,,,
size 1,845,,,
size 2,845,,,
