case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
size 5,1191,,,
size 6,1191,,,
size 7,1191,,,
size 8,1191,,,
size 9,1191,,,
size 10,1191,,,
size 1,1191,,,
size 2,1191,,,
size 3,1191,,,
size 4,1191,,,
