case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
update_keys,1.4e-05,,,
decrypt,3.66307,,,
encrypt,10.357268999999999,,,
update_keys,1.3e-05,,,
decrypt,4.263222,,,
encrypt,10.969633,,,
update_keys,1.1e-05,,,
decrypt,3.6492679999999997,,,
encrypt,11.937130999999999,,,
update_keys,1.2e-05,,,
decrypt,3.651023,,,
encrypt,10.153675999999999,,,
update_keys,1.4e-05,,,
decrypt,3.6767719999999997,,,
encrypt,11.396269,,,
update_keys,1.2e-05,,,
decrypt,3.6373439999999997,,,
encrypt,14.502521999999999,,,
update_keys,1.1e-05,,,
decrypt,4.197067,,,
encrypt,17.755644,,,
update_keys,1.2e-05,,,
decrypt,3.7313099999999997,,,
encrypt,16.064591,,,
update_keys,1.1e-05,,,
decrypt,3.69365,,,
encrypt,13.367574,,,
update_keys,1.2e-05,,,
decrypt,4.210342,,,
encrypt,9.120052,,,
update_keys,1.3e-05,,,
decrypt,4.235466,,,
encrypt,13.289247999999999,,,
update_keys,1.3e-05,,,
decrypt,4.297782,,,
encrypt,13.223773,,,
update_keys,1.2e-05,,,
decrypt,3.6501189999999997,,,
encrypt,10.436684999999999,,,
update_keys,1.1e-05,,,
decrypt,3.684868,,,
encrypt,10.738263,,,
update_keys,1.1e-05,,,
decrypt,3.6678979999999997,,,
encrypt,12.152688,,,
update_keys,1.1e-05,,,
decrypt,3.6831679999999998,,,
encrypt,13.541425,,,
update_keys,1.1e-05,,,
decrypt,3.660339,,,
encrypt,16.029968,,,
update_keys,1.1e-05,,,
decrypt,3.7138069999999996,,,
encrypt,15.788359999999999,,,
update_keys,1.2e-05,,,
decrypt,3.631785,,,
encrypt,14.690747,,,
update_keys,1.1e-05,,,
decrypt,4.18306,,,
encrypt,11.174427999999999,,,
update_keys,1.2e-05,,,
decrypt,3.709025,,,
encrypt,11.670857,,,
update_keys,1.2e-05,,,
decrypt,4.242457,,,
encrypt,15.565669999999999,,,
update_keys,1.1e-05,,,
decrypt,3.697435,,,
encrypt,11.160344,,,
update_keys,9.999999999999999e-06,,,
decrypt,3.625438,,,
encrypt,16.266748,,,
update_keys,1.2e-05,,,
decrypt,3.668026,,,
encrypt,10.256986,,,
update_keys,9.999999999999999e-06,,,
decrypt,4.221785,,,
encrypt,17.851298,,,
update_keys,9.999999999999999e-06,,,
decrypt,3.955501,,,
encrypt,9.490791999999999,,,
update_keys,1.1e-05,,,
decrypt,3.6634149999999996,,,
encrypt,10.740046,,,
update_keys,1.1e-05,,,
decrypt,3.730343,,,
encrypt,13.663648,,,
update_keys,1.1e-05,,,
decrypt,3.677875,,,
encrypt,11.926969999999999,,,
update_keys,1.1e-05,,,
decrypt,3.652659,,,
encrypt,10.548404999999999,,,
update_keys,1.3e-05,,,
decrypt,4.2385079999999995,,,
encrypt,17.944608,,,
update_keys,1.2e-05,,,
decrypt,3.6678669999999998,,,
encrypt,17.750918,,,
update_keys,1.3e-05,,,
decrypt,4.200129,,,
encrypt,11.974651999999999,,,
update_keys,1.2e-05,,,
decrypt,3.6973469999999997,,,
encrypt,10.619074,,,
update_keys,1.1e-05,,,
decrypt,4.248381999999999,,,
encrypt,10.096580999999999,,,
update_keys,1.1e-05,,,
decrypt,3.678485,,,
encrypt,9.976045,,,
update_keys,1.1e-05,,,
decrypt,3.664675,,,
encrypt,13.305696999999999,,,
update_keys,1.2e-05,,,
decrypt,3.694204,,,
encrypt,12.404843,,,
update_keys,1.3e-05,,,
decrypt,4.225728,,,
encrypt,13.366401,,,
update_keys,1.3e-05,,,
decrypt,4.193875,,,
encrypt,11.377779,,,
update_keys,1.3e-05,,,
decrypt,3.729228,,,
encrypt,10.291971,,,
update_keys,1.2e-05,,,
decrypt,4.393681,,,
encrypt,13.866677999999999,,,
update_keys,9.999999999999999e-06,,,
decrypt,3.6468,,,
encrypt,14.103385,,,
update_keys,9.999999999999999e-06,,,
decrypt,3.7056199999999997,,,
encrypt,22.161465999999997,,,
update_keys,1.3e-05,,,
decrypt,3.65739,,,
encrypt,9.795356,,,
update_keys,1.4e-05,,,
decrypt,3.69405,,,
encrypt,11.459066,,,
update_keys,9.999999999999999e-06,,,
decrypt,3.687836,,,
encrypt,11.813889,,,
update_keys,1.3e-05,,,
decrypt,3.666517,,,
encrypt,12.861094999999999,,,
update_keys,1.2e-05,,,
decrypt,3.812207,,,
encrypt,10.206135,,,
update_keys,1.2e-05,,,
decrypt,3.848449,,,
encrypt,12.063367,,,
update_keys,1.3e-05,,,
decrypt,3.9864789999999997,,,
encrypt,15.920404,,,
update_keys,1.3e-05,,,
decrypt,5.1342929999999996,,,
encrypt,13.899460999999999,,,
update_keys,1.2e-05,,,
decrypt,5.87925,,,
encrypt,19.534421,,,
update_keys,1.2e-05,,,
decrypt,5.559108999999999,,,
encrypt,13.484641,,,
update_keys,1.2e-05,,,
decrypt,6.048749,,,
encrypt,27.254396,,,
update_keys,1.2e-05,,,
decrypt,8.18355,,,
encrypt,18.085328999999998,,,
update_keys,1.2e-05,,,
decrypt,5.113447,,,
encrypt,35.533783,,,
update_keys,1.2e-05,,,
decrypt,4.931735,,,
encrypt,13.773971999999999,,,
update_keys,1.3e-05,,,
decrypt,6.560019,,,
encrypt,34.434272,,,
update_keys,1.4e-05,,,
decrypt,4.529254,,,
encrypt,13.399935999999999,,,
update_keys,1.1e-05,,,
decrypt,4.420497,,,
encrypt,15.553825,,,
update_keys,1.3e-05,,,
decrypt,6.54402,,,
encrypt,11.565648,,,
update_keys,1.4e-05,,,
decrypt,4.133457,,,
encrypt,22.329166,,,
update_keys,1.1e-05,,,
decrypt,5.37347,,,
encrypt,23.485053999999998,,,
update_keys,1.1e-05,,,
decrypt,5.327776,,,
encrypt,22.836916,,,
update_keys,9.999999999999999e-06,,,
decrypt,4.472455,,,
encrypt,15.835199999999999,,,
update_keys,1.1e-05,,,
decrypt,4.547594999999999,,,
encrypt,16.809819,,,
update_keys,1.4999999999999999e-05,,,
decrypt,5.954943,,,
encrypt,15.484539999999999,,,
update_keys,1.1e-05,,,
decrypt,4.4050579999999995,,,
encrypt,18.778731999999998,,,
update_keys,1.1e-05,,,
decrypt,5.7563379999999995,,,
encrypt,21.796713,,,
update_keys,1.4e-05,,,
decrypt,5.920609,,,
encrypt,17.662765999999998,,,
update_keys,1.1e-05,,,
decrypt,7.1080429999999994,,,
encrypt,15.228159999999999,,,
update_keys,9.999999999999999e-06,,,
decrypt,5.317995,,,
encrypt,17.230446,,,
update_keys,1.2e-05,,,
decrypt,4.26978,,,
encrypt,19.728813,,,
update_keys,9.999999999999999e-06,,,
decrypt,5.609112,,,
encrypt,21.767177999999998,,,
update_keys,1.1e-05,,,
decrypt,4.968661,,,
encrypt,13.462772,,,
update_keys,9.999999999999999e-06,,,
decrypt,5.602453,,,
encrypt,25.846324,,,
update_keys,1.1e-05,,,
decrypt,4.397955,,,
encrypt,14.248014,,,
update_keys,1.2e-05,,,
decrypt,4.537586999999999,,,
encrypt,23.816547999999997,,,
update_keys,1.2e-05,,,
decrypt,4.284256,,,
encrypt,18.399039,,,
update_keys,1.3e-05,,,
decrypt,8.166269,,,
encrypt,22.469428,,,
update_keys,1.2e-05,,,
decrypt,5.240113,,,
encrypt,23.735443999999998,,,
update_keys,1.4e-05,,,
decrypt,4.435010999999999,,,
encrypt,19.057128,,,
update_keys,1.3e-05,,,
decrypt,3.974795,,,
encrypt,14.550333,,,
update_keys,1.2e-05,,,
decrypt,3.947796,,,
encrypt,20.740804999999998,,,
update_keys,1.3e-05,,,
decrypt,4.397684,,,
encrypt,12.628522,,,
update_keys,1.1e-05,,,
decrypt,3.7211279999999998,,,
encrypt,13.886396999999999,,,
update_keys,1.2e-05,,,
decrypt,3.747791,,,
encrypt,12.865542999999999,,,
update_keys,1.2e-05,,,
decrypt,4.331097,,,
encrypt,11.124144,,,
update_keys,1.2e-05,,,
decrypt,3.691182,,,
encrypt,13.556453,,,
update_keys,1.4e-05,,,
decrypt,3.692442,,,
encrypt,12.818648999999999,,,
update_keys,1.2e-05,,,
