case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,1.3e-05,,,
size 2,1.4e-05,,,
size 3,1.3e-05,,,
size 4,1.3e-05,,,
size 5,1.2e-05,,,
size 6,1.3e-05,,,
size 7,1.3e-05,,,
size 8,1.4999999999999999e-05,,,
size 9,1.4e-05,,,
size 10,1.3e-05,,,
size 1,1.1e-05,,,
size 2,1.3e-05,,,
size 3,1.1e-05,,,
size 4,1.2e-05,,,
size 5,1.3e-05,,,
size 6,1.4e-05,,,
size 7,1.2e-05,,,
size 8,1.1e-05,,,
size 9,1.3e-05,,,
size 10,1.1e-05,,,
size 1,1.1e-05,,,
size 2,1.1e-05,,,
size 3,1.2e-05,,,
size 4,1.1e-05,,,
size 5,1.4e-05,,,
size 6,1.1e-05,,,
size 7,1.1e-05,,,
size 8,1.2e-05,,,
size 9,1.1e-05,,,
size 10,1.3e-05,,,
size 1,1.1e-05,,,
size 2,1.3e-05,,,
size 3,1.1e-05,,,
size 4,1.2e-05,,,
size 5,1.3e-05,,,
size 6,1.3e-05,,,
size 7,1.3e-05,,,
size 8,1.2e-05,,,
size 9,1.2e-05,,,
size 10,9.999999999999999e-06,,,
size 1,1.2e-05,,,
size 2,1.1e-05,,,
size 3,9.999999999999999e-06,,,
size 4,1.1e-05,,,
size 5,1.3e-05,,,
size 6,1.3e-05,,,
size 7,1.3e-05,,,
size 8,1.3e-05,,,
size 9,1.4e-05,,,
size 10,1.2e-05,,,
size 1,1.2e-05,,,
size 2,1.1e-05,,,
size 3,1.2e-05,,,
size 4,1.2e-05,,,
size 5,1.1e-05,,,
size 6,1.2e-05,,,
size 7,1.2e-05,,,
size 8,1.1e-05,,,
size 9,1.2e-05,,,
size 10,1.3e-05,,,
size 1,1.2e-05,,,
size 2,1.3e-05,,,
size 3,1.1e-05,,,
size 4,1.1e-05,,,
size 5,1.3e-05,,,
size 6,1.1e-05,,,
size 7,1.1e-05,,,
size 8,1.3e-05,,,
size 9,1.1e-05,,,
size 10,1.4e-05,,,
size 1,1.2e-05,,,
size 2,1.3e-05,,,
size 3,1.1e-05,,,
size 4,1.3e-05,,,
size 5,1.2e-05,,,
size 6,1.1e-05,,,
size 7,1.3e-05,,,
size 8,1.3e-05,,,
size 9,1.2e-05,,,
size 10,1.3e-05,,,
size 1,1.3e-05,,,
size 2,1.4e-05,,,
size 3,1.1e-05,,,
size 4,1.2e-05,,,
size 5,1.2e-05,,,
size 6,1.2e-05,,,
size 7,1.4e-05,,,
size 8,1.3e-05,,,
size 9,1.1e-05,,,
size 10,1.2e-05,,,
size 1,1.3e-05,,,
size 2,1.6e-05,,,
size 3,1.3e-05,,,
size 4,1.1e-05,,,
size 5,1.3e-05,,,
size 6,1.1e-05,,,
size 7,1.1e-05,,,
size 8,1.3e-05,,,
size 9,1.2e-05,,,
size 10,1.1e-05,,,
size 1,1.3e-05,,,
size 2,1.3e-05,,,
size 3,1.1e-05,,,
size 4,1.2e-05,,,
size 5,1.2e-05,,,
size 6,1.1e-05,,,
size 7,1.3e-05,,,
size 8,1.2e-05,,,
size 9,1.3e-05,,,
size 10,9.999999999999999e-06,,,
size 1,1.3e-05,,,
size 2,1.2e-05,,,
size 3,1.1e-05,,,
size 4,1.3e-05,,,
size 5,1.3e-05,,,
size 6,1.2e-05,,,
size 7,1.1e-05,,,
size 8,1.4e-05,,,
size 9,1.3e-05,,,
size 10,9.999999999999999e-06,,,
size 1,1.3e-05,,,
size 2,1.2e-05,,,
size 3,1.1e-05,,,
size 4,1.3e-05,,,
size 5,1.4e-05,,,
size 6,1.2e-05,,,
size 7,1.2e-05,,,
size 8,1.1e-05,,,
size 9,1.2e-05,,,
size 10,1.2e-05,,,
size 1,1.2e-05,,,
size 2,1.1e-05,,,
size 3,1.1e-05,,,
size 4,1.2e-05,,,
size 5,1.4e-05,,,
size 6,1.2e-05,,,
size 7,1.1e-05,,,
size 8,1.2e-05,,,
size 9,1.1e-05,,,
size 10,9.999999999999999e-06,,,
size 1,1.4e-05,,,
size 2,1.4999999999999999e-05,,,
size 3,1.1e-05,,,
size 4,1.1e-05,,,
size 5,1.1e-05,,,
size 6,1.2e-05,,,
size 7,1.2e-05,,,
size 8,1.2e-05,,,
size 9,1.1e-05,,,
size 10,1.2e-05,,,
size 1,1.1e-05,,,
size 2,1.2e-05,,,
size 3,1.1e-05,,,
size 4,1.1e-05,,,
size 5,9.999999999999999e-06,,,
size 6,1.2e-05,,,
size 7,1.2e-05,,,
size 8,1.1e-05,,,
size 9,1.1e-05,,,
size 10,1.3e-05,,,
size 1,1.2e-05,,,
size 2,1.4999999999999999e-05,,,
size 3,1.3e-05,,,
size 4,1.2e-05,,,
size 5,1.1e-05,,,
size 6,1.2e-05,,,
size 7,1.4999999999999999e-05,,,
size 8,1.3e-05,,,
size 9,1.1e-05,,,
size 10,1.1e-05,,,
size 1,1.4e-05,,,
size 2,1.2e-05,,,
size 3,1.1e-05,,,
size 4,1.1e-05,,,
size 5,1.2e-05,,,
size 6,1.1e-05,,,
size 7,1.1e-05,,,
size 8,9.999999999999999e-06,,,
size 9,1.1e-05,,,
size 10,1.1e-05,,,
size 1,1.1e-05,,,
size 2,1.1e-05,,,
size 3,1.3e-05,,,
