case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.029999999999999916,,,
size 2,0.010000000000000009,,,
size 3,0.030000000000000027,,,
size 4,0.020000000000000018,,,
size 5,0.030000000000000027,,,
size 6,0.030000000000000027,,,
size 7,0.06000000000000005,,,
size 8,0.040000000000000036,,,
size 9,0.05999999999999983,,,
size 10,0.040000000000000036,,,
size 11,0.04999999999999982,,,
size 12,0.08000000000000007,,,
size 13,0.050000000000000266,,,
size 14,0.050000000000000266,,,
size 15,0.06000000000000005,,,
size 16,0.06000000000000005,,,
size 17,0.07000000000000028,,,
size 18,0.08000000000000007,,,
size 19,0.08999999999999986,,,
size 20,0.07000000000000028,,,
size 1,,0.020000000000000462,,
size 2,,0.020000000000000462,,
size 3,,0.020000000000000462,,
size 4,,0.03000000000000025,,
size 5,,0.040000000000000036,,
size 6,,0.040000000000000036,,
size 7,,0.04999999999999982,,
size 8,,0.0699999999999994,,
size 9,,0.0600000000000005,,
size 10,,0.07000000000000028,,
size 11,,0.08000000000000007,,
size 12,,0.08000000000000007,,
size 13,,0.08999999999999986,,
size 14,,0.09000000000000163,,
size 15,,0.120000000000001,,
size 16,,0.10999999999999943,,
size 17,,0.11000000000000121,,
size 18,,0.120000000000001,,
size 19,,0.129999999999999,,
size 20,,0.14000000000000057,,
size 1,,,0.019999999999999574,
size 2,,,0.02999999999999936,
size 3,,,0.05000000000000071,
size 4,,,0.05000000000000071,
size 5,,,0.07000000000000028,
size 6,,,0.08999999999999986,
size 7,,,0.09999999999999787,
size 8,,,0.120000000000001,
size 9,,,0.120000000000001,
size 10,,,0.14000000000000057,
size 11,,,0.1599999999999986,
size 12,,,0.18000000000000171,
size 13,,,0.17999999999999972,
size 14,,,0.1999999999999993,
size 15,,,0.2099999999999993,
size 16,,,0.23000000000000043,
size 17,,,0.24999999999999845,
size 18,,,0.25,
size 19,,,0.26000000000000156,
size 20,,,0.28000000000000114,
size 1,,,,0.03999999999999915
size 2,,,,0.07000000000000028
size 3,,,,0.11000000000000298
size 4,,,,0.129999999999999
size 5,,,,0.16999999999999815
size 6,,,,0.19999999999999574
size 7,,,,0.23000000000000398
size 8,,,,0.259999999999998
size 9,,,,0.30000000000000426
size 10,,,,0.3400000000000034
size 11,,,,0.35999999999999943
size 12,,,,0.39000000000000057
size 13,,,,0.4399999999999977
size 14,,,,0.46999999999999886
size 15,,,,0.4899999999999971
size 16,,,,0.5499999999999989
size 17,,,,0.5399999999999991
size 18,,,,0.5799999999999983
size 19,,,,0.6199999999999974
size 20,,,,0.6600000000000037
